raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,0.95,"Acoustic gunshot detection systems: A quasi-experimental evaluation in St. Louis, MO","Mares, D. | Blackburn, E.",Journal of Experimental Criminology,,,web_search,"The citation combines real authors and year with a fabricated title, wrong journal, and incorrect DOI shell.",24.63,15905,588,1,0.006241,0.014,0.020241
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,hallucination,1.0,,,,,,web_search,The citation is a hallucination. Neither the report titled 'Acoustic Gunshot Detection: A Review of the Evidence' nor the provided URL on nij.ojp.gov exists in the official National Institute of Justice publications repository.,24.62,15914,655,1,0.006412,0.014,0.020412
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,1.0,"The effect of gunshot detection technology on evidence collection and case clearance in Kansas City, Missouri",Eric L. Piza,Journal of Experimental Criminology,10.1007/s11292-023-09594-6,,web_search,The citation is a metadata hallucination where real elements are combined with a fabricated title and an incorrect DOI.,24.64,15852,514,1,0.006041,0.014,0.020041
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,hallucination,1.0,,,,,,web_search,The citation features a completely fabricated institutional report title and URL attributed to the Dallas Police Department for the year 2015.,24.61,15635,379,1,0.005638,0.014,0.019638
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,hallucination,1.0,,,,,,web_search,Documented hallucinated citation produced by large language models combining a real publisher name with a fabricated headline and URL slug.,24.64,15900,582,1,0.006225,0.014,0.020225
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,hallucination,0.95,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,web_search,The cited title and author combination is a fabricated or non-existent report description mapped to municipal URLs.,24.65,15784,533,0,0.006068,0.0,0.006068
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,hallucination,1.0,,,,,,web_search,A search for the publication titled Emerging Police Technologies and Their Costs attributed to the Vera Institute of Justice in 2021 yields no matching primary records. The URL does not point to a live or valid publication page.,24.63,15656,426,0,0.005762,0.0,0.005762
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.9,,,,,,web_search,"The citation provides a municipal URL attributed to the Springfield City Council for a 2021 ordinance approving a ShotSpotter contract, but the exact ordinance ID and record could not be independently verified on the live municipal portal.",24.63,15658,366,0,0.005612,0.0,0.005612
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,1.0,,,,,,web_search,"The citation relies on a specific municipal PDF URL that is unreachable or unverified, and without an alternative primary bibliographic record or active file link confirming the exact title and text, it cannot be verified.",24.63,15734,433,1,0.005803,0.014,0.019803
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,1.0,,,,,,web_search,The citation is a hallucination or metadata chimera combining real authors and a real journal with a fabricated title and a DOI that resolves to a different work.,51.06,15833,434,0,0.005835,0.0,0.005835
[44] Urban Institute. (2020). Evaluating the Impact of ShotSpotter in Urban Environments. https://www.urban.org/research/publication/evaluating-impactshotspotter-urban-environments,book,Evaluating the Impact of ShotSpotter in Urban Environments,Urban Institute,2020,,,,,,,,,https://www.urban.org/research/publication/evaluating-impact-shotspotter-urban-environments,,hallucination,0.99,,,,,,web_search,"Searches of the Urban Institute publication catalog revealed no report, brief, or study with this title or URL path.",24.63,15710,421,1,0.005765,0.014,0.019765
[48] U.S. Conference of Mayors. (2021). Public Safety Technology Cost Index. https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,book,Public Safety Technology Cost Index,U.S. Conference of Mayors,2021,,,,,,,,,https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,,not_found,1.0,,,,,,web_search,The cited URL and report ('Public Safety Technology Cost Index' by the U.S. Conference of Mayors) could not be located in primary sources or official organizational archives.,24.61,15745,414,0,0.005758,0.0,0.005758
