raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,1.0,,,,,,web_search,"The citation provides only a filename with no authors, no year, and no formal publication metadata. Bibliography entry has no authors or real title (URL/filename-only) — not_found.",23.41,15486,269,0,0.005318,0.0,0.005318
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,1.0,A Multi-Jurisdictional Test of Risk Terrain Modeling and a Place-Based Evaluation of Environmental Risk-Based Patrol Deployment Strategies: Results in Brief,Leslie W. Kennedy | Joel M. Caplan | Eric L. Piza,Rutgers Center on Public Security,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web_search,"The citation consists solely of a URL with no authors and no real title in the raw text. Per the URL-only and incomplete citations hard rule, the status is set to not_found despite the URL resolving to a live document.",23.35,15753,559,0,0.006123,0.0,0.006123
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,1.0,Algorithmic Justice or Bias: Legal Implications of Predictive Policing Algorithms in Criminal Justice,Leo Lin,The Johns Hopkins Undergraduate Law Review,,,web_search,"The URL is live and reachable, successfully resolving to the article 'Algorithmic Justice or Bias: Legal Implications of Predictive Policing Algorithms in Criminal Justice' by Leo Lin on The Johns Hopkins Undergraduate Law Review. However, because the citation text contains only a bare URL without author or title metadata, it is categorized as not_found. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",23.34,15941,755,0,0.00667,0.0,0.00667
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,1.0,Evidence-based policing,Robert Spinks,American Police Beat Magazine,,https://apbweb.com/2024/06/evidence-based-policing/,web_search,"The citation consists of a bare URL with no authors or title. Although the URL is live and resolves to a real article, the URL-only and incomplete citation rule requires classifying it as not_found.",23.34,15649,480,0,0.005895,0.0,0.005895
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,,not_found,1.0,Kalshi and Polymarket Battle Gambling Companies in Prediction Market Frenzy,,Bloomberg,,,web_search,"The provided citation consists only of a URL without authors or a formal bibliographic title. Although the Bloomberg article exists online, URL-only entries must be marked as not_found per guidelines. Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",23.33,15694,414,1,0.005743,0.014,0.019743
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,1.0,,,Yahoo Finance,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web_search,"The cited URL is live and accessible, but the entry provides only a URL with no bibliographic title or authors. Cited URL is live/reachable (https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",23.29,15635,359,0,0.005588,0.0,0.005588
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,1.0,,,,,,web_search,"URL-only bibliography entry lacking a real title and authors; per the URL-only rule, the verification status is set to not_found despite the URL being live. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",23.33,15977,694,0,0.006528,0.0,0.006528
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,1.0,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web_search,"The citation provides only a bare URL with no authors or title. Per the verification guidelines for URL-only entries, this must be marked as not_found despite the URL appearing in search results. Cited URL is live/reachable (https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",22.93,15815,617,0,0.006287,0.0,0.006287
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,1.0,,,DeFi Rate,,https://defirate.com/prediction-markets/,web_search,"The URL is live and resolves to a real page, but because it is a URL-only citation with no authors and no real title provided in the raw text, the status is set to not_found.",28.61,15735,592,0,0.0062,0.0,0.0062
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,1.0,,,,,,web_search,"The provided URL is reachable and resolves to a real blog post titled 'Prediction Market Regulation: Legal Compliance Guide for Polymarket, Kalshi, and Event Contract Startups' by Darren Heitner on Heitner Legal. However, because the input citation contains only a URL and lacks any authors or structured bibliographic title text, it falls under the hard rule requiring a not_found status for URL-only entries. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",23.33,15811,630,1,0.006318,0.014,0.020318
