raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,1.0,There was a country: A personal history of Biafra,Chinua Achebe,The Penguin Press,,,web_search,"All substantive bibliographic fields match correctly, and the book exists as cited.",54.22,15603,389,0,0.005653,0.0,0.005653
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),2.54,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,minor_error,0.95,Restorative community justice: Repairing harm and transforming communities,Gordon Bazemore | Mara Schiff,Anderson Publishing,,,web_search,"The citation correctly identifies the book, but the publication year is 2001 rather than 2011.",54.21,15552,339,1,0.005513,0.014,0.019513
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,978-1-280-47357-9,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),2.16,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,1.0,"Constitution of Kenya, 2010",Republic of Kenya,Republic of Kenya / Government Printer,,,web_search,"Constitution of Kenya (2010) is a universally recognized legal authority; the title, jurisdiction, and year are fully verified.",54.76,15527,357,1,0.005551,0.014,0.019551
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,1.0,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://doi.org/10.1002/9781118517390.wbetc207,crossref_title_static,Verified via static CrossRef title search (score: 1.00),2.24,0,0,0,0.0,0.0,0.0
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0-205-16557-5,,Allyn and Bacon,,,verified,1.0,Criminal justice: A peacemaking perspective,John R. Fuller,Allyn and Bacon,,,web_search,"The cited book Criminal Justice: A Peacemaking Perspective by John R. Fuller, published by Allyn and Bacon in 1998, is a real publication confirmed in academic literature and library references.",54.22,15578,384,1,0.005633,0.014,0.019633
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,978-1-315-13062-0,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,0.95,"Peacemaking Criminology: Past, Present, and Future",John Randolph Fuller | John F. Wozniak,Taking Stock: The Status of Criminological Theory,10.4324/9781315130620,,web_search,"The citation successfully identifies the book chapter by J. R. Fuller and J. F. Wozniak, but contains garbled metadata noise with book editors' names improperly embedded.",54.77,17637,988,0,0.007761,0.0,0.007761
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,verified,1.0,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",Alexander K. A. Greenawalt,Virginia Journal of International Law,,http://digitalcommons.pace.edu/lawfaculty/627,web_search,The citation is fully verified against primary records and repository links.,54.76,15802,510,1,0.006016,0.014,0.020016
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,verified,1.0,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,https://insight.dickinsonlaw.psu.edu/pslr/vol108/iss1/12,web_search,"The cited work is real and matches all substantive bibliographic details (author, title, year, journal, volume, issue, and pages). The provided URL in the citation contains a typo ('dickonson law' and points to vol 122 instead of vol 108) and is non-functional, but the paper itself is fully verified.",54.75,16176,856,1,0.006993,0.014,0.020993
