document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,73,0,0,0,0,0,246.76,41.05,102.42,102.26,2996.55,621294,19701,640995,21,0.235639,0.294,0.529639
1_perspective_PLOSWater_preview,67,59,0,6,2,0,0,162.19,65.62,104.09,102.53,4396.54,878907,30188,909095,38,0.339141,0.532,0.871143
23812_Unmasking_Puppeteers_Lev,72,67,0,5,0,0,0,141.0,25.04,102.63,38.38,1802.53,90820,2465,93285,5,0.033408,0.07,0.103408
24047_Fourier_Token_Merging_Un,32,25,0,1,6,0,0,140.83,49.72,131.82,102.55,1590.89,218777,6689,225466,5,0.082354,0.07,0.152355
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,0,4,0,0,0,278.95,47.23,102.98,102.38,4912.34,601845,18263,620108,23,0.226209,0.322,0.548209
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,148,2,5,1,0,0,201.87,27.5,86.73,86.05,4289.37,746135,21889,768024,32,0.278562,0.448,0.726563
2606.11565v1,38,20,1,4,13,0,0,184.04,60.63,97.91,97.8,2303.97,520216,16764,536980,22,0.197974,0.308,0.505977
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,77.6,35.42,76.52,70.85,1275.13,111431,3137,114568,3,0.041272,0.042,0.083272
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,65,0,10,0,0,0,173.48,32.83,101.53,83.92,2462.36,453887,14027,467914,17,0.171232,0.238,0.409232
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,0,1,4,0,0,85.07,35.37,77.6,77.34,1238.07,200835,6140,206975,7,0.075601,0.098,0.173601
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,69,1,6,0,0,0,125.76,21.5,106.64,47.92,1633.97,260573,9368,269941,10,0.101592,0.14,0.241592
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,68,0,1,7,0,0,88.99,29.99,86.47,85.67,2279.42,272358,9170,281528,11,0.104633,0.154,0.258633
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,29,1,1,1,0,0,270.06,57.87,269.3,87.17,1851.86,294445,9780,304225,13,0.132953,0.17,0.302953
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,51,1,0,0,0,0,103.09,37.06,98.12,71.62,1927.24,90922,2777,93699,2,0.03422,0.028,0.06222
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,16,0,2,5,0,0,106.84,27.4,91.99,91.87,630.14,200042,6464,206506,10,0.076171,0.14,0.216171
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,26,0,2,3,0,0,55.03,30.04,35.51,34.89,931.19,490084,15918,506002,13,0.186819,0.182,0.368819
AndyW_Dissertation_Limit,271,251,0,20,0,0,0,214.88,23.92,99.48,88.46,6481.7,1269615,35403,1305018,49,0.469387,0.686,1.155391
BD_money_in_bank_preprint,85,81,0,1,3,0,0,171.77,36.09,101.67,101.43,3067.93,580683,15287,595970,24,0.212423,0.336,0.548423
Cannabis_in_the_Capital__Manuscript,52,44,2,5,1,0,0,99.52,42.4,84.65,84.39,2204.64,366200,9953,376153,13,0.134743,0.182,0.316744
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,1,2,4,0,0,65.52,36.48,55.15,53.94,875.42,235771,6598,242369,9,0.087227,0.126,0.213227
Fingerprint_Ridges,38,36,0,2,0,0,0,46.39,17.19,41.06,40.92,653.1,222554,6532,229086,9,0.083095,0.126,0.209095
GenAI_CrimEvidence,33,32,0,1,0,0,0,52.81,19.84,31.96,31.57,654.75,348071,9531,357602,10,0.128247,0.14,0.268248
Gunshot_Detection_Literature_Review_Expanded,12,0,5,0,7,0,0,32.96,22.68,31.74,31.47,272.12,218140,5726,223866,7,0.079757,0.098,0.177757
PredictionMarkets,49,0,49,0,0,0,0,183.4,34.45,75.23,67.4,1688.03,886285,23100,909385,27,0.323636,0.378,0.701637
Preprint - The AI Criminal Mastermind - Paper,85,77,3,4,1,0,0,279.28,33.74,75.49,66.83,2867.65,1108588,30262,1138850,42,0.408233,0.588,0.996232
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,26,0,5,1,0,0,133.23,29.36,64.84,51.31,939.48,381848,10261,392109,17,0.140206,0.238,0.378206
affiliation_errors_openalex,34,31,2,1,0,0,0,54.83,20.08,50.19,49.81,682.88,128978,3733,132711,5,0.048025,0.07,0.118026
algorithms-19-00509,52,50,0,2,0,0,0,80.82,29.57,55.79,50.6,1537.88,320096,9973,330069,10,0.120958,0.14,0.26096
hall_next_research,84,41,5,19,19,0,0,212.95,42.65,78.1,68.74,3582.27,1133415,34721,1168136,40,0.426825,0.56,0.986825
journal.pone.0325168,115,107,0,7,1,0,0,160.2,24.92,75.63,75.37,2865.25,513132,15200,528332,20,0.191939,0.28,0.471938
journal.pone.0334595,43,39,0,4,0,0,0,69.42,20.75,60.55,60.41,892.46,147400,5037,152437,5,0.056812,0.07,0.126812
journal.pone.0345850,91,76,0,4,11,0,0,121.46,35.12,68.83,65.12,3196.27,829152,27076,856228,27,0.316436,0.378,0.694435
journal.pone.0349889,91,82,1,8,0,0,0,94.56,22.74,62.71,60.56,2069.37,477379,14577,491956,20,0.179656,0.28,0.459655
journal.pone.0352338,43,40,0,3,0,0,0,53.33,25.08,51.93,51.69,1078.27,336354,11759,348113,10,0.130304,0.14,0.270305
preprint-61779311834433-61779357373981,42,41,0,1,0,0,0,33.08,11.91,30.17,28.96,500.06,200893,5374,206267,7,0.073704,0.098,0.171705
s12889-026-27943-8_reference,34,30,0,2,2,0,0,39.59,28.55,32.3,31.8,970.76,565146,18311,583457,21,0.21532,0.294,0.509321
