raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,1.0,Use research on Claude,Anthropic,Anthropic Help Center (support.claude.com),,https://support.claude.com/en/articles/11088861-use-research-on-claude,web_search,"The article exists at the cited URL path (Article ID 11088861). The minor title change from ""Using Research..."" to ""Use research..."" is consistent with standard web SEO updates and does not constitute an error.",70.52,28496,761,1,0.016531,0.005,0.021531
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),13.3,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,,,Yale University Press,,,verified,1.0,The Public Domain: Enclosing the Commons of the Mind,James Boyle,Yale University Press,,,web_search,"The book was originally published in 2008, but a documented trade paperback edition was released by Yale University Press in 2010. Per instructions, citing a reprint year for the same title/author/publisher is verified.",72.08,28040,744,1,0.016252,0.005,0.021252
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,1.0,About CC Licenses,Creative Commons,Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,web_search,The URL is an official path on the Creative Commons domain. The title and author are correct for the resource described.,72.81,28315,873,1,0.016776,0.005,0.021777
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,not_found,0.95,,,,,,web_search,"The citation refers to a specific social media post from November 2025. While the date is in the past relative to the simulation's 'today' (July 2026), no evidence of the post, the 100k user milestone, or the specific status ID exists in public indexes or archives. Per the report, although it is likely a hallucination of a future celebratory post, it is categorized as not_found because no conflicting record was found at that specific ID to affirmatively prove fabrication.",75.29,27879,1174,1,0.017461,0.005,0.022461
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,1.0,Consortium (CrimRxiv Consortium),CrimRxiv Consortium,CrimRxiv (www.crimrxiv.com),,https://www.crimrxiv.com/consortium,web_search,The page serves as the official portal for the Consortium's membership program and mission statement. The citation accurately reflects the source available at the provided URL.,71.77,28471,664,1,0.016228,0.005,0.021228
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,1.0,CrimRxiv (Tagline: Criminology’s global open access hub + repository),CrimRxiv,crimrxiv.com (Official Website),,https://www.crimrxiv.com/,web_search,"The citation notes 'No date,' which is appropriate for a live web portal. The retrieval date is plausible.",91.01,28949,763,2,0.016764,0.01,0.026764
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,1.0,European Network for Open Criminology,European Network for Open Criminology,European Network for Open Criminology (Official Website),,https://esc-enoc.github.io,web_search,"The European Network for Open Criminology is a working group of the European Society of Criminology (ESC), launched in September 2023. The URL and title are exactly as they appear on the live site.",92.68,27899,741,1,0.016172,0.005,0.021173
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,1.0,Gemini Deep Research — your personal research assistant,Google,gemini.google,,https://gemini.google/overview/deep-research/,web_search,The cited URL includes a localization segment (/gb/) which is a valid variant of the verified official product page. Punctuation and case differences in the title are cosmetic for a web resource.,94.12,28279,749,1,0.016386,0.005,0.021386
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,minor_error,1.0,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,Scott Jaques | Andrew Wheeler,Journal of Qualitative Criminal Justice & Criminology,10.21428/88de04a1.29bd3039,,web_search,"The citation contains a minor spelling error in the first author's surname (""Jacques"" vs official ""Jaques""). The DOI and all other metadata match the identified work.",97.06,30000,1310,1,0.01893,0.005,0.02393
