document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,72,0,0,1,0,0,390.86,54.98,149.1,113.01,4013.69,860144,29413,889557,30,0.518314,0.15,0.668316
1_perspective_PLOSWater_preview,67,58,0,7,2,0,0,268.55,107.76,208.9,142.1,7220.16,1582704,59026,1641730,58,1.11117,0.39,1.501175
23812_Unmasking_Puppeteers_Lev,72,69,0,3,0,0,0,284.89,41.67,163.72,104.6,2999.91,213431,8778,222209,6,0.13305,0.03,0.163051
24047_Fourier_Token_Merging_Un,32,23,0,3,6,0,0,235.11,78.08,164.14,144.59,2498.44,345969,14212,360181,12,0.215623,0.06,0.275623
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,0,3,1,0,0,475.23,71.33,151.75,148.11,7418.21,1009788,34807,1044595,33,0.609315,0.165,0.774319
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,153,0,1,2,0,0,330.73,40.93,174.84,105.15,6385.14,957726,29984,987710,31,0.568813,0.155,0.723816
2606.11565v1,38,22,0,3,13,0,0,232.66,69.48,162.01,112.47,2640.24,671871,24693,696564,22,0.410015,0.11,0.520018
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,35,0,0,1,0,0,384.28,53.19,380.3,105.99,1914.95,202553,6508,209061,7,0.120801,0.035,0.155803
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,70,0,4,1,0,0,215.07,43.42,146.39,91.9,3256.21,818031,25917,843948,25,0.486767,0.125,0.611768
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,1,0,3,0,0,141.52,23.13,128.34,62.26,809.41,272315,9455,281770,10,0.164523,0.05,0.214524
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,69,1,2,3,0,0,119.75,34.35,102.37,71.96,2576.15,433111,16611,449722,15,0.266388,0.075,0.341388
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,68,0,2,6,0,0,97.71,25.03,71.68,68.0,1902.2,386710,14049,400759,13,0.235501,0.065,0.300504
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,23,1,7,1,0,0,128.2,38.01,116.64,96.29,1216.21,241689,9358,251047,7,0.148917,0.035,0.183918
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,51,0,0,1,0,0,97.04,25.28,71.18,52.43,1314.55,141158,4573,145731,5,0.084297,0.025,0.109297
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,2,7,0,0,161.86,41.94,122.64,77.74,964.51,142750,5257,148007,5,0.087146,0.025,0.112147
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,28,0,3,0,0,0,88.31,51.38,86.91,63.71,1592.92,776341,26368,802709,27,0.467273,0.135,0.602277
AndyW_Dissertation_Limit,271,256,1,14,0,0,0,539.7,61.97,295.01,152.28,16794.07,2017361,63223,2080584,68,1.198351,0.34,1.538358
BD_money_in_bank_preprint,85,78,0,4,3,0,0,332.6,74.05,215.72,199.85,6294.48,755292,22493,777785,26,0.445127,0.13,0.575128
Cannabis_in_the_Capital__Manuscript,52,45,2,5,0,0,0,256.75,89.03,224.44,211.99,4629.8,597473,20988,618461,19,0.361701,0.095,0.456704
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,1,1,5,0,0,251.85,130.47,241.58,216.91,3131.21,446119,13919,460038,13,0.264816,0.065,0.329816
Fingerprint_Ridges,38,36,0,2,0,0,0,257.24,101.74,230.04,204.71,3866.17,348663,10857,359520,12,0.206902,0.06,0.266903
GenAI_CrimEvidence,33,31,1,1,0,0,0,182.58,54.45,108.59,97.06,1796.83,425859,12352,438211,16,0.249986,0.08,0.329988
Gunshot_Detection_Literature_Review_Expanded,12,1,1,1,9,0,0,147.93,115.76,147.55,135.44,1389.1,447123,17419,464542,12,0.275818,0.06,0.335817
PredictionMarkets,49,0,49,0,0,0,0,330.17,56.67,86.97,81.3,2776.83,1383399,43143,1426542,49,0.821131,0.245,1.066138
Preprint - The AI Criminal Mastermind - Paper,85,77,1,5,2,0,0,570.64,73.56,169.67,143.18,6252.55,1524310,47777,1572087,53,0.905484,0.265,1.170495
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,28,0,4,0,0,0,256.86,49.68,175.58,94.99,1589.88,592285,18458,610743,19,0.351515,0.095,0.446519
affiliation_errors_openalex,34,31,0,3,0,0,0,71.71,32.08,67.09,62.96,1090.6,115678,4152,119830,4,0.070294,0.02,0.090295
algorithms-19-00509,52,51,0,1,0,0,0,122.09,21.93,119.94,69.92,1140.24,212910,6969,219879,7,0.127361,0.035,0.162363
hall_next_research,84,42,3,14,25,0,0,514.62,104.18,263.21,171.63,8751.34,1782046,66324,1848370,56,1.08999,0.28,1.369998
journal.pone.0325168,115,111,0,3,1,0,0,422.95,70.2,170.01,160.55,8072.45,802129,26071,828200,28,0.479277,0.14,0.619283
journal.pone.0334595,43,41,0,1,1,0,0,204.81,48.56,181.08,142.58,2088.03,254959,8529,263488,8,0.153066,0.04,0.193067
