raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Ackerman W.V., Murray A.T. Assessing Spatial Patterns of Crime in Lima, Ohio, USA. Cities. 2004;21:423-437.",journal_article,"Assessing Spatial Patterns of Crime in Lima, Ohio, USA",Ackerman W.V. | Murray A.T.,2004,Cities,21,,423-437,,,,,,,verified,0.976,"Assessing spatial patterns of crime in Lima, Ohio",William V. Ackerman | Alan T. Murray,Cities,10.1016/j.cities.2004.07.008,https://doi.org/10.1016/j.cities.2004.07.008,crossref_title_static,Verified via static CrossRef title search (score: 0.98),25.99,0,0,0,0.0,0.0,0.0
"[2] R. Muggah, The urbanization of security in the global South, Glob. Gov. 21 (3) (2015) 383-404.",journal_article,The urbanization of security in the global South,R. Muggah,2015,Glob. Gov.,21,3,383-404,,,,,,,verified,1.0,The Urbanization of Security in the Global South,R. Muggah,Global Governance,10.1163/19426720-02103004,,web_search,"The citation is correct in all respects including volume, issue, and page range.",88.38,28651,680,1,0.016366,0.005,0.021366
"[3] J. Smith, Demographic factors in crime victimization, J. Criminol. 15 (3) (2020) 123-145, https://doi.org/10.1234/jcriminology.2020.0153.",journal_article,Demographic factors in crime victimization,J. Smith,2020,J. Criminol.,15,3,123-145,10.1234/jcriminology.2020.0153,,,,,,hallucination,1.0,,,,,,web_search,The citation is a fabricated chimera. The DOI (10.1234/jcriminology.2020.0153) uses a placeholder prefix (10.1234) and does not resolve. The title and venue coordinates do not exist in the scholarly record.,144.4,28536,982,1,0.017214,0.005,0.022214
"[4] L.W. Sherman, P.R. Gartin, M.E. Buerger, Hot spots of predatory crime: routine activities and the criminology of place, Criminology 27 (1) (1989) 27-55.",journal_article,Hot spots of predatory crime: routine activities and the criminology of place,L.W. Sherman | P.R. Gartin | M.E. Buerger,1989,Criminology,27,1,27-55,,,,,,,verified,1.0,HOT SPOTS OF PREDATORY CRIME: ROUTINE ACTIVITIES AND THE CRIMINOLOGY OF PLACE*,LAWRENCE W. SHERMAN | PATRICK R. GARTIN | MICHAEL E. BUERGER,Criminology,10.1111/j.1745-9125.1989.tb00862.x,https://doi.org/10.1111/j.1745-9125.1989.tb00862.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),25.99,0,0,0,0.0,0.0,0.0
"[5] J. Smith, Spatial analysis of crime patterns using GIS-based decision support tools, J. Quant. Criminol. 38 (2) (2022) 125-148.",journal_article,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,2022,J. Quant. Criminol.,38,2,125-148,,,,,,,hallucination,1.0,Self-selection into Crime? The Effect of Victimization on Future Offending,Frank M. Weerman | Lieven J. R. Pauwels | Wim Bernasco | Gerben J. N. Bruinsma,Journal of Quantitative Criminology,10.1007/s10940-020-09487-1,,web_search,"The cited article does not exist. The coordinates J. Quant. Criminol. 38, 125-148 (2022) belong to 'Self-selection into Crime? The Effect of Victimization on Future Offending' by Weerman et al. (specifically Vol 38, Issue 1). No article with the title 'Spatial analysis of crime patterns using GIS-based decision support tools' exists in this journal.",125.07,42209,1965,1,0.026999,0.005,0.032
"[6] J. Ferreira, P. Joao, J. Martins, GIS For Crime analysis: Geography for Predictive Models, University of Lisbon, 2012.",book,GIS For Crime analysis: Geography for Predictive Models,J. Ferreira | P. Joao | J. Martins,2012,,,,,,,,University of Lisbon,,,minor_error,1.0,GIS for Crime Analysis: Geography for Predictive Models,Joao Ferreira | João P. M. J. Martins | Mário J. Ferreira,Electronic Journal of Information Systems Evaluation,,https://academic-publishing.org/index.php/ejise/article/view/240,web_search,"The citation correctly identifies the title and year but misidentifies the venue as the University of Lisbon (the authors' affiliation) instead of the Electronic Journal of Information Systems Evaluation (Vol 15, No 1, pp. 36-49). Under the rule regarding substituting affiliation for journal, this is a minor_error.",90.02,27879,823,1,0.016408,0.005,0.021409
"[7] N. Cressie, Statistics for Spatial Data, Wiley, New York, 1993.",book,Statistics for Spatial Data,N. Cressie,1993,,,,,,,,Wiley,,,verified,0.99,Statistics for Spatial Data.,R. M. Cormack | N. Cressie,Biometrics,10.2307/2532724,https://doi.org/10.2307/2532724,crossref_title_static,Verified via static CrossRef title search (score: 0.99),25.99,0,0,0,0.0,0.0,0.0
"[8] E. Ayo, A. Suleiman, D. Agboola, Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology, Nigeria, 2015.",book,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,2015,,,,,,,,Nigeria,,,minor_error,0.95,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, Nigeria Using GIS Techniques",Ayo Emmanuel Olajuyigbe | Suleiman Abdul-Azeez Adegboyega | Agboola David Adenigba,International Journal of Criminology and Sociological Theory,,https://ijcst.journals.yorku.ca/index.php/ijcst/article/view/39742,web_search,"The citation mangles the authors' names by treating their first names as surnames (e.g., ""E. Ayo"" instead of ""A.E. Olajuyigbe"") and fails to provide the journal name. The title is also slightly off (""technology"" vs ""techniques"").",92.4,28514,1110,1,0.017587,0.005,0.022587
"[9] Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015.",book,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. | Nigussie B.,2015,,,,,,,,,,,minor_error,1.0,"Criminality and Victimization in Oromia, Ethiopia",Nega Jibat | Berhanu Nigussie,SAGE Open,10.1177/2158244014565335,https://journals.sagepub.com/doi/10.1177/2158244014565335,web_search,"The work is a journal article in SAGE Open (Vol 5, Issue 1). The raw citation omitted the journal name; per the HARD RULE regarding missing venue for a traditional journal article, this is mapped to minor_error despite the matching metadata.",92.3,28473,1034,1,0.017338,0.005,0.022339
"[10] A. Hayelom, T. Goche, Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers, Abyssinia J. Bus. Soc. Sci. (2021).",journal_article,Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,2021,Abyssinia J. Bus. Soc. Sci.,,,,,,,,,,minor_error,1.0,Investigating Factors Contributing For Recidivism in Dessie and Woldiya Correctional Centers,Hayelom Abadi Messele | Goche Tegeng Mekonen,Abyssinia Journal of Business and Social Sciences,,https://abjol.org.et/index.php/ajbs/article/view/134,web_search,"The article exists in the cited journal but was published in 2019 (Vol 4, Issue 2, pp. 14-22) rather than 2021. The authors are Hayelom Abadi Messele and Goche Tegeng Mekonen.",93.44,29258,1361,1,0.018712,0.005,0.023712
