raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Utah Division of Water Resources. Why Utah cloud seeds. https://water.utah.gov/cloudseeding/ Accessed 2025 August 25.,web,Why Utah cloud seeds,,,,,,,,,,,https://water.utah.gov/cloudseeding/,,verified,1.0,Cloud Seeding,Utah Division of Water Resources,Utah Division of Water Resources,,https://water.utah.gov/cloudseeding/,web_search,"The URL is live and resolves to the official Utah Division of Water Resources page on cloud seeding. The cited title is a plausible descriptive label for the content provided on the page (which details why Utah conducts the program), while the official HTML title is 'Cloud Seeding'.",126.19,30817,1061,1,0.018592,0.005,0.023592
2. Munich Re. Natural disasters in 2024: climate change is showing its claws. https://www.munichre.com/en/company/media-relations/media-informa￾tion-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html. 2025. Accessed 2025 August 25.,web,Natural disasters in 2024: climate change is showing its claws,,2025,,,,,,,,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,,verified,1.0,Climate change is showing its claws: The world is getting hotter – 2024 set to be the warmest year ever,Munich Re,Munich Re Media Information,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,web_search,"The citation contains a minor OCR artifact in the URL ('informa￾tion'), but the live URL resolves to the correct page titled 'Climate change is showing its claws...'. Published January 9, 2025.",126.89,31473,1286,1,0.019595,0.005,0.024595
3. Gallagher R. Natural catastrophe and climate report: 2024. https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastro￾phe-and-climate-report-2024/ 2024. Accessed 2025 August 25.,web,Natural catastrophe and climate report: 2024,Gallagher R,2024,,,,,,,,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,,verified,0.95,Gallagher Re Natural Catastrophe and Climate Report 2024,Gallagher Re,Gallagher Re,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,web_search,"The author discrepancy (Gallagher R vs Gallagher Re) is treated as a minor naming/abbreviation variant. The URL is a direct match, and the report is a legitimate publication from the cited entity.",127.56,31333,1239,1,0.019384,0.005,0.024384
"4. World Meteorological Organization. WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019). Geneva: WMO. 2021. https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019",book,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019)",,2021,,,,,,978-9-263-11267-5,,WMO,https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019,,verified,1.0,"WMO Atlas of Mortality and Economic Losses from Weather, Climate and Water Extremes (1970–2019)",World Meteorological Organization (WMO),World Meteorological Organization,,,web_search,ISBN 978-92-63-11267-5. Official series number is WMO-No. 1267.,127.66,31333,1256,1,0.019435,0.005,0.024435
"5. Zscheischler J, Martius O, Westra S, Bevacqua E, Raymond C, Horton RM, et al. A typology of compound weather and climate events. Nat Rev Earth Environ. 2020;1(7):333-47. https://doi.org/10.1038/s43017-020-0060-z",journal_article,A typology of compound weather and climate events,Zscheischler J; Martius O; Westra S; Bevacqua E; Raymond C; Horton RM,2020,Nat Rev Earth Environ,1,7,333-47,10.1038/s43017-020-0060-z,,,,,,verified,1.0,A typology of compound weather and climate events,Jakob Zscheischler | Olivia Martius | Seth Westra | Emanuele Bevacqua | Colin Raymond | Radley M. Horton | Bart van den Hurk | Amir AghaKouchak | Aglaé Jézéquel | Miguel D. Mahecha | Douglas Maraun | Alexandre M. Ramos | Nina N. Ridder | Wim Thiery | Edoardo Vignotto,Nature Reviews Earth & Environment,10.1038/s43017-020-0060-z,https://www.nature.com/articles/s43017-020-0060-z,web_search,"The citation is correct. The author list is truncated with 'et al.', which is standard practice; the first six authors match the official record exactly. Volume, issue, and page ranges (333-47 vs 333-347) also match.",128.74,32768,1194,1,0.019966,0.005,0.024966
"6. Dettinger MD, Martin Ralph F, Abel MR, Das T, Neiman P, Cox D, et al. Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California. Nat Hazards. 2024;120(13):12571-12571. https://doi.org/10.1007/ s11069-024-06865-x",journal_article,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger MD; Martin Ralph F; Abel MR; Das T; Neiman P; Cox D,2024,Nat Hazards,120,13,12571-12571,10.1007/s11069-024-06865-x,1-257-11257-1,,,,,verified,1.0,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Michael D. Dettinger | F. Martin Ralph | Mimi Rose Abel | Tapash Das | Paul Neiman | Dale Cox | Gary Estes | David Reynolds | Robert Hartman | Daniel Cayan | Lucy Jones,Natural Hazards,10.1007/s11069-024-06865-x,https://link.springer.com/article/10.1007/s11069-024-06865-x,web_search,"The citation correctly identifies the 2024 correction to the 2011 study. All bibliographic coordinates (Vol 120, Issue 13, Art 12571) and the DOI match the publisher record. Formatting of 'F. Martin Ralph' is treated as a minor variant.",137.86,46678,1768,1,0.028643,0.005,0.033643
"7. Porter K, Wein A, Alpers C, Baez A, Barnard P, Carter J. Overview of the ARkStorm scenario. Reston (VA): US Geological Survey. 2011. http:// pubs.usgs.gov/of/2010/1312/",book,Overview of the ARkStorm scenario,Porter K; Wein A; Alpers C; Baez A; Barnard P; Carter J,2011,,,,,,,,US Geological Survey,http://pubs.usgs.gov/of/2010/1312/,,verified,1.0,Overview of the ARkStorm Scenario,"Porter, K. | Wein, A. | Alpers, C. N. | Baez, A. | Barnard, P. L. | Carter, J.",US Geological Survey Open-File Report 2010-1312,,https://pubs.usgs.gov/of/2010/1312/,web_search,"The citation year 2011 matches the official publication date (January 13, 2011) although the report series number is 2010-1312. This is consistent with USGS reporting practices.",129.61,30905,999,1,0.01845,0.005,0.02345
"8. Stendel M, Francis J, White R, Williams PD, Woollings T. The jet stream and climate change. Climate Change. Elsevier. 2021:327-57. https://doi. org/10.1016/b978-0-12-821575-3.00015-3",book_chapter,The jet stream and climate change,Stendel M; Francis J; White R; Williams PD; Woollings T,2021,,,,327-57,10.1016/b978-0-12-821575-3.00015-3,978-0-128-21575-3,Climate Change,Elsevier,,,verified,1.0,The jet stream and climate change,Martin Stendel | Jennifer Francis | Rachel White | Paul D. Williams | Tim Woollings,Climate Change,10.1016/b978-0-12-821575-3.00015-3,,web_search,The citation correctly identifies the book chapter. The space in 'doi. org' is a common PDF OCR artifact and the abbreviated page range '327-57' is standard formatting. The ISBN 978-0-128-21575-3 matches the 3rd edition of the book 'Climate Change' edited by Trevor M. Letcher.,130.4,32694,1598,1,0.021141,0.005,0.026141
"9. Kautz L-A, Martius O, Pfahl S, Pinto JG, Ramos AM, Sousa PM, et al. Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review. Weather Clim Dynam. 2022;3(1):305-36. https://doi.org/10.5194/wcd-3-305-2022",journal_article,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,Kautz L-A; Martius O; Pfahl S; Pinto JG; Ramos AM; Sousa PM,2022,Weather Clim Dynam,3,1,305-36,10.5194/wcd-3-305-2022,,,,,,verified,1.0,Atmospheric blocking and weather extremes over the Euro-Atlantic sector – a review,Lisa-Ann Kautz | Olivia Martius | Stephan Pfahl | Joaquim G. Pinto | Alexandre M. Ramos | Pedro M. Sousa | Tim Woollings,Weather and Climate Dynamics,10.5194/wcd-3-305-2022,https://doi.org/10.5194/wcd-3-305-2022,web_search,"The cited page range ""305-36"" is a standard abbreviation for ""305-336"". All metadata including DOI, volume, and issue are correct.",129.78,32174,871,1,0.0187,0.005,0.0237
"10. Lau WKM, Kim KM. The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes. J Hydrometeorol. 2012;13:392-403. https://doi.org/10.1175/JHM-D-11-016.1",journal_article,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,Lau WKM; Kim KM,2012,J Hydrometeorol,13,,392-403,10.1175/JHM-D-11-016.1,,,,,,verified,1.0,The 2010 Pakistan Flood and Russian Heat Wave: Teleconnection of Hydrometeorological Extremes,William K. M. Lau | Kyu-Myong Kim,Journal of Hydrometeorology,10.1175/JHM-D-11-016.1,https://journals.ametsoc.org/view/journals/hydr/13/1/jhm-d-11-016_1.xml,web_search,"All substantive bibliographic fields (authors, title, year, journal, volume, pages, and DOI) match primary records.",130.1,32230,920,1,0.018875,0.005,0.023875
