raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,1.0,There Was a Country: A Personal History of Biafra,Chinua Achebe,The Penguin Press,,,web_search,ISBN: 978-1594204821. Verified via publisher records and library catalogs.,53.58,30451,595,1,0.01701,0.005,0.02201
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),5.49,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,verified,1.0,Restorative Community Justice: Repairing Harm and Transforming Communities,Gordon Bazemore | Mara Schiff,Anderson Publishing,10.4324/9781315721347,https://www.routledge.com/Restorative-Community-Justice-Repairing-Harm-and-Transforming-Communities/Bazemore-Schiff/p/book/9781583605066,web_search,"The citation is verified. While the original publication year is 2001, 2011 corresponds to a later reprint/digital release year by Taylor & Francis (which owns Anderson Publishing). Under the provided guidelines, citing a reprint year for an otherwise correctly identified book is verified.",60.9,31254,1639,1,0.020544,0.005,0.025544
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,978-1-280-47357-9,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),5.49,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,1.0,"The Constitution of Kenya, 2010",Republic of Kenya,Republic of Kenya,,https://www.parliament.go.ke/sites/default/files/2017-05/The_Constitution_of_Kenya_2010.pdf,web_search,"The cited title 'Kenya constitution 2010' is a standard variation of the official title 'The Constitution of Kenya, 2010'. The document was promulgated in 2010 by the Republic of Kenya. Listing the title/entity in the author field for legal documents is a common formatting variation.",56.43,30919,937,1,0.01827,0.005,0.02327
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,1.0,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://doi.org/10.1002/9781118517390.wbetc207,crossref_title_static,Verified via static CrossRef title search (score: 1.00),5.49,0,0,0,0.0,0.0,0.0
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0-205-16557-5,,Allyn and Bacon,,,verified,1.0,Criminal Justice: A Peacemaking Perspective,John R. Fuller,Allyn and Bacon,,,web_search,"The citation is verified. All bibliographic fields in the raw text (author, year, title, publisher) match the official record. The ISBN discrepancy mentioned in the report is ignored because the ISBN was not part of the raw citation text.",60.29,31868,1837,1,0.021445,0.005,0.026445
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,978-1-315-13062-0,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,verified,1.0,"Peacemaking Criminology: Past, Present, and Future",John Randolph Fuller | John F. Wozniak,Taking Stock: The Status of Criminological Theory,10.4324/9781315130620,,web_search,The citation is verified. The year 2017 corresponds to the Routledge reissue/digitization year matching the provided DOI. The inclusion of editor names in the title field of the raw text is a parsing/formatting artifact that does not invalidate the identity of the work.,59.26,33386,1487,1,0.021154,0.005,0.026154
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,verified,1.0,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",Alexander K. A. Greenawalt,Virginia Journal of International Law,,https://digitalcommons.pace.edu/lawfaculty/627/,web_search,The citation is correct in all metadata fields. The URL provided is a live link to the institutional repository of Pace University hosting the full text.,56.42,30759,682,1,0.017426,0.005,0.022426
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,1.0,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,https://insight.dickinsonlaw.psu.edu/pslr/vol108/iss1/12/,web_search,"The citation correctly identifies the article title, author, journal, volume (108), issue (1), year (2003), and page range (165-197). However, the provided URL in the raw text contains a typographical error ('dickonson' for 'dickinson') and a path (vol122/iss1/28) that points to a different article in a later volume.",58.08,31321,1334,1,0.019662,0.005,0.024663
"Jimoh, A. (2017). An African theory of knowledge. Springer Science and Business Media.",book,An African theory of knowledge,A. Jimoh,2017,,,,,,,,Springer Science and Business Media,,,verified,1.0,An African Theory of Knowledge,Anselm Kole Jimoh,"Themes, Issues and Problems in African Philosophy",10.1007/978-3-319-40796-8_8,https://doi.org/10.1007/978-3-319-40796-8_8,crossref_title_static,Verified via static CrossRef title search (score: 1.00),5.5,0,0,0,0.0,0.0,0.0
"Judiciary of Kenya. (2020). Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya.",book,"Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya",Judiciary of Kenya,2020,,,,,,,,,,,verified,1.0,"Alternative Justice Systems Framework Policy: Traditional, Informal and Other Mechanisms Used to Access Justice in Kenya",Judiciary of Kenya,Judiciary of Kenya (Government Policy Document),,,web_search,"The document is a primary policy framework for the Kenyan legal system, launched on August 27, 2020. It is available via the official AJS Kenya website (ajskenya.or.ke).",75.08,30485,778,1,0.017577,0.005,0.022577
