raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Béland L-P, Brodeur A, Haddad J, Mikola D. Determinants of Family Stress and Domestic Violence: Lessons from the COVID-19 Outbreak. Can Public Policy. 2021;47(3):439-59. https://doi.org/10.3138/cpp.2020-119 PMID: 36039353",journal_article,Determinants of Family Stress and Domestic Violence: Lessons from the COVID-19 Outbreak,Béland L-P | Brodeur A | Haddad J | Mikola D,2021,Can Public Policy,47,3,439-59,10.3138/cpp.2020-119,,,,,,verified,1.0,Determinants of Family Stress and Domestic Violence: Lessons from the COVID-19 Outbreak,Louis-Philippe Béland | Abel Brodeur | Joanne Haddad | Derek Mikola,Canadian Public Policy,10.3138/cpp.2020-119,https://doi.org/10.3138/cpp.2020-119,web_search,The citation is correct in all metadata fields. The abbreviated page range (439-59) and journal title are standard formatting variants.,113.68,32351,912,1,0.018912,0.005,0.023912
"10. Wu Q, Xu Y. Parenting stress and risk of child maltreatment during the COVID-19 pandemic: A family stress theory-informed perspective. Dev Child Welf. 2020;2(3):180-96. https://doi.org/10.1177/2516103220967937",journal_article,Parenting stress and risk of child maltreatment during the COVID-19 pandemic: A family stress theory-informed perspective,Wu Q | Xu Y,2020,Dev Child Welf,2,3,180-96,10.1177/2516103220967937,,,,,,verified,1.0,Parenting stress and risk of child maltreatment during the COVID-19 pandemic: A family stress theory-informed perspective,Qi Wu | Yanfeng Xu,Developmental Child Welfare,10.1177/2516103220967937,https://doi.org/10.1177/2516103220967937,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),34.35,0,0,0,0.0,0.0,0.0
"11. Bhalotra S, Britto DGC, Pinotti P, Sampaio B. Job displacement, unemployment benefits and domestic violence. Rev Econ Stud. 2025;92(6):3649- 81. https://doi.org/10.1093/restud/rdaf004",journal_article,"Job displacement, unemployment benefits and domestic violence",Bhalotra S | Britto DGC | Pinotti P | Sampaio B,2025,Rev Econ Stud,92,6,3649-81,10.1093/restud/rdaf004,,,,,,verified,1.0,"Job Displacement, Unemployment Benefits and Domestic Violence",Sonia Bhalotra | Diogo G C Britto | Paolo Pinotti | Breno Sampaio,Review of Economic Studies,10.1093/restud/rdaf004,https://doi.org/10.1093/restud/rdaf004,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.02,0,0,0,0.0,0.0,0.0
"12. Barbieri T, Basso G, Scicchitano S. Italian Workers at Risk During the COVID-19 Epidemic. Ital Econ J. 2021;8(1):175-95. https://doi.org/10.1007/ s40797-021-00164-1",journal_article,Italian Workers at Risk During the COVID-19 Epidemic,Barbieri T | Basso G | Scicchitano S,2021,Ital Econ J,8,1,175-95,10.1007/s40797-021-00164-1,,,,,,verified,1.0,Italian Workers at Risk During the COVID-19 Epidemic,Teresa Barbieri | Gaetano Basso | Sergio Scicchitano,Italian Economic Journal,10.1007/s40797-021-00164-1,https://doi.org/10.1007/s40797-021-00164-1,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),36.36,0,0,0,0.0,0.0,0.0
"13. Nappo N, Fiorillo D, Lubrano Lavadera G. Subjective Job Insecurity During the COVID-19 Pandemic in Italy. Ital Econ J. 2022;9(3):1153-79. https://doi.org/10.1007/s40797-022-00209-z",journal_article,Subjective Job Insecurity During the COVID-19 Pandemic in Italy,Nappo N | Fiorillo D | Lubrano Lavadera G,2022,Ital Econ J,9,3,1153-79,10.1007/s40797-022-00209-z,,,,,,verified,1.0,Subjective Job Insecurity During the COVID-19 Pandemic in Italy,Nunzia Nappo | Damiano Fiorillo | Giuseppe Lubrano Lavadera,Italian Economic Journal,10.1007/s40797-022-00209-z,https://doi.org/10.1007/s40797-022-00209-z,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),36.35,0,0,0,0.0,0.0,0.0
"14. Huebener M, Waights S, Spiess CK, Siegel NA, Wagner GG. Parental well-being in times of Covid-19 in Germany. Rev Econ Househ. 2021;19(1):91-122. https://doi.org/10.1007/s11150-020-09529-4 PMID: 33469413",journal_article,Parental well-being in times of Covid-19 in Germany,Huebener M | Waights S | Spiess CK | Siegel NA | Wagner GG,2021,Rev Econ Househ,19,1,91-122,10.1007/s11150-020-09529-4,,,,,,verified,1.0,Parental well-being in times of Covid-19 in Germany,Mathias Huebener | Sevrin Waights | C. Katharina Spiess | Nico A. Siegel | Gert G. Wagner,Review of Economics of the Household,10.1007/s11150-020-09529-4,https://doi.org/10.1007/s11150-020-09529-4,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),36.36,0,0,0,0.0,0.0,0.0
"15. Bacher-Hicks A, Goodman J. The COVID-19 pandemic is a lousy natural experiment for studying the effects of online learning: Focus, instead, on measuring the overall effects of the pandemic itself. Educ Next. 2021;21(4):38-42.",journal_article,"The COVID-19 pandemic is a lousy natural experiment for studying the effects of online learning: Focus, instead, on measuring the overall effects of the pandemic itself",Bacher-Hicks A | Goodman J,2021,Educ Next,21,4,38-42,,,,,,,verified,1.0,"The COVID-19 Pandemic Is a Lousy Natural Experiment for Studying the Effects of Online Learning: Focus, instead, on measuring the overall effects of the pandemic itself",Andrew Bacher-Hicks | Joshua Goodman,Education Next,,https://www.educationnext.org/covid-19-pandemic-lousy-natural-experiment-for-studying-the-effects-online-learning/,web_search,"All metadata fields (title, authors, journal, volume, issue, and pages) are an exact match.",115.68,30854,952,1,0.018283,0.005,0.023283
16. Eurostat. Methodological Manual for the EU Survey on Gender-based Violence against Women and Other Forms of Inter-personal Violence (EU-GBV). Luxembourg: Publications Office of the European Union. 2021.,book,Methodological Manual for the EU Survey on Gender-based Violence against Women and Other Forms of Inter-personal Violence (EU-GBV),Eurostat,2021,,,,,,,,Publications Office of the European Union,,,verified,1.0,Methodological manual for the EU survey on gender-based violence against women and other forms of inter-personal violence (EU-GBV),Eurostat,Publications Office of the European Union,10.2785/25571,,web_search,"ISBN: 978-92-76-37657-6; DOI: 10.2785/25571; Product code: KS-GQ-21-009. The work is also referred to as the ""2021 edition"".",113.68,30891,986,1,0.018403,0.005,0.023404
"17. UN. Indicators to measure violence against women. Geneva, Switzerland: United Nations. 2007.",book,Indicators to measure violence against women,UN,2007,,,,,,,,United Nations,,,verified,1.0,Indicators to measure violence against women,United Nations (UNECE; UN DAW; UNSD),United Nations Expert Group Meeting (Geneva),,https://www.un.org/womenwatch/daw/vaw/v-issues-focus.htm,web_search,The work is a technical report/proceedings from a UN Expert Group Meeting held in Geneva in 2007. The citation is verified as the details provided are accurate for this official UN resource.,113.67,30419,827,1,0.01769,0.005,0.02269
18. UN. Guidelines for producing statistics on violence against women: Statistical surveys. New York: United Nations. 2014.,book,Guidelines for producing statistics on violence against women: Statistical surveys,UN,2014,,,,,,,,United Nations,,,verified,1.0,Guidelines for Producing Statistics on Violence against Women: Statistical Surveys,United Nations,United Nations,,,web_search,The citation is accurate. ISBN for this work is 978-92-1-161567-8. The publication was prepared by the United Nations Statistics Division.,117.68,30442,782,1,0.017567,0.005,0.022567
"19. Bettio F, Ticci E, Betti G. A fuzzy index and severity scale to measure violence against women. Soc Indic Res. 2020;148:225-49. https://doi. org/10.1007/s11205-019-02197-7",journal_article,A fuzzy index and severity scale to measure violence against women,Bettio F | Ticci E | Betti G,2020,Soc Indic Res,148,,225-49,10.1007/s11205-019-02197-7,,,,,,verified,1.0,A Fuzzy Index and Severity Scale to Measure Violence Against Women,Francesca Bettio | Elisa Ticci | Gianni Betti,Social Indicators Research,10.1007/s11205-019-02197-7,https://doi.org/10.1007/s11205-019-02197-7,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),39.7,0,0,0,0.0,0.0,0.0
