raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Abbott, S., 2016. Understanding analysis. volume 2. Springer.",book,Understanding analysis,"Abbott, S.",2016,,2,,,,,,Springer,,,verified,1.0,Understanding Analysis,Stephen Abbott,Undergraduate Texts in Mathematics,10.1007/978-1-4939-2712-8,https://doi.org/10.1007/978-1-4939-2712-8,crossref_title_static,Verified via static CrossRef title search (score: 1.00),6.79,0,0,0,0.0,0.0,0.0
"Acemoglu, D., Bimpikis, K., Ozdaglar, A., 2009. Price and capacity competition. Games and Economic Behavior 66, 1-26.",journal_article,Price and capacity competition,"Acemoglu, D. | Bimpikis, K. | Ozdaglar, A.",2009,Games and Economic Behavior,66,,1-26,,,,,,,verified,1.0,Price and capacity competition,Daron Acemoglu | Kostas Bimpikis | Asuman Ozdaglar,Games and Economic Behavior,10.1016/j.geb.2008.06.004,https://doi.org/10.1016/j.geb.2008.06.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),6.8,0,0,0,0.0,0.0,0.0
"Agosti, M., Pretto, L., 2005. A theoretical study of a generalized version of kleinberg’s hits algorithm. Information Retrieval 8, 219-243.",journal_article,A theoretical study of a generalized version of kleinberg’s hits algorithm,"Agosti, M. | Pretto, L.",2005,Information Retrieval,8,,219-243,,,,,,,verified,1.0,A Theoretical Study of a Generalized Version of Kleinberg’s HITS Algorithm,Maristella Agosti | Luca Pretto,Information Retrieval,10.1007/s10791-005-5660-1,https://doi.org/10.1007/s10791-005-5660-1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),6.8,0,0,0,0.0,0.0,0.0
"Amazon Web Services, 2024. Aws lambda pricing. https://aws.amazon. com/fr/lambda/pricing/. Accessed: 2024-07-18.",web,Aws lambda pricing,Amazon Web Services,2024,,,,,,,,,https://aws.amazon.com/fr/lambda/pricing/,,verified,1.0,AWS Lambda Pricing,Amazon Web Services,Amazon Web Services,,https://aws.amazon.com/fr/lambda/pricing/,web_search,"The citation contains a minor OCR artifact in the URL (a space in 'aws.amazon. com'), which is a common transcription error. The official web page exists and the citation correctly identifies the organization and the resource.",75.78,30700,886,1,0.009004,0.005,0.014004
"Ardagna, D., Panicucci, B., Passacantando, M., 2012. Generalized nash equilibria for the service provisioning problem in cloud systems. IEEE Transactions on Services Computing 6, 429-442.",journal_article,Generalized nash equilibria for the service provisioning problem in cloud systems,"Ardagna, D. | Panicucci, B. | Passacantando, M.",2012,IEEE Transactions on Services Computing,6,,429-442,,,,,,,verified,1.0,Generalized Nash Equilibria for the Service Provisioning Problem in Cloud Systems,Danilo Ardagna | Barbara Panicucci | Mauro Passacantando,IEEE Transactions on Services Computing,10.1109/tsc.2012.14,https://doi.org/10.1109/tsc.2012.14,crossref_title_static,Verified via static CrossRef title search (score: 1.00),8.46,0,0,0,0.0,0.0,0.0
"Başar, T., Olsder, G.J., 1998. Dynamic noncooperative game theory. SIAM.",book,Dynamic noncooperative game theory,"Başar, T. | Olsder, G.J.",1998,,,,,,,,SIAM,,,verified,1.0,Dynamic Noncooperative Game Theory,Tamer Başar | Geert Jan Olsder,SIAM,,,web_search,"The citation lists the year 1998 for the SIAM edition, which is widely cited as 1999. Per the instructions, minor year variations for book reprints/editions are considered verified.",76.22,30821,1169,1,0.009459,0.005,0.014459
"Başar, T., Srikant, R., 2002. Revenue-maximizing pricing and capacity expansion in a many-users regime, in: Proceedings of IEEE INFOCOM, IEEE. pp. 294-301.",conference_paper,Revenue-maximizing pricing and capacity expansion in a many-users regime,"Başar, T. | Srikant, R.",2002,,,,294-301,,,Proceedings of IEEE INFOCOM,IEEE,,,verified,1.0,Revenue-maximizing pricing and capacity expansion in a many-users regime,T. Başar | R. Srikant,Proceedings of IEEE INFOCOM,10.1109/INFCOM.2002.1019271,,web_search,All bibliographic details provided in the citation match the primary record perfectly.,75.99,30786,819,1,0.008925,0.005,0.013925
"Beaude, O., Lasaulce, S., Hennebel, M., 2012. Charging games in networks of electrical vehicles, in: 2012 6th International Conference on Network Games, Control and Optimization (NetGCooP), IEEE. pp. 96-103.",conference_paper,Charging games in networks of electrical vehicles,"Beaude, O. | Lasaulce, S. | Hennebel, M.",2012,,,,96-103,,,"2012 6th International Conference on Network Games, Control and Optimization (NetGCooP)",IEEE,,,verified,1.0,Charging games in networks of electrical vehicles,Olivier Beaude | Samson Lasaulce | Martin Hennebel,"2012 6th International Conference on Network Games, Control and Optimization (NetGCooP)",,,web_search,"The citation correctly identifies the title, authors, venue, and year of the conference paper.",77.44,30699,1196,1,0.009469,0.005,0.014469
"Bouet, M., Conan, V., 2018. Mobile edge computing resources optimization: A geo-clustering approach. IEEE Transactions on Network and Service Management 15, 787-796.",journal_article,Mobile edge computing resources optimization: A geo-clustering approach,"Bouet, M. | Conan, V.",2018,IEEE Transactions on Network and Service Management,15,,787-796,,,,,,,verified,1.0,Mobile Edge Computing Resources Optimization: A Geo-Clustering Approach,Mathieu Bouet | Vania Conan,IEEE Transactions on Network and Service Management,10.1109/tnsm.2018.2816263,https://doi.org/10.1109/tnsm.2018.2816263,crossref_title_static,Verified via static CrossRef title search (score: 1.00),10.44,0,0,0,0.0,0.0,0.0
"Boyd, S.P., Vandenberghe, L., 2004. Convex Optimization. Cambridge University Press.",book,Convex Optimization,"Boyd, S.P. | Vandenberghe, L.",2004,,,,,,,,Cambridge University Press,,,verified,1.0,Convex Optimization,Stephen Boyd | Lieven Vandenberghe,,10.1017/cbo9780511804441,https://doi.org/10.1017/cbo9780511804441,crossref_title_static,Verified via static CrossRef title search (score: 1.00),10.44,0,0,0,0.0,0.0,0.0
