raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,1.0,There Was a Country: A Personal History of Biafra,Chinua Achebe,Penguin Press,,,web_search,"Verified via standard bibliographic confirmation of title, author, and publisher.",26.69,30253,595,1,0.008456,0.005,0.013456
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),1.6,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,minor_error,1.0,Restorative Community Justice: Repairing Harm and Transforming Communities,Gordon Bazemore | Mara Schiff,Anderson Publishing,,,web_search,"The book exists as cited, but the publication year is 2001, not 2011. The publisher, Anderson Publishing, is correct for the original 2001 edition.",47.78,30812,1201,1,0.009504,0.005,0.014505
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,978-1-280-47357-9,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),1.61,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,1.0,"The Constitution of Kenya, 2010",Republic of Kenya,Republic of Kenya,,,web_search,Legal citation for the constitution is standard; no bibliographic errors identified.,47.78,30621,894,1,0.008996,0.005,0.013996
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,1.0,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://doi.org/10.1002/9781118517390.wbetc207,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.61,0,0,0,0.0,0.0,0.0
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0-205-16557-5,,Allyn and Bacon,,,verified,1.0,Criminal Justice: A Peacemaking Perspective,John R. Fuller,Allyn and Bacon,,,web_search,"The citation contains an ISBN (0-205-16557-5) which the report notes may differ from other editions (like 0205200435) but does not negate the verification of the work itself, as all other primary bibliographic fields match.",47.78,30862,964,1,0.009161,0.005,0.014162
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,978-1-315-13062-0,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,1.0,"Peacemaking criminology: Past, present, and future",John R. Fuller | John F. Wozniak,Taking Stock: The Status of Criminological Theory,10.4324/9781315130620,,web_search,"The citation contains garbled author/metadata noise, specifically embedding the book editors' names into the author string. This constitutes a minor error per instructions.",52.75,32592,1415,1,0.010271,0.005,0.01527
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,verified,1.0,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",Alexander K. A. Greenawalt,Virginia Journal of International Law,,http://digitalcommons.pace.edu/lawfaculty/627,web_search,"Citation uses volume 50, issue 1, pages 107-162, which is correct.",52.75,30818,1168,1,0.009457,0.005,0.014457
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,1.0,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement Is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,,web_search,"The citation correctly identifies the article by author, title, year, journal, volume, issue, and pages. The field labeled 'doi:' is incorrect; it provides a malformed URL that points to a different volume (Vol. 122) and article entirely. The correct URL for the 2003 article is https://insight.dickinsonlaw.psu.edu/dlra/vol108/iss1/11.",52.75,31436,1658,1,0.010346,0.005,0.015346
"Jimoh, A. (2017). An African theory of knowledge. Springer Science and Business Media.",book,An African theory of knowledge,A. Jimoh,2017,,,,,,,,Springer Science and Business Media,,,verified,1.0,An African Theory of Knowledge,Anselm Kole Jimoh,"Themes, Issues and Problems in African Philosophy",10.1007/978-3-319-40796-8_8,https://doi.org/10.1007/978-3-319-40796-8_8,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.19,0,0,0,0.0,0.0,0.0
"Judiciary of Kenya. (2020). Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya.",book,"Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya",Judiciary of Kenya,2020,,,,,,,,,,,verified,1.0,Alternative justice systems framework policy: Traditional informal and other mechanisms used to access justice in Kenya,Judiciary of Kenya,Judiciary of Kenya,,,web_search,"The document 'Alternative Justice Systems Framework Policy: Traditional, Informal and Other Mechanisms Used to Access Justice in Kenya,' published by the Judiciary of Kenya in 2020, is a verified official publication. The minor difference between the citation's hyphen and the library catalog's colon in the title is a stylistic formatting variation.",87.42,29995,860,1,0.008789,0.005,0.013789
