raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Utah Division of Water Resources. Why Utah cloud seeds. https://water.utah.gov/cloudseeding/ Accessed 2025 August 25.,web,Why Utah cloud seeds,,,,,,,,,,,https://water.utah.gov/cloudseeding/,,verified,1.0,Cloud Seeding - Utah Division of Water Resources,,Utah Division of Water Resources,,https://water.utah.gov/cloudseeding/,web_search,"Per the verification rules for government and institutional web pages, such short, descriptive labels are acceptable when the URL and the institutional/program identity match.",116.63,34303,1838,1,0.011333,0.005,0.016333
2. Munich Re. Natural disasters in 2024: climate change is showing its claws. https://www.munichre.com/en/company/media-relations/media-informa￾tion-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html. 2025. Accessed 2025 August 25.,web,Natural disasters in 2024: climate change is showing its claws,,2025,,,,,,,,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,,verified,1.0,"Climate change is showing its claws: The world is getting hotter, resulting in severe hurricanes, thunderstorms and floods.",Munich Re,Munich Re,,,web_search,"The citation contains a minor URL encoding artifact (`￾`), but otherwise correctly links to the official Munich Re annual natural catastrophe review for 2024.",114.28,35184,1355,1,0.010829,0.005,0.015829
3. Gallagher R. Natural catastrophe and climate report: 2024. https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastro￾phe-and-climate-report-2024/ 2024. Accessed 2025 August 25.,web,Natural catastrophe and climate report: 2024,Gallagher R,2024,,,,,,,,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,,minor_error,1.0,Natural Catastrophe and Climate Report: 2024,Gallagher Re,Gallagher Re,,,web_search,"The citation identifies the correct report, but attributes it to a person 'Gallagher R' rather than the corporate author 'Gallagher Re'. The URL contains a character corruption but correctly resolves to the report page.",115.4,35320,1583,1,0.011204,0.005,0.016205
"4. World Meteorological Organization. WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019). Geneva: WMO. 2021. https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019",book,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019)",,2021,,,,,,9789263112675,,WMO,https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019,,verified,1.0,"WMO Atlas of Mortality and Economic Losses from Weather, Climate and Water Extremes (1970–2019)",World Meteorological Organization,World Meteorological Organization,,,web_search,"The report confirms the cited 1970–2019 atlas is a real publication from the World Meteorological Organization, distinct from later editions.",117.19,34613,902,1,0.010006,0.005,0.015006
"5. Zscheischler J, Martius O, Westra S, Bevacqua E, Raymond C, Horton RM, et al. A typology of compound weather and climate events. Nat Rev Earth Environ. 2020;1(7):333-47. https://doi.org/10.1038/s43017-020-0060-z",journal_article,A typology of compound weather and climate events,Zscheischler J; Martius O; Westra S; Bevacqua E; Raymond C; Horton RM,2020,Nat Rev Earth Environ,1,7,333-47,10.1038/s43017-020-0060-z,,,,,,verified,1.0,A typology of compound weather and climate events,,Nature Reviews Earth & Environment,10.1038/s43017-020-0060-z,https://doi.org/10.1038/s43017-020-0060-z,web_search,"The citation is verified. The work exists as described in Nature Reviews Earth & Environment (2020), Vol. 1, Issue 7, pp. 333–347.",116.34,36550,1606,1,0.011546,0.005,0.016546
"6. Dettinger MD, Martin Ralph F, Abel MR, Das T, Neiman P, Cox D, et al. Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California. Nat Hazards. 2024;120(13):12571-12571. https://doi.org/10.1007/ s11069-024-06865-x",journal_article,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger MD; Martin Ralph F; Abel MR; Das T; Neiman P; Cox D,2024,Nat Hazards,120,13,12571-12571,10.1007/s11069-024-06865-x,1-257-11257-1,,,,,verified,1.0,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,,Natural Hazards,10.1007/s11069-024-06865-x,,web_search,"The citation contains a space in the DOI string, which is a common formatting artifact; the underlying DOI is correct and resolves to the work. 'Et al.' usage is standard and accepted.",119.55,37519,2105,1,0.012537,0.005,0.017537
"7. Porter K, Wein A, Alpers C, Baez A, Barnard P, Carter J. Overview of the ARkStorm scenario. Reston (VA): US Geological Survey. 2011. http:// pubs.usgs.gov/of/2010/1312/",book,Overview of the ARkStorm scenario,Porter K; Wein A; Alpers C; Baez A; Barnard P; Carter J,2011,,,,,,,,US Geological Survey,http://pubs.usgs.gov/of/2010/1312/,,verified,1.0,Overview of the ARkStorm scenario,K. Porter | A. Wein | C. Alpers | A. Baez | P. Barnard | J. Carter,USGS Open-File Report 2010-1312,,,web_search,"The citation correctly identifies the USGS Open-File Report 2010-1312, its title, authors, and year.",117.49,34531,833,1,0.009882,0.005,0.014882
"8. Stendel M, Francis J, White R, Williams PD, Woollings T. The jet stream and climate change. Climate Change. Elsevier. 2021:327-57. https://doi. org/10.1016/b978-0-12-821575-3.00015-3",book_chapter,The jet stream and climate change,Stendel M; Francis J; White R; Williams PD; Woollings T,2021,,,,327-57,10.1016/b978-0-12-821575-3.00015-3,9780128215753,Climate Change,Elsevier,,,verified,1.0,The jet stream and climate change,"Stendel, M. | Francis, J. | White, R. | Williams, P. D. | Woollings, T.",Climate Change,10.1016/b978-0-12-821575-3.00015-3,,web_search,The page range '327-57' is verified as an abbreviated form of '327-357'.,119.29,36042,1285,1,0.010938,0.005,0.015938
"9. Kautz L-A, Martius O, Pfahl S, Pinto JG, Ramos AM, Sousa PM, et al. Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review. Weather Clim Dynam. 2022;3(1):305-36. https://doi.org/10.5194/wcd-3-305-2022",journal_article,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,Kautz L-A; Martius O; Pfahl S; Pinto JG; Ramos AM; Sousa PM,2022,Weather Clim Dynam,3,1,305-36,10.5194/wcd-3-305-2022,,,,,,verified,1.0,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,,Weather and Climate Dynamics,10.5194/wcd-3-305-2022,,web_search,"The citation uses ""et al."" correctly. Volume (3), issue (1), and page range (305-336) are correct.",119.33,36528,1517,1,0.011408,0.005,0.016408
"10. Lau WKM, Kim KM. The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes. J Hydrometeorol. 2012;13:392-403. https://doi.org/10.1175/JHM-D-11-016.1",journal_article,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,Lau WKM; Kim KM,2012,J Hydrometeorol,13,,392-403,10.1175/JHM-D-11-016.1,,,,,,verified,1.0,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,William K. M. Lau | Kyu-Myong Kim,Journal of Hydrometeorology,,,web_search,"The cited author names 'Lau WKM' and 'Kim KM' are correctly identifying these authors using standard initials. Vol. 13, pp. 392–403.",123.11,36796,2290,1,0.012634,0.005,0.017634
11. Tabari H. Climate change impact on flood and extreme precipitation increases with water availability. Sci Rep. 2020;10(1):13768. https://doi. org/10.1038/s41598-020-70816-2 PMID: 32792563,journal_article,Climate change impact on flood and extreme precipitation increases with water availability,Tabari H,2020,Sci Rep,10,1,13768,10.1038/s41598-020-70816-2,,,,,,verified,1.0,Climate change impact on flood and extreme precipitation increases with water availability,Hossein Tabari,Scientific Reports,10.1038/s41598-020-70816-2,https://doi.org/10.1038/s41598-020-70816-2,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),14.33,0,0,0,0.0,0.0,0.0
12. SALTZMAN B. On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere. Tellus. 1959;11(4):425-31. https://doi.org/10.1111/j.2153-3490.1959.tb00052.x,journal_article,On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere,SALTZMAN B.,1959,Tellus,11,4,425-31,10.1111/j.2153-3490.1959.tb00052.x,,,,,,verified,1.0,On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere,BARRY SALTZMAN,Tellus,10.1111/j.2153-3490.1959.tb00052.x,https://doi.org/10.1111/j.2153-3490.1959.tb00052.x,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),14.63,0,0,0,0.0,0.0,0.0
13. Lorenz EN. Deterministic nonperiodic flow. J Atmos Sci. 1963;20:130-41. https://doi.org/10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2,journal_article,Deterministic nonperiodic flow,Lorenz EN,1963,Journal of the Atmospheric Sciences (J Atmos Sci),20,,130-41,10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2,,,,,,verified,1.0,Deterministic Nonperiodic Flow,Edward N. Lorenz,Journal of the Atmospheric Sciences,10.1175/1520-0469(1963)020<0130:dnf>2.0.co;2,https://doi.org/10.1175/1520-0469(1963)020<0130:dnf>2.0.co;2,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),14.96,0,0,0,0.0,0.0,0.0
14. Lorenz EN. Irregularity: a fundamental property of the atmosphere. Tellus A. 1984;36A:98-110. https://doi.org/10.1111/j.1600-0870.1984.tb00230.x,journal_article,Irregularity: a fundamental property of the atmosphere,Lorenz EN,1984,Tellus A,36A,,98-110,10.1111/j.1600-0870.1984.tb00230.x,,,,,,verified,1.0,Irregularity: a fundamental property of the atmosphere,Edward N. Lorenz,Tellus A,10.1111/j.1600-0870.1984.tb00230.x,,web_search,Verified via DOI and standard bibliographic metadata.,150.52,36068,1112,1,0.010685,0.005,0.015685
"15. Maasch KA, Oglesby RJ, Fournier A. Barry Saltzman and the theory of climate. J Clim. 2005;18:1073-85. https://doi.org/10.1175/JCLI3383.1",journal_article,Barry Saltzman and the theory of climate,Maasch KA; Oglesby RJ; Fournier A,2005,Journal of Climate (J Clim),18,,1073-85,10.1175/JCLI3383.1,,,,,,verified,0.95625,Barry Saltzman and the Theory of Climate,K. A. Maasch | R. J. Oglesby | A. Fournier,Journal of Climate,10.1175/jcli3383.1,https://doi.org/10.1175/jcli3383.1,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.96),15.63,0,0,0,0.0,0.0,0.0
"16. Lewis JM, Lakshmivarahan S. The Saltzman-Lorenz exchange in 1961: bridge to chaos theory. Bull Am Meteorol Soc. 2024;105. https://doi.org/10.1175/BAMS-D-23-0157.1",journal_article,The Saltzman-Lorenz exchange in 1961: bridge to chaos theory,Lewis JM; Lakshmivarahan S,2024,Bulletin of the American Meteorological Society (Bull Am Meteorol Soc),105,,,10.1175/BAMS-D-23-0157.1,,,,,,verified,0.9555555555555556,The Saltzman–Lorenz Exchange in 1961: Bridge to Chaos Theory,John M. Lewis | S. Lakshmivarahan,Bulletin of the American Meteorological Society,10.1175/bams-d-23-0157.1,https://doi.org/10.1175/bams-d-23-0157.1,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.96),15.97,0,0,0,0.0,0.0,0.0
"17. Aemisegger F, Vogel R, Graf P, Dahinden F, Villiger L, Jansen F, et al. How Rossby wave breaking modulates the water cycle in the North Atlantic trade wind region. Weather Clim Dynam. 2021;2(1):281-309. https://doi.org/10.5194/wcd-2-281-2021",journal_article,How Rossby wave breaking modulates the water cycle in the North Atlantic trade wind region,Aemisegger F; Vogel R; Graf P; Dahinden F; Villiger L; Jansen F; et al.,2021,Weather and Climate Dynamics (Weather Clim Dynam),2,1,281-309,10.5194/wcd-2-281-2021,,,,,,verified,1.0,How Rossby wave breaking modulates the water cycle in the North Atlantic trade wind region,,Weather and Climate Dynamics,10.5194/wcd-2-281-2021,,web_search,"The citation correctly identifies the work, including the DOI and publication details.",121.36,36722,1210,1,0.010995,0.005,0.015995
"18. Nayak A, Zhang M, Gentine P, Lall U. Catastrophic “hyperclustering” and recurrent losses: diagnosing U.S. flood insurance insolvency triggers. npj Nat Hazards. 2025;2(1). https://doi.org/10.1038/s44304-025-00136-w",journal_article,Catastrophic “hyperclustering” and recurrent losses: diagnosing U.S. flood insurance insolvency triggers,Nayak A; Zhang M; Gentine P; Lall U,2025,npj Natural Hazards (npj Nat Hazards),2,1,,10.1038/s44304-025-00136-w,,,,,,verified,1.0,,Nayak A | Zhang M | Gentine P | Lall U,npj Natural Hazards,10.1038/s44304-025-00136-w,,web_search,Verified against the official DOI record.,121.37,36464,1161,1,0.010857,0.005,0.015858
"19. Kreibich H, Van Loon AF, Schröter K, Ward PJ, Mazzoleni M, Sairam N, et al. The challenge of unprecedented floods and droughts in risk manage￾ment. Nature. 2022;608(7921):80-6. https://doi.org/10.1038/s41586-022-04917-5 PMID: 35922501",journal_article,The challenge of unprecedented floods and droughts in risk manage￾ment,Kreibich H; Van Loon AF; Schröter K; Ward PJ; Mazzoleni M; Sairam N; et al.,2022,Nature,608,7921,80-6,10.1038/s41586-022-04917-5,,,,,,verified,1.0,,,Nature,,,web_search,The extraneous character in the title is an encoding artifact and does not constitute a substantive error.,123.16,37898,962,1,0.010918,0.005,0.015918
"20. Ward PJ, Jongman B, Aerts JCJH, Bates PD, Botzen WJW, Diaz Loaiza A, et al. A global framework for future costs and benefits of river-flood protection in urban areas. Nature Clim Change. 2017;7(9):642-6. https://doi.org/10.1038/nclimate3350",journal_article,A global framework for future costs and benefits of river-flood protection in urban areas,Ward PJ; Jongman B; Aerts JCJH; Bates PD; Botzen WJW; Diaz Loaiza A; et al.,2017,Nature Climate Change,7,9,642-6,10.1038/nclimate3350,,,,,,verified,1.0,,,,10.1038/nclimate3350,https://doi.org/10.1038/nclimate3350,web_search,"The cited work is a real journal article that exists exactly as described. The title, authors (with truncation using 'et al.'), journal, volume, issue, and pages are all correct and consistent with the official publication record.",124.5,36927,1275,1,0.011144,0.005,0.016144
21. Ponce VM. On the return period to be used for design. https://ponce.sdsu.edu/return_period.html Accessed 2025 August 27.,web,On the return period to be used for design,Ponce VM,,,,,,,,,,https://ponce.sdsu.edu/return_period.html,,verified,1.0,On the return period to be used for design,Victor M. Ponce,San Diego State University,,https://ponce.sdsu.edu/return_period.html,web_search,The work is an official article hosted on the author's university website.,123.27,34834,931,1,0.010105,0.005,0.015105
22. Polacek A. Catastrophe bonds: a primer and retrospective. Chicago Fed Lett. 2018;(405). Available from: https://www.chicagofed.org/publications/ chicago-fed-letter/2018/405,journal_article,Catastrophe bonds: a primer and retrospective,Polacek A,2018,Chicago Fed Letter,,(405),,,,,,https://www.chicagofed.org/publications/chicago-fed-letter/2018/405,,verified,1.0,Catastrophe bonds: A primer and retrospective,Andy Polacek,Chicago Fed Letter,10.21033/cfl-2018-405,https://doi.org/10.21033/cfl-2018-405,crossref_title_static,Verified via static CrossRef title search (score: 1.00),18.18,0,0,0,0.0,0.0,0.0
"23. Ho M, Lall U, Allaire M, Devineni N, Kwon HH, Pal I, et al. The future role of dams in the United States of America. Water Resources Research. 2017;53:982-98. https://doi.org/10.1002/2016WR019905",journal_article,The future role of dams in the United States of America,Ho M; Lall U; Allaire M; Devineni N; Kwon HH; Pal I; et al.,2017,Water Resources Research,53,,982-98,10.1002/2016WR019905,,,,,,verified,1.0,The future role of dams in the United States of America,"Ho, M. | Goichot, M. | McCartney, M. | Kocsis, A. | Dore, A. | Cawley, A. | Dugan, P.",Water Resources Research,,,web_search,The citation uses an elided page range (982-98) which is accepted as a valid form for 982-998.,125.75,37198,1445,1,0.011467,0.005,0.016467
"24. Hwang J, Lall U. Increasing dam failure risk in the USA due to compound rainfall clusters as climate changes. npj Nat Hazards. 2024;1(1). https:// doi.org/10.1038/s44304-024-00027-6",journal_article,Increasing dam failure risk in the USA due to compound rainfall clusters as climate changes,Hwang J; Lall U,2024,npj Natural Hazards (npj Nat Hazards),1,1,,10.1038/s44304-024-00027-6,,,,,,verified,1.0,Increasing dam failure risk in the USA due to compound rainfall clusters as climate changes,Jeongwoo Hwang | Upmanu Lall,npj Natural Hazards,,,web_search,"Citation includes correct title, authors, journal, volume, and article number.",125.09,36338,1130,1,0.010779,0.005,0.015779
"25. Lee CC, Maron M, Mostafavi A. Community-scale big data reveals disparate impacts of the Texas winter storm of 2021. Humanit Soc Sci Commun. 2022;9:335. https://doi.org/10.1057/s41599-022-01353-8",journal_article,Community-scale big data reveals disparate impacts of the Texas winter storm of 2021,Lee CC; Maron M; Mostafavi A,2022,Humanities and Social Sciences Communications (Humanit Soc Sci Commun),9,,335,10.1057/s41599-022-01353-8,,,,,,minor_error,1.0,Community-scale big data reveals disparate impacts of the Texas winter storm of 2021 and its managed power outage,Cheng-Chun Lee | Mikel Maron | Ali Mostafavi,Humanities and Social Sciences Communications,10.1057/s41599-022-01353-8,,web_search,"The citation omits the final phrase of the article title (""and its managed power outage""). The rest of the bibliographic metadata is correct.",125.68,36535,1561,1,0.011475,0.005,0.016475
"26. Doss-Gollin J, Farnham DJ, Lall U, Modi V. How unprecedented was the February 2021 Texas cold snap?. Environ Res Lett. 2021;16:064056. https://doi.org/10.1088/1748-9326/ac0278",journal_article,How unprecedented was the February 2021 Texas cold snap?,Doss-Gollin J; Farnham DJ; Lall U; Modi V,2021,Environmental Research Letters (Environ Res Lett),16,,64056,10.1088/1748-9326/ac0278,,,,,,verified,1.0,How unprecedented was the February 2021 Texas cold snap?,James Doss-Gollin | David J. Farnham | Upmanu Lall | Vijay Modi,Environmental Research Letters,10.1088/1748-9326/ac0278,,web_search,All bibliographic details provided in the citation are confirmed to be accurate.,126.98,36619,1314,1,0.011126,0.005,0.016126
"27. Kraehnert K, Doetsch J, Barham B, Carter M, Flechtner I, Guenther I. Insurance against extreme weather events: an overview. Rev Econ. 2021;72:71-95. https://doi.org/10.1515/roe-2021-0024",journal_article,Insurance against extreme weather events: an overview,Kraehnert K; Doetsch J; Barham B; Carter M; Flechtner I; Guenther I,2021,Review of Economics (Rev Econ),72,,71-95,10.1515/roe-2021-0024,,,,,,hallucination,1.0,Insurance against extreme weather events: an overview,Kati Kraehnert | Daniel Osberghaus | Christian Hott | Lemlem Teklegiorgis Habtemariam | Frank Wätzold | Lutz Philip Hecker | Svenja Fluhrer,Review of Economics,10.1515/roe-2021-0024,,web_search,"The citation provides a real title, DOI, and venue, but the author list is a chimera, replacing the actual co-authors with fabricated names.",127.78,37133,1592,1,0.011671,0.005,0.016671
28. Kron W. Flood insurance: from clients to global financial markets. J Flood Risk Management. 2009;2(1):68-75. https://doi.org/10.1111/j.1753-318x.2008.01015.x,journal_article,Flood insurance: from clients to global financial markets,Kron W,2009,Journal of Flood Risk Management (J Flood Risk Management),2,1,68-75,10.1111/j.1753-318x.2008.01015.x,,,,,,verified,1.0,Flood insurance: from clients to global financial markets,W. Kron,Journal of Flood Risk Management,10.1111/j.1753-318x.2008.01015.x,https://doi.org/10.1111/j.1753-318x.2008.01015.x,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),19.97,0,0,0,0.0,0.0,0.0
"29. Nayak A, Gentine P, Lall U. Financial losses associated with US floods occur with frequent low-return-period precipitation. Nat Water. 2025;3(11):1256-67. https://doi.org/10.1038/s44221-025-00506-8",journal_article,Financial losses associated with US floods occur with frequent low-return-period precipitation,Nayak A; Gentine P; Lall U,2025,Nature Water (Nat Water),3,11,1256-67,10.1038/s44221-025-00506-8,,,,,,verified,1.0,Financial losses associated with US floods occur with frequent low-return-period precipitation,A. Nayak | P. Gentine | U. Lall,Nature Water,10.1038/s44221-025-00506-8,,web_search,The citation is fully verified. DOI resolves correctly to the article.,127.68,36559,1447,1,0.01131,0.005,0.01631
30. Japan Science and Technology Agency (JST). Goal 8: controlling and modifying the weather. https://www.jst.go.jp/moonshot/en/program/goal8/ index.html Accessed 2025 June 10.,web,Goal 8: controlling and modifying the weather,Japan Science and Technology Agency (JST),,,,,,,,,,https://www.jst.go.jp/moonshot/en/program/goal8/index.html,,verified,1.0,Goal 8: Controlling and modifying the weather,,Japan Science and Technology Agency (JST),,https://www.jst.go.jp/moonshot/en/program/goal8/,web_search,"The citation URL contained an extra space artifact, but the intended official page was successfully identified.",129.21,34738,1059,1,0.010273,0.005,0.015273
"31. Simon M, McDonald J, Brent K. Transboundary Implications of China’s Weather Modification Programme. TEL. 2023;12(3):594-622. https://doi.org/10.1017/s2047102523000146",journal_article,Transboundary Implications of China’s Weather Modification Programme,Simon M; McDonald J; Brent K,2023,TEL,12,3,594-622,10.1017/s2047102523000146,,,,,,verified,1.0,Transboundary implications of China’s weather modification programme,Manon Simon | Jan McDonald | Kerryn Brent,Transnational Environmental Law,10.1017/s2047102523000146,,web_search,"The citation, including DOI and metadata, is verified as correct.",127.08,35985,1250,1,0.010871,0.005,0.015871
32. UAE Research Program for Rain Enhancement Science. Overview of UAE cloud-seeding operations. https://www.uaerep.ae/ Accessed 2025 October 10.,web,Overview of UAE cloud-seeding operations,UAE Research Program for Rain Enhancement Science,,,,,,,,,,https://www.uaerep.ae/,,minor_error,0.94,UAE Research Program for Rain Enhancement Science,UAE Research Program for Rain Enhancement Science,uaerep.ae,,https://www.uaerep.ae/?lang=en,web_search,"Official UAEREP website identifies the same organization/site, but the cited title is paraphrased rather than matching the homepage title, and the citation points to the generic homepage URL instead of a specific page.",203.89,39233,1559,3,0.03644,0.03,0.06644
