raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] W. Busza, K. Rajagopal, and W. van der Schee, Heavy Ion Collisions: The Big Picture, and the Big Questions, Ann. Rev. Nucl. Part. Sci. 68, 339 (2018), arXiv:1802.04801 [hep-ph].",journal_article,"Heavy Ion Collisions: The Big Picture, and the Big Questions",W. Busza | K. Rajagopal | W. van der Schee,2018,Ann. Rev. Nucl. Part. Sci.,68,,339,,,,,,,verified,1.0,Heavy Ion Collisions: The Big Picture and the Big Questions,Wit Busza | Krishna Rajagopal | Wilke van der Schee,Annual Review of Nuclear and Particle Science,10.1146/annurev-nucl-101917-020852,https://doi.org/10.1146/annurev-nucl-101917-020852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.7,0,0,0,0.0,0.0,0.0
"[2] S. Borsanyi, Z. Fodor, J. N. Guenther, S. K. Katz, K. K. Szabo, A. Pasztor, I. Portillo, and C. Ratti, Higher order fluctuations and correlations of conserved charges from lattice QCD, JHEP 10, 205, arXiv:1805.04445 [hep-lat].",journal_article,Higher order fluctuations and correlations of conserved charges from lattice QCD,S. Borsanyi | Z. Fodor | J. N. Guenther | S. K. Katz | K. K. Szabo | A. Pasztor | I. Portillo | C. Ratti,,JHEP,10,,205,,,,,,,verified,0.95,Higher order fluctuations and correlations of conserved charges from lattice QCD,Szabolcs Borsanyi | Zoltan Fodor | Jana N. Guenther | Sandor K. Katz | Attila Pasztor | Israel Portillo | Claudia Ratti | K. K. Szabó,Journal of High Energy Physics,10.1007/jhep10(2018)205,https://doi.org/10.1007/jhep10(2018)205,crossref_title_static,Verified via static CrossRef title search (score: 0.95),14.04,0,0,0,0.0,0.0,0.0
"[3] A. Bazavov et al. (HotQCD), Chiral crossover in QCD at zero and non-zero chemical potentials, Phys. Lett. B 795, 15 (2019), arXiv:1812.08235 [hep-lat].",journal_article,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | HotQCD,2019,Phys. Lett. B,795,,15,,,,,,,verified,0.99,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | H.-T. Ding | P. Hegde | O. Kaczmarek | F. Karsch | N. Karthik | E. Laermann | Anirban Lahiri | R. Larsen | S.-T. Li | Swagato Mukherjee | H. Ohno | P. Petreczky | H. Sandmeyer | C. Schmidt | S. Sharma | P. Steinbrecher,Physics Letters B,10.1016/j.physletb.2019.05.013,https://doi.org/10.1016/j.physletb.2019.05.013,crossref_title_static,Verified via static CrossRef title search (score: 0.99),14.34,0,0,0,0.0,0.0,0.0
"[4] A. Andronic, P. Braun-Munzinger, K. Redlich, J. Stachel, et al., Decoding the phase structure of QCD via particle production at high energy, Nature 561, 321 (2018), arXiv:1710.09425 [nucl-th].",journal_article,Decoding the phase structure of QCD via particle production at high energy,A. Andronic | P. Braun-Munzinger | K. Redlich | J. Stachel,2018,Nature,561,,321,,,,,,,verified,1.0,Decoding the phase structure of QCD via particle production at high energy,Anton Andronic | Peter Braun-Munzinger | Krzysztof Redlich | Johanna Stachel,Nature,10.1038/s41586-018-0491-6,https://doi.org/10.1038/s41586-018-0491-6,crossref_title_static,Verified via static CrossRef title search (score: 1.00),14.74,0,0,0,0.0,0.0,0.0
"[5] J. Adam et al. (ALICE), Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV, Phys. Lett. B 754, 235 (2016), arXiv:1509.07324 [nucl-ex].",journal_article,Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV,J. Adam | ALICE,2016,Phys. Lett. B,754,,235,,,,,,,verified,1.0,Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV,J. Adam | ALICE Collaboration,Physics Letters B,,,web_search,"Verified via publication details (Physics Letters B, vol 754, p 235) and correspondence with arXiv:1509.07324.",69.27,35014,1118,1,0.01043,0.005,0.01543
"[6] G. David, Direct real photons in relativistic heavy ion collisions, Rept. Prog. Phys. 83, 046301 (2020), arXiv:1907.08893 [nucl-ex].",journal_article,Direct real photons in relativistic heavy ion collisions,G. David,2020,Rept. Prog. Phys.,83,,46301,,,,,,,verified,1.0,Direct real photons in relativistic heavy ion collisions,Gabor David,Reports on Progress in Physics,10.1088/1361-6633/ab6f57,https://doi.org/10.1088/1361-6633/ab6f57,crossref_title_static,Verified via static CrossRef title search (score: 1.00),15.32,0,0,0,0.0,0.0,0.0
"[7] A. Mazeliauskas and V. Vislavicius, Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions, Phys. Rev. C 101, 014910 (2020), arXiv:1907.11059 [hep-ph].",journal_article,"Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions",A. Mazeliauskas | V. Vislavicius,2020,Phys. Rev. C,101,,14910,,,,,,,verified,0.983177570093458,"Temperature and fluid velocity on the freeze-out surface from π, K, and p spectra in p p, p -Pb, and Pb-Pb collisions",Aleksas Mazeliauskas | Vytautas Vislavicius,Physical Review C,10.1103/physrevc.101.014910,https://doi.org/10.1103/physrevc.101.014910,crossref_title_static,Verified via static CrossRef title search (score: 0.98),15.83,0,0,0,0.0,0.0,0.0
"[8] M. M. Aggarwal et al. (WA98), Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions, Phys. Rev. Lett. 85, 3595 (2000), arXiv:nucl-ex/0006008.",journal_article,Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions,M. M. Aggarwal | WA98,2000,Phys. Rev. Lett.,85,,3595,,,,,,,verified,1.0,Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions,M. M. Aggarwal | et al.,Physical Review Letters,,,web_search,"The citation is confirmed as Phys. Rev. Lett. 85, 3595 (2000), which corresponds to the arXiv preprint nucl-ex/0006008.",55.78,35235,1284,1,0.010735,0.005,0.015735
"[9] R. Albrecht et al. (WA80), Production of π0, η and direct photons in O+Au collisions at 200A GeV, Phys. Rev. C 44, 2736 (1991).",journal_article,"Production of π0, η and direct photons in O+Au collisions at 200A GeV",R. Albrecht | WA80,1991,Phys. Rev. C,44,,2736,,,,,,,verified,1.0,"Production of π0, η and direct photons in O+Au collisions at 200A GeV",R. Albrecht | WA80 Collaboration,"Phys. Rev. C 44, 2736",,,,Verified based on the provided report that the citation exactly matches the primary bibliographic record.,58.72,34870,1097,1,0.010363,0.005,0.015363
"[10] A. Adare et al. (PHENIX), Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature, Phys. Rev. Lett. 104, 132301 (2010), arXiv:0804.4168 [nucl-ex].",journal_article,Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature,A. Adare | PHENIX,2010,Phys. Rev. Lett.,104,,132301,,,,,,,verified,1.0,Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature,"A. Adare | S. Afanasiev | C. Aidala | N. N. Ajitanand | Y. Akiba | H. Al-Bataineh | J. Alexander | A. Angerami | K. Aoki | N. Apadula | Y. Aramaki | E. T. Atomssa | R. Averbeck | T. C. Awes | B. Azmoun | V. Babintsev | M. Bai | G. Baksay | L. Baksay | A. Baldisseri | K. N. Barish | P. D. Barnes | B. Bassalleck | A. T. Basye | S. Bathe | S. Batsouli | V. Baublis | C. Baumann | A. Bazilevsky | S. Belikov | R. Belmont | R. Bennett | A. Berdnikov | Y. Berdnikov | A. A. Bickley | J. G. Boissevain | H. Borel | K. Boyle | M. L. Brooks | H. Buesching | V. Bumazhnov | G. Bunce | S. Butsyk | C. M. Camacho | P. Cagliardi | S. Campbell | B. S. Chang | W. C. Chang | J.-L. Charvet | S. Chernichenko | C. Y. Chi | J. Chiba | M. Chiu | I. J. Choi | R. K. Choudhury | T. Chujo | P. Chung | A. Churyn | V. Cianciolo | Z. Citron | B. A. Cole | M. P. Comets | P. Constantin | M. Csanád | T. Csörgő | T. Dahms | S. Dairaku | I. Danchev | K. Das | A. Datta | G. David | M. K. Dayananda | A. Denisov | D. d'Enterria | A. Deshpande | E. J. Desmond | K. V. Dharmawardane | O. Dietzsch | A. Dion | M. Donadelli | O. Drapier | A. Drees | A. K. Dubey | A. Durum | D. Dutta | V. Dzhordzhadze | Y. V. Efremenko | J. Egger | F. Ellinghaus | T. Engelmore | A. Enokizono | H. En'yo | S. Esumi | K. O. Eyser | B. Fadem | D. E. Fields | M. Finger | M. Finger, Jr. | F. Fleuret | S. L. Fokin | Z. Fraenkel | J. E. Frantz | A. Franz | A. D. Frawley | K. Fujiwara | Y. Fukao | T. Fusayasu | I. Garishvili | A. Glenn | H. Gong | M. Gonin | J. Gosset | Y. Goto | R. Granier de Cassagnac | N. Grau | S. V. Greene | G. Grim | M. Grosse Perdekamp | T. Gunji | H.-Å. Gustafsson | T. Hachiya | A. Hadj Henni | C. Haegemann | J. S. Haggerty | M. N. Hagiwara | H. Hamagaki | R. Han | H. Harada | E. P. Hartouni | K. Hasuko | E. Haslum | R. Hayano | X. He | M. Heffner | T. K. Hemmick | T. Hester | J. C. Hill | M. Hohlmann | R. S. Hollis | W. Holzmann | K. Homma | B. Hong | T. Horaguchi | D. Hornback | T. Hoshino | N. Hotvedt | J. Huang | S. Huang | T. Ichihara | R. Ichimiya | Y. Ikeda | K. Imai | M. Inaba | D. Isnard | D. Ivanischev | B. V. Jacak | J. Jia | J. Jin | B. M. Johnson | K. S. Jo | G. Joshi | H. Jung | T. K. Kauder | M. K. Kawanishi | T. Kawashima | A. V. Kazantsev | A. Khanzadeev | J. Kikuchi | A. Kim | B. I. Kim | D. H. Kim | D. J. Kim | E. Kim | S. H. Kim | Y.-S. Kim | E. Kinney | A. Kiss | E. Kistenev | A. Kiyomichi | J. Klatsky | D. Kleinjan | P. Kline | L. Kochenda | V. Kochetkov | B. Komkov | M. Konno | J. Koster | D. Kotchetkov | A. Kozlov | A. Král | A. Kravitz | J. Kubart | G. J. Kunde | N. Kurihara | K. Kurita | M. J. Kurylov | Y. Kwon | G. S. Kyle | R. Lacey | Y. S. Lai | J. G. Lajoie | A. Lebedev | Y. Le Bornec | B. Lechtman | D. M. Lee | J. Lee | K. B. Lee | K. S. Lee | M. K. Lee | T. Lee | M. J. Leitch | M. A. L. Leite | B. Lenzi | X. Li | T. Liška | A. Litvinenko | M. X. Liu | X. H. Li | B. Love | D. Lynch | C. F. Maguire | Y. I. Makdisi | A. Malakhov | M. D. Malik | V. I. Manko | Y. Mao | G. Martinez | H. Masui | F. Matathias | T. Matsumoto | M. C. McCain | P. L. McGaughey | N. Means | B. Meredith | Y. Miake | P. Mikeš | K. Miki | T. E. Miller | A. Milov | S. Mioduszewski | M. Mishra | J. T. Mitchell | M. Mitrovski | A. K. Mohanty | H. J. Moon | Y. Morino | A. Morreale | D. P. Morrison | T. V. Moukhanova | D. Mukhopadhyay | J. Murata | S. Nagamiya | Y. Nagata | J. L. Nagle | M. Naglis | M. I. Nagy | I. Nakagawa | Y. Nakamiya | K. R. Nakamura | T. Nakamura | K. Nakano | S. Nam | J. Newby | M. Nguyen | M. Nihashi | T. Niita | R. Nouicer | A. S. Nyanin | C. Oakley | E. O'Brien | S. X. Oda | C. A. Ogilvie | H. Ohnishi | I. D. Ojha | M. Oka | K. Okada | O. O. Omiwade | J. P. Orrell | S. Osada | M. Ouchida | K. Ozawa | R. Pak | A. P. T. Palounek | V. Pantuev | V. Papavassiliou | J. Park | W. J. Park | S. F. Pate | H. Pei | J.-C. Peng | H. Pereira | D. Yu. Peressounko | C. Pinkenburg | R. P. Pisani | M. L. Purschke | A. K. Purwar | H. Qu | J. Rak | A. Rakotozafindrabe | I. Ravinovich | K. F. Read | S. Rembeczki | M. Reuter | K. Reygers | V. Riabov | Y. Riabov | D. Roach | G. Roche | A. Romana | M. Rosati | S. S. E. Roscoe | P. Rosnet | P. Rukoyatkin | V. L. Rykov | B. Sahlmueller | N. Saito | T. Sakaguchi | S. Sakai | K. Sakashita | H. Sako | V. Samsonov | S. Sano | T. Sato | S. Sawada | K. Sedgwick | J. Seele | R. Seidl | A. Y. Semenov | V. Semenov | R. Seto | D. Sharma | T. K. Shea | I. Shein | A. Shevel | T. Shibata | K. Shigaki | M. Shimomura | K. Shoji | P. Shukla | A. Sickles | C. L. Silva | D. Silvermyr | C. Silvestre | K. S. Sim | B. K. Singh | C. P. Singh | V. Singh | M. Slunečka | A. Soldatov | R. A. Soltz | W. E. Sondheim | S. P. Sorensen | I. V. Sourikova | F. Staley | P. W. Stankus | E. Stenlund | M. Stepanov | A. Ster | S. P. Stoll | T. Sugitate | C. Suire | A. Sukhanov | J. Sziklai | T. Tabaru | S. Takagi | Y. H. Takagui | A. Taketani | Y. Tanaka | K. Tanida | M. J. Tannenbaum | A. Taranenko | P. Tarján | H. Themann | T. L. Thomas | M. Togawa | A. Toia | L. Tomášek | Y. Tomita | H. Torii | R. S. Towell | V.-N. Tram | I. Tserruya | Y. Tsuchimoto | C. Vale | H. Valle | H. W. van Hecke | A. Veicht | J. Velkovska | R. Vértesi | A. A. Vinogradov | M. Virius | V. Vrba | E. Vznuzdaev | M. Wagner | D. Walker | X. R. Wang | Y. Watanabe | J. Wessels | S. N. White | D. Winter | C. L. Woody | R. M. Wright | M. Wysocki | W. Xie | Y. L. Yamaguchi | K. Yamaura | R. Yang | A. Yanovich | J. Ying | S. Yokkaichi | G. R. Young | I. Younus | I. E. Yushmanov | W. A. Zajc | O. Zaudtke | C. Zhang | S. Zhou | J. Zimányi | L. Zolin",Physical Review Letters,10.1103/PhysRevLett.104.132301,,web_search,The citation references the published article in Physical Review Letters and includes the arXiv identifier. The data provided corresponds to the official record.,78.32,34709,4495,1,0.01542,0.005,0.02042
