raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,minor_error,1.0,Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",Criminal Justice Policy Review,10.1177/0887403421992907,https://journals.sagepub.com/doi/10.1177/0887403421992907,web_search,Title mismatch due to extra word 'Evaluating' at the beginning of the citation.,89.76,35034,1560,1,0.011099,0.005,0.016099
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,hallucination,1.0,Gunshot Detection: Reducing Gunfire through Acoustic Technology,,National Institute of Justice,,https://bja.ojp.gov/library/publications/gunshot-detection-reducing-gunfire-through-acoustic-technology,web_search,The cited title is a fabrication. The correct NIJ report from October 2022 is titled 'Gunshot Detection: Reducing Gunfire through Acoustic Technology' (NCJ 306025). The URL in the citation was also a non-existent path constructed to match the hallucinated title.,65.52,35466,1594,1,0.011258,0.005,0.016258
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,1.0,,,Journal of Experimental Criminology,,,web_search,The citation combines a real author and journal with a fabricated title and a non-existent DOI (10.1007/s11292-023-09553-z). The work is a metadata chimera.,93.1,35035,1665,1,0.011256,0.005,0.016256
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,1.0,,,,,,web_search,Searches of the Dallas Police Department's official records and general search engines do not yield a document with this title or a corresponding URL.,64.66,34476,939,1,0.010027,0.005,0.015027
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,hallucination,1.0,,,,,,web_search,"The citation appears to be a hallucinated conflation of headlines regarding ShotSpotter discourse rather than a specific verifiable article. While the outlet 'Government Technology' covers this topic, the specific article and publication year do not exist.",66.86,34747,1241,1,0.010548,0.005,0.015548
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,1.0,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,web_search,The cited URL does not host a document titled 'Police Technology Spending Report.' No evidence of this specific report published by the Kansas City Council Budget office in 2023 was found.,119.84,66505,1345,1,0.018644,0.005,0.023644
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.96,Emerging Police Technology: A Policy Toolkit,,,,,web_search,The cited Vera Institute of Justice URL https://www.vera.org/publications/emerging-police-technologies returned 404 Not Found. The report did not establish a primary-source match for the exact cited work.,129.31,34622,1390,4,0.032222,0.04,0.072221
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,1.0,,,,,,web_search,"No record of a specific legislative item titled 'ShotSpotter Contract Approval' or associated with ordinance ID 37431 was found in Springfield, Illinois, municipal portals, despite the existence of broader discussions regarding ShotSpotter contracts in that timeframe.",69.38,34997,1790,1,0.011434,0.005,0.016434
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,1.0,,,,,,web_search,"The cited document 'Acoustic Detection Contract Details' (2022) appears to be non-existent. Public records confirm that Elmwood Park's agreement with ShotSpotter (SoundThinking) was signed in 2024, contradicting the 2022 date provided in the citation.",132.04,83089,2375,1,0.024335,0.005,0.029335
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,not_found,0.91,,,,,,web_search,"The cited DOI 10.1080/07418825.2018.1488126 was reported as returning a 404 at doi.org, and searches for the exact title surfaced only related but different gunshot-detection papers. No primary source confirmed the exact title-author-venue combination.",472.77,45964,1635,6,0.04183,0.06,0.10183
