raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Andresen, M. A. (2009). Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach. Applied Geography, 29(3), 333-345.",journal_article,Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach,M. A. Andresen,2009,Applied Geography,29,3,333-345,,,,,,,verified,1.0,Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach,Martin A. Andresen,Applied Geography,10.1016/j.apgeog.2008.12.004,https://doi.org/10.1016/j.apgeog.2008.12.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),19.72,0,0,0,0.0,0.0,0.0
"Bowers, K. (2014). Risky facilities: Crime radiators or crime absorbers? A comparison of internal and external levels of theft. Journal of Quantitative Criminology, 30(3), 389-414.",journal_article,Risky facilities: Crime radiators or crime absorbers? A comparison of internal and external levels of theft,K. Bowers,2014,Journal of Quantitative Criminology,30,3,389-414,,,,,,,verified,1.0,Risky Facilities: Crime Radiators or Crime Absorbers? A Comparison of Internal and External Levels of Theft,Kate Bowers,Journal of Quantitative Criminology,10.1007/s10940-013-9208-z,https://doi.org/10.1007/s10940-013-9208-z,crossref_title_static,Verified via static CrossRef title search (score: 1.00),19.96,0,0,0,0.0,0.0,0.0
"Braga, A. A., Turchan, B. S., Papachristos, A. V., & Hureau, D. M. (2019). Hot spots policing and crime reduction: An update of an ongoing systematic review and meta-analysis. Journal of Experimental Criminology, 15(3), 289-311.",journal_article,Hot spots policing and crime reduction: An update of an ongoing systematic review and meta-analysis,A. A. Braga; B. S. Turchan; A. V. Papachristos; D. M. Hureau,2019,Journal of Experimental Criminology,15,3,289-311,,,,,,,verified,0.99,Hot spots policing and crime reduction: an update of an ongoing systematic review and meta-analysis,Anthony A. Braga | Brandon S. Turchan | Andrew V. Papachristos | David M. Hureau,Journal of Experimental Criminology,10.1007/s11292-019-09372-3,https://doi.org/10.1007/s11292-019-09372-3,crossref_title_static,Verified via static CrossRef title search (score: 0.99),20.4,0,0,0,0.0,0.0,0.0
"Brantingham, P. J., & Brantingham, P. L. (1984). Patterns in crime. New York: Macmillan.",book,Patterns in crime,P. J. Brantingham; P. L. Brantingham,1984,,,,,,0023135204,Patterns in crime,Macmillan,,,verified,1.0,Patterns in Crime,Paul J. Brantingham | Patricia L. Brantingham,Macmillan,,,web_search,ISBN 0-023-13520-4 matches the 1984 Macmillan publication.,108.44,34545,766,1,0.009785,0.005,0.014785
"Bühlmann, H., & Gisler, A. (2005). A course in credibility theory and its applications. Universitext. Berlin: Springer.",book,A course in credibility theory and its applications,H. Bühlmann; A. Gisler,2005,,,,,,9783540257530,A course in credibility theory and its applications,Springer,,,verified,1.0,A Course in Credibility Theory and its Applications,Hans Bühlmann | Alois Gisler,Springer (Universitext),,,web_search,Verified against publisher metadata (ISBN 978-3-540-25753-0).,108.65,34513,695,1,0.009671,0.005,0.014671
"Cameron, A. C., & Miller, D. L. (2015). A practitioner’s guide to cluster-robust inference. Journal of Human Resources, 50(2), 317-372.",journal_article,A practitioner’s guide to cluster-robust inference,A. C. Cameron; D. L. Miller,2015,Journal of Human Resources,50,2,317-372,,,,,,,verified,0.99,A Practitioner’s Guide to Cluster-Robust Inference,A. Colin Cameron | Douglas L. Miller,Journal of Human Resources,10.3368/jhr.50.2.317,https://doi.org/10.3368/jhr.50.2.317,crossref_title_static,Verified via static CrossRef title search (score: 0.99),21.29,0,0,0,0.0,0.0,0.0
"Cameron, A. C., & Trivedi, P. K. (2013). Regression analysis of count data (2nd ed.). Cambridge: Cambridge University Press.",book,Regression analysis of count data (2nd ed.),A. C. Cameron; P. K. Trivedi,2013,,,,,,,Regression analysis of count data,Cambridge University Press,,,verified,0.9324657534246574,Regression Analysis of Count Data,A. Colin Cameron | Pravin K. Trivedi,,10.1017/cbo9781139013567,https://doi.org/10.1017/cbo9781139013567,crossref_title_static,Verified via static CrossRef title search (score: 0.93),21.73,0,0,0,0.0,0.0,0.0
"Chainey, S., Tompson, L., & Uhlig, S. (2008). The utility of hotspot mapping for predicting spatial patterns of crime. Security Journal, 21(1-2), 4-28.",journal_article,The utility of hotspot mapping for predicting spatial patterns of crime,S. Chainey; L. Tompson; S. Uhlig,2008,Security Journal,21,1-2,4-28,,,,,,,verified,0.99,The Utility of Hotspot Mapping for Predicting Spatial Patterns of Crime,Spencer Chainey | Lisa Tompson | Sebastian Uhlig,Security Journal,10.1057/palgrave.sj.8350066,https://doi.org/10.1057/palgrave.sj.8350066,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.06,0,0,0,0.0,0.0,0.0
"Chen, T., & Guestrin, C. (2016). XGBoost: A scalable tree boosting system. In Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (pp. 785-794). New York: ACM.",conference_paper,XGBoost: A scalable tree boosting system,T. Chen; C. Guestrin,2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,785-794,,,,ACM,,,verified,0.99,XGBoost: A Scalable Tree Boosting System,Tianqi Chen | Carlos Guestrin,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2939672.2939785,https://doi.org/10.1145/2939672.2939785,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.34,0,0,0,0.0,0.0,0.0
"Czado, C., Gneiting, T., & Held, L. (2009). Predictive model assessment for count data. Biometrics, 65(4), 1254-1261.",journal_article,Predictive model assessment for count data,C. Czado; T. Gneiting; L. Held,2009,Biometrics,65,4,1254-1261,,,,,,,verified,0.99,Predictive Model Assessment for Count Data,Claudia Czado | Tilmann Gneiting | Leonhard Held,Biometrics,10.1111/j.1541-0420.2009.01191.x,https://doi.org/10.1111/j.1541-0420.2009.01191.x,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.71,0,0,0,0.0,0.0,0.0
