raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,1.0,The World Health Organization and global health estimates: improving collaboration and capacity,Ties Boerma | Colin D. Mathers,BMC Medicine,10.1186/s12916-015-0286-7,,web_search,Citation is verified; the abbreviated journal name is consistent with the standard abbreviation for BMC Medicine.,102.67,34969,887,1,0.010073,0.005,0.015073
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,1.0,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,B. J. Casey | R. M. Jones,Journal of the American Academy of Child & Adolescent Psychiatry,,,web_search,The citation's page range (1189-201) is a standard elided form of the full page range (1189–1201) and is verified.,103.03,35188,1211,1,0.010613,0.005,0.015613
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,1.0,Mothers' goals for adolescents in the United States and China: Content and transmission,"Qu, Y. | Pomerantz, E. M. | Deng, C.",Journal of Research on Adolescence,10.1111/jora.12176,,,Verified via DOI/publisher metadata.,103.19,35111,935,1,0.01018,0.005,0.01518
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,hallucination,1.0,Analysis of adolescent barriers in seeking help for mental health issues,P. Bhagavathi | T. Vitone,,,,web_search,"The citation is a metadata chimera, combining a real (likely unpublished or grey-literature) paper title/author set with a hallucinated journal venue.",120.85,66226,2882,1,0.020879,0.005,0.025879
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,verified,1.0,Depressive symptoms and suicidal behavior in adolescents,D. R. Robbins | N. E. Alessi,Annual Progress in Child Psychiatry and Child Development 1986,,,web_search,The citation correctly identifies the reprint location and authors. The omission of part of the volume title is a minor abbreviation.,105.31,35022,1420,1,0.010885,0.005,0.015886
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,1.0,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Holly C. Wilcox | Amelia M. Arria | Kimberly M. Caldeira | Kathryn B. Vincent | Gillian M. Pinchevsky | Kevin E. O'Grady,Journal of Affective Disorders,10.1016/j.jad.2010.04.017,https://www.sciencedirect.com/science/article/abs/pii/S0165032710003538,web_search,Verified via ScienceDirect/Elsevier and PubMed.,104.77,34642,1038,1,0.010217,0.005,0.015217
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,verified,1.0,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,,European Child & Adolescent Psychiatry,,,web_search,"Work confirmed via publication details (Volume 33, Issue 9, pages 3043–3053).",104.89,34842,682,1,0.009733,0.005,0.014734
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,minor_error,1.0,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,,Personality and Individual Differences,10.1016/j.paid.2008.09.005,https://doi.org/10.1016/j.paid.2008.09.005,web_search,"The citation contains a minor spelling error in the fourth author's surname (""Rickelm"" instead of ""Rickelman""). All other bibliographic details match the identified publication.",113.59,51065,2204,1,0.016072,0.005,0.021072
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,1.0,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,"Cheung, V. H. M. | Chan, C. Y. | Au, R. K. C.",Asia-Pacific Psychiatry,10.1111/appy.12339,,web_search,The citation is accurate.,106.71,34836,891,1,0.010046,0.005,0.015045
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),27.78,0,0,0,0.0,0.0,0.0
"11. Vally Z, Helmy M. The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates. Sci Rep.",journal_article,The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates,Vally Z; Helmy M,,Scientific Reports,,,,,,,,,,verified,1.0,The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates,Z. Vally | M. Helmy,Scientific Reports,10.1038/s41598-023-47305-3,https://www.nature.com/articles/s41598-023-47305-3,web_search,"The work was confirmed to be published in Scientific Reports (2023, Vol. 13, Article 19992).",109.5,34972,2095,1,0.011886,0.005,0.016886
"12. Yan J, Liu Y, Yu J, Liao L, Wang H. Establishment and validation of a nomogram for suicidality in Chinese secondary school students. J Affect Disord. 2023;330:148-57.",journal_article,Establishment and validation of a nomogram for suicidality in Chinese secondary school students,Yan J; Liu Y; Yu J; Liao L; Wang H,2023,J Affect Disord,,,148-57,,,,,,,verified,1.0,Establishment and validation of a nomogram for suicidality in Chinese secondary school students,"Yan, J. | Liu, Y. | Yu, J. | Liao, L. | Wang, H.",Journal of Affective Disorders,,,web_search,Citation confirmed via PubMed and ScienceDirect. The cited elided page range (148-57) is a standard format for 148-157.,105.52,34840,851,1,0.009986,0.005,0.014986
"13. Lee J, Choi H, Kim MJ, Park CG. Anger as a predictor of suicidal ideation in middle￾school students in Korea: gender difference in threshold point. Adolescence. 2009;44(174).",journal_article,Anger as a predictor of suicidal ideation in middle￾school students in Korea: gender difference in threshold point,Lee J; Choi H; Kim MJ; Park CG,2009,Adolescence,44,174,,,,,,,,minor_error,1.0,Anger as a predictor of suicidal ideation in middle-school students in Korea: gender difference in threshold point,"Lee, J. | Choi, H. | Kim, M. J. | Park, C. G. | Shin, D. S.",Adolescence,,,web_search,"The cited work is real and correctly identified by title, journal, volume, and issue. The citation contains a minor error in the author list, as it omits one of the five official co-authors (Shin, D. S.) while presenting the list as complete.",107.44,35040,1899,1,0.011608,0.005,0.016608
"14. Lew B, Huen J, Yu P, Yuan L, Wang DF, Ping F, et al. Meaning in life as a protective factor against suicidal tendency in Chinese University students. BMC Psychiatry. 2020;20(1):73.",journal_article,Meaning in life as a protective factor against suicidal tendency in Chinese University students,Lew B; Huen J; Yu P; Yuan L; Wang DF; Ping F,2020,BMC Psychiatry,20,1,73,,,,,,,minor_error,1.0,Meaning in life as a protective factor against suicidal tendencies in Chinese university students,Lew B | Huen J | Yu P | Yuan L | Wang DF | Ping F,BMC Psychiatry,10.1186/s12888-020-02484-x,,,The citation contains a minor title error (singular 'tendency' vs plural 'tendencies').,165.8,34693,1367,1,0.010724,0.005,0.015724
"15. Kroenke K, Spitzer RL, Williams JBW. The PHQ-9: validity of a brief depression severity measure. J Gen Intern Med. 2001;16(9):606-13.",journal_article,The PHQ-9: validity of a brief depression severity measure,Kroenke K; Spitzer RL; Williams JBW,2001,J Gen Intern Med,16,9,606-13,,,,,,,verified,1.0,The PHQ-9: validity of a brief depression severity measure,Kurt Kroenke | Robert L. Spitzer | Janet B. W. Williams,Journal of General Internal Medicine,,,web_search,"The citation details match the publication record in the Journal of General Internal Medicine, 2001, 16(9):606-613.",106.99,34834,978,1,0.010176,0.005,0.015176
16. World Health Organization. Global recommendations on physical activity for health. World Health Organization; 2010. https://apps.who.int/iris/handle/10665/44399,web,Global recommendations on physical activity for health,World Health Organization,2010,,,,,,9-789-24159-9,,World Health Organization,https://apps.who.int/iris/handle/10665/44399,,verified,1.0,Global recommendations on physical activity for health,World Health Organization,World Health Organization,,,web_search,"The citation contains an incomplete/truncated ISBN ('9-789-24159-9' vs full '9789241599979'), but the work itself is correctly identified and verified.",107.45,35021,876,1,0.010069,0.005,0.015069
"17. Zheng R, Wang H, Li W, Xing Y. The prevalence of bullying behavior among primary and secondary school students in a northern Chinese city. Chin Sch Health. 2018;39(1):76 -80.",journal_article,The prevalence of bullying behavior among primary and secondary school students in a northern Chinese city,Zheng R; Wang H; Li W; Xing Y,2018,Chin Sch Health,39,1,76-80,,,,,,,not_found,0.91,,,,,,web_search,"Only secondary evidence was found: a later paper's reference list cites 郑茹, 王宏伟, 李伟民, 等. 北方某城市中小学生欺凌行为流行现状[J]. 中国学校卫生, 2018, 39(1):76–80. Per the report, this was not sufficient to verify the work from primary evidence.",294.09,58138,2452,9,0.054637,0.09,0.144638
