raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar. Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation. In International Conference on Learning Representations, 2023.",conference_paper,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,2023,International Conference on Learning Representations,,,,,,,,,,verified,1.0,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,International Conference on Learning Representations (ICLR) 2023,,,web_search,"The citation was confirmed through multiple sources, including the authors' official GitHub repository and its status as an ICLR 2023 publication.",109.19,34628,932,1,0.010055,0.005,0.015055
"[2] Yasin Abbasi Yadkori, Ilja Kuzborskij, András György, and Csaba Szepesvari. To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty. Advances in Neural Information Processing Systems, 37:58077-58117, 2024.",journal_article,To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty,Yasin Abbasi Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvari,2024,Advances in Neural Information Processing Systems,37,,58077-58117,,,,,,,verified,1.0,To Believe or Not to Believe Your LLM: Iterative Prompting for Estimating Epistemic Uncertainty,Yasin Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvári,Advances in Neural Information Processing Systems 37,10.52202/079017-1852,https://doi.org/10.52202/079017-1852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.74,0,0,0,0.0,0.0,0.0
"[3] Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, and Yejin Choi. The curious case of neural text degeneration. International Conference on Learning Representations, 2020.",conference_paper,The curious case of neural text degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,2020,International Conference on Learning Representations,,,,,,,,,,verified,1.0,The Curious Case of Neural Text Degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,International Conference on Learning Representations (ICLR),,,web_search,The citation is verified as accurate.,106.72,34613,635,1,0.009606,0.005,0.014606
"[4] Lukas Aichberger, Kajetan Schweighofer, Mykyta Ielanskyi, and Sepp Hochreiter. Improving uncertainty estimation through semantically diverse language generation. In The Thirteenth International Conference on Learning Representations, 2025.",conference_paper,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,2025,The Thirteenth International Conference on Learning Representations,,,,,,,,,,verified,1.0,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,The Thirteenth International Conference on Learning Representations (ICLR 2025),,,web_search,Verified against the proceedings of ICLR 2025.,108.42,34674,981,1,0.01014,0.005,0.01514
"[5] Jacob Austin, Daniel D Johnson, Jonathan Ho, Daniel Tarlow, and Rianne Van Den Berg. Structured denoising diffusion models in discrete state-spaces. Advances in neural information processing systems, 34:17981-17993, 2021.",journal_article,Structured denoising diffusion models in discrete state-spaces,Jacob Austin | Daniel D Johnson | Jonathan Ho | Daniel Tarlow | Rianne Van Den Berg,2021,Advances in neural information processing systems,34,,17981-17993,,,,,,,verified,1.0,Structured Denoising Diffusion Models in Discrete State-Spaces,Jacob Austin | Daniel D. Johnson | Jonathan Ho | Daniel Tarlow | Rianne van den Berg,Advances in Neural Information Processing Systems,,,web_search,The citation details match the official record found via bibliographic databases such as DBLP.,107.37,34782,807,1,0.009906,0.005,0.014906
"[6] Aaron Lou, Chenlin Meng, and Stefano Ermon. Discrete diffusion modeling by estimating the ratios of the data distribution. In Proceedings of the 41st International Conference on Machine Learning, 2024.",conference_paper,Discrete diffusion modeling by estimating the ratios of the data distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,2024,Proceedings of the 41st International Conference on Machine Learning,,,,,,,,,,verified,1.0,Discrete diffusion modeling by estimating the ratios of the data distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,Proceedings of the 41st International Conference on Machine Learning (ICML 2024),,,web_search,The paper received a Best Paper Award.,108.72,34433,760,1,0.009748,0.005,0.014748
"[7] Jiaxin Shi, Kehang Han, Zhe Wang, Arnaud Doucet, and Michalis Titsias. Simplified and generalized masked diffusion for discrete data. Advances in Neural Information Processing Systems, 37:103131-103167, 2024.",journal_article,Simplified and generalized masked diffusion for discrete data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,2024,Advances in Neural Information Processing Systems,37,,103131-103167,,,,,,,verified,1.0,Simplified and Generalized Masked Diffusion for Discrete Data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,Advances in Neural Information Processing Systems 37,10.52202/079017-3277,https://doi.org/10.52202/079017-3277,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.8,0,0,0,0.0,0.0,0.0
"[8] Subham Sahoo, Marianne Arriola, Yair Schiff, Aaron Gokaslan, Edgar Marroquin, Justin Chiu, Alexander Rush, and Volodymyr Kuleshov. Simple and effective masked diffusion language models. Advances in Neural Information Processing Systems, 37: 130136-130184, 2024.",journal_article,Simple and effective masked diffusion language models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,2024,Advances in Neural Information Processing Systems,37,,130136-130184,,,,,,,verified,1.0,Simple and Effective Masked Diffusion Language Models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,Advances in Neural Information Processing Systems 37,10.52202/079017-4135,https://doi.org/10.52202/079017-4135,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.15,0,0,0,0.0,0.0,0.0
"[9] Jingyang Ou, Shen Nie, Kaiwen Xue, Fengqi Zhu, Jiacheng Sun, Zhenguo Li, and Chongxuan Li. Your absorbing discrete diffusion secretly models the conditional distributions of clean data. arXiv preprint arXiv:2406.03736, 2024.",working_paper,Your absorbing discrete diffusion secretly models the conditional distributions of clean data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,2024,arXiv,,2406.03736,,,,,,,,verified,0.95,Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,arXiv,10.48550/arXiv.2406.03736,https://arxiv.org/abs/2406.03736,arxiv_static,Verified via arXiv id 2406.03736.,48.63,0,0,0,0.0,0.0,0.0
"[10] Shen Nie, Fengqi Zhu, Zebin You, Xiaolu Zhang, Jingyang Ou, Jun Hu, JUN ZHOU, Yankai Lin, Ji-Rong Wen, and Chongxuan Li. Large language diffusion models. In The Thirty-ninth Annual Conference on Neural Information Processing Systems, 2025. URL https://openreview.net/forum?id=KnqiC0znVF.",conference_paper,Large language diffusion models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | JUN ZHOU | Yankai Lin | Ji-Rong Wen | Chongxuan Li,2025,,,,,,,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,https://openreview.net/forum?id=KnqiC0znVF,,verified,1.0,Large Language Diffusion Models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | Jun Zhou | Yankai Lin | Ji-Rong Wen | Chongxuan LI,Advances in Neural Information Processing Systems 38,10.52202/085713-1689,https://doi.org/10.52202/085713-1689,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.03,0,0,0,0.0,0.0,0.0
"[11] Kajetan Schweighofer, Lukas Aichberger, Mykyta Ielanskyi, and Sepp Hochreiter. On information-theoretic measures of predictive uncertainty. In Silvia Chiappa and Sara Magliacane (eds.), Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence, volume 286 of Proceedings of Machine Learning Research, pp. 3605-3640. PMLR, 21-25 Jul 2025. URL https://proceedings.mlr.press/v286/ schweighofer25a.html.",conference_paper,On information-theoretic measures of predictive uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,2025,,286,,3605-3640,,,Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence,PMLR,https://proceedings.mlr.press/v286/schweighofer25a.html,,verified,1.0,On information-theoretic measures of predictive uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence (UAI 2025),,,web_search,The citation correctly refers to the paper published in PMLR volume 286 (pages 3605-3640) for UAI 2025.,109.5,35211,1189,1,0.010586,0.005,0.015586
"[12] Adina Williams, Nikita Nangia, and Samuel Bowman. A broad-coverage challenge corpus for sentence understanding through inference. In Marilyn Walker, Heng Ji, and Amanda Stent (eds.), Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers), pp. 1112-1122, New Orleans, Louisiana, June 2018. Association for Computational Linguistics. doi: 10.18653/v1/N18-1101. URL https://aclanthology. org/N18-1101/.",conference_paper,A broad-coverage challenge corpus for sentence understanding through inference,Adina Williams | Nikita Nangia | Samuel Bowman,2018,,,,1112-1122,10.18653/v1/N18-1101,,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",Association for Computational Linguistics,https://aclanthology.org/N18-1101/,,verified,1.0,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,Adina Williams | Nikita Nangia | Samuel Bowman,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Human Language
          Technologies, Volume 1 (Long Papers)",10.18653/v1/n18-1101,https://doi.org/10.18653/v1/n18-1101,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),3.9,0,0,0,0.0,0.0,0.0
"[13] Pengcheng He, Xiaodong Liu, Jianfeng Gao, and Weizhu Chen. Deberta: Decoding-enhanced bert with disentangled attention. In International Conference on Learning Representations, 2021. URL https://openreview.net/forum?id=XPZIaotutsD.",conference_paper,Deberta: Decoding-enhanced bert with disentangled attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,2021,,,,,,,International Conference on Learning Representations,,https://openreview.net/forum?id=XPZIaotutsD,,verified,1.0,DeBERTa: Decoding-enhanced BERT with disentangled attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,International Conference on Learning Representations (ICLR),,https://openreview.net/forum?id=XPxv0tQ7g8,web_search,The citation correctly identifies the paper and its publication venue.,110.6,34649,771,1,0.009819,0.005,0.014819
"[14] Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, and Samuel Bowman. GLUE: A multi-task benchmark and analysis platform for natural language understanding. In Tal Linzen, Grzegorz Chrupała, and Afra Alishahi (eds.), Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 353-355, Brussels, Belgium, November 2018. Association for Computational Linguistics. doi: 10.18653/v1/W18-5446. URL https://aclanthology.org/W18-5446/.",conference_paper,GLUE: A multi-task benchmark and analysis platform for natural language understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,2018,,,,353-355,10.18653/v1/W18-5446,,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,Association for Computational Linguistics,https://aclanthology.org/W18-5446/,,verified,1.0,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,10.18653/v1/w18-5446,https://doi.org/10.18653/v1/w18-5446,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),4.56,0,0,0,0.0,0.0,0.0
"[15] Yarin Gal and Zoubin Ghahramani. Dropout as a bayesian approximation: Representing model uncertainty in deep learning. In Maria Florina Balcan and Kilian Q. Weinberger (eds.), Proceedings of The 33rd International Conference on Machine Learning, volume 48 of Proceedings of Machine Learning Research, pp. 1050-1059, New York, New York, USA, 20-22 Jun 2016. PMLR.",conference_paper,Dropout as a bayesian approximation: Representing model uncertainty in deep learning,Yarin Gal | Zoubin Ghahramani,2016,,48,,1050-1059,,,Proceedings of The 33rd International Conference on Machine Learning,PMLR,,,verified,1.0,,,Proceedings of Machine Learning Research,,https://proceedings.mlr.press/v48/gal16.html,web_search,"The work is confirmed to be published in the Proceedings of Machine Learning Research (PMLR), volume 48 (2016).",145.97,34948,1160,1,0.007269,0.005,0.012269
