raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] I. Hamamoto, B. Mottelson, Shape deformations in atomic nuclei, Scholarpedia 7 (2012) 10693. doi:10.4249/scholarpedia.10693.",journal_article,Shape deformations in atomic nuclei,I. Hamamoto | B. Mottelson,2012,Scholarpedia,7,,10693,10.4249/scholarpedia.10693,,,,,,verified,1.0,Shape deformations in atomic nuclei,Ikuko Hamamoto | Ben R. Mottelson,Scholarpedia,10.4249/scholarpedia.10693,https://doi.org/10.4249/scholarpedia.10693,Scholarpedia,"The citation is correct. The CrossRef metadata issue identified in the pre-check (listing only 'Ikuko Mottelson') was an error in that record, not the citation itself. The article correctly lists both authors.",56.58,32869,1012,1,0.009735,0.005,0.014735
"[2] E. Litvinova, Recent advancements in the strongly coupled many-body problem, arXiv (2025). doi:10.48550/arXiv.2512.23644.",working_paper,Recent advancements in the strongly coupled many-body problem,E. Litvinova,2025,arXiv,,2512.23644,,10.48550/arXiv.2512.23644,,,,,,minor_error,1.0,Recent advancements in the strongly coupled many-body theory for nuclear spectral computation,Elena Litvinova,arXiv,10.48550/arXiv.2512.23644,https://arxiv.org/html/2512.23644,InspireHEP / arXiv,"The citation uses an incorrect, shortened title ('Recent advancements in the strongly coupled many-body problem') instead of the full, official title found on arXiv and InspireHEP ('Recent advancements in the strongly coupled many-body theory for nuclear spectral computation'). As the DOI/arXiv ID matches the specific work, this is a minor error, not a hallucination.",126.51,32124,1587,1,0.010412,0.005,0.015412
"[3] H. Hergert, A guided tour of ab initio nuclear many-body theory, fphy 8 (2020) 379. doi:10. 3389/fphy.2020.00379.",journal_article,A guided tour of ab initio nuclear many-body theory,H. Hergert,2020,Frontiers in Physics,8,,379,10.3389/fphy.2020.00379,,,,,,verified,1.0,A Guided Tour of ab initio Nuclear Many-Body Theory,Heiko Hergert,Frontiers in Physics,10.3389/fphy.2020.00379,https://doi.org/10.3389/fphy.2020.00379,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),24.05,0,0,0,0.0,0.0,0.0
"[4] A. Ekström, C. Forssén, T. Papenbrock, et al., What is ab initio in nuclear theory?, fphy 11 (2023) 1129094. doi:10.3389/fphy.2023.1129094.",journal_article,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | T. Papenbrock,2023,Frontiers in Physics,11,,1129094,10.3389/fphy.2023.1129094,,,,,,verified,0.99,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | G. Hagen | G. R. Jansen | W. Jiang | T. Papenbrock,Frontiers in Physics,10.3389/fphy.2023.1129094,https://doi.org/10.3389/fphy.2023.1129094,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.99),24.37,0,0,0,0.0,0.0,0.0
"[5] F. Iachello, Dynamic symmetries at the critical point, Phys. Rev. Lett. 85 (2000) 3580-3583. doi:10.1103/PhysRevLett.85.3580.",journal_article,Dynamic symmetries at the critical point,F. Iachello,2000,Phys. Rev. Lett.,85,,3580-3583,10.1103/PhysRevLett.85.3580,,,,,,verified,1.0,Dynamic Symmetries at the Critical Point,F. Iachello,Physical Review Letters,10.1103/physrevlett.85.3580,https://doi.org/10.1103/physrevlett.85.3580,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),24.7,0,0,0,0.0,0.0,0.0
"[6] F. Iachello, Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition, Phys. Rev. Lett. 87 (2001) 052502. doi:10.1103/PhysRevLett.87.052502.",journal_article,Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition,F. Iachello,2001,Phys. Rev. Lett.,87,,52502,10.1103/PhysRevLett.87.052502,,,,,,verified,1.0,Analytic Description of Critical Point Nuclei in a Spherical-Axially Deformed Shape Phase Transition,F. Iachello,Physical Review Letters,10.1103/physrevlett.87.052502,https://doi.org/10.1103/physrevlett.87.052502,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),25.03,0,0,0,0.0,0.0,0.0
"[7] P. Cejnar, J. Jolie, R. F. Casten, Quantum phase transitions in the shapes of atomic nuclei, Rev. Mod. Phys. 82 (2010) 2155-2212. doi:10.1103/RevModPhys.82.2155.",journal_article,Quantum phase transitions in the shapes of atomic nuclei,P. Cejnar | J. Jolie | R. F. Casten,2010,Rev. Mod. Phys.,82,,2155-2212,10.1103/RevModPhys.82.2155,,,,,,verified,1.0,Quantum phase transitions in the shapes of atomic nuclei,Pavel Cejnar | Jan Jolie | Richard F. Casten,Reviews of Modern Physics,10.1103/revmodphys.82.2155,https://doi.org/10.1103/revmodphys.82.2155,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),25.7,0,0,0,0.0,0.0,0.0
"[8] N. Pietralla, O. M. Gorbachenko, Evolution of the “β excitation” in axially symmetric transitional nuclei, Phys. Rev. C 70 (2004, 011304). doi:10.1103/PhysRevC.70.011304.",journal_article,Evolution of the “β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,2004,Phys. Rev. C,70,,11304,10.1103/PhysRevC.70.011304,,,,,,verified,1.0,Evolution of the “ β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,Physical Review C,10.1103/physrevc.70.011304,https://doi.org/10.1103/physrevc.70.011304,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),26.37,0,0,0,0.0,0.0,0.0
"[9] M. Reese, CBS model program, https://sourceforge.net/projects/cbsmodel/, 2011.",web,CBS model program,M. Reese,2011,,,,,,,,,https://sourceforge.net/projects/cbsmodel/,,verified,1.0,CBS model program,M. Reese,,,https://sourceforge.net/projects/cbsmodel/,SourceForge project page and academic reference in HNPS Advances in Nuclear Physics,"The citation refers to a software program used for nuclear structure physics calculations. The URL resolves to a valid SourceForge project page. The work is cited in academic literature (e.g., HNPS Advances in Nuclear Physics) with the exact same bibliographic details.",61.63,31280,595,1,0.008712,0.005,0.013712
"[10] P. E. Garrett, Characterization of the β vibration and 0 + 2 states in deformed nuclei, Journal of Physics G: Nuclear and Particle Physics 27 (2001) R1-R29. URL: https://doi.org/10.1088/ 0954-3899/27/1/201. doi:10.1088/0954-3899/27/1/201.",journal_article,Characterization of the β vibration and 0+2 states in deformed nuclei,P. E. Garrett,2001,Journal of Physics G: Nuclear and Particle Physics,27,,R1-R29,10.1088/0954-3899/27/1/201,,,,,,verified,0.9956204379562044,Characterization of the β vibration and 0 + 2 states in deformed nuclei,P E Garrett,Journal of Physics G: Nuclear and Particle Physics,10.1088/0954-3899/27/1/201,https://doi.org/10.1088/0954-3899/27/1/201,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),27.7,0,0,0,0.0,0.0,0.0
