raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] M. I. Katsnelson, Graphene: Carbon in Two Dimensions (Cam￾bridge University Press, Cambridge, 2012).",book,Graphene: Carbon in Two Dimensions,M. I. Katsnelson,2012,,,,,,,,Cambridge University Press,,,verified,1.0,Graphene: Carbon in Two Dimensions,Mikhail I. Katsnelson,,10.1017/cbo9781139031080,https://doi.org/10.1017/cbo9781139031080,crossref_title_static,Verified via static CrossRef title search (score: 1.00),18.36,0,0,0,0.0,0.0,0.0
"[2] L. Onsager, Phys. Rev. 65, 117 (1944).",journal_article,,L. Onsager,1944,Phys. Rev.,65,,117,,,,,,,verified,1.0,Crystal Statistics. I. A Two-Dimensional Model with an Order-Disorder Transition,Lars Onsager,Physical Review,10.1103/PhysRev.65.117,https://doi.org/10.1103/PhysRev.65.117,Physical Review (APS Physics),The citation correctly identifies the landmark paper by Lars Onsager published in Physical Review in 1944.,22.6,31374,638,1,0.0088,0.005,0.013801
"[3] D. Stauffer and A. Aharony, Introduction to Percolation Theory, 2nd ed. (Taylor & Francis, London, 2018).",book,Introduction to Percolation Theory,D. Stauffer | A. Aharony,2018,,,,,,9781315274386,,Taylor & Francis,,,verified,1.0,Introduction To Percolation Theory,Dietrich Stauffer | Ammon Aharony,,10.1201/9781315274386,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),19.3,0,0,0,0.0,0.0,0.0
"[4] N. Madras and G. Slade, The Self-Avoiding Walk (Birkh¨auser, Boston, 2013).",book,The Self-Avoiding Walk,N. Madras | G. Slade,2013,,,,,,9781461241324,,Birkh¨auser,,,verified,1.0,The Self-Avoiding Walk,Neal Madras | Gordon Slade,,10.1007/978-1-4614-6025-1,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),19.47,0,0,0,0.0,0.0,0.0
"[5] K. G. Wilson, Phys. Rev. D 10, 2445 (1974).",journal_article,,K. G. Wilson,1974,Phys. Rev. D,10,,2445,,,,,,,verified,1.0,Confinement of Quarks,"Wilson, Kenneth G.",Physical Review D,10.1103/PhysRevD.10.2445,https://link.aps.org/doi/10.1103/PhysRevD.10.2445,APS Journals,"The citation omits the title of the article, but the author, journal, volume, and page number provided are correct and uniquely identify the seminal 1974 paper 'Confinement of Quarks' by K. G. Wilson.",23.34,31372,695,1,0.005693,0.005,0.010693
"[6] M. Gardner, Sci. Am. 223(4), 120 (1970).",journal_article,,M. Gardner,1970,Sci. Am.,223,4,120,,,,,,,verified,1.0,Mathematical Games: The Fantastic Combinations of John Conway’s New Solitaire Game ‘Life’,"Gardner, Martin",Scientific American,10.1038/scientificamerican1070-120,https://doi.org/10.1038/scientificamerican1070-120,CrossRef,"The citation correctly identifies the article by Martin Gardner in Scientific American, Vol. 223, No. 4, p. 120 (1970). The start page citation is standard practice.",23.83,31711,676,1,0.002542,0.005,0.007542
"[7] For a recent review: K. Vinck et al., Rev. Mod. Phys. 95, 045003 (2023).",journal_article,,K. Vinck,2023,Rev. Mod. Phys.,95,,45003,,,,,,,minor_error,1.0,Light in correlated disordered media,Kevin Vynck | Romain Pierrat | Rémi Carminati | Luis S. Froufe-Pérez | Frank Scheffold | Riccardo Sapienza | Silvia Vignolini | Juan José Sáenz,Reviews of Modern Physics,10.1103/RevModPhys.95.045003,https://link.aps.org/doi/10.1103/RevModPhys.95.045003,Publisher (APS Journals),"The citation contains a minor spelling error in the first author's surname ('Vinck' instead of 'Vynck'). The journal, volume, article number, and year are correct.",23.96,31440,841,1,0.00593,0.005,0.01093
"[8] For a review: S. Yanchuk and G. Giacomelli, Journal of Physics A: Mathematical and Theoretical 50, 103001 (2017).",journal_article,,S. Yanchuk | G. Giacomelli,2017,Journal of Physics A: Mathematical and Theoretical,50,,103001,,,,,,,verified,1.0,Spatio-temporal phenomena in complex systems with time delays,Serhiy Yanchuk | Giovanni Giacomelli,Journal of Physics A: Mathematical and Theoretical,10.1088/1751-8121/50/10/103001,https://doi.org/10.1088/1751-8121/50/10/103001,Publisher/DOI record: https://doi.org/10.1088/1751-8121/50/10/103001,"The citation omits the title, which is an incomplete bibliographic style but does not prevent identification of the work. The coordinates (Journal, Volume, Article Number, Year) are exact.",27.78,31904,1413,1,0.010096,0.005,0.015096
"[9] S.A. Campbell, Time delay in neural systems Handbook of brain connectivity, V Jirsa, A. McIntosh, Springer 2007, 65-90.",book_chapter,Time delay in neural systems,S.A. Campbell,2007,,,,65-90,,,Handbook of brain connectivity,Springer,,,verified,0.9894736842105263,Time Delays in Neural Systems,Sue Ann Campbell,Understanding Complex Systems,10.1007/978-3-540-71512-2_2,https://doi.org/10.1007/978-3-540-71512-2_2,crossref_title_static,Verified via static CrossRef title search (score: 0.99),20.43,0,0,0,0.0,0.0,0.0
"[10] J. D. Farmer, Physica D: Nonlinear Phenomena 4, 366 (1982).",journal_article,,J. D. Farmer,1982,Physica D: Nonlinear Phenomena,4,,366,,,,,,,verified,1.0,Chaotic attractors of an infinite-dimensional dynamical system,J. Doyne Farmer,Physica D: Nonlinear Phenomena,10.1016/0167-2789(82)90042-2,https://doi.org/10.1016/0167-2789(82)90042-2,"Publisher (Elsevier/ScienceDirect) record for Physica D volume 4, issue 3, pp. 366-393.","The citation is accurate. It omits the article title, which is standard in some citation styles (e.g., Physical Review/APS style), but provides correct bibliographic coordinates.",26.44,31629,985,1,0.009385,0.005,0.014385
"[11] For a recent review: T. Erneux, J. Javaloyes, M. Wolfrum and S. Yanchuk, Chaos 27, 114201 (2017).",journal_article,,T. Erneux | J. Javaloyes | M. Wolfrum | S. Yanchuk,2017,Chaos,27,,114201,,,,,,,verified,1.0,Introduction to Focus Issue: Time-delay dynamics,Thomas Erneux | Julien Javaloyes | Matthias Wolfrum | Serhiy Yanchuk,Chaos: An Interdisciplinary Journal of Nonlinear Science,10.1063/1.5011354,https://doi.org/10.1063/1.5011354,Publisher/DOI record: https://pubmed.ncbi.nlm.nih.gov/29195312/,"The citation correctly identifies the work using standard bibliographic notation (Journal, Volume, Page, Year). The omission of the article title is acceptable in many citation styles and does not constitute an error.",26.75,31879,1053,1,0.006357,0.005,0.011357
