raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,1.0,,,,,,,"The citation is a bare filename ('1. Review-of-predicting-crime-rates.pdf') with no associated metadata (authors, title, or publication details). Per the verification guidelines, URL-only or filename-only entries are classified as 'not_found' regardless of whether a matching document exists elsewhere.",25.09,31758,708,1,0.005809,0.005,0.010809
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,1.0,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,"The citation consists solely of a URL with no bibliographic information (title, authors, etc.). While the URL resolves to a real document ('A Multi-Jurisdictional Test of Risk Terrain Modeling and Place-Based Evaluation of Environmental Risk-Based Patrol Deployment Strategies: Results in Brief'), the explicit hard rule for URL-only citations requires a status of not_found, regardless of the fact that the URL is live.",26.64,31962,842,1,0.002853,0.005,0.007853
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,1.0,,,,,,,"The citation consists only of a URL, which contains a typo ('policingalgorithms' instead of 'policing-algorithms'). Under the rules for URL-only citations, even if the work is identifiable, the status must be not_found. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",26.31,31857,865,1,0.009262,0.005,0.014262
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,1.0,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,"The cited work consists only of a URL without title or author metadata. According to the instruction 'URL-ONLY AND INCOMPLETE CITATIONS', such entries are not_found even when the URL is live and resolves to a valid resource.",25.91,31333,572,1,0.008691,0.005,0.013691
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,,not_found,1.0,,,,,,,"The citation is a bare URL without any provided title or author metadata. Under the instructions, URL-only citations are classified as not_found, even if the URL resolves to a real document. Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",27.89,31734,914,1,0.009305,0.005,0.014305
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,1.0,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,"The citation is a URL-only entry without any title or author metadata. Per the instructions, a URL-only or filename-only citation must be marked as not_found, even if the URL is live and resolves to a real resource.",28.67,31902,679,1,0.005787,0.005,0.010787
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,1.0,Source: Kalshi's valuation jumps to $11B after raising massive $1B round,,TechCrunch,,,TechCrunch,"The citation is a bare URL with no authors or title provided in the text. Although the URL leads to a real article (with a slight typo in the URL path: the cited URL lacks a hyphen in '$1bround', which should be '$1b-round'), the hard rule for URL-only citations mandates a status of 'not_found' regardless of whether the URL is live. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",30.18,31853,889,1,0.006104,0.005,0.011104
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,1.0,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,"The citation is a bare URL without an author or a descriptive title. Per the instructions, a URL-only bibliography entry is 'not_found' even if the URL is valid. The cited URL appears to be an older or alternative path that redirects to 'https://trustwallet.com/blog/academy/best-crypto-prediction-markets-in-2025'. Cited URL is live/reachable (https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",31.32,31228,811,1,0.005816,0.005,0.010816
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,1.0,,,,,https://defirate.com/prediction-markets/,,"The citation is a bare URL. While the URL is live and resolves to an article titled 'Best Prediction Market Apps: Top Platforms Compared in 2026' on DeFi Rate, the citation itself contains no bibliographic information (no title, no author). Per the instructions, a URL-only bibliography entry is not_found.",29.28,31337,659,1,0.005615,0.005,0.010615
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,1.0,,,,,,,"The citation consists only of a URL without an associated author or title. Per the hard rules for URL-only/incomplete citations, this is categorized as not_found regardless of the URL's validity. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",32.76,31838,920,1,0.006132,0.005,0.011132
