document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,70,0,2,1,0,0,274.42,35.28,101.87,79.47,2575.56,923212,20623,943835,29,0.220193,0.145,0.365194
1_perspective_PLOSWater_preview,67,58,0,7,2,0,0,181.07,63.28,113.19,100.81,4239.52,1516024,46702,1562726,46,0.404269,0.23,0.634266
23812_Unmasking_Puppeteers_Lev,72,66,0,5,1,0,0,229.84,32.11,121.9,59.15,2311.65,158952,3842,162794,5,0.042308,0.025,0.067308
24047_Fourier_Token_Merging_Un,32,22,0,3,7,0,0,177.42,56.66,126.83,90.92,1813.19,380762,11512,392274,12,0.096452,0.06,0.156452
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,97,1,5,1,0,0,323.47,53.1,124.83,102.16,5522.9,1051607,30553,1082160,33,0.273555,0.165,0.438557
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,147,2,5,2,0,0,270.54,32.54,80.65,65.76,5075.6,824898,19350,844248,26,0.203249,0.13,0.333249
2606.11565v1,38,19,2,3,14,0,0,188.55,47.5,71.6,65.09,1804.99,835789,25259,861048,26,0.211658,0.13,0.341657
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,96.67,37.2,71.33,68.37,1339.02,194895,6844,201739,6,0.039818,0.03,0.069818
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,62,0,13,0,0,0,213.45,40.02,76.35,68.93,3001.66,759050,18518,777568,24,0.169553,0.12,0.289555
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,0,1,4,0,0,96.04,31.71,58.54,57.62,1109.86,350523,9308,359831,11,0.085586,0.055,0.140586
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,69,1,5,1,0,0,163.28,39.43,126.51,68.07,2996.59,451454,14257,465711,14,0.121446,0.07,0.191447
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,2,7,0,0,159.26,40.82,81.29,68.79,3102.7,435220,15547,450767,13,0.119306,0.065,0.184306
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,31,1,0,0,0,0,112.18,56.03,89.51,88.78,1792.92,415924,12696,428620,13,0.107017,0.065,0.172018
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,50,0,1,1,0,0,137.14,30.39,88.74,54.34,1580.06,159750,5483,165233,5,0.044954,0.025,0.069954
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,15,0,2,6,0,0,203.54,56.64,129.2,85.13,1302.83,158212,3812,162024,5,0.035679,0.025,0.060679
