raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Sacoman TM, Beltrammi DGM, Andrezza R, Cecílio LCdO, Reis AACd. Implementation of the Manchester Triage System in a Municipal Emergency Network. Saúde em Debate. 2019;43(121):354-67. https://doi.org/10.1590/0103-1104201912105",journal_article,Implementation of the Manchester Triage System in a Municipal Emergency Network,Sacoman TM | Beltrammi DGM | Andrezza R | Cecílio LCdO | Reis AACd,2019,Saúde em Debate,43,121,354-67,,,,,,,verified,1.0,Implantação do Sistema de Classificação de Risco Manchester em uma rede municipal de urgência,"Sacoman, Thiago Marchi | Beltrammi, Daniel Gomes Monteiro | Andrezza, Rosemarie | Cecílio, Luiz Carlos de Oliveira | Reis, Ana Alexandra Caldeira de",Saúde em Debate,10.1590/0103-1104201912105,https://www.scielosp.org/article/sdeb/2019.v43n121/354-367/en/,Scielo (publisher/journal archive),"The cited article is the English-language version/translation provided by the official journal website (Scielo) for the DOI 10.1590/0103-1104201912105. The cited title is a standard, descriptive translation of the original Portuguese title found at the DOI.",73.46,32077,1241,1,0.003481,0.005,0.008481
"10. Ivanov O, Wolf L, Brecher D, Lewis E, Masek K, Montgomery K, et al. Improving ED Emergency Severity Index Acuity Assignment Using Machine Learning and Clinical Natural Language Processing. J Emerg Nurs. 2021;47(2):265-278.e7. https://doi.org/10.1016/j.jen.2020.11.001 PMID: 33358394",journal_article,Improving ED Emergency Severity Index Acuity Assignment Using Machine Learning and Clinical Natural Language Processing,Ivanov O | Wolf L | Brecher D | Lewis E | Masek K | Montgomery K,2021,J Emerg Nurs,47,2,265-278.e7,,,,,,,verified,1.0,Improving ED Emergency Severity Index Acuity Assignment Using Machine Learning and Clinical Natural Language Processing,Oleksandr Ivanov | Lisa Wolf | Deena Brecher | Erica Lewis | Kevin Masek | Kyla Montgomery,Journal of Emergency Nursing,10.1016/j.jen.2020.11.001,https://pubmed.ncbi.nlm.nih.gov/33358394/,PubMed,"The citation accurately identifies the paper, journal, year, and pagination. The author list is complete enough for a standard citation using 'et al.' as found in the primary publication record.",72.14,31981,934,1,0.009396,0.005,0.014396
"11. Tam HL, Chung SF, Lou CK. A review of triage accuracy and future direction. BMC Emerg Med. 2018;18(1):58. https://doi.org/10.1186/s12873-018-0215-0 PMID: 30572841",journal_article,A review of triage accuracy and future direction,Tam HL | Chung SF | Lou CK,2018,BMC Emerg Med,18,1,58,,,,,,,verified,1.0,A review of triage accuracy and future direction,Hon Lon Tam | Siu Fung Chung | Chi Kin Lou,BMC Emergency Medicine,10.1186/s12873-018-0215-0,https://doi.org/10.1186/s12873-018-0215-0,crossref_title_static,Verified via static CrossRef title search (score: 1.00),32.32,0,0,0,0.0,0.0,0.0
"12. Peters MDJ, Godfrey C, McInerney P, et al. JBI Reviewer’s Manual. JBI. 2020. https://jbi-global-wiki.refined.site/space/MANUAL/355863557/Previous%20versions?attachment=%2Fdownload%2Fattachments%2F355863557%2FJBI_Reviewers_Manual_2020June.pdf&type=application%2Fpdf&filename=JBI_Reviewers_Manual_2020June.pdf",book,JBI Reviewer’s Manual,Peters MDJ | Godfrey C | McInerney P,2020,,,,,,,,JBI,https://jbi-global-wiki.refined.site/space/MANUAL/355863557/Previous%20versions?attachment=%2Fdownload%2Fattachments%2F355863557%2FJBI_Reviewers_Manual_2020June.pdf&type=application%2Fpdf&filename=JBI_Reviewers_Manual_2020June.pdf,,verified,1.0,JBI Reviewer's Manual,Aromataris E | Munn Z | Peters MDJ | Godfrey C | McInerney P | et al.,JBI,,https://jbi-global-wiki.refined.site/download/attachments/355863557/JBI_Reviewers_Manual_2020June.pdf?download=true,Official JBI repository and library guides,"The JBI Reviewer's Manual (2020) is a real, widely cited work. The citation style used (listing key chapter authors + 'et al.') is standard for this manual, which is often cited via its specific chapters. The provided URL points to the 2020 PDF version directly.",75.16,32096,943,1,0.006231,0.005,0.011231
"13. Tricco AC, Lillie E, Zarin W, O’Brien KK, Colquhoun H, Levac D, et al. PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation. Ann Intern Med. 2018;169(7):467-73. https://doi.org/10.7326/M18-0850 PMID: 30178033",journal_article,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,Tricco AC | Lillie E | Zarin W | O’Brien KK | Colquhoun H | Levac D,2018,Ann Intern Med,169,7,467-73,,,,,,,verified,1.0,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,Tricco AC | Lillie E | Zarin W | O’Brien KK | Colquhoun H | Levac D | Moher D | Peters MD | Horsley T | Weeks L | Hempel S,Annals of Internal Medicine,10.7326/M18-0850,https://doi.org/10.7326/M18-0850,Publisher/DOI record,"The citation is accurate. It includes the correct title, authors (with et al.), journal (abbreviated), year, volume, issue, and page range. The cited DOI matches the official publication.",73.16,32001,672,1,0.009008,0.005,0.014008
"14. Peters MDJ, Godfrey C, McInerney P, Khalil H, Larsen P, Marnie C, et al. Best practice guidance and reporting items for the development of scoping review protocols. JBI Evid Synth. 2022;20(4):953-68. https://doi.org/10.11124/JBIES-21-00242 PMID: 35102103",journal_article,Best practice guidance and reporting items for the development of scoping review protocols,Peters MDJ | Godfrey C | McInerney P | Khalil H | Larsen P | Marnie C,2022,JBI Evid Synth,20,4,953-68,,,,,,,verified,1.0,Best practice guidance and reporting items for the development of scoping review protocols,Peters MDJ | Godfrey C | McInerney P | Khalil H | Larsen P | Marnie C | Pollock D | Tricco AC | Munn Z,JBI Evidence Synthesis,10.11124/JBIES-21-00242,https://pubmed.ncbi.nlm.nih.gov/35102103/,Publisher (JBI Evidence Synthesis) and PubMed record.,"The citation is accurate and complete, including a valid DOI and PMID. The use of 'et al.' correctly handles the additional co-authors not explicitly listed.",75.85,32215,1079,1,0.006465,0.005,0.011465
"15. Bradbury-Jones C, Aveyard H, Herber OR, Isham L, Taylor J, O’Malley L. Scoping reviews: the PAGER framework for improving the quality of reporting. International Journal of Social Research Methodology. 2021;25(4):457-70. https://doi.org/10.1080/13645579.2021.1899596",journal_article,Scoping reviews: the PAGER framework for improving the quality of reporting,Bradbury-Jones C | Aveyard H | Herber OR | Isham L | Taylor J | O’Malley L,2021,International Journal of Social Research Methodology,25,4,457-70,,,,,,,minor_error,1.0,Scoping reviews: the PAGER framework for improving the quality of reporting,Caroline Bradbury-Jones | Helen Aveyard | Oliver Rudolf Herber | Louise Isham | Julie Taylor | Lisa O’Malley,International Journal of Social Research Methodology,10.1080/13645579.2021.1899596,https://doi.org/10.1080/13645579.2021.1899596,crossref_title_static,"Verified via static CrossRef title search (score: 1.00) Same work identified, but the citation year (2021) does not match the volume/issue (published-print) year (2022) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",33.52,0,0,0,0.0,0.0,0.0
16. Porto BM. Improving triage performance in emergency departments using machine learning and natural language processing: a systematic review. BMC Emerg Med. 2024;24(1):219. https://doi.org/10.1186/s12873-024-01135-2 PMID: 39558255,journal_article,Improving triage performance in emergency departments using machine learning and natural language processing: a systematic review,Porto BM,2024,BMC Emerg Med,24,1,219,,,,,,,verified,1.0,Improving triage performance in emergency departments using machine learning and natural language processing: a systematic review,Bruno Matos Porto,BMC Emergency Medicine,10.1186/s12873-024-01135-2,https://doi.org/10.1186/s12873-024-01135-2,crossref_title_static,Verified via static CrossRef title search (score: 1.00),33.52,0,0,0,0.0,0.0,0.0
"17. Sánchez-Salmerón R, Gómez-Urquiza JL, Albendín-García L, Correa-Rodríguez M, Martos-Cabrera MB, Velando-Soriano A, et al. Machine learning methods applied to triage in emergency services: A systematic review. Int Emerg Nurs. 2022;60:101109. https://doi.org/10.1016/j.ienj.2021.101109 PMID: 34952482",journal_article,Machine learning methods applied to triage in emergency services: A systematic review,Sánchez-Salmerón R | Gómez-Urquiza JL | Albendín-García L | Correa-Rodríguez M | Martos-Cabrera MB | Velando-Soriano A,2022,Int Emerg Nurs,60,,101109,,,,,,,verified,0.9714285714285715,Machine learning methods applied to triage in emergency services: A systematic review,Rocío Sánchez-Salmerón | José L. Gómez-Urquiza | Luis Albendín-García | María Correa-Rodríguez | María Begoña Martos-Cabrera | Almudena Velando-Soriano | Nora Suleiman-Martos,International Emergency Nursing,10.1016/j.ienj.2021.101109,https://doi.org/10.1016/j.ienj.2021.101109,crossref_title_static,Verified via static CrossRef title search (score: 0.97),34.3,0,0,0,0.0,0.0,0.0
"18. Chang H, Yu JY, Lee GH, Heo S, Lee SU, Hwang SY, et al. Clinical support system for triage based on federated learning for the Korea triage and acuity scale. Heliyon. 2023;9(8):e19210. https://doi.org/10.1016/j.heliyon.2023.e19210 PMID: 37654468",journal_article,Clinical support system for triage based on federated learning for the Korea triage and acuity scale,Chang H | Yu JY | Lee GH | Heo S | Lee SU | Hwang SY,2023,Heliyon,9,8,e19210,,,,,,,verified,1.0,Clinical support system for triage based on federated learning for the Korea triage and acuity scale,"Chang, Hansol | Yu, Jae Yong | Lee, Geun Hyeong | Heo, Sejin | Lee, Se Uk | Hwang, Sung Yeon | Yoon, Hee | Cha, Won Chul | Shin, Tae Gun | Sim, Min Seob | Jo, Ik Joon | Kim, Taerim",Heliyon,10.1016/j.heliyon.2023.e19210,https://www.sciencedirect.com/science/article/pii/S2405844023064186,Publisher (ScienceDirect),"The citation accurately identifies the work, using the correct title, journal, volume, issue, article number, and DOI. The author list is appropriately truncated with 'et al.', covering the lead authors found on the publisher's page.",75.9,31770,851,1,0.00282,0.005,0.00782
