raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,1.0,Use research on Claude,Anthropic,Anthropic Help Center,,https://support.claude.com/en/articles/11088861-use-research-on-claude,Anthropic Help Center,The support article exists on Anthropic's help site. The cited title 'Using Research on Claude' is extremely close to the live page title 'Use research on Claude' (a minor wording/verb difference common in web page titles). The URL works and confirms the source.,60.66,31415,356,1,0.010315,0.005,0.015315
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),31.49,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,9783849513375,,Yale University Press,,,verified,1.0,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",Yale University Press,,,Publisher / Library Catalog records,"The book exists as cited (published by Yale University Press). The first edition copyright/publication year is 2008, while 2010 is a subsequent printing or paperback edition year, which is fully accepted for book citations under softcover/reprint rules.",58.59,31590,316,1,0.010267,0.005,0.015267
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,1.0,About CC Licenses,Creative Commons,Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,Creative Commons website,The URL is live and points to the official Creative Commons 'About CC Licenses' page. Gray literature leniency applies to web pages and organizational guidelines.,58.52,31127,276,1,0.010028,0.005,0.015028
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,verified,1.0,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,X,,https://x.com/CrimConsortium/status/1991479707309863158,X post,"The cited X post exists and matches the given text, author, and date. The URL is live and reachable.",62.41,31329,353,1,0.010281,0.005,0.015281
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,1.0,Consortium - CrimRxiv,CrimRxiv Consortium,CrimRxiv,,https://www.crimrxiv.com/consortium,CrimRxiv website,The URL https://www.crimrxiv.com/consortium exists and describes the CrimRxiv Consortium as cited.,64.44,31213,283,1,0.010071,0.005,0.015071
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,not_found,0.5,,,,,,,"The citation is for a website homepage/repository (crimrxiv.com) with no specific author or article title besides the site title and a URL. Per the guidelines, URL-only or website homepage entries lacking specific article/document titles and authors are not verifiable academic works and should be marked as not_found.",57.6,15461,197,0,0.005131,0.0,0.005131
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,1.0,European Network for Open Criminology,European Network for Open Criminology,,,https://esc-enoc.github.io,Website,The URL https://esc-enoc.github.io is live and correctly hosts the website for the European Network for Open Criminology.,64.79,30914,297,1,0.006189,0.005,0.011189
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,1.0,Gemini Deep Research — your personal research assistant,Google,Google,,https://gemini.google/overview/deep-research/,Web Search / Google Overview Page,"The URL https://gemini.google/gb/overview/deep-research is a valid Google overview page for Gemini Deep Research, matching the cited title and author.",69.53,31087,286,1,0.010041,0.005,0.015041
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,verified,0.95,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,Scott Jaques | Andrew Wheeler,Journal of Qualitative Criminal Justice & Criminology,10.21428/88de04a1.29bd3039,https://doi.org/10.21428/88de04a1.29bd3039,Crossref / Publisher Landing Page,"The paper exists and matches the title, DOI, and journal. The minor spelling variation in the author's surname (Jaques vs Jacques) along with matching author names, title, and DOI indicates the same work.",74.21,33075,467,1,0.01109,0.005,0.01609
"Jacques, Scott, and Eric Piza. 2022. The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals. ACJS Today. (OA postprint: https://doi.org/10.21428/cb6ab371.b21d7325)",journal_article,The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals,"Jacques, Scott | Piza, Eric",2022,ACJS Today,,,,,,,,,,verified,1.0,The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals,Scott Jacques | Eric Piza,ACJS Today,10.21428/cb6ab371.b21d7325,https://doi.org/10.21428/cb6ab371.b21d7325,PubPub / ACJS Today,"The article was originally published in ACJS Today in 2022 by Scott Jacques and Eric Piza, with an open-access postprint available via PubPub at the provided DOI.",70.16,32801,416,1,0.003223,0.005,0.008223
"Jacques, Scott. 2023. Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice. Journal of Contemporary Criminal Justice 39:371-386. https://doi.org/10.1177/10439862231172737 (OA postprint: https://doi.org/10.21428/cb6ab371.69930b9a)",journal_article,"Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice","Jacques, Scott",2023,Journal of Contemporary Criminal Justice,39,,371-386,10.1177/10439862231172737,,,,,,verified,1.0,"Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice",Scott Jacques,Journal of Contemporary Criminal Justice,10.1177/10439862231172737,https://doi.org/10.1177/10439862231172737,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),34.82,0,0,0,0.0,0.0,0.0
"Jacques, Scott. 2025a. Making Your Articles Open Access: Opportunities and Choices. The Criminologist, May/June issue. https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf",journal_article,Making Your Articles Open Access: Opportunities and Choices,"Jacques, Scott",2025,The Criminologist,,,,,,,,https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf,,verified,0.95,Making your articles open access: Opportunities and choices,Scott Jacques,The Criminologist,10.21428/7b6d533a.09a798ae,https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf,Crossref / Publisher record and ASC Criminologist newsletter PDF,The citation references an article by Scott Jacques published in The Criminologist (May/June 2025 issue) with an accompanying URL pointing to the publication PDF.,71.02,33056,371,1,0.007013,0.005,0.012013
"Jacques, Scott. 2025b. Creating Criminology Podcasts with Generative Artificial Intelligence, Storing Them on Web3, and Sharing Them Open Access: A Contribution to Utilitarian Digital Pedagogy (Part I - Conceptual and Theoretical Issues). CrimRxiv. https://doi.org/10.21428/cb6ab371.0753be51",working_paper,"Creating Criminology Podcasts with Generative Artificial Intelligence, Storing Them on Web3, and Sharing Them Open Access: A Contribution to Utilitarian Digital Pedagogy (Part I - Conceptual and Theoretical Issues)","Jacques, Scott",2025,CrimRxiv,,,,10.21428/cb6ab371.0753be51,,,,,,verified,1.0,"Creating criminology podcasts with generative artificial intelligence, storing them on Web3, and sharing them open access: A contribution to utilitarian digital pedagogy (Part I - conceptual and theoretical issues)",Scott Jacques,,10.21428/cb6ab371.0753be51,https://doi.org/10.21428/cb6ab371.0753be51,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.48,0,0,0,0.0,0.0,0.0
"Johnson, Thaddeus L., and Natasha N. Johnson. 2026. Academic Freedom, Manufactured Evidence, and the Integrity of Criminal Justice Policy. Evidence Base: Criminal Justice Research, Policy & Action, 2612200. https://doi.org/10.1080/30679125.2025.2612200",journal_article,"Academic Freedom, Manufactured Evidence, and the Integrity of Criminal Justice Policy","Johnson, Thaddeus L. | Johnson, Natasha N.",2026,"Evidence Base: Criminal Justice Research, Policy & Action",,2612200,,10.1080/30679125.2025.2612200,,,,,,verified,1.0,"Academic freedom, manufactured evidence, and the integrity of criminal justice policy",Thaddeus L. Johnson | Natasha N. Johnson,Evidence Base,10.1080/30679125.2025.2612200,https://doi.org/10.1080/30679125.2025.2612200,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.81,0,0,0,0.0,0.0,0.0
"Kelleher, John D. 2019. Deep Learning. Cambridge, MA: MIT Press.",book,Deep Learning,"Kelleher, John D.",2019,,,,,,9780262354899,,MIT Press,,,verified,1.0,Deep Learning,John D. Kelleher,,10.7551/mitpress/11171.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),36.39,0,0,0,0.0,0.0,0.0
"Li, Minghao, Ying Zeng, Zhihao Cheng, Cong Ma, and Kai Jia. 2025. ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks.” arXiv. https://doi.org/10.48550/ARXIV.2508.15804",working_paper,ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks,"Li, Minghao | Zeng, Ying | Cheng, Zhihao | Ma, Cong | Jia, Kai",2025,arXiv,,2508.15804,,10.48550/ARXIV.2508.15804,,,,,,verified,0.95,ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks,Minghao Li | Ying Zeng | Zhihao Cheng | Cong Ma | Kai Jia,arXiv,10.48550/arXiv.2508.15804,https://arxiv.org/abs/2508.15804,arxiv_static,Verified via arXiv id 2508.15804.,134.54,0,0,0,0.0,0.0,0.0
"Lowe, Derek. 2025. An Evaluation of “Deep Research” Performance. Science. https://www.science.org/content/blog-post/evaluation-deep-research-performance",journal_article,An Evaluation of “Deep Research” Performance,"Lowe, Derek",2025,Science,,,,,,,,https://www.science.org/content/blog-post/evaluation-deep-research-performance,,verified,1.0,An Evaluation of “Deep Research” Performance,Derek Lowe,Science,,https://www.science.org/content/blog-post/evaluation-deep-research-performance,Science,The citation correctly points to Derek Lowe's blog post in Science titled An Evaluation of Deep Research Performance published in February 2025.,79.35,31303,295,1,0.010128,0.005,0.015128
"OpenAI. No date, a. ChatGPT. Retrieved January 16, 2026, from https://chatgpt.com",web,ChatGPT,OpenAI,,,,,,,,,,https://chatgpt.com,,verified,1.0,ChatGPT,OpenAI,,,https://chatgpt.com,https://chatgpt.com,The URL https://chatgpt.com is live and points to the official ChatGPT platform.,79.52,15431,202,0,0.00131,0.0,0.00131
"OpenAI. No date, b. Deep Research. Retrieved January 16, 2026, from https://platform.openai.com",web,Deep Research,OpenAI,,,,,,,,,,https://platform.openai.com,,verified,1.0,Deep Research,OpenAI,,,https://platform.openai.com,OpenAI website and API documentation,"The citation refers to OpenAI's Deep Research feature/documentation on OpenAI's platform, which is an online resource. The URL is live and points to OpenAI's platform.",111.87,31102,284,1,0.010041,0.005,0.015041
"Perplexity. No date. Perplexity. Accessed January 31, 2026. https://www.perplexity.ai",web,Perplexity,Perplexity,,,,,,,,,,https://www.perplexity.ai,,not_found,1.0,,,,,https://www.perplexity.ai,,"The citation is for a bare URL/homepage (https://www.perplexity.ai) with no specific article title or authors, representing a URL-only entry. Under the URL-ONLY AND INCOMPLETE CITATIONS rule, this must be marked as not_found. The URL is live and reachable.",112.56,30715,299,1,0.009962,0.005,0.014962
"Piza, Eric, and Scott Jacques. 2020. ASC Should Make It Legal for Their Journals’Authors to Immediately, Publicly Share the Accepted Version of Their Manuscripts. CrimRxiv. https://doi.org/10.21428/cb6ab371.34729226",working_paper,"ASC Should Make It Legal for Their Journals’Authors to Immediately, Publicly Share the Accepted Version of Their Manuscripts","Piza, Eric | Jacques, Scott",2020,CrimRxiv,,,,10.21428/cb6ab371.34729226,,,,,,verified,0.9975510204081632,"ASC Should Make It Legal for Their Journals' Authors to Immediately, Publicly Share the Accepted Version of Their Manuscripts",Eric Piza | Scott Jacques,CrimRxiv,10.21428/cb6ab371.34729226,https://doi.org/10.21428/cb6ab371.34729226,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),52.23,0,0,0,0.0,0.0,0.0
"Raaijmakers, Stephan. 2025. Large Language Models. Cambridge, MA: MIT Press.",book,Large Language Models,"Raaijmakers, Stephan",2025,,,,,,9780262552691,,MIT Press,,,verified,1.0,Large Language Models,Stephan Raaijmakers,,10.7551/mitpress/15517.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),50.98,0,0,0,0.0,0.0,0.0
"Reagle, Joseph. 2010. Good Faith Collaboration: The Culture of Wikipedia. MIT Press.",book,Good Faith Collaboration: The Culture of Wikipedia,"Reagle, Joseph",2010,,,,,,9780262518208,,MIT Press,,,verified,1.0,Good Faith Collaboration: The Culture of Wikipedia,Joseph Reagle,,10.7551/mitpress/8051.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),50.2,0,0,0,0.0,0.0,0.0
"Stryker, Cole, and Mark Scapicchio. 2024. What is generative AI? IBM. https://www.ibm.com/think/topics/generative-ai",web,What is generative AI?,"Stryker, Cole | Scapicchio, Mark",2024,,,,,,,,IBM,https://www.ibm.com/think/topics/generative-ai,,verified,1.0,What is generative AI?,Cole Stryker | Mark Scapicchio,IBM Think,,https://www.ibm.com/think/topics/generative-ai,IBM Think,The IBM Think article titled 'What is generative AI?' by Cole Stryker and Mark Scapicchio is live and accessible at the cited URL.,118.95,31317,315,1,0.010183,0.005,0.015183
