raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] S. Garfinkel, “Digital forensics research: The next 10 years,” Digital Investigation, vol. 7, pp. S64-S73, 2010. DOI: 10.1016/j.diin.2010.05.009",journal_article,Digital forensics research: The next 10 years,S. Garfinkel,2010,Digital Investigation,7,,S64-S73,10.1016/j.diin.2010.05.009,,,,,,verified,1.0,Digital forensics research: The next 10 years,Simson L. Garfinkel,Digital Investigation,10.1016/j.diin.2010.05.009,https://doi.org/10.1016/j.diin.2010.05.009,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),23.27,0,0,0,0.0,0.0,0.0
"[2] N. Moustafa and J. Slay, “The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,” Information Security Journal: A Global Perspective, vol. 25, no. 1-3, pp. 18-31, 2016.",journal_article,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,N. Moustafa | J. Slay,2016,Information Security Journal: A Global Perspective,25,1-3,18-31,,,,,,,verified,1.0,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,Nour Moustafa | Jill Slay,Information Security Journal: A Global Perspective,10.1080/19393555.2015.1125974,https://doi.org/10.1080/19393555.2015.1125974,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.72,0,0,0,0.0,0.0,0.0
"[3] E. Casey, Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet, 3rd ed. Academic Press, 2011.",book,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",E. Casey,2011,,,,,,,,Academic Press,,,verified,1.0,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",Eoghan Casey,Academic Press,,,Elsevier / Academic Press,ISBN: 9780123742681. Published by Academic Press (an imprint of Elsevier) in 2011 (3rd edition).,51.62,31334,338,1,0.012384,0.005,0.017384
"[4] K. Kent, S. Chevalier, T. Grance, and H. Dang, “Guide to integrating forensic techniques into incident response,” NIST Special Publication 800-86, 2006.",book,Guide to integrating forensic techniques into incident response,K. Kent | S. Chevalier | T. Grance | H. Dang,2006,,,,,,,,NIST Special Publication 800-86,,,verified,1.0,Guide to Integrating Forensic Techniques into Incident Response,Karen Kent | Suzanne Chevalier | Tim Grance | Hung Dang,NIST Special Publication 800-86,10.6028/NIST.SP.800-86,https://csrc.nist.gov/pubs/sp/800/86/final,NIST Computer Security Resource Center / CrossRef,The citation accurately represents the official NIST Special Publication (NIST SP 800-86) published in August 2006 with DOI 10.6028/NIST.SP.800-86.,54.73,31487,469,1,0.012687,0.005,0.017687
"[5] R. Poisel, S. Tjoa, and P. Tavolato, “Towards reproducible forensic investigation process,” in Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES), 2021, pp. 1-9.",conference_paper,Towards reproducible forensic investigation process,R. Poisel | S. Tjoa | P. Tavolato,2021,,,,1-9,,,"Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES)",,,,hallucination,0.99,,,,,,,"The citation is a hallucinated chimera. No primary publication titled 'Towards reproducible forensic investigation process' exists in ARES 2021 or in the literature. Furthermore, ARES proceedings have been published by ACM (ACM ICPS) since 2017, not IEEE.",52.0,31439,387,1,0.012515,0.005,0.017515
"[6] G. Combs et al., “Wireshark network protocol analyzer,” Available: https://www.wireshark.org, 2023.",web,Wireshark network protocol analyzer,G. Combs,2023,,,,,,,,,https://www.wireshark.org,,verified,1.0,Wireshark network protocol analyzer,Gerald Combs,https://www.wireshark.org,,https://www.wireshark.org,web,Standard software/web resource citation for the open-source Wireshark network protocol analyzer created by Gerald Combs and the Wireshark development team.,60.14,31328,313,1,0.012335,0.005,0.017335
"[7] V. Paxson, “Bro: A system for detecting network intruders in real-time,” Computer Networks, vol. 31, no. 23-24, pp. 2435-2463, 1999.",journal_article,Bro: A system for detecting network intruders in real-time,V. Paxson,1999,Computer Networks,31,23-24,2435-2463,,,,,,,verified,1.0,Bro: a system for detecting network intruders in real-time,Vern Paxson,Computer Networks,10.1016/s1389-1286(99)00112-7,https://doi.org/10.1016/s1389-1286(99)00112-7,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.86,0,0,0,0.0,0.0,0.0
"[8] M. Hogan, “Digital forensic chain of custody: Guidance for law enforcement,” Journal of Digital Forensics, Security and Law, vol. 14, no. 2, pp. 7-24, 2019.",journal_article,Digital forensic chain of custody: Guidance for law enforcement,M. Hogan,2019,"Journal of Digital Forensics, Security and Law",14,2,7-24,,,,,,,hallucination,0.99,,,,,,,"The cited article does not exist. An examination of the table of contents of Journal of Digital Forensics, Security and Law, Volume 14, Issue 2 (2019) reveals completely different articles (e.g. by Thomas Hyslip & Thomas Holt, and Robin Verma et al.). The citation is a classic hallucination combining a plausible title, real journal, and fake bibliographic record.",56.17,31435,416,1,0.008466,0.005,0.013466
"[9] K. Hausknecht, D. Foit, and J. Buric, “Heterogeneous data integration in digital forensics,” in Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C), 2017, pp. 129-136.",conference_paper,Heterogeneous data integration in digital forensics,K. Hausknecht | D. Foit | J. Buric,2017,,,,129-136,,,"Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C)",,,,hallucination,0.95,,,"IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",,,,"In IEEE QRS-C 2017 (pages 129-136), the actual published paper is 'Security Policy Specification and Threat Evaluation: An Aircraft Perspective' by S. D. Brodt, M. S. de Oliveira, and E. M. de Oliveira (DOI: 10.1109/QRS-C.2017.30). The cited title and author combination is fabricated at these coordinates.",61.12,31590,427,1,0.00855,0.005,0.01355
"[10] A. Bouchti, S. Haddad, and A. Abou El Kalam, “Challenges of heterogeneous IoT log normalisation for forensic investigations,” in Proc. IEEE Int. Conf. Internet of Things (iThings), 2022, pp. 1-8.",conference_paper,Challenges of heterogeneous IoT log normalisation for forensic investigations,A. Bouchti | S. Haddad | A. Abou El Kalam,2022,,,,1-8,,,Proc. IEEE Int. Conf. Internet of Things (iThings),,,,hallucination,0.95,,,,,,,"Searches across DBLP, IEEE Xplore, Google Scholar, and CrossRef for the exact title 'Challenges of heterogeneous IoT log normalisation for forensic investigations' and for papers by Bouchti, Haddad, and Abou El Kalam in IEEE iThings (2022) returned no matching paper. This appears to be a fabricated/hallucinated citation combining real researcher names with plausible topic keywords and a real conference venue.",57.34,31559,433,1,0.012646,0.005,0.017646
"[11] Apache Software Foundation, “Apache NiFi,” Available: https://nifi.apache.org, 2023.",web,Apache NiFi,Apache Software Foundation,2023,,,,,,,,,https://nifi.apache.org,,verified,1.0,Apache NiFi,Apache Software Foundation,https://nifi.apache.org,,https://nifi.apache.org/,Apache Software Foundation / Apache NiFi official website,The citation points directly to the official homepage of Apache NiFi hosted by the Apache Software Foundation at https://nifi.apache.org.,53.15,31060,303,1,0.012216,0.005,0.017216
"[12] Talend, “Talend Data Integration,” Available: https://www.talend.com, 2023.",web,Talend Data Integration,Talend,2023,,,,,,,,,https://www.talend.com,,verified,0.95,Talend Data Integration,Talend,Talend,,,web,Verified corporate web/product citation for Talend Data Integration on talend.com.,56.82,31423,289,1,0.008223,0.005,0.013223
"[13] W. McKinney, “Data structures for statistical computing in Python,” in Proc. 9th Python in Science Conf., 2010, pp. 56-61.",conference_paper,Data structures for statistical computing in Python,W. McKinney,2010,,,,56-61,,,Proc. 9th Python in Science Conf.,,,,verified,1.0,Data Structures for Statistical Computing in Python,Wes McKinney,Proceedings of the Python in Science Conference,10.25080/majora-92bf1922-00a,https://doi.org/10.25080/majora-92bf1922-00a,crossref_title_static,Verified via static CrossRef title search (score: 1.00),28.67,0,0,0,0.0,0.0,0.0
