raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,0.98,Use research on Claude,Anthropic,Anthropic Help Center,,https://support.claude.com/en/articles/11088861-use-research-on-claude,Anthropic Help Center,"The support article ID 11088861 exists under Anthropic Help Center (support.claude.com / support.anthropic.com). The title slightly varied from 'Using Research on Claude' to 'Use research on Claude' as part of standard web documentation copyediting, which is covered under web title churn / SEO leniency.",77.31,31415,402,1,0.012534,0.005,0.017534
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),30.79,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,9783849513375,,Yale University Press,,,verified,1.0,The Public Domain: Enclosing the Commons of the Mind,James Boyle,Yale University Press,,,Yale University Press / WIPO / Duke Law Scholarship Repository,Verified. The book was published in first edition in 2008 by Yale University Press (ISBN: 9780300137408) with a paperback release in 2010 (ISBN: 9780300158342). Book softcover/paperback reprint years are considered verified per guidelines.,80.46,31534,365,1,0.008406,0.005,0.013406
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,0.98,About CC Licenses,Creative Commons,Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,web_search,The cited official Creative Commons webpage explaining CC licenses is verified under the organization's official web resources.,80.85,30886,275,1,0.012098,0.005,0.017098
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,verified,1.0,crimrxiv.com is regularly exceeding 100k users per month thanks to your support of open criminology.,CrimRxiv Consortium,X,,https://x.com/CrimConsortium/status/1991479707309863158,X,"Verified social media post on X (formerly Twitter) published on November 20, 2025 by @CrimConsortium at the exact cited URL.",77.84,31475,414,1,0.012579,0.005,0.017579
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,0.98,Consortium - CrimRxiv,CrimRxiv Consortium,CrimRxiv,,https://www.crimrxiv.com/consortium,https://www.crimrxiv.com/consortium,"The live webpage exists at https://www.crimrxiv.com/consortium describing the CrimRxiv Consortium membership program. The cited URL, organization, and page title are accurate.",78.58,31342,336,1,0.012383,0.005,0.017383
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,1.0,CrimRxiv: Criminology’s global open access hub + repository,CrimRxiv,CrimRxiv,,https://www.crimrxiv.com/,Web Search / Platform Page,"Verified web platform citation for CrimRxiv (https://crimrxiv.com), the open-access hub and repository for criminology.",81.5,31093,320,1,0.008163,0.005,0.013163
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,1.0,European Network for Open Criminology,European Network for Open Criminology,https://esc-enoc.github.io,,https://esc-enoc.github.io/,web,The citation points directly to the official working group website of the European Network for Open Criminology (a working group of the European Society of Criminology) hosted at https://esc-enoc.github.io.,83.9,31204,363,1,0.012382,0.005,0.017382
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,0.98,Gemini Deep Research — your personal research assistant,Google,Google,,https://gemini.google/overview/deep-research/,web_search,The citation references the official Google Gemini product overview page for Deep Research at https://gemini.google/overview/deep-research/ (with regional localized path https://gemini.google/gb/overview/deep-research). The title and author match the live web page.,87.36,31233,375,1,0.012416,0.005,0.017416
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,verified,1.0,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,Scott Jacques | Andrew Wheeler,Journal of Qualitative Criminal Justice & Criminology,10.21428/88de04a1.29bd3039,https://doi.org/10.21428/88de04a1.29bd3039,crossref,"The citation exactly matches the published article in the Journal of Qualitative Criminal Justice & Criminology (Vol. 15, Issue 2, 2025) and resolves via the cited DOI.",83.48,33077,434,1,0.013218,0.005,0.018218
"Jacques, Scott, and Eric Piza. 2022. The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals. ACJS Today. (OA postprint: https://doi.org/10.21428/cb6ab371.b21d7325)",journal_article,The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals,"Jacques, Scott | Piza, Eric",2022,ACJS Today,,,,,,,,,,verified,1.0,The Irony of Paywalled Articles Is They Can Be Made Open Access for Free: What It Means for ACJS Journals,Scott Jacques | Eric Piza,ACJS Today,10.21428/cb6ab371.b21d7325,https://doi.org/10.21428/cb6ab371.b21d7325,ACJS Today / CrimRxiv,"The article was originally published in the March 2022 edition of ACJS Today by Scott Jacques and Eric Piza, with an OA postprint available via PubPub/CrimRxiv.",85.47,32872,450,1,0.013171,0.005,0.018171
"Jacques, Scott. 2023. Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice. Journal of Contemporary Criminal Justice 39:371-386. https://doi.org/10.1177/10439862231172737 (OA postprint: https://doi.org/10.21428/cb6ab371.69930b9a)",journal_article,"Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice","Jacques, Scott",2023,Journal of Contemporary Criminal Justice,39,,371-386,10.1177/10439862231172737,,,,,,verified,1.0,"Ranking the Openness of Criminology Units: An Attempt to Incentivize the Use of Librarians, Institutional Repositories, and Unit-Dedicated Collections to Increase Scholarly Impact and Justice",Scott Jacques,Journal of Contemporary Criminal Justice,10.1177/10439862231172737,https://doi.org/10.1177/10439862231172737,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),34.13,0,0,0,0.0,0.0,0.0
"Jacques, Scott. 2025a. Making Your Articles Open Access: Opportunities and Choices. The Criminologist, May/June issue. https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf",journal_article,Making Your Articles Open Access: Opportunities and Choices,"Jacques, Scott",2025,The Criminologist,,,,,,,,https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf,,verified,1.0,Making your articles open access: Opportunities and choices,Scott Jacques,The Criminologist,10.21428/7b6d533a.09a798ae,https://doi.org/10.21428/7b6d533a.09a798ae,CrossRef / PubPub,"The article was published in The Criminologist (May/June 2025 issue) and also archived via PubPub (DOI: 10.21428/7b6d533a.09a798ae), with the full text available at the cited URL: https://asc41.org/wp-content/uploads/ASC-Criminologist-2025-05.pdf.",88.56,33057,482,1,0.009201,0.005,0.014201
"Jacques, Scott. 2025b. Creating Criminology Podcasts with Generative Artificial Intelligence, Storing Them on Web3, and Sharing Them Open Access: A Contribution to Utilitarian Digital Pedagogy (Part I - Conceptual and Theoretical Issues). CrimRxiv. https://doi.org/10.21428/cb6ab371.0753be51",working_paper,"Creating Criminology Podcasts with Generative Artificial Intelligence, Storing Them on Web3, and Sharing Them Open Access: A Contribution to Utilitarian Digital Pedagogy (Part I - Conceptual and Theoretical Issues)","Jacques, Scott",2025,CrimRxiv,,,,10.21428/cb6ab371.0753be51,,,,,,verified,1.0,"Creating criminology podcasts with generative artificial intelligence, storing them on Web3, and sharing them open access: A contribution to utilitarian digital pedagogy (Part I - conceptual and theoretical issues)",Scott Jacques,,10.21428/cb6ab371.0753be51,https://doi.org/10.21428/cb6ab371.0753be51,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),34.8,0,0,0,0.0,0.0,0.0
