raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,1.0,,,,,,,"The citation consists solely of a bare filename ('Review-of-predicting-crime-rates.pdf') without authors, publication venue, or formal title metadata. Under the incomplete citation guidelines, bare filenames and URL-only entries without bibliographic metadata must be marked as not_found.",34.36,31445,651,1,0.013012,0.005,0.018013
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,1.0,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,"Under the URL-only and incomplete citations rule, a citation containing only a bare URL without title or authors must be marked as not_found, even if the URL is reachable/live.",36.29,31397,525,1,0.012758,0.005,0.017758
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,1.0,,,,,,,"Under the URL-only and incomplete citations hard rule, citations that consist solely of a bare URL with no authors and no title must be classified as not_found. The URL corresponds to an article on the Johns Hopkins Undergraduate Law Review (JHULR) website ('Algorithmic Justice or Bias: Legal Implications of Predictive Policing Algorithms in Criminal Justice', published January 1, 2025, with actual slug containing 'policing-algorithms'). Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",40.02,31550,998,1,0.013702,0.005,0.018703
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,1.0,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,"The citation is a bare URL-only entry lacking both a title and author metadata. Per instructions for URL-only / incomplete citations, this must be classified as not_found. The cited URL is live and reachable, resolving to the article 'Evidence-based policing' published in the June 2024 issue of American Police Beat Magazine.",41.24,31682,939,1,0.009544,0.005,0.014544
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,,not_found,1.0,,,,,,,"Under the URL-only citation hard rule, citations lacking both author and title metadata are classified as not_found, even though the cited URL is live/reachable (resolving to a Bloomberg article published on November 20, 2025). Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",41.68,31573,1144,1,0.013985,0.005,0.018985
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,1.0,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,"The citation is a bare URL entry with no author or title. The cited URL (https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html) is live/reachable and resolves to a Yahoo Finance article titled 'Polymarket vs Kalshi: Will Crypto Beat Regulated ...'. Under the URL-only citation guidelines, bare URL bibliography entries lacking both author and title are classified as not_found.",42.94,31997,979,1,0.009737,0.005,0.014737
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,1.0,,,,,,,"The citation is a bare URL without authors or a title. Under the hard rule for URL-only and incomplete citations, entries lacking both author and title must be marked as not_found regardless of destination. Furthermore, the exact cited slug ends in '1bround/' whereas the live TechCrunch article is located at 'https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1b-round/'. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",46.58,31865,1127,1,0.009965,0.005,0.014965
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,1.0,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,"The citation contains only a URL with no title or author metadata. Under the URL-only citation rule, bare-URL citations are classified as not_found regardless of destination reachability (the underlying Trust Wallet blog article 'Best Crypto Prediction Markets in 2025' is reachable/live).",45.47,31353,660,1,0.012995,0.005,0.017995
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,1.0,,,,,https://defirate.com/prediction-markets/,,"The citation is a bare URL ('https://defirate.com/prediction-markets/') with no author, title, or publication year. The URL is live and reachable, leading to DeFi Rate's Prediction Markets dashboard/overview page ('List of Top Prediction Markets'). However, per the hard rule for URL-only and incomplete citations, bare URLs without author and title metadata are classified as not_found.",47.94,31735,905,1,0.009501,0.005,0.014501
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,1.0,,,,,,,"URL-only citation. Under the explicit URL-only/incomplete citations rule, a citation that lacks both authors and a title is categorized as not_found, even if the destination URL points to a live webpage. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",46.19,31398,289,1,0.008213,0.005,0.013213
19. https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web,,,,,,,,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,not_found,1.0,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,"The citation is a bare URL with no authors and no title. Per the URL-only citation rule, bare URL entries must be marked not_found regardless of destination. The cited URL (https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis) is live and reachable, resolving to Jeff Asher's Substack post titled 'The 10 Do's and 500 Don'ts of the FBI's New Monthly Crime Data' (2025).",36.02,31752,1044,1,0.009767,0.005,0.014767
2. Review-of-prediction-markets.pdf,web,,,,,,,,,,,,Review-of-prediction-markets.pdf,,not_found,1.0,,,,,,,"The citation consists solely of a bare filename ('Review-of-prediction-markets.pdf') without authors, publication venue, or year. Under the incomplete citations hard rule, citations lacking both a substantive title and author metadata are classified as not_found.",33.28,31369,517,1,0.012733,0.005,0.017733
20. https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,web,,,,,,,,,,,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,,not_found,1.0,,,,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,,"The citation consists solely of a bare URL with no author or title metadata. Per the URL-only citation rule, bare URLs are marked as not_found regardless of destination. The cited URL is live/reachable and resolves to an article titled '4 Reasons We Should Worry About Missing Crime Data' on The Marshall Project (published July 13, 2023).",32.97,31537,896,1,0.013506,0.005,0.018506
21. https://kalshi.com,web,,,,,,,,,,,,https://kalshi.com,,not_found,1.0,,,,,,,"The citation is a bare URL without any author or title metadata. Per guidelines for URL-only citations, even though the URL https://kalshi.com is live and reachable, incomplete URL-only entries are classified as not_found. Cited URL is dead/unreachable (https://kalshi.com); entry also has no authors or real title — not_found (incomplete citation).",33.15,31533,741,1,0.005013,0.005,0.010013
22. https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,,not_found,1.0,,,,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,,"The citation is a bare URL-only entry without author or title metadata. Per the verification guidelines, URL-only or incomplete bibliographic entries must be marked as not_found even if the URL is live/reachable (the cited URL is live and points to a Yahoo Finance article about Kalshi).",33.21,31664,786,1,0.009251,0.005,0.01425
23. https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,web,,,,,,,,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,,not_found,1.0,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,,"The citation is a bare URL with no author or title. The cited URL is live and reachable, resolving to the KPMG PDF report 'The Current State of Prediction Markets' (2025). However, per the incomplete and bare-URL citation hard rule, URL-only bibliography entries lacking both title and authors must be classified as not_found.",38.72,31656,893,1,0.013545,0.005,0.018545
24. How-to-write-for-Annual-Reviews.pdf,web,,,,,,,,,,,,How-to-write-for-Annual-Reviews.pdf,,not_found,1.0,,,,,,,"The citation contains only a filename/PDF string ('How-to-write-for-Annual-Reviews.pdf') with no authors or standard bibliographic title. Under the hard rule for URL-only / filename-only / incomplete citations lacking critical bibliographic information, the verification status must be not_found.",35.53,15412,224,0,0.0062,0.0,0.0062
