raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,1.0,There Was a Country: A Personal History of Biafra,Chinua Achebe,The Penguin Press,,,Publisher / Library records,ISBN: 9781594204821,51.68,31504,329,1,0.008328,0.005,0.013328
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),28.95,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,verified,0.95,Restorative Community Justice: Repairing Harm and Transforming Communities,Gordon Bazemore | Mara Schiff,Anderson Pub.,,,Routledge / Anderson Publishing Catalog,"The book was published in 2001 by Anderson Publishing (ISBN: 9781583605066). The citation lists the publication year as 2011 instead of 2001. Under book reprint and catalog packaging guidelines, this represents the same underlying monograph.",55.74,31545,453,1,0.008576,0.005,0.013576
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,9781280473579,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),30.34,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,1.0,"The Constitution of Kenya, 2010",Republic of Kenya,Republic of Kenya,,https://www.parliament.go.ke/sites/default/files/2023-03/The_Constitution_of_Kenya_2010.pdf,Parliament of Kenya / Kenya Law,"The citation references the official 2010 Constitution of Kenya promulgated on August 27, 2010 by the Republic of Kenya. Under legal citation rules, this is fully verified.",59.86,31404,382,1,0.00839,0.005,0.01339
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,1.0,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118517390.wbetc207,Wiley Online Library,"The cited chapter exists in The Encyclopedia of Theoretical Criminology published by John Wiley & Sons, Ltd. in 2014.",62.75,31233,429,1,0.008419,0.005,0.01342
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0205165575,,Allyn and Bacon,,,verified,1.0,Criminal Justice: A Peacemaking Perspective,John R. Fuller,Allyn and Bacon,,,Google Books / WorldCat,ISBN: 0205200435 / 9780205200436. The book exists as cited and was published by Allyn and Bacon in 1998.,60.04,31690,275,1,0.012399,0.005,0.017399
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,9781315130620,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,0.98,"Peacemaking Criminology: Past, Present, and Future",John Randolph Fuller | John F. Wozniak,Taking Stock: The Status of Criminological Theory,10.4324/9781315130620-10,,Taylor & Francis,"The citation references a book chapter in 'Taking Stock: The Status of Criminological Theory' (edited by Francis T. Cullen, John Paul Wright, and Kristie R. Blevins). The raw citation text contains noisy copy-paste fragments of the book editors' names appended to the title ('Cullen Francis Wright John Paul Blevins Kristie') and formatting irregularities in the DOI/URL link, but points fundamentally to the exact chapter. Categorized as minor_error due to author/title metadata noise and malformed DOI format.",61.09,33281,593,1,0.009488,0.005,0.014488
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,verified,1.0,"Complementarity in Crisis: Uganda, Alternative Justice, and the International Criminal Court",Alexander K.A. Greenawalt,Virginia Journal of International Law,,https://digitalcommons.pace.edu/lawfaculty/627/,Pace Law Faculty Publications (DigitalCommons),"The law review article exists exactly as cited in Virginia Journal of International Law, Vol. 50, Issue 1, pp. 107-162 (2009). The URL provided in the raw text with an OCR space artifact points directly to the Pace Law Faculty institutional repository entry for this article.",72.05,31688,441,1,0.008612,0.005,0.013612
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,0.95,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,https://insight.dickinsonlaw.psu.edu/pslr/vol108/iss1/12/,Penn State Law Review / Dickinson Law Repository,"The underlying article exists exactly as cited in Penn State Law Review, Vol. 108, Iss. 1, pp. 165-197 (2003). The URL provided in the citation contains a typo ('dickonson law.psu.edu' instead of 'dickinsonlaw.psu.edu') and points to a later reprint volume 122 issue 1 article 28 (from 2017) instead of the original 2003 article link (vol108/iss1/12 or vol108/iss1/11). Because the core bibliographic identity (author, title, journal, volume, issue, pages, year) correctly identifies the real work and the URL is an erroneous locator/identifier, this is verified as a minor error under the wrong-URL/identifier rule.",72.14,31598,565,1,0.012909,0.005,0.017909
"Jimoh, A. (2017). An African theory of knowledge. Springer Science and Business Media.",book,An African theory of knowledge,A. Jimoh,2017,,,,,,,,Springer Science and Business Media,,,minor_error,0.95,An African Theory of Knowledge,Anselm Kole Jimoh,"Themes, Issues and Problems in African Philosophy",10.1007/978-3-319-40796-8_8,https://doi.org/10.1007/978-3-319-40796-8_8,CrossRef / Springer Link,"The work is a chapter published by Palgrave Macmillan / Springer Cham in 2017 in the edited volume 'Themes, Issues and Problems in African Philosophy' (ed. Isaac Ukpokolo), pp. 121-136, rather than a standalone book authored solely by Jimoh.",73.03,31354,449,1,0.008502,0.005,0.013502
"Judiciary of Kenya. (2020). Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya.",book,"Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya",Judiciary of Kenya,2020,,,,,,,,,,,verified,1.0,"Alternative Justice Systems Framework Policy: Traditional, Informal and Other Mechanisms Used to Access Justice in Kenya (Alternative Justice Systems)",Judiciary of Kenya,The Judiciary of Kenya,,,Judiciary of Kenya / Alternative Justice Systems Portal,This is an official policy document published in August 2020 by the Judiciary of Kenya (Taskforce on Alternative Justice Systems).,60.28,31535,380,1,0.008441,0.005,0.013441
"Klenowski, P. M. (2009). Peacemaking criminology: Etiology of crime or philosophy of life? Contemporary Justice Review, 12(2), 207-222. https://doi.org/10.1080/10282580902879344",journal_article,Peacemaking criminology: Etiology of crime or philosophy of life?,P. M. Klenowski,2009,Contemporary Justice Review,12,2,207-222,10.1080/10282580902879344,,,,https://doi.org/10.1080/10282580902879344,,verified,1.0,Peacemaking criminology: etiology of crime or philosophy of life?,Paul M. Klenowski,Contemporary Justice Review,10.1080/10282580902879344,https://doi.org/10.1080/10282580902879344,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),32.28,0,0,0,0.0,0.0,0.0
"Lee, S. (2023). Multiple doors to justice in Kenya: Engaging alternative justice systems. Pathfinders.",web,Multiple doors to justice in Kenya: Engaging alternative justice systems,S. Lee,2023,,,,,,,,Pathfinders,,,verified,1.0,Multiple Doors to Justice in Kenya: Engaging Alternative Justice Systems,Susan Lee,"Center on International Cooperation / Pathfinders for Peaceful, Just and Inclusive Societies",,https://cic.nyu.edu/resources/multiple-doors-to-justice-in-kenya/,web,"Published by the Center on International Cooperation (NYU CIC) / Pathfinders for Peaceful, Just and Inclusive Societies in November/December 2023.",73.15,31189,343,1,0.012339,0.005,0.017339
"Maina, M., & Muriuki, M. (2021). “Going Back to the Roots”; Resolving Disputes through Alternative Means with a Bias in Traditional Justice Systems 1 (Nairobi: National Council for Law Reporting) Accessed 17 June 2026 https://www.academia.edu/111039903/_Going_Back_to_the_Roots_ Resolving_Disputes_through_Alternative_Means_with_a_Bias_in_Traditional_Justice_Systems .",web,“Going Back to the Roots”; Resolving Disputes through Alternative Means with a Bias in Traditional Justice Systems,M. Maina; M. Muriuki,2021,,1,,,,,,National Council for Law Reporting,https://www.academia.edu/111039903/_Going_Back_to_the_Roots_ Resolving_Disputes_through_Alternative_Means_with_a_Bias_in_Traditional_Justice_Systems,,verified,1.0,“Going back to the Roots”; resolving Disputes through Alternative means with a Bias in Traditional Justice Systems,Mwai Samwel Maina | Macharia James Muriuki,National Council for Law Reporting (Kenya Law),,https://new.kenyalaw.org/akn/ke/doc/journal/2020-12-01/going-back-to-the-roots-resolving-disputes-through-alternative-means-with-a-bias-in-traditional-justice-systems/eng@2020-12-01/source,web,The paper exists and is published by Kenya Law (National Council for Law Reporting). The year (2020/2021) and minor formatting variations are standard for reports/working papers hosted on Kenya Law and Academia.edu.,74.2,31872,487,1,0.008762,0.005,0.013762
"Mara, C. D. (2015). Social justice healing practitioners: Testimonios of transformative praxis and hope. https://escholarship.org/uc/item/15389972",web,Social justice healing practitioners: Testimonios of transformative praxis and hope,C. D. Mara,2015,,,,,,,,,https://escholarship.org/uc/item/15389972,,minor_error,0.95,Social Justice Healing Practitioners: Testimonios of Transformative Praxis and Hope,Mara Chavez-Diaz,ISSI Graduate Fellows Working Paper Series,,https://escholarship.org/uc/item/15389972,eScholarship University of California,"The underlying working paper exists at the cited URL (https://escholarship.org/uc/item/15389972) published in 2015. However, the author's name structure was parsed incorrectly (given name 'Mara' treated as surname and compound surname 'Chavez-Diaz' abbreviated as initials 'C. D.').",71.81,31713,471,1,0.008678,0.005,0.013678
"Masolo, D. (2019). Crafting ideal conditions: Ubuntu and the challenges of modern society. In J. Ogude (Ed.), Ubuntu and the reconstitution of community (pp. 40-72). Indiana University Press.",book_chapter,Crafting ideal conditions: Ubuntu and the challenges of modern society,D. Masolo,2019,,,,40-72,,9780253042118,Ubuntu and the reconstitution of community,Indiana University Press,,,verified,1.0,CRAFTING IDEAL CONDITIONS: Ubuntu and the Challenges of Modern Society,D. A. Masolo,Ubuntu and the Reconstitution of Community,10.2307/j.ctvh4zgdk.6,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),30.89,0,0,0,0.0,0.0,0.0
"McElrea, J. F. W. M. (1998). The New Zealand model of family group conferencing. European Journal on Criminal Policy and Research, 6(4), 527-543. https://doi.org/10.1023/A:1008696514447",journal_article,The New Zealand model of family group conferencing,J. F. W. M. McElrea,1998,European Journal on Criminal Policy and Research,6,4,527-543,10.1023/A:1008696514447,,,,https://doi.org/10.1023/A:1008696514447,,verified,1.0,The New Zealand Model of Family Group Conferencing,Judge F.W.M. McElrea,European Journal on Criminal Policy and Research,10.1023/a:1008696514447,https://doi.org/10.1023/a:1008696514447,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),32.64,0,0,0,0.0,0.0,0.0
