raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] J. H. Jeans, “On the theory of star-streaming and the structure of the universe,” Mon. Not. Roy. Astron. Soc. 76, 70 (1915).",journal_article,On the theory of star-streaming and the structure of the universe,J. H. Jeans,1915,Mon. Not. Roy. Astron. Soc.,76,,70,,,,,,,verified,1.0,On the Theory of Star-Streaming and the Structure of the Universe,J. H. Jeans,Monthly Notices of the Royal Astronomical Society,10.1093/mnras/76.2.70,https://doi.org/10.1093/mnras/76.2.70,crossref_title_static,Verified via static CrossRef title search (score: 1.00),16.45,0,0,0,0.0,0.0,0.0
"[2] J. Binney and S. Tremaine, Galactic Dynamics, 2nd ed. (Princeton University Press, Princeton, 2008).",book,Galactic Dynamics,J. Binney | S. Tremaine,2008,,,,,,9780691130279,,Princeton University Press,,,verified,1.0,Galactic Dynamics: Second Edition,James Binney | Scott Tremaine,Princeton University Press,,,Princeton University Press,Verified against Princeton University Press publisher records for the 2nd edition (2008). ISBN: 9780691130279.,84.54,33217,378,1,0.013165,0.005,0.018165
"[3] C. Brans and R. H. Dicke, “Mach’s principle and a relativistic theory of gravitation,” Phys. Rev. 124, 925 (1961).",journal_article,Mach’s principle and a relativistic theory of gravitation,C. Brans | R. H. Dicke,1961,Phys. Rev.,124,,925,,,,,,,verified,1.0,Mach's Principle and a Relativistic Theory of Gravitation,C. Brans | R. H. Dicke,Physical Review,10.1103/physrev.124.925,https://doi.org/10.1103/physrev.124.925,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.37,0,0,0,0.0,0.0,0.0
"[4] T. Clifton, P. G. Ferreira, A. Padilla, and C. Skordis, “Modified gravity and cosmology,” Phys. Rept. 513, 1 (2012).",journal_article,Modified gravity and cosmology,T. Clifton | P. G. Ferreira | A. Padilla | C. Skordis,2012,Phys. Rept.,513,,1,,,,,,,verified,1.0,Modified gravity and cosmology,Timothy Clifton | Pedro G. Ferreira | Antonio Padilla | Constantinos Skordis,Physics Reports,10.1016/j.physrep.2012.01.001,https://doi.org/10.1016/j.physrep.2012.01.001,crossref_title_static,Verified via static CrossRef title search (score: 1.00),16.45,0,0,0,0.0,0.0,0.0
"[5] A. De Felice and S. Tsujikawa, “f(R) theories,” Living Rev. Rel. 13, 3 (2010).",journal_article,f(R) theories,A. De Felice | S. Tsujikawa,2010,Living Rev. Rel.,13,,3,,,,,,,verified,1.0,f(R) Theories,Antonio De Felice | Shinji Tsujikawa,Living Reviews in Relativity,10.12942/lrr-2010-3,https://doi.org/10.12942/lrr-2010-3,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.49,0,0,0,0.0,0.0,0.0
"[6] L. Arnold, Random Dynamical Systems (Springer, Berlin, 1998).",book,Random Dynamical Systems,L. Arnold,1998,,,,,,9783642083556,,Springer,,,verified,1.0,Random Dynamical Systems,Ludwig Arnold,Springer Monographs in Mathematics,10.1007/978-3-662-12878-7,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),14.02,0,0,0,0.0,0.0,0.0
"[7] B. Øksendal, Stochastic Differential Equations: An Introduction with Applications (Springer, Berlin, 2003).",book,Stochastic Differential Equations: An Introduction with Applications,B. Øksendal,2003,,,,,,,,Springer,,,verified,1.0,Stochastic Differential Equations: An Introduction with Applications,Bernt Øksendal,"Springer Berlin, Heidelberg",10.1007/978-3-642-14394-6,,Springer,"Verified book: Bernt Øksendal, 'Stochastic Differential Equations: An Introduction with Applications' (6th edition), Springer Berlin Heidelberg, 2003. ISBN: 978-3-540-04758-2 / 978-3-642-14394-6.",80.48,33382,431,1,0.009221,0.005,0.014221
"[8] A. Kolmogoroff, “Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,” Math. Ann. 104, 415-458 (1931).",journal_article,Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,1931,Math. Ann.,104,,415-458,,,,,,,verified,0.9953488372093022,�ber die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,Mathematische Annalen,10.1007/bf01457949,https://doi.org/10.1007/bf01457949,crossref_title_static,Verified via static CrossRef title search (score: 1.00),14.5,0,0,0,0.0,0.0,0.0
"[9] K. Itô, “Stochastic integral,” Proc. Imp. Acad. Tokyo 20, 519-524 (1944).",journal_article,Stochastic integral,K. Itô,1944,Proc. Imp. Acad. Tokyo,20,,519-524,,,,,,,verified,1.0,Stochastic integral,Kiyosi Itô,Proceedings of the Imperial Academy,10.3792/pia/1195572786,https://doi.org/10.3792/pia/1195572786,Project Euclid / Japan Academy,"Verified. The seminal 1944 paper by Kiyosi Itô was published in the Proceedings of the Imperial Academy (Tokyo) (Vol. 20, No. 8, pp. 519-524), which later became the Proceedings of the Japan Academy.",79.12,34584,437,1,0.009686,0.005,0.014686
"[10] R. Khasminskii, Stochastic Stability of Differential Equations, 2nd ed. (Springer, Berlin, 2012).",book,Stochastic Stability of Differential Equations,R. Khasminskii,2012,,,,,,9783642232794,,Springer,,,verified,1.0,Stochastic Stability of Differential Equations,Rafail Khasminskii,"Springer Berlin Heidelberg (Stochastic Modelling and Applied Probability, vol. 66)",10.1007/978-3-642-23280-0,,Springer Link,"The cited book 'Stochastic Stability of Differential Equations' (2nd edition) by Rafail Khasminskii was published by Springer Berlin Heidelberg in 2012 (ISBN: 978-3-642-23279-4, DOI: 10.1007/978-3-642-23280-0).",89.25,33323,468,1,0.009273,0.005,0.014273
