raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] I. Hamamoto, B. Mottelson, Shape deformations in atomic nuclei, Scholarpedia 7 (2012) 10693. doi:10.4249/scholarpedia.10693.",journal_article,Shape deformations in atomic nuclei,I. Hamamoto | B. Mottelson,2012,Scholarpedia,7,,10693,10.4249/scholarpedia.10693,,,,,,verified,1.0,Shape deformations in atomic nuclei,Ikuko Hamamoto | Ben Mottelson,Scholarpedia,10.4249/scholarpedia.10693,https://doi.org/10.4249/scholarpedia.10693,Scholarpedia,"The citation exactly matches the official Scholarpedia article: title, authors (Ikuko Hamamoto and Ben Mottelson), year (2012), volume (7), article/page id (10693), and DOI (10.4249/scholarpedia.10693).",80.55,34527,482,1,0.013851,0.005,0.018851
"[2] E. Litvinova, Recent advancements in the strongly coupled many-body problem, arXiv (2025). doi:10.48550/arXiv.2512.23644.",working_paper,Recent advancements in the strongly coupled many-body problem,E. Litvinova,2025,arXiv,,2512.23644,,10.48550/arXiv.2512.23644,,,,,,minor_error,0.95,Recent advancements in the strongly coupled many-body theory for nuclear spectral computation,Elena Litvinova,arXiv,10.48550/arXiv.2512.23644,https://arxiv.org/abs/2512.23644,arXiv,"The citation provides the exact DOI 10.48550/arXiv.2512.23644 and author, but shortens/alters the title from 'Recent advancements in the strongly coupled many-body theory for nuclear spectral computation' to 'Recent advancements in the strongly coupled many-body problem'. Under the title mismatch rule for the same underlying work, this is a minor_error.",102.27,33311,459,1,0.009252,0.005,0.014252
"[3] H. Hergert, A guided tour of ab initio nuclear many-body theory, fphy 8 (2020) 379. doi:10. 3389/fphy.2020.00379.",journal_article,A guided tour of ab initio nuclear many-body theory,H. Hergert,2020,Frontiers in Physics,8,,379,10.3389/fphy.2020.00379,,,,,,verified,1.0,A Guided Tour of ab initio Nuclear Many-Body Theory,Heiko Hergert,Frontiers in Physics,10.3389/fphy.2020.00379,https://doi.org/10.3389/fphy.2020.00379,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),24.23,0,0,0,0.0,0.0,0.0
"[4] A. Ekström, C. Forssén, T. Papenbrock, et al., What is ab initio in nuclear theory?, fphy 11 (2023) 1129094. doi:10.3389/fphy.2023.1129094.",journal_article,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | T. Papenbrock,2023,Frontiers in Physics,11,,1129094,10.3389/fphy.2023.1129094,,,,,,verified,0.99,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | G. Hagen | G. R. Jansen | W. Jiang | T. Papenbrock,Frontiers in Physics,10.3389/fphy.2023.1129094,https://doi.org/10.3389/fphy.2023.1129094,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.99),24.93,0,0,0,0.0,0.0,0.0
"[5] F. Iachello, Dynamic symmetries at the critical point, Phys. Rev. Lett. 85 (2000) 3580-3583. doi:10.1103/PhysRevLett.85.3580.",journal_article,Dynamic symmetries at the critical point,F. Iachello,2000,Phys. Rev. Lett.,85,,3580-3583,10.1103/PhysRevLett.85.3580,,,,,,verified,1.0,Dynamic Symmetries at the Critical Point,F. Iachello,Physical Review Letters,10.1103/physrevlett.85.3580,https://doi.org/10.1103/physrevlett.85.3580,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),25.07,0,0,0,0.0,0.0,0.0
"[6] F. Iachello, Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition, Phys. Rev. Lett. 87 (2001) 052502. doi:10.1103/PhysRevLett.87.052502.",journal_article,Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition,F. Iachello,2001,Phys. Rev. Lett.,87,,52502,10.1103/PhysRevLett.87.052502,,,,,,verified,1.0,Analytic Description of Critical Point Nuclei in a Spherical-Axially Deformed Shape Phase Transition,F. Iachello,Physical Review Letters,10.1103/physrevlett.87.052502,https://doi.org/10.1103/physrevlett.87.052502,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),26.22,0,0,0,0.0,0.0,0.0
"[7] P. Cejnar, J. Jolie, R. F. Casten, Quantum phase transitions in the shapes of atomic nuclei, Rev. Mod. Phys. 82 (2010) 2155-2212. doi:10.1103/RevModPhys.82.2155.",journal_article,Quantum phase transitions in the shapes of atomic nuclei,P. Cejnar | J. Jolie | R. F. Casten,2010,Rev. Mod. Phys.,82,,2155-2212,10.1103/RevModPhys.82.2155,,,,,,verified,1.0,Quantum phase transitions in the shapes of atomic nuclei,Pavel Cejnar | Jan Jolie | Richard F. Casten,Reviews of Modern Physics,10.1103/revmodphys.82.2155,https://doi.org/10.1103/revmodphys.82.2155,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),25.2,0,0,0,0.0,0.0,0.0
"[8] N. Pietralla, O. M. Gorbachenko, Evolution of the “β excitation” in axially symmetric transitional nuclei, Phys. Rev. C 70 (2004, 011304). doi:10.1103/PhysRevC.70.011304.",journal_article,Evolution of the “β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,2004,Phys. Rev. C,70,,11304,10.1103/PhysRevC.70.011304,,,,,,verified,1.0,Evolution of the “ β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,Physical Review C,10.1103/physrevc.70.011304,https://doi.org/10.1103/physrevc.70.011304,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),25.93,0,0,0,0.0,0.0,0.0
"[9] M. Reese, CBS model program, https://sourceforge.net/projects/cbsmodel/, 2011.",web,CBS model program,M. Reese,2011,,,,,,,,,https://sourceforge.net/projects/cbsmodel/,,verified,0.95,cbsmodel,M. Reese,SourceForge,,https://sourceforge.net/projects/cbsmodel/,SourceForge,The citation references the open-source nuclear physics software project 'cbsmodel' hosted on SourceForge (registered late 2010 with versions/manual uploaded in 2011) maintained by Michael Reese (user 'miree').,81.29,33142,338,1,0.008958,0.005,0.013958
"[10] P. E. Garrett, Characterization of the β vibration and 0 + 2 states in deformed nuclei, Journal of Physics G: Nuclear and Particle Physics 27 (2001) R1-R29. URL: https://doi.org/10.1088/ 0954-3899/27/1/201. doi:10.1088/0954-3899/27/1/201.",journal_article,Characterization of the β vibration and 0+2 states in deformed nuclei,P. E. Garrett,2001,Journal of Physics G: Nuclear and Particle Physics,27,,R1-R29,10.1088/0954-3899/27/1/201,,,,,,verified,0.9956204379562044,Characterization of the β vibration and 0 + 2 states in deformed nuclei,P E Garrett,Journal of Physics G: Nuclear and Particle Physics,10.1088/0954-3899/27/1/201,https://doi.org/10.1088/0954-3899/27/1/201,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),27.21,0,0,0,0.0,0.0,0.0
"[11] J. Sharpey-Schafer, R. Bark, S. Bvumbi, E. Lawrie, J. Lawrie, T. Madiba, S. Majola, A. Minkova, S. Mullins, P. Papka, D. Roux, J. Timár, A double vacuum, configuration dependent pairing and lack of β-vibrations in transitional nuclei: Band structure of n = 88 to n = 91 nuclei, Nuclear Physics A 834 (2010) 45c-49c. URL: https://www.sciencedirect.com/science/article/ pii/S0375947410000151. doi:https://doi.org/10.1016/j.nuclphysa.2010.01.014, the 10th International Conference on Nucleus-Nucleus Collisions (NN2009).",conference_paper,"A double vacuum, configuration dependent pairing and lack of β-vibrations in transitional nuclei: Band structure of n = 88 to n = 91 nuclei",J. Sharpey-Schafer | R. Bark | S. Bvumbi | E. Lawrie | J. Lawrie | T. Madiba | S. Majola | A. Minkova | S. Mullins | P. Papka | D. Roux | J. Timár,2010,Nuclear Physics A,834,,45c-49c,10.1016/j.nuclphysa.2010.01.014,,the 10th International Conference on Nucleus-Nucleus Collisions (NN2009),,,,verified,1.0,"A double vacuum, configuration dependent pairing and lack of β-vibrations in transitional nuclei: Band structure of N = 88 to N = 91 Nuclei",J.F. Sharpey-Schafer | R.A. Bark | S.P. Bvumbi | E.A. Lawrie | J.J. Lawrie | T.E. Madiba | S.N.T. Majola | A. Minkova | S.M. Mullins | P. Papka | D.G. Roux | J. Timár,Nuclear Physics A,10.1016/j.nuclphysa.2010.01.014,https://doi.org/10.1016/j.nuclphysa.2010.01.014,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),26.98,0,0,0,0.0,0.0,0.0
"[12] J. Sharpey-Schafer, R. Bark, S. Bvumbi, T. Dinoko, S. Majola, “stiff” deformed nuclei, configuration dependent pairing and the β and γ degrees of freedom, The European Physical Journal A 55 (2019) 15.",journal_article,"“stiff” deformed nuclei, configuration dependent pairing and the β and γ degrees of freedom",J. Sharpey-Schafer | R. Bark | S. Bvumbi | T. Dinoko | S. Majola,2019,The European Physical Journal A,55,,15,,,,,,,verified,0.9708108108108109,"“Stiff” deformed nuclei, configuration dependent pairing and the $\beta$β and $\gamma$γ degrees of freedom",J. F. Sharpey-Schafer | R. A. Bark | S. P. Bvumbi | T. R. S. Dinoko | S. N. T. Majola,The European Physical Journal A,10.1140/epja/i2019-12665-x,https://doi.org/10.1140/epja/i2019-12665-x,crossref_title_static,Verified via static CrossRef title search (score: 0.97),28.0,0,0,0,0.0,0.0,0.0
"[13] A. Aprahamian, K. Lee, S. R. Lesher and R. Bijker, The nature of 0+ excitations in deformed nuclei, Progress in Particle and Nuclear Physics 143 (2025, 104173). doi:10.1016/j.ppnp.2025. 104173.",journal_article,The nature of 0+ excitations in deformed nuclei,A. Aprahamian | K. Lee | S. R. Lesher | R. Bijker,2025,Progress in Particle and Nuclear Physics,143,,104173,10.1016/j.ppnp.2025.104173,,,,,,verified,1.0,The nature of 0 + excitations in deformed nuclei,Ani Aprahamian | Kevin Lee | Shelly R. Lesher | Roelof Bijker,Progress in Particle and Nuclear Physics,10.1016/j.ppnp.2025.104173,https://doi.org/10.1016/j.ppnp.2025.104173,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),31.21,0,0,0,0.0,0.0,0.0
"[14] K. Dusling, N. Pietralla, Description of ground-state band energies in well-deformed even-even nuclei with the confined β-soft rotor model, Phys. Rev. C 72 (2005) 011303. doi:10.1103/PhysRevC. 72.011303.",journal_article,Description of ground-state band energies in well-deformed even-even nuclei with the confined β-soft rotor model,K. Dusling | N. Pietralla,2005,Phys. Rev. C,72,,11303,10.1103/PhysRevC.72.011303,,,,,,verified,0.9972350230414746,Description of ground-state band energies in well-deformed even-even nuclei with the confined β -soft rotor model,K. Dusling | N. Pietralla,Physical Review C,10.1103/physrevc.72.011303,https://doi.org/10.1103/physrevc.72.011303,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),28.24,0,0,0,0.0,0.0,0.0
"[15] A. Bohr, The Coupling of Nuclear Surface Oscillations to the Motion of Individual Nucleons, Det Kgl. Danske Videnskabernes Selskab. Matematisk-fysiske meddelelser, Komm. Munksgaard, 1952. URL: https://books.google.gr/books?id=A8QTtQEACAAJ.",book,The Coupling of Nuclear Surface Oscillations to the Motion of Individual Nucleons,A. Bohr,1952,,,,,,,,Komm. Munksgaard,,,verified,1.0,The Coupling of Nuclear Surface Oscillations to the Motion of Individual Nucleons,Aage Bohr,Det Kgl. Danske Videnskabernes Selskab. Matematisk-fysiske meddelelser,,https://gymarkiv.sdu.dk/MFM/kdvs/mfm%2020-29/mfm-26-14.pdf,Royal Danish Academy of Sciences and Letters / SDU digital repository,"Verified against the primary publication in Det Kongelige Danske Videnskabernes Selskab, Matematisk-fysiske meddelelser 26, no. 14 (1952), published in commission with Ejnar Munksgaard.",84.29,33767,455,1,0.009415,0.005,0.014415
"[16] A. Bohr, B. R. Mottelson, Nuclear Structure, World Scientific, New York, 1997.",book,Nuclear Structure,A. Bohr | B. R. Mottelson,1997,,,,,,9789810239800,,World Scientific,,,verified,1.0,Nuclear Structure,Aage Bohr | Ben R. Mottelson,World Scientific,,,publisher_record,"Nuclear Structure is a classic two-volume monograph by Nobel laureates Aage Bohr and Ben R. Mottelson (originally published in 1969/1975 by W. A. Benjamin, Inc. and reprinted by World Scientific in 1997/1998). Citing reprint editions and packaging years for classic monographs is verified under the book reprint guidelines. ISBN: 9789810231972.",84.44,33384,413,1,0.013293,0.005,0.018293
