raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Altieri, E. (2013, July 30). First medical marijuana sale reported in Washington, DC. National Organization for the Reform of Marijuana Laws. Retrieved from https://www.google.com/search?q=NORML&rlz=1C1CHBF_enUS726US726&oq=NORML&aqs=chrome..69i57j69i60l4j0.3559j0j7&sourceid=chrome&ie=UTF-8",web,"First medical marijuana sale reported in Washington, DC","Altieri, E.",2013,,,,,,,,,https://www.google.com/search?q=NORML&rlz=1C1CHBF_enUS726US726&oq=NORML&aqs=chrome..69i57j69i60l4j0.3559j0j7&sourceid=chrome&ie=UTF-8,,minor_error,0.98,"First Medical Marijuana Sale Reported in Washington, DC",Erik Altieri,National Organization for the Reform of Marijuana Laws (NORML Blog),,https://norml.org/blog/2013/07/30/first-medical-marijuana-sale-reported-in-washington-dc/,NORML,"The underlying article published by Erik Altieri on July 30, 2013 on the NORML blog ('First Medical Marijuana Sale Reported in Washington, DC') exists exactly as cited. However, the cited URL is a raw Google search URL ('https://www.google.com/search?q=NORML...') rather than the publisher's direct article URL ('https://norml.org/blog/2013/07/30/first-medical-marijuana-sale-reported-in-washington-dc/'). Per search-engine / non-source URL rules, providing a search engine query link instead of the direct source URL constitutes a minor error.",99.03,34036,518,1,0.013735,0.005,0.018735
"Bernasco, W., & Block, R. L. (2010). Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points. Journal of Research in Crime & Delinquency 48(1): 33-57.",journal_article,"Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points","Bernasco, W.; Block, R. L.",2010,Journal of Research in Crime & Delinquency,48,1,33-57,,,,,,,minor_error,0.99,"Robberies in Chicago: A Block-Level Analysis of the Influence of Crime Generators, Crime Attractors, and Offender Anchor Points",Wim Bernasco | Richard Block,Journal of Research in Crime and Delinquency,10.1177/0022427810384135,https://doi.org/10.1177/0022427810384135,crossref_title_static,"Verified via static CrossRef title search (score: 0.99) Same work identified, but the citation year (2010) does not match the volume/issue (published-print) year (2011) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",19.43,0,0,0,0.0,0.0,0.0
"Boggess, L.N., Pérez, D. M., Cope, K., Root, C., & Stretesky, P. B. (2014). Do medical marijuana centers behave like locally undesirable land uses? Implications for the geography of health and environmental justice. Urban Geography, 35(3), 315-336.",journal_article,Do medical marijuana centers behave like locally undesirable land uses? Implications for the geography of health and environmental justice,"Boggess, L.N.; Pérez, D. M.; Cope, K.; Root, C.; Stretesky, P. B.",2014,Urban Geography,35,3,315-336,,,,,,,verified,0.99,Do medical marijuana centers behave like locally undesirable land uses? Implications for the geography of health and environmental justice,Lyndsay N. Boggess | Deanna M. Pérez | Kathryn Cope | Carl Root | Paul B. Stretesky,Urban Geography,10.1080/02723638.2014.881018,https://doi.org/10.1080/02723638.2014.881018,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.47,0,0,0,0.0,0.0,0.0
"Bostwick, M. J. (2012). Blurred boundaries: the therapeutics and politics of medical marijuana. Mayo Clinic Proceedings, 87(2): 172-186",journal_article,Blurred boundaries: the therapeutics and politics of medical marijuana,"Bostwick, M. J.",2012,Mayo Clinic Proceedings,87,2,172-186,,,,,,,verified,1.0,Blurred Boundaries: The Therapeutics and Politics of Medical Marijuana,J. Michael Bostwick,Mayo Clinic Proceedings,10.1016/j.mayocp.2011.10.003,https://doi.org/10.1016/j.mayocp.2011.10.003,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.49,0,0,0,0.0,0.0,0.0
"Boyd, S. J., Fang, L. J., Medoff, D. R., Dixon, L. B., & Gorelick, D. A. (2012). Use of a ‘microecological technique’ to study crime incidents around methadone maintenance treatment centers. Addiction 107(9): 1632-1638.",journal_article,Use of a ‘microecological technique’ to study crime incidents around methadone maintenance treatment centers,"Boyd, S. J.; Fang, L. J.; Medoff, D. R.; Dixon, L. B.; Gorelick, D. A.",2012,Addiction,107,9,1632-1638,,,,,,,verified,0.99,Use of a ‘microecological technique’ to study crime incidents around methadone maintenance treatment centers,Susan J. Boyd | Li Juan Fang | Deborah R. Medoff | Lisa B. Dixon | David A. Gorelick,Addiction,10.1111/j.1360-0443.2012.03872.x,https://doi.org/10.1111/j.1360-0443.2012.03872.x,crossref_title_static,Verified via static CrossRef title search (score: 0.99),21.86,0,0,0,0.0,0.0,0.0
"Braga, A. A., Papachristos, A. V. & Hureau, D. M. (2010). The concentration and stability of gun violence at micro places in Boston, 1980-2008. Journal of Quantitative Criminology 26(1): 33-53.",journal_article,"The concentration and stability of gun violence at micro places in Boston, 1980-2008","Braga, A. A.; Papachristos, A. V.; Hureau, D. M.",2010,Journal of Quantitative Criminology,26,1,33-53,,,,,,,verified,0.99,"The Concentration and Stability of Gun Violence at Micro Places in Boston, 1980–2008",Anthony A. Braga | Andrew V. Papachristos | David M. Hureau,Journal of Quantitative Criminology,10.1007/s10940-009-9082-x,https://doi.org/10.1007/s10940-009-9082-x,crossref_title_static,Verified via static CrossRef title search (score: 0.99),19.86,0,0,0,0.0,0.0,0.0
"Braga, A. A., Hureau, D. M. & Papachristos A. V. (2011). An ex post facto evaluation framework for place-based police interventions. Evaluation Review 35(6): 592-626.",journal_article,An ex post facto evaluation framework for place-based police interventions,"Braga, A. A.; Hureau, D. M.; Papachristos A. V.",2011,Evaluation Review,35,6,592-626,,,,,,,verified,0.99,An Ex Post Facto Evaluation Framework for Place-Based Police Interventions,Anthony A. Braga | David M. Hureau | Andrew V. Papachristos,Evaluation Review,10.1177/0193841x11433827,https://doi.org/10.1177/0193841x11433827,crossref_title_static,Verified via static CrossRef title search (score: 0.99),20.36,0,0,0,0.0,0.0,0.0
"Brantingham, P., & Brantingham, P. (1995). Criminality of place. European Journal on Criminal Policy and Research 3(3): 5-26.",journal_article,Criminality of place,"Brantingham, P.; Brantingham, P.",1995,European Journal on Criminal Policy and Research,3,3,5-26,,,,,,,verified,1.0,Criminality of place,Patricia Brantingham | Paul Brantingham,European Journal on Criminal Policy and Research,10.1007/BF02242925,https://doi.org/10.1007/BF02242925,SpringerLink,"The article is confirmed via Springer Nature and CrossRef records at DOI 10.1007/BF02242925 in European Journal on Criminal Policy and Research, Volume 3, Issue 3, pages 5-26 (1995).",98.15,33501,419,1,0.013348,0.005,0.018349
"Brinkman, J., & Mok-Lamme, D. (2017). Not in my backyard? Not so fast. The effect of marijuana legalization on neighborhood crime. FRB of Philadelphia Working Paper No. 17-19. Available at SSRN: https://ssrn.com/abstract=3005262",working_paper,Not in my backyard? Not so fast. The effect of marijuana legalization on neighborhood crime,"Brinkman, J.; Mok-Lamme, D.",2017,SSRN,,3005262,17-19,,,,,,,verified,0.99,Not in My Backyard? Not So Fast. The Effect of Marijuana Legalization on Neighborhood Crime,Jeffrey Brinkman | David Mok-Lamme,Working paper (Federal Reserve Bank of Philadelphia),10.21799/frbp.wp.2017.19,https://doi.org/10.21799/frbp.wp.2017.19,crossref_title_static,Verified via static CrossRef title search (score: 0.99),32.46,0,0,0,0.0,0.0,0.0
California Chiefs of Police Association. (2009). White paper on marijuana dispensaries. Retrieved from https://www.procon.org/sourcefiles/CAPCAWhitePaperonMarijuanaDispensaries.pdf,book,White paper on marijuana dispensaries,California Chiefs of Police Association,2009,,,,,,,,,https://www.procon.org/sourcefiles/CAPCAWhitePaperonMarijuanaDispensaries.pdf,,verified,0.95,White Paper on Marijuana Dispensaries,California Police Chiefs Association's Task Force on Marijuana Dispensaries,California Police Chiefs Association,,https://www.sandiego.gov/sites/default/files/legacy/planning/community/pdf/cpc/agendas/attachments/102709whitepapermj.pdf,City of San Diego Repository / City of Los Angeles Official Records,Direct official government/institutional records (e.g. City of San Diego repository and LA City clerk archives) confirm the existence of the 2009 document titled 'White Paper on Marijuana Dispensaries' published by the California Police Chiefs Association's Task Force on Marijuana Dispensaries.,99.96,33331,442,1,0.013328,0.005,0.018328
