raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,0.99,"Impact of ShotSpotter Technology on Firearm Homicides and Arrests Among Large Metropolitan Counties: a Longitudinal Analysis, 1999–2016",Mitchell L. Doucette | Christa Green | Julie H. Ward | Daniel W. Webster,Journal of Urban Health,10.1177/0887403421992907,https://doi.org/10.1177/0887403421992907,PubMed / SAGE,"The citation is a classic metadata chimera / hallucination. The article titled 'Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests' at DOI 10.1177/0887403421992907 in Criminal Justice Policy Review was authored by Mitchell L. Doucette et al., not Mares & Blackburn (who published distinct ShotSpotter studies in other venues).",84.09,33558,722,1,0.013938,0.005,0.018938
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,hallucination,0.95,,,,,,,"Extensive searches across the National Institute of Justice (NIJ) / OJP publications library, Google Scholar, and broader databases found no record titled 'Acoustic Gunshot Detection: A Review of the Evidence'. The provided URL (https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence) is a dead 404 endpoint. Related real reports exist (e.g., 'Gunshot Detection: Reducing Gunfire through Acoustic Technology' published by BJA/OJP in 2022, or NIJ's 2019 'Implementing Gunshot Detection Technology'), indicating this citation is a fabricated/hallucinated title shell.",68.56,33652,451,1,0.013465,0.005,0.018465
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,0.95,,,Journal of Experimental Criminology,,,,The citation is a hallucination/chimera combining real researchers on gunshot detection technology (Eric L. Piza et al.) and a real venue (Journal of Experimental Criminology) with an unresolvable/fabricated DOI (10.1007/s11292-023-09553-z) and an invented title.,83.84,33705,457,1,0.005291,0.005,0.010291
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,0.7,,,,,,,"Exhaustive web and domain searches for 'ShotSpotter Evaluation Report' associated with the Dallas Police Department or at 'dallaspolice.net/Reports/shotspotter2015.pdf' returned no direct publisher, municipal archive, or official primary records. The URL access was inconclusive, and no affirmative record exists for this specific report.",63.11,33199,291,1,0.012995,0.005,0.017995
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,not_found,0.95,,,,,,,"Extensive searches on govtech.com and general web searches confirmed that no article titled 'ShotSpotter: Technology That Doesn’t Stop Crime?' or corresponding to the cited URL slug ('/public-safety/shotspotter-technology-that-doesnt-stop-crime') exists. While Government Technology has published several articles on ShotSpotter efficacy (e.g., 'Study: ShotSpotter Doesn't Reduce Crime or Shootings', 'Report Evaluates Efficiency of Gunshot Detection Technology'), the cited headline and URL appear to be fabricated.",64.11,33651,395,1,0.01336,0.005,0.01836
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.9,,,,,,,"Searches for 'Police Technology Spending Report' on kcmo.gov and the broader web returned no primary source matching this report or news item. URL access was inconclusive, and no direct publisher or municipal record confirms the work exists.",63.33,33178,310,1,0.004819,0.005,0.009819
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.95,,,,,,,Searches for 'Emerging Police Technologies and Their Costs' across vera.org and general web search indexes yielded no direct primary records matching this title. The cited URL precheck also confirmed an affirmative dead link/404 on vera.org.,69.07,33070,323,1,0.013007,0.005,0.018007
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.7,,,,,,,"The primary locator URL (https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431) returns a dead/error response and no primary municipal record or ordinance text under 'ShotSpotter Contract Approval' could be located. Following the guidelines for grey literature / municipal URLs where the primary locator fails and no primary archive confirms the specific document, the status is not_found.",65.01,33840,399,1,0.013438,0.005,0.018438
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,0.85,,,,,,,"The primary locator URL (https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf) is dead (returns 404), and no direct/primary archive or record of the cited document ('Acoustic Detection Contract Details') exists. News reports indicate Elmwood Park did not sign its own ShotSpotter contract until mid-2024. Therefore, following the rules for dead-URL-primary grey literature where the specific document cannot be found, the status is not_found.",65.04,33133,409,1,0.009088,0.005,0.014088
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,0.98,,,,,,,DOI 10.1080/07418825.2018.1488126 resolves to 'Evidence-Based Policing and Scared Straight: New Analysis and Insights for Crime Prevention' by Eric L. Piza and Brandon C. Welsh in Justice Quarterly (2019). The cited title 'The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial' is a hallucinated chimera combining Piza/Welsh and JQ coordinates with a fabricated title.,85.18,33658,500,1,0.009455,0.005,0.014455
[44] Urban Institute. (2020). Evaluating the Impact of ShotSpotter in Urban Environments. https://www.urban.org/research/publication/evaluating-impactshotspotter-urban-environments,book,Evaluating the Impact of ShotSpotter in Urban Environments,Urban Institute,2020,,,,,,,,,https://www.urban.org/research/publication/evaluating-impact-shotspotter-urban-environments,,hallucination,0.95,,,,,,,"Searches for 'Evaluating the Impact of ShotSpotter in Urban Environments' on urban.org and across the web return no matching publication, and the cited URL is a dead link (404). While Urban Institute published gunshot detection technology studies in 2019/2020 (such as 'Implementing Gunshot Detection Technology: Recommendations for Law Enforcement and Municipal Partners' and 'Research in Brief: Three-City Evaluation of Gunshot Detection Technology'), the cited title and specific URL do not exist and represent a fabricated/chimera publication.",69.96,33345,444,1,0.009233,0.005,0.014233
[48] U.S. Conference of Mayors. (2021). Public Safety Technology Cost Index. https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,book,Public Safety Technology Cost Index,U.S. Conference of Mayors,2021,,,,,,,,,https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,,not_found,0.95,,,,,,,"Comprehensive searches across usmayors.org and the wider web for 'Public Safety Technology Cost Index' yielded no matching reports or documents from the U.S. Conference of Mayors or other primary sources. URL access was inconclusive, and no record of this specific report could be found.",71.35,33242,363,1,0.013146,0.005,0.018146
