document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,70,0,2,1,0,0,301.34,38.93,123.95,95.88,2842.25,974040,13402,987442,29,0.353471,0.145,0.49847
1_perspective_PLOSWater_preview,67,58,0,7,2,0,0,207.76,75.46,137.01,120.6,5055.65,1595195,24177,1619372,46,0.573756,0.23,0.803755
23812_Unmasking_Puppeteers_Lev,72,67,0,5,0,0,0,210.03,31.42,137.65,78.63,2262.0,167470,2323,169793,5,0.063052,0.025,0.088051
24047_Fourier_Token_Merging_Un,32,23,0,3,6,0,0,187.42,59.25,146.2,118.32,1896.07,403048,5944,408992,12,0.149981,0.06,0.209982
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,0,4,0,0,0,334.14,52.06,135.71,123.3,5414.07,1108162,15644,1123806,33,0.383343,0.165,0.548344
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,145,2,8,1,0,0,265.69,30.23,93.33,85.06,4716.39,871257,11982,883239,26,0.328676,0.13,0.458675
2606.11565v1,38,19,2,4,13,0,0,214.14,57.18,91.68,84.37,2172.73,880738,12239,892977,26,0.291667,0.13,0.421666
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,113.21,34.84,91.82,85.47,1254.11,204221,2755,206976,6,0.073541,0.03,0.103541
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,65,0,10,0,0,0,202.5,34.16,80.06,71.9,2562.23,803259,10549,813808,24,0.275869,0.12,0.39587
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,0,1,4,0,0,104.33,39.41,95.08,86.89,1379.36,369212,5003,374215,11,0.131426,0.055,0.186427
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,68,1,5,2,0,0,139.25,37.59,102.27,84.44,2857.11,474423,6850,481273,14,0.166136,0.07,0.236135
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,151.27,31.51,84.3,82.78,2394.9,456584,7774,464358,13,0.161164,0.065,0.226164
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,30,1,0,1,0,0,146.3,52.64,126.4,98.28,1684.35,438180,6854,445034,13,0.168959,0.065,0.233959
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,49,2,1,0,0,0,149.07,32.52,97.55,79.07,1690.82,167243,2258,169501,5,0.058745,0.025,0.083745
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,3,6,0,0,164.28,51.28,103.45,66.84,1179.39,166788,2315,169103,5,0.062782,0.025,0.087782
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,25,0,4,2,0,0,104.74,50.65,80.25,72.26,1570.0,897116,14917,912033,27,0.315166,0.135,0.450167
AndyW_Dissertation_Limit,271,250,0,20,1,0,0,374.89,38.05,111.52,99.83,10312.84,2343844,30798,2374642,70,0.813605,0.35,1.163605
BD_money_in_bank_preprint,85,78,0,4,3,0,0,280.21,47.88,121.39,101.1,4069.4,1071735,14000,1085735,32,0.37481,0.16,0.53481
Cannabis_in_the_Capital__Manuscript,52,42,2,8,0,0,0,178.5,58.04,117.6,111.85,3018.21,674282,8651,682933,20,0.252668,0.1,0.352668
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,0,1,6,0,0,149.47,80.28,125.53,124.75,1926.74,435769,5933,441702,13,0.162232,0.065,0.227232
Fingerprint_Ridges,38,38,0,0,0,0,0,151.29,53.09,112.65,111.25,2017.34,303401,3903,307304,9,0.092368,0.045,0.137368
GenAI_CrimEvidence,33,33,0,0,0,0,0,147.73,42.85,67.72,64.92,1414.05,605544,6862,612406,18,0.20712,0.09,0.29712
Gunshot_Detection_Literature_Review_Expanded,12,0,7,0,5,0,0,102.19,71.05,85.18,84.09,852.65,401231,5064,406295,12,0.131235,0.06,0.191235
PredictionMarkets,49,0,49,0,0,0,0,241.79,41.72,57.02,48.67,2044.38,1618976,34150,1653126,47,0.552156,0.235,0.787157
Preprint - The AI Criminal Mastermind - Paper,85,76,2,7,0,0,0,385.91,44.92,121.59,92.89,3818.3,1802251,22195,1824446,54,0.635403,0.27,0.905403
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,23,0,8,1,0,0,207.39,42.55,67.59,62.47,1361.69,704832,9438,714270,21,0.232784,0.105,0.337784
