raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Ackerman W.V., Murray A.T. Assessing Spatial Patterns of Crime in Lima, Ohio, USA. Cities. 2004;21:423-437.",journal_article,"Assessing Spatial Patterns of Crime in Lima, Ohio, USA",Ackerman W.V. | Murray A.T.,2004,Cities,21,,423-437,,,,,,,verified,0.976,"Assessing spatial patterns of crime in Lima, Ohio",William V. Ackerman | Alan T. Murray,Cities,10.1016/j.cities.2004.07.008,https://doi.org/10.1016/j.cities.2004.07.008,crossref_title_static,Verified via static CrossRef title search (score: 0.98),15.26,0,0,0,0.0,0.0,0.0
"[2] R. Muggah, The urbanization of security in the global South, Glob. Gov. 21 (3) (2015) 383-404.",journal_article,The urbanization of security in the global South,R. Muggah,2015,Glob. Gov.,21,3,383-404,,,,,,,minor_error,0.95,The Urbanization of Security: The Global South,Keith Krause,Global Governance: A Review of Multilateralism and International Organizations,10.1163/19426720-02103006,https://doi.org/10.1163/19426720-02103006,Brill / Global Governance,"The article in Global Governance 21 (3) (2015): 383-404 titled 'The Urbanization of Security: The Global South' was authored by Keith Krause, not Robert Muggah (who authored a different piece in the same special section/issue).",56.65,33246,524,1,0.009346,0.005,0.014346
"[3] J. Smith, Demographic factors in crime victimization, J. Criminol. 15 (3) (2020) 123-145, https://doi.org/10.1234/jcriminology.2020.0153.",journal_article,Demographic factors in crime victimization,J. Smith,2020,J. Criminol.,15,3,123-145,10.1234/jcriminology.2020.0153,,,,,,hallucination,0.99,,,,,,,"The citation is entirely fabricated. The title 'Demographic factors in crime victimization', author 'J. Smith', journal volume/pages, and the example DOI prefix/suffix '10.1234/jcriminology.2020.0153' do not correspond to any real published work.",89.28,33474,372,1,0.00915,0.005,0.01415
"[4] L.W. Sherman, P.R. Gartin, M.E. Buerger, Hot spots of predatory crime: routine activities and the criminology of place, Criminology 27 (1) (1989) 27-55.",journal_article,Hot spots of predatory crime: routine activities and the criminology of place,L.W. Sherman | P.R. Gartin | M.E. Buerger,1989,Criminology,27,1,27-55,,,,,,,verified,1.0,HOT SPOTS OF PREDATORY CRIME: ROUTINE ACTIVITIES AND THE CRIMINOLOGY OF PLACE*,LAWRENCE W. SHERMAN | PATRICK R. GARTIN | MICHAEL E. BUERGER,Criminology,10.1111/j.1745-9125.1989.tb00862.x,https://doi.org/10.1111/j.1745-9125.1989.tb00862.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),16.27,0,0,0,0.0,0.0,0.0
"[5] J. Smith, Spatial analysis of crime patterns using GIS-based decision support tools, J. Quant. Criminol. 38 (2) (2022) 125-148.",journal_article,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,2022,J. Quant. Criminol.,38,2,125-148,,,,,,,hallucination,0.98,,,,,,,The cited title 'Spatial analysis of crime patterns using GIS-based decision support tools' does not exist in Journal of Quantitative Criminology. Issue 38(2) of the journal (June 2022) spans pages 295-532 and contains completely different articles by different authors. The citation is a classic hallucination combining a generic author and plausible GIS/criminology topic with real journal coordinates.,56.68,33442,433,1,0.009248,0.005,0.014248
"[6] J. Ferreira, P. Joao, J. Martins, GIS For Crime analysis: Geography for Predictive Models, University of Lisbon, 2012.",book,GIS For Crime analysis: Geography for Predictive Models,J. Ferreira | P. Joao | J. Martins,2012,,,,,,,,University of Lisbon,,,minor_error,0.95,GIS for Crime Analysis: Geography for Predictive Models,Jorge Ferreira | Paulo João | J. I. Martins,Electronic Journal of Information Systems Evaluation,,https://run.unl.pt/bitstream/10362/158324/1/ejise_volume15_issue1_article817.pdf,Electronic Journal of Information Systems Evaluation / Repositório da Universidade Nova de Lisboa,"The citation describes a real 2012 article published in the 'Electronic Journal of Information Systems Evaluation' (Vol. 15, Issue 1, pp. 36-47), but mistakenly cites the authors' institutional affiliation ('University of Lisbon') in place of the journal name.",57.15,33434,478,1,0.009334,0.005,0.014334
"[7] N. Cressie, Statistics for Spatial Data, Wiley, New York, 1993.",book,Statistics for Spatial Data,N. Cressie,1993,,,,,,0471002550,,Wiley,,,verified,1.0,Statistics for Spatial Data,Noel A. C. Cressie,Wiley Series in Probability and Statistics,10.1002/9781119115151,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),17.51,0,0,0,0.0,0.0,0.0
"[8] E. Ayo, A. Suleiman, D. Agboola, Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology, Nigeria, 2015.",book,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,2015,,,,,,,,Nigeria,,,minor_error,0.95,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, Nigeria, Using GIS Techniques",Ayo Emmanuel Olajuyigbe | Suleiman Abdul-Azeez Adegboyega | Agboola David Adenigba,International Journal of Criminology and Sociological Theory,,https://ijcst.journals.yorku.ca/index.php/ijcst/article/view/39742,https://ijcst.journals.yorku.ca/index.php/ijcst/article/view/39742,"The citation contains minor errors: it omits the journal name ('International Journal of Criminology and Sociological Theory'), places 'Nigeria' in the venue/publisher spot instead of part of the title ('Akure, Nigeria'), slightly varies the subtitle wording ('using GIS technology' vs 'Using GIS Techniques'), and mangles the authors' names by using given names in place of surnames.",58.61,33570,579,1,0.013674,0.005,0.018674
"[9] Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015.",book,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. | Nigussie B.,2015,,,,,,,,,,,minor_error,0.95,"Criminality and Victimization in Oromia, Ethiopia",Nega Jibat | Berhanu Nigussie,SAGE Open,10.1177/2158244014565335,https://doi.org/10.1177/2158244014565335,CrossRef / SAGE / IDEAS RePEc,"The citation completely omitted the journal venue ('SAGE Open', Vol. 5, Iss. 1) and coordinates for a published journal article, which triggers the missing journal rule for minor_error.",60.53,33499,441,1,0.009289,0.005,0.014289
"[10] A. Hayelom, T. Goche, Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers, Abyssinia J. Bus. Soc. Sci. (2021).",journal_article,Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,2021,Abyssinia J. Bus. Soc. Sci.,,,,,,,,,,verified,0.95,Investigating Factors Contributing For Recidivism in Dessie and Woldiya Correctional Centers,Abate Hayelom | Tsegaye Goche,Abyssinia Journal of Business and Social Sciences,,https://abjol.org.et/index.php/ajbs/article/view/134,Abyssinia Journal Online (abjol.org.et),"The article exists in Abyssinia Journal of Business and Social Sciences (AJBS), Vol. 4 No. 2 (published online December 2019 / Vol. 4). The citation lists the publication year as 2021 without volume/issue/pages.",61.88,33580,449,1,0.013434,0.005,0.018434
