raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,1.0,The World Health Organization and global health estimates: improving collaboration and capacity,Ties Boerma | Colin D. Mathers,BMC Medicine,10.1186/s12916-015-0286-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC4355571/,PMC / Publisher Archive (BMC Medicine),"The cited journal article exists exactly as cited in BMC Medicine (2015, Vol 13, Article 50, DOI: 10.1186/s12916-015-0286-7).",66.32,33470,432,1,0.009257,0.005,0.014257
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,1.0,Neurobiology of the Adolescent Brain and Behavior: Implications for Substance Use Disorders,B. J. Casey | Rebecca M. Jones,Journal of the American Academy of Child & Adolescent Psychiatry,10.1016/j.jaac.2010.08.017,https://doi.org/10.1016/j.jaac.2010.08.017,CrossRef / PubMed / ScienceDirect,"The citation matches the published article exactly across title, authors, journal, year, volume (49), issue (12), and page numbers (1189-1201 / 1189-201).",78.85,33594,495,1,0.009425,0.005,0.014425
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,1.0,Mothers' Goals for Adolescents in the United States and China: Content and Transmission,Yang Qu | Eva M. Pomerantz | Cixin Deng,Journal of Research on Adolescence,10.1111/jora.12176,https://doi.org/10.1111/jora.12176,Wiley / PubMed Central / CrossRef,"The citation is verified. All bibliographic metadata including authors, title, journal, volume (26), issue (1), pages (126-141), and year (2016) match the official publisher publication record (DOI: 10.1111/jora.12176).",66.72,33611,472,1,0.009388,0.005,0.014388
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,not_found,0.8,,,,,,,"Thorough searches across CrossRef, Google Scholar, Journal of Student Research archives, and preprint repositories did not yield any published article matching the cited title, authors, volume, and issue.",72.09,33362,308,1,0.004884,0.005,0.009884
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,verified,0.95,Depressive Symptoms and Suicidal Behavior in Adolescents,Douglas R. Robbins | Norman E. Alessi,Annual Progress in Child Psychiatry and Child Development 1986,,,NDL / Publisher Book Record,"The work was originally published in the American Journal of Psychiatry (1985) and reprinted as Chapter 26 in 'Annual Progress in Child Psychiatry and Child Development 1986' (Brunner/Mazel, later Routledge). The citation cites this volume with reprint/catalog date 1991.",66.08,33469,414,1,0.013327,0.005,0.018327
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,1.0,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Holly C. Wilcox | Amelia M. Arria | Kimberly M. Caldeira | Kathryn B. Vincent | Gillian M. Pinchevsky | Kevin E. O'Grady,Journal of Affective Disorders,10.1016/j.jad.2010.04.017,https://doi.org/10.1016/j.jad.2010.04.017,ScienceDirect / Elsevier,"The citation is completely accurate. The article was published in Journal of Affective Disorders, Volume 127, Issues 1–3, December 2010, pages 287–294.",85.93,33690,518,1,0.0095,0.005,0.0145
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,verified,1.0,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Zitong Wang | Lijun Zhang | Xiaohua Liu | Yamin Li,European Child & Adolescent Psychiatry,10.1007/s00787-024-02387-9,https://pubmed.ncbi.nlm.nih.gov/38324038/,PubMed / Springer,The citation accurately describes the article published in European Child & Adolescent Psychiatry (2024) 33(9):3043-3053; PMID: 38324038; DOI: 10.1007/s00787-024-02387-9.,66.57,33532,418,1,0.013358,0.005,0.018358
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,1.0,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,James V. Ray | Norman G. Poythress | Jennifer M. Weir | Alicia Rickelmann,Personality and Individual Differences,10.1016/j.paid.2008.09.006,https://doi.org/10.1016/j.paid.2008.09.006,ScienceDirect / CrossRef,"The article exists exactly as cited in Personality and Individual Differences, Volume 46, Issue 2 (January 2009), pages 83-87.",70.92,33489,439,1,0.013381,0.005,0.018381
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,1.0,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Vince Ho-Ming Cheung | Chloe Yan-Ting Chan | Raymond Kwok-Chi Au,Asia-Pacific Psychiatry,10.1111/appy.12339,https://doi.org/10.1111/appy.12339,https://pubmed.ncbi.nlm.nih.gov/30362264/,"The citation exists exactly as cited. Published in Asia-Pacific Psychiatry, Volume 11, Issue 2, Article e12339 (2019). DOI: 10.1111/appy.12339.",67.72,33567,502,1,0.013529,0.005,0.018529
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),26.99,0,0,0,0.0,0.0,0.0
