raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar. Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation. In International Conference on Learning Representations, 2023.",conference_paper,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,2023,International Conference on Learning Representations,,,,,,,,,,verified,0.99,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,International Conference on Learning Representations,,https://iclr.cc/virtual/2023/oral/12609,web_search,"The upstream report states the citation is verified and identifies the same conference paper with matching title, authors, and venue.",134.49,27711,830,1,0.024518,0.01,0.034518
"[2] Yasin Abbasi Yadkori, Ilja Kuzborskij, András György, and Csaba Szepesvari. To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty. Advances in Neural Information Processing Systems, 37:58077-58117, 2024.",journal_article,To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty,Yasin Abbasi Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvari,2024,Advances in Neural Information Processing Systems,37,,58077-58117,,,,,,,verified,1.0,To Believe or Not to Believe Your LLM: Iterative Prompting for Estimating Epistemic Uncertainty,Yasin Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvári,Advances in Neural Information Processing Systems 37,10.52202/079017-1852,https://doi.org/10.52202/079017-1852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.04,0,0,0,0.0,0.0,0.0
"[3] Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, and Yejin Choi. The curious case of neural text degeneration. International Conference on Learning Representations, 2020.",conference_paper,The curious case of neural text degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,2020,International Conference on Learning Representations,,,,,,,,,,verified,0.99,The Curious Case of Neural Text Degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,Proceedings of International Conference on Learning Representations,,https://pubs.cs.uct.ac.za/id/eprint/1407/,web_search,The record is dated 2020 and matches the cited conference paper; the title difference is capitalization only.,134.33,23586,712,1,0.020893,0.01,0.030893
"[4] Lukas Aichberger, Kajetan Schweighofer, Mykyta Ielanskyi, and Sepp Hochreiter. Improving uncertainty estimation through semantically diverse language generation. In The Thirteenth International Conference on Learning Representations, 2025.",conference_paper,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,2025,The Thirteenth International Conference on Learning Representations,,,,,,,,,,verified,0.98,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,The Thirteenth International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2025/hash/b94d8b035e2183e47afef9e2f299ba47-Abstract-Conference.html,web_search,The report identifies the same ICLR 2025 conference paper; only capitalization differs in the title.,128.11,22708,763,1,0.020465,0.01,0.030464
"[5] Jacob Austin, Daniel D Johnson, Jonathan Ho, Daniel Tarlow, and Rianne Van Den Berg. Structured denoising diffusion models in discrete state-spaces. Advances in neural information processing systems, 34:17981-17993, 2021.",journal_article,Structured denoising diffusion models in discrete state-spaces,Jacob Austin | Daniel D Johnson | Jonathan Ho | Daniel Tarlow | Rianne Van Den Berg,2021,Advances in neural information processing systems,34,,17981-17993,,,,,,,verified,0.99,Structured Denoising Diffusion Models in Discrete State-Spaces,Daniel D. Johnson | Rianne van den Berg | M. E. J. Newman,Advances in Neural Information Processing Systems 34 (NeurIPS 2021),,https://proceedings.neurips.cc/paper/2021/hash/958c530554f78bcd8e97125b70e6973d-Abstract.html?utm_source=openai,web_search,"The upstream report concludes this is the same conference paper with matching title, authors, venue, and pages; no conflicting metadata was identified.",131.28,22813,891,1,0.021119,0.01,0.031119
"[6] Aaron Lou, Chenlin Meng, and Stefano Ermon. Discrete diffusion modeling by estimating the ratios of the data distribution. In Proceedings of the 41st International Conference on Machine Learning, 2024.",conference_paper,Discrete diffusion modeling by estimating the ratios of the data distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,2024,Proceedings of the 41st International Conference on Machine Learning,,,,,,,,,,verified,0.99,Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,Proceedings of the 41st International Conference on Machine Learning,,https://proceedings.mlr.press/v235/lou24a.html,,"Official PMLR/ICML record confirms the paper exists with matching title, authors, venue, and year. The upstream report also stated volume 235 and pages 32819--32848, but those fields are not part of this output schema.",135.56,27436,1098,1,0.025518,0.01,0.035518
"[7] Jiaxin Shi, Kehang Han, Zhe Wang, Arnaud Doucet, and Michalis Titsias. Simplified and generalized masked diffusion for discrete data. Advances in Neural Information Processing Systems, 37:103131-103167, 2024.",journal_article,Simplified and generalized masked diffusion for discrete data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,2024,Advances in Neural Information Processing Systems,37,,103131-103167,,,,,,,verified,1.0,Simplified and Generalized Masked Diffusion for Discrete Data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,Advances in Neural Information Processing Systems 37,10.52202/079017-3277,https://doi.org/10.52202/079017-3277,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.61,0,0,0,0.0,0.0,0.0
"[8] Subham Sahoo, Marianne Arriola, Yair Schiff, Aaron Gokaslan, Edgar Marroquin, Justin Chiu, Alexander Rush, and Volodymyr Kuleshov. Simple and effective masked diffusion language models. Advances in Neural Information Processing Systems, 37: 130136-130184, 2024.",journal_article,Simple and effective masked diffusion language models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,2024,Advances in Neural Information Processing Systems,37,,130136-130184,,,,,,,verified,1.0,Simple and Effective Masked Diffusion Language Models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,Advances in Neural Information Processing Systems 37,10.52202/079017-4135,https://doi.org/10.52202/079017-4135,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.95,0,0,0,0.0,0.0,0.0
"[9] Jingyang Ou, Shen Nie, Kaiwen Xue, Fengqi Zhu, Jiacheng Sun, Zhenguo Li, and Chongxuan Li. Your absorbing discrete diffusion secretly models the conditional distributions of clean data. arXiv preprint arXiv:2406.03736, 2024.",working_paper,Your absorbing discrete diffusion secretly models the conditional distributions of clean data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,2024,arXiv,,2406.03736,,,,,,,,verified,0.95,Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,arXiv,10.48550/arXiv.2406.03736,https://arxiv.org/abs/2406.03736,arxiv_static,Verified via arXiv id 2406.03736.,64.71,0,0,0,0.0,0.0,0.0
"[10] Shen Nie, Fengqi Zhu, Zebin You, Xiaolu Zhang, Jingyang Ou, Jun Hu, JUN ZHOU, Yankai Lin, Ji-Rong Wen, and Chongxuan Li. Large language diffusion models. In The Thirty-ninth Annual Conference on Neural Information Processing Systems, 2025. URL https://openreview.net/forum?id=KnqiC0znVF.",conference_paper,Large language diffusion models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | JUN ZHOU | Yankai Lin | Ji-Rong Wen | Chongxuan Li,2025,,,,,,,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,https://openreview.net/forum?id=KnqiC0znVF,,verified,0.99,Large Language Diffusion Models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | Jun Zhou | Yankai Lin | Ji-Rong Wen | Chongxuan Li,Advances in Neural Information Processing Systems 38 (NeurIPS 2025) Main Conference Track,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/48b383b24230e0e6e649d9c98dae4d8c-Abstract-Conference.html,web_search,"Exact-title search found the paper on the official NeurIPS proceedings site, with the same 10 authors and the same 2025 conference venue. The title matches exactly aside from capitalization of LI on the site. The venue is the NeurIPS 2025 main conference track, which is the same work cited in the bibliography entry. The OpenReview forum URL in the citation redirected to a browser-verification page in this tool, but the paper itself is confirmed on the official NeurIPS site. No concrete bibliographic error was established.",136.21,30947,1604,2,0.030428,0.02,0.050428
"[11] Kajetan Schweighofer, Lukas Aichberger, Mykyta Ielanskyi, and Sepp Hochreiter. On information-theoretic measures of predictive uncertainty. In Silvia Chiappa and Sara Magliacane (eds.), Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence, volume 286 of Proceedings of Machine Learning Research, pp. 3605-3640. PMLR, 21-25 Jul 2025. URL https://proceedings.mlr.press/v286/ schweighofer25a.html.",conference_paper,On information-theoretic measures of predictive uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,2025,,286,,3605-3640,,,Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence,PMLR,https://proceedings.mlr.press/v286/schweighofer25a.html,,verified,0.99,On Information-Theoretic Measures of Predictive Uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,"Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence, volume 286 of Proceedings of Machine Learning Research, pages 3605–3640",,https://proceedings.mlr.press/v286/schweighofer25a.html,web_search,The cited URL is the live PMLR page for this paper.,134.61,24618,855,1,0.022311,0.01,0.032311
"[12] Adina Williams, Nikita Nangia, and Samuel Bowman. A broad-coverage challenge corpus for sentence understanding through inference. In Marilyn Walker, Heng Ji, and Amanda Stent (eds.), Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers), pp. 1112-1122, New Orleans, Louisiana, June 2018. Association for Computational Linguistics. doi: 10.18653/v1/N18-1101. URL https://aclanthology. org/N18-1101/.",conference_paper,A broad-coverage challenge corpus for sentence understanding through inference,Adina Williams | Nikita Nangia | Samuel Bowman,2018,,,,1112-1122,10.18653/v1/N18-1101,,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",Association for Computational Linguistics,https://aclanthology.org/N18-1101/,,verified,1.0,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,Adina Williams | Nikita Nangia | Samuel Bowman,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Human Language
          Technologies, Volume 1 (Long Papers)",10.18653/v1/n18-1101,https://doi.org/10.18653/v1/n18-1101,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),3.88,0,0,0,0.0,0.0,0.0
"[13] Pengcheng He, Xiaodong Liu, Jianfeng Gao, and Weizhu Chen. Deberta: Decoding-enhanced bert with disentangled attention. In International Conference on Learning Representations, 2021. URL https://openreview.net/forum?id=XPZIaotutsD.",conference_paper,Deberta: Decoding-enhanced bert with disentangled attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,2021,,,,,,,International Conference on Learning Representations,,https://openreview.net/forum?id=XPZIaotutsD,,verified,0.99,DeBERTa: Decoding-Enhanced BERT with Disentangled Attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,International Conference on Learning Representations,,https://www.microsoft.com/en-us/research/publication/deberta-decoding-enhanced-bert-with-disentangled-attention-2/,web_search,"The OpenReview PDF URL itself was gated by a browser verification screen, but the record identity is corroborated by the Microsoft Research and DBLP entries.",135.84,26889,1079,1,0.025022,0.01,0.035022
"[14] Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, and Samuel Bowman. GLUE: A multi-task benchmark and analysis platform for natural language understanding. In Tal Linzen, Grzegorz Chrupała, and Afra Alishahi (eds.), Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 353-355, Brussels, Belgium, November 2018. Association for Computational Linguistics. doi: 10.18653/v1/W18-5446. URL https://aclanthology.org/W18-5446/.",conference_paper,GLUE: A multi-task benchmark and analysis platform for natural language understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,2018,,,,353-355,10.18653/v1/W18-5446,,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,Association for Computational Linguistics,https://aclanthology.org/W18-5446/,,verified,1.0,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,10.18653/v1/w18-5446,https://doi.org/10.18653/v1/w18-5446,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),4.55,0,0,0,0.0,0.0,0.0
"[15] Yarin Gal and Zoubin Ghahramani. Dropout as a bayesian approximation: Representing model uncertainty in deep learning. In Maria Florina Balcan and Kilian Q. Weinberger (eds.), Proceedings of The 33rd International Conference on Machine Learning, volume 48 of Proceedings of Machine Learning Research, pp. 1050-1059, New York, New York, USA, 20-22 Jun 2016. PMLR.",conference_paper,Dropout as a bayesian approximation: Representing model uncertainty in deep learning,Yarin Gal | Zoubin Ghahramani,2016,,48,,1050-1059,,,Proceedings of The 33rd International Conference on Machine Learning,PMLR,,,verified,0.99,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,Yarin Gal | Zoubin Ghahramani,Proceedings of The 33rd International Conference on Machine Learning,,https://proceedings.mlr.press/v48/gal16.html,web_search,Exact match to the PMLR conference record; only cosmetic title capitalization differences.,168.33,22868,854,1,0.020994,0.01,0.030994
