raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Utah Division of Water Resources. Why Utah cloud seeds. https://water.utah.gov/cloudseeding/ Accessed 2025 August 25.,web,Why Utah cloud seeds,,,,,,,,,,,https://water.utah.gov/cloudseeding/,,verified,0.97,Cloud Seeding,Utah Division of Water Resources,Utah Division of Water Resources,,https://water.utah.gov/cloudseeding/,web_search,"I opened the cited URL directly and it is live. The page is the Utah Division of Water Resources’ Cloud Seeding page, and the cited wording ""Why Utah cloud seeds"" appears as a section heading on that page. This is a plausible short label/subsection title for the official page, so the citation identifies the same web resource without a substantive mismatch.",137.06,26751,778,1,0.023564,0.01,0.033564
2. Munich Re. Natural disasters in 2024: climate change is showing its claws. https://www.munichre.com/en/company/media-relations/media-informa￾tion-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html. 2025. Accessed 2025 August 25.,web,Natural disasters in 2024: climate change is showing its claws,,2025,,,,,,,,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,,minor_error,0.96,"Climate change is showing its claws: The world is getting hotter, resulting in severe hurricanes, thunderstorms and floods",,Munich Re,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.item-738a133628e04cb9ff6114486f1d9964.html,web_search,"The cited web page exists on Munich Re's site and the URL resolves to the expected 2025 media release about natural disasters in 2024. The page is live and contains the 2024 disaster summary, including the US$ 320bn total losses and US$ 140bn insured losses for 2024.",147.97,26737,1282,1,0.025822,0.01,0.035822
3. Gallagher R. Natural catastrophe and climate report: 2024. https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastro￾phe-and-climate-report-2024/ 2024. Accessed 2025 August 25.,web,Natural catastrophe and climate report: 2024,Gallagher R,2024,,,,,,,,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,,verified,0.98,Gallagher Re Natural Catastrophe and Climate Report 2024,Gallagher Re,Gallagher Re official site,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,web_search,The report identifies the cited URL as an official Gallagher Re page and treats the cited title as an abbreviated form of the page title. No DOI was provided or established.,137.8,19997,692,0,0.018112,0.0,0.018112
"4. World Meteorological Organization. WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019). Geneva: WMO. 2021. https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019",book,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019)",,2021,,,,,,978-9-263-11267-5,,WMO,https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019,,verified,0.98,"WMO Atlas of Mortality and Economic Losses from Weather, Climate and Water Extremes (1970–2019)",WMO,WMO,,,web_search,The cited WMO URL redirects to the live official WMO page for the same publication. ISBN 9789263112675 was also reported as matching the citation after standard hyphenation formatting.,141.08,31009,1125,1,0.028319,0.01,0.038319
"5. Zscheischler J, Martius O, Westra S, Bevacqua E, Raymond C, Horton RM, et al. A typology of compound weather and climate events. Nat Rev Earth Environ. 2020;1(7):333-47. https://doi.org/10.1038/s43017-020-0060-z",journal_article,A typology of compound weather and climate events,Zscheischler J; Martius O; Westra S; Bevacqua E; Raymond C; Horton RM,2020,Nat Rev Earth Environ,1,7,333-47,10.1038/s43017-020-0060-z,,,,,,verified,0.99,A typology of compound weather and climate events,"Zscheischler, J. | Martius, O. | Westra, S.",Nature Reviews Earth & Environment,10.1038/s43017-020-0060-z,https://www.nature.com/articles/s43017-020-0060-z,web_search,"Publisher page corroborates title, venue, year, and DOI; the citation uses et al., so truncated authors are acceptable.",140.21,32367,1068,1,0.029081,0.01,0.039081
"6. Dettinger MD, Martin Ralph F, Abel MR, Das T, Neiman P, Cox D, et al. Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California. Nat Hazards. 2024;120(13):12571-12571. https://doi.org/10.1007/ s11069-024-06865-x",journal_article,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger MD; Martin Ralph F; Abel MR; Das T; Neiman P; Cox D,2024,Nat Hazards,120,13,12571-12571,10.1007/s11069-024-06865-x,1-257-11257-1,,,,,verified,0.98,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger | Martin Ralph | Abel | Das | Neiman | Cox,Natural Hazards,10.1007/s11069-024-06865-x,https://link.springer.com/article/10.1007/s11069-024-06865-x,web_search,The report identifies the Springer correction article as the same work and states the DOI resolves to the publisher record. The space in the DOI was treated as a formatting artifact.,143.65,31238,1186,2,0.028765,0.02,0.048766
"7. Porter K, Wein A, Alpers C, Baez A, Barnard P, Carter J. Overview of the ARkStorm scenario. Reston (VA): US Geological Survey. 2011. http:// pubs.usgs.gov/of/2010/1312/",book,Overview of the ARkStorm scenario,Porter K; Wein A; Alpers C; Baez A; Barnard P; Carter J,2011,,,,,,,,US Geological Survey,http://pubs.usgs.gov/of/2010/1312/,,verified,0.99,Overview of the ARkStorm scenario,Porter | Wein | Alpers | Baez | Barnard | Carter,U.S. Geological Survey Open-File Report 2010-1312,10.3133/ofr20101312,https://pubs.usgs.gov/of/2010/1312/,web_search,"The provided URL points to the USGS report page for this exact work, and the page is live.",140.79,27100,970,1,0.02469,0.01,0.03469
"8. Stendel M, Francis J, White R, Williams PD, Woollings T. The jet stream and climate change. Climate Change. Elsevier. 2021:327-57. https://doi. org/10.1016/b978-0-12-821575-3.00015-3",book_chapter,The jet stream and climate change,Stendel M; Francis J; White R; Williams PD; Woollings T,2021,,,,327-57,10.1016/b978-0-12-821575-3.00015-3,978-0-128-21575-3,Climate Change,Elsevier,,,verified,0.99,The jet stream and climate change,Martin Stendel | Jennifer Francis | Rachel White | Paul D. Williams | Tim Woollings,"Climate Change: Observed Impacts on Planet Earth, Third Edition",10.1016/B978-0-12-821575-3.00015-3,,web_search,The raw citation abbreviates the book title as 'Climate Change' and the page range as 327-57; the official record shows the full book title and pages 327-357. DOI link formatting in the raw text has a space ('doi. org') but resolves to the same DOI.,147.63,33019,1492,1,0.031478,0.01,0.041478
"9. Kautz L-A, Martius O, Pfahl S, Pinto JG, Ramos AM, Sousa PM, et al. Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review. Weather Clim Dynam. 2022;3(1):305-36. https://doi.org/10.5194/wcd-3-305-2022",journal_article,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,Kautz L-A; Martius O; Pfahl S; Pinto JG; Ramos AM; Sousa PM,2022,Weather Clim Dynam,3,1,305-36,10.5194/wcd-3-305-2022,,,,,,verified,0.99,Atmospheric blocking and weather extremes over the Euro-Atlantic sector – a review,Lisa-Ann Kautz | Olivia Martius | Stephan Pfahl | Joaquim G. Pinto | Alexandre M. Ramos | Pedro M. Sousa | Tim Woollings,Weather Clim. Dynam.,10.5194/wcd-3-305-2022,https://wcd.copernicus.org/articles/3/305/2022/index.html,web_search,"Publisher page corroborates title, venue, authors, year, pages, and DOI. Citation uses et al. truncation, which is acceptable for the same paper.",138.03,28305,971,1,0.025598,0.01,0.035598
"10. Lau WKM, Kim KM. The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes. J Hydrometeorol. 2012;13:392-403. https://doi.org/10.1175/JHM-D-11-016.1",journal_article,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,Lau WKM; Kim KM,2012,J Hydrometeorol,13,,392-403,10.1175/JHM-D-11-016.1,,,,,,verified,0.98,The 2010 Pakistan Flood and Russian Heat Wave: Teleconnection of Hydrometeorological Extremes,William K. M. Lau | Kyu-Myong Kim,Journal of Hydrometeorology,10.1175/JHM-D-11-016.1,https://journals.ametsoc.org/abstract/journals/hydr/13/1/jhm-d-11-016_1.xml,web_search,"Same journal article; title/venue/authors align with the publisher record, with only abbreviation/capitalization differences.",144.66,23523,1179,1,0.022948,0.01,0.032948
