raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[ABI86] N. Alon, L. Babai, and A. Itai. A fast and simple randomized parallel algorithm for the maximal independent set problem, J. Algorithms, 7 (4) (1986), 567-583 (cit. on p. 39)",journal_article,A fast and simple randomized parallel algorithm for the maximal independent set problem,N. Alon | L. Babai | A. Itai,1986,J. Algorithms,7,4,567-583,,,,,,,verified,1.0,A fast and simple randomized parallel algorithm for the maximal independent set problem,Noga Alon | László Babai | Alon Itai,Journal of Algorithms,10.1016/0196-6774(86)90019-2,https://doi.org/10.1016/0196-6774(86)90019-2,crossref_title_static,Verified via static CrossRef title search (score: 1.00),12.92,0,0,0,0.0,0.0,0.0
"[ACK02] R. Aharoni, M. Chudnovsky, and A. Kotlov. Triangulated spheres and colored cliques, Discrete Comput. Geom., 28 (2002), 223-229 (cit. on p. 33)",journal_article,Triangulated spheres and colored cliques,R. Aharoni | M. Chudnovsky | A. Kotlov,2002,Discrete Comput. Geom.,28,,223-229,,,,,,,verified,0.99,Triangulated spheres and colored cliques,Ron Aharoni | Maria Chudnovsky | Andrei Kotlov,Discrete and Computational Geometry,10.1007/s00454-002-2792-6,https://collaborate.princeton.edu/en/publications/triangulated-spheres-and-colored-cliques/,web_search,"The upstream report also states volume 28 and pages 223–229, but those fields are not part of the requested schema. The citation was verified against the Princeton/Scopus record.",60.04,25802,922,1,0.023501,0.01,0.033501
"[AE14] P. Ara and R. Exel. Dynamical systems associated to separated graphs, graph algebras, and paradoxical decompositions, Adv. Math., 252 (2014), 748-804 (cit. on p. 13)",journal_article,"Dynamical systems associated to separated graphs, graph algebras, and paradoxical decompositions",P. Ara | R. Exel,2014,Adv. Math.,252,,748-804,,,,,,,verified,1.0,"Dynamical systems associated to separated graphs, graph algebras, and paradoxical decompositions",Pere Ara | Ruy Exel,Advances in Mathematics,10.1016/j.aim.2013.11.009,https://doi.org/10.1016/j.aim.2013.11.009,crossref_title_static,Verified via static CrossRef title search (score: 1.00),8.1,0,0,0,0.0,0.0,0.0
"[Alo88] N. Alon. The linear arboricity of graphs, Isr. J. Math., 62 (1988), 311-325 (cit. on pp. 32, 33)",journal_article,The linear arboricity of graphs,N. Alon,1988,Isr. J. Math.,62,,311-325,,,,,,,verified,1.0,The linear arboricity of graphs,N. Alon,Israel Journal of Mathematics,10.1007/bf02783300,https://doi.org/10.1007/bf02783300,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.11,0,0,0,0.0,0.0,0.0
"[Alo94] N. Alon. Probabilistic methods in coloring and decomposition problems, Discrete Math., 127 (1994), 31-46 (cit. on p. 33)",journal_article,Probabilistic methods in coloring and decomposition problems,N. Alon,1994,Discrete Math.,127,,31-46,,,,,,,verified,1.0,Probabilistic methods in coloring and decomposition problems,Noga Alon,Discrete Mathematics,10.1016/0012-365x(92)00465-4,https://doi.org/10.1016/0012-365x(92)00465-4,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.24,0,0,0,0.0,0.0,0.0
"[AS16] N. Alon and J.H. Spencer. The Probabilistic Method. 4th ed. John Wiley & Sons, 2016 (cit. on pp. 34, 35, 37, 41)",book,The Probabilistic Method,N. Alon | J.H. Spencer,2016,,,,,,,,John Wiley & Sons,,,verified,0.99,The Probabilistic Method,Noga Alon | Joel H. Spencer,Wiley,,,web_search,"The record also gives ISBN 9781119061953 and describes the book as xiv, 375 pages, which is consistent with the cited work.",77.0,25856,772,1,0.022866,0.01,0.032866
"[Awe+89] B. Awerbuch, A.V. Goldberg, M. Luby, and S.A. Plotkin. Network decomposition and locality in distributed computation, IEEE Symposium on Foundations of Computer Science (FOCS), (1989), 364-369 (cit. on p. 28)",conference_paper,Network decomposition and locality in distributed computation,B. Awerbuch | A.V. Goldberg | M. Luby | S.A. Plotkin,1989,IEEE Symposium on Foundations of Computer Science (FOCS),,,364-369,,,,,,,verified,1.0,Network decomposition and locality in distributed computation,B. Awerbuch | M. Luby | A.V. Goldberg | S.A. Plotkin,30th Annual Symposium on Foundations of Computer Science,10.1109/sfcs.1989.63504,https://doi.org/10.1109/sfcs.1989.63504,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.14,0,0,0,0.0,0.0,0.0
"[Bar96] Y. Bartal. Probabilistic approximation of metric spaces and its algorithmic applications, IEEE Symposium on Foundations of Computer Science (FOCS), (1996), 184-193 (cit. on p. 28)",conference_paper,Probabilistic approximation of metric spaces and its algorithmic applications,Y. Bartal,1996,IEEE Symposium on Foundations of Computer Science (FOCS),,,184-193,,,,,,,verified,0.98,Probabilistic approximation of metric spaces and its algorithmic applications,Yair Bartal,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",,https://cris.huji.ac.il/en/publications/probabilistic-approximation-of-metric-spaces-and-its-algorithmic/,web_search,"The report states that the title, first author, venue, page range (184–193), and year (1996) all match the cited work. Only minor stylistic venue formatting differences were noted.",90.57,31230,1187,2,0.028764,0.02,0.048764
"[BBW] A. Bernshteyn, M. Bowen, and F. Weilacher. Measurable edge-colorings of multigraphs, in preparation (cit. on p. 61)",working_paper,Measurable edge-colorings of multigraphs,A. Bernshteyn | M. Bowen | F. Weilacher,,in preparation,,,,,,,,,,not_found,0.91,,,,,,web_search,"I searched the exact title with the first author and the full author trio, then checked the strongest related coordinates I could find. I found related evidence that this is a real research line by the same authors: a CIRM abstract for Matt Bowen says an edge-coloring result is 'based on ongoing work with Bernshteyn and Weilacher' and a 2026 arXiv paper by Anton Bernshteyn, Matt Bowen, and Felix Weilacher proves a Shannon-type measurable edge-coloring bound for Borel multigraphs. However, I did not find an exact-title match for 'Measurable edge-colorings of multigraphs' in a credible bibliography, repository, or publisher record, so I cannot verify this specific cited work as written.",99.83,39043,1569,4,0.036343,0.04,0.076343
"[BCW24] M. Bowen, C.T. Conley, and F. Weilacher. Measurable regular subgraphs, https://www.arxiv.org/abs/2408.09597 (preprint), 2024. To appear in Proc. Am. Math. Soc. (Cit. on pp. 3, 44)",working_paper,Measurable regular subgraphs,M. Bowen | C.T. Conley | F. Weilacher,2024,arXiv,,2408.09597,,,,,,,,verified,0.95,Measurable Regular Subgraphs,Matt Bowen | Clinton T. Conley | Felix Weilacher,arXiv,10.48550/arXiv.2408.09597,https://arxiv.org/abs/2408.09597,arxiv_static,Verified via arXiv id 2408.09597.,39.64,0,0,0,0.0,0.0,0.0
