raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] S. Garfinkel, “Digital forensics research: The next 10 years,” Digital Investigation, vol. 7, pp. S64-S73, 2010. DOI: 10.1016/j.diin.2010.05.009",journal_article,Digital forensics research: The next 10 years,S. Garfinkel,2010,Digital Investigation,7,,S64-S73,10.1016/j.diin.2010.05.009,,,,,,verified,1.0,Digital forensics research: The next 10 years,Simson L. Garfinkel,Digital Investigation,10.1016/j.diin.2010.05.009,https://doi.org/10.1016/j.diin.2010.05.009,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),9.51,0,0,0,0.0,0.0,0.0
"[2] N. Moustafa and J. Slay, “The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,” Information Security Journal: A Global Perspective, vol. 25, no. 1-3, pp. 18-31, 2016.",journal_article,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,N. Moustafa | J. Slay,2016,Information Security Journal: A Global Perspective,25,1-3,18-31,,,,,,,verified,1.0,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,Nour Moustafa | Jill Slay,Information Security Journal: A Global Perspective,10.1080/19393555.2015.1125974,https://doi.org/10.1080/19393555.2015.1125974,crossref_title_static,Verified via static CrossRef title search (score: 1.00),11.18,0,0,0,0.0,0.0,0.0
"[3] E. Casey, Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet, 3rd ed. Academic Press, 2011.",book,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",E. Casey,2011,,,,,,,,Academic Press,,,verified,0.98,Digital Evidence and Computer Crime,Eoghan Casey,Elsevier Shop,,https://shop.elsevier.com/books/digital-evidence-and-computer-crime/casey/978-0-08-092148-8,web_search,"The cited book exists and matches the core bibliographic identity: title, author, publisher/imprint, and year. The official publisher page identifies it as 'Digital Evidence and Computer Crime' with subtitle 'Forensic Science, Computers, and the Internet,' 3rd edition, authored by Eoghan Casey and published April 12, 2011. The citation's wording is substantively the same work.",116.81,26743,678,1,0.023108,0.01,0.033108
"[4] K. Kent, S. Chevalier, T. Grance, and H. Dang, “Guide to integrating forensic techniques into incident response,” NIST Special Publication 800-86, 2006.",book,Guide to integrating forensic techniques into incident response,K. Kent | S. Chevalier | T. Grance | H. Dang,2006,,,,,,,,NIST Special Publication 800-86,,,verified,1.0,Guide to integrating forensic techniques into incident response,K Kent | S Chevalier | T Grance | H Dang,,10.6028/nist.sp.800-86,https://doi.org/10.6028/nist.sp.800-86,crossref_title_static,Verified via static CrossRef title search (score: 1.00),11.19,0,0,0,0.0,0.0,0.0
"[5] R. Poisel, S. Tjoa, and P. Tavolato, “Towards reproducible forensic investigation process,” in Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES), 2021, pp. 1-9.",conference_paper,Towards reproducible forensic investigation process,R. Poisel | S. Tjoa | P. Tavolato,2021,,,,1-9,,,"Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES)",,,,minor_error,0.94,Towards reproducible forensic investigation process,,"Proc. IEEE Int. Conf. Internet of Things (iThings), 2022, pp. 1-8",,,web_search,Upstream report identifies a concrete venue/year mismatch (ARES 2021 vs iThings 2022) while treating the work as the same paper. No author names or DOI were established.,136.02,57060,2555,10,0.054293,0.1,0.154292
"[6] G. Combs et al., “Wireshark network protocol analyzer,” Available: https://www.wireshark.org, 2023.",web,Wireshark network protocol analyzer,G. Combs,2023,,,,,,,,,https://www.wireshark.org,,verified,0.96,Wireshark • Go Deep,,,,https://www.wireshark.org/index.html,web_search,Official Wireshark domain identified as the same product/resource; no formal author byline was established from the pages cited in the report.,119.84,27844,1356,1,0.026985,0.01,0.036985
"[7] V. Paxson, “Bro: A system for detecting network intruders in real-time,” Computer Networks, vol. 31, no. 23-24, pp. 2435-2463, 1999.",journal_article,Bro: A system for detecting network intruders in real-time,V. Paxson,1999,Computer Networks,31,23-24,2435-2463,,,,,,,verified,1.0,Bro: a system for detecting network intruders in real-time,Vern Paxson,Computer Networks,10.1016/s1389-1286(99)00112-7,https://doi.org/10.1016/s1389-1286(99)00112-7,crossref_title_static,Verified via static CrossRef title search (score: 1.00),11.91,0,0,0,0.0,0.0,0.0
"[8] M. Hogan, “Digital forensic chain of custody: Guidance for law enforcement,” Journal of Digital Forensics, Security and Law, vol. 14, no. 2, pp. 7-24, 2019.",journal_article,Digital forensic chain of custody: Guidance for law enforcement,M. Hogan,2019,"Journal of Digital Forensics, Security and Law",14,2,7-24,,,,,,,hallucination,0.97,Forensic Cell Site Analysis: Mobile Network Operator Evidence Integrity Maintenance Research,John B. Minor,"Journal of Digital Forensics, Security and Law: Vol. 14 , Article 5.",,https://commons.erau.edu/jdfsl/vol14/iss2/5/,web_search,"The cited title-author combination was not found in the identified journal issue. The issue page for JDFSL Vol. 14 (2019) No. 2 lists different articles, including 'Forensic Cell Site Analysis: Mobile Network Operator Evidence Integrity Maintenance Research' by John B. Minor. The search results did not produce a credible publisher/repository record for 'Digital forensic chain of custody: Guidance for law enforcement' by M. Hogan.",131.36,43140,1794,6,0.040428,0.06,0.100428
"[9] K. Hausknecht, D. Foit, and J. Buric, “Heterogeneous data integration in digital forensics,” in Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C), 2017, pp. 129-136.",conference_paper,Heterogeneous data integration in digital forensics,K. Hausknecht | D. Foit | J. Buric,2017,,,,129-136,,,"Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C)",,,,hallucination,0.98,RAM data significance in digital forensics,Kresimir Hausknecht | D. Foit | J. Buric,MIPRO,,https://dblp.org/pid/17/10229,web_search,Upstream report identifies a different DBLP record for the same authors but with materially different title and venue; treated as a metadata chimera.,127.03,45169,1834,5,0.04213,0.05,0.09213
"[10] A. Bouchti, S. Haddad, and A. Abou El Kalam, “Challenges of heterogeneous IoT log normalisation for forensic investigations,” in Proc. IEEE Int. Conf. Internet of Things (iThings), 2022, pp. 1-8.",conference_paper,Challenges of heterogeneous IoT log normalisation for forensic investigations,A. Bouchti | S. Haddad | A. Abou El Kalam,2022,,,,1-8,,,Proc. IEEE Int. Conf. Internet of Things (iThings),,,,not_found,0.97,,,,,,web_search,"Upstream report searched the exact title, the iThings 2022 proceedings, and related author combinations, but found no affirmative match and no conflicting real paper that would justify hallucination. No matched record was established.",122.29,39118,1418,5,0.03572,0.05,0.08572
