raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Ahern, J., C. Margerison-Zilko, A. Hubbard, and S. Galea (2013). Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy. American Journal of Public Health 103 (4), 81-87.",journal_article,Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy,"Ahern, J. | C. Margerison-Zilko | A. Hubbard | S. Galea",2013,American Journal of Public Health,103,4,81-87,,,,,,,verified,1.0,Alcohol Outlets and Binge Drinking in Urban Neighborhoods: The Implications of Nonlinearity for Intervention and Policy,Jennifer Ahern | Claire Margerison-Zilko | Alan Hubbard | Sandro Galea,American Journal of Public Health,10.2105/ajph.2012.301203,https://doi.org/10.2105/ajph.2012.301203,crossref_title_static,Verified via static CrossRef title search (score: 1.00),21.36,0,0,0,0.0,0.0,0.0
"Allison, P. D. (1990). Change scores as dependent variables in regression analysis. Sociological Methodology 20, 93-114.",journal_article,Change scores as dependent variables in regression analysis,"Allison, P. D.",1990,Sociological Methodology,20,,93-114,,,,,,,verified,1.0,Change Scores as Dependent Variables in Regression Analysis,Paul D. Allison,Sociological Methodology,10.2307/271083,https://doi.org/10.2307/271083,crossref_title_static,Verified via static CrossRef title search (score: 1.00),21.63,0,0,0,0.0,0.0,0.0
"Andresen, M. A. (2011). The ambient population and crime analysis. The Professional Geographer 63 (2), 193-212.",journal_article,The ambient population and crime analysis,"Andresen, M. A.",2011,The Professional Geographer,63,2,193-212,,,,,,,verified,1.0,The Ambient Population and Crime Analysis,Martin A. Andresen,The Professional Geographer,10.1080/00330124.2010.547151,https://doi.org/10.1080/00330124.2010.547151,crossref_title_static,Verified via static CrossRef title search (score: 1.00),21.96,0,0,0,0.0,0.0,0.0
"Andresen, M. A. and N. Malleson (2010). Testing the stability of crime patterns: Implications for theory and policy. Journal of Research in Crime and Delinquency 48 (1), 58-82.",journal_article,Testing the stability of crime patterns: Implications for theory and policy,"Andresen, M. A. | N. Malleson",2010,Journal of Research in Crime and Delinquency,48,1,58-82,,,,,,,verified,1.0,Testing the Stability of Crime Patterns: Implications for Theory and Policy,Martin A. Andresen | Nicolas Malleson,Journal of Research in Crime and Delinquency,10.1177/0022427810384136,https://doi.org/10.1177/0022427810384136,crossref_title_static,Verified via static CrossRef title search (score: 1.00),22.33,0,0,0,0.0,0.0,0.0
"Anselin, L. (1988). Spatial Econometrics: Methods and Models. Dordrecht, The Netherlands: Kluwer Academic Publishers.",book,Spatial Econometrics: Methods and Models,"Anselin, L.",1988,,,,,,,,Kluwer Academic Publishers,,,verified,1.0,Spatial Econometrics: Methods and Models,Luc Anselin,Studies in Operational Regional Science,10.1007/978-94-015-7799-1,https://doi.org/10.1007/978-94-015-7799-1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),22.61,0,0,0,0.0,0.0,0.0
"Anselin, L. (1995). Local indicators of spatial association- LISA. Geographical Analysis 27 (2), 93-115.",journal_article,Local indicators of spatial association- LISA,"Anselin, L.",1995,Geographical Analysis,27,2,93-115,,,,,,,verified,0.993103448275862,Local Indicators of Spatial Association—LISA,Luc Anselin,Geographical Analysis,10.1111/j.1538-4632.1995.tb00338.x,https://doi.org/10.1111/j.1538-4632.1995.tb00338.x,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.99,0,0,0,0.0,0.0,0.0
"Anselin, L. and D. Arribas-Bel (2013). Spatial fixed effects and spatial dependence in a single cross-section. Papers in Regional Science 92 (1), 3-17.",journal_article,Spatial fixed effects and spatial dependence in a single cross-section,"Anselin, L. | D. Arribas-Bel",2013,Papers in Regional Science,92,1,3-17,,,,,,,verified,1.0,Spatial fixed effects and spatial dependence in a single cross‐section,Luc Anselin | Daniel Arribas-Bel,Papers in Regional Science,10.1111/j.1435-5957.2012.00480.x,https://doi.org/10.1111/j.1435-5957.2012.00480.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.69,0,0,0,0.0,0.0,0.0
"Anselin, L. and W. K. Cho (2002). Spatial effects and ecological inference. Political Analysis 10 (1), 276-297.",journal_article,Spatial effects and ecological inference,"Anselin, L. | W. K. Cho",2002,Political Analysis,10,1,276-297,,,,,,,verified,1.0,Spatial Effects and Ecological Inference,Luc Anselin | Wendy K. Tam Cho,Political Analysis,10.1093/pan/10.3.276,https://doi.org/10.1093/pan/10.3.276,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.27,0,0,0,0.0,0.0,0.0
"Bellair, P. E. and C. R. Browning (2010). Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime. Journal of Research in Crime and Delinquency 47 (4), 496-521.",journal_article,Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime,"Bellair, P. E. | C. R. Browning",2010,Journal of Research in Crime and Delinquency,47,4,496-521,,,,,,,verified,1.0,Contemporary Disorganization Research: An Assessment and Further Test of the Systemic Model of Neighborhood Crime,Paul E. Bellair | Christopher R. Browning,Journal of Research in Crime and Delinquency,10.1177/0022427810375578,https://doi.org/10.1177/0022427810375578,crossref_title_static,Verified via static CrossRef title search (score: 1.00),24.07,0,0,0,0.0,0.0,0.0
"Berk, R. A. (2005). Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*. Criminology & Public Policy 4 (3), 451-466.",journal_article,"Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*","Berk, R. A.",2005,Criminology & Public Policy,4,3,451-466,,,,,,,verified,1.0,"KNOWING WHEN TO FOLD 'EM: AN ESSAY ON EVALUATING THE IMPACT OF CEASEFIRE, COMPSTAT, AND EXILE *",RICHARD A. BERK,Criminology &amp; Public Policy,10.1111/j.1745-9133.2005.00314.x,https://doi.org/10.1111/j.1745-9133.2005.00314.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),24.29,0,0,0,0.0,0.0,0.0
