raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Cheong, Yeilim and Stephan Haggard. 2023. ""Political Polarization in Korea."" Democratization 30 (7): 1215-1239.",journal_article,Political Polarization in Korea,"Cheong, Yeilim | Haggard, Stephan",2023,Democratization,30,7,1215-1239,,,,,,,verified,1.0,Political polarization in Korea,Yeilim Cheong | Stephan Haggard,Democratization,10.1080/13510347.2023.2217762,https://doi.org/10.1080/13510347.2023.2217762,crossref_title_static,Verified via static CrossRef title search (score: 1.00),39.13,0,0,0,0.0,0.0,0.0
"Cho, Joan E., and Aram Hur. 2025. ""The Perils of South Korean Democracy."" Journal of Democracy 36 (2): 38-46.",journal_article,The Perils of South Korean Democracy,"Cho, Joan E. | Hur, Aram",2025,Journal of Democracy,36,2,38-46,,,,,,,verified,1.0,The Perils of South Korean Democracy,Joan E. Cho | Aram Hur,Journal of Democracy,10.1353/jod.2025.a954560,https://doi.org/10.1353/jod.2025.a954560,crossref_title_static,Verified via static CrossRef title search (score: 1.00),39.45,0,0,0,0.0,0.0,0.0
"Ghitza, Yair, Andrew Gelman, and Jonathan Auerbach. 2023. ""The Great Society, Reagan's Revolution, and Generations of Presidential Voting."" American Journal of Political Science 67(3): 520-537.",journal_article,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting","Ghitza, Yair | Gelman, Andrew | Auerbach, Jonathan",2023,American Journal of Political Science,67,3,520-537,,,,,,,verified,1.0,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting",Yair Ghitza | Andrew Gelman | Jonathan Auerbach,American Journal of Political Science,10.1111/ajps.12713,https://doi.org/10.1111/ajps.12713,crossref_title_static,Verified via static CrossRef title search (score: 1.00),39.76,0,0,0,0.0,0.0,0.0
"Han, Seungwoo. 2025. ""Martial Law, Democratic Erosion, and Democratic Resilience in South Korea."" Asian Journal of Comparative Politics.",journal_article,"Martial Law, Democratic Erosion, and Democratic Resilience in South Korea","Han, Seungwoo",2025,Asian Journal of Comparative Politics,,,,,,,,,,verified,1.0,"Martial law, democratic erosion, and democratic resilience in South Korea",Seungwoo Han,Asian Journal of Comparative Politics,10.1177/20578911251369983,https://doi.org/10.1177/20578911251369983,crossref_title_static,Verified via static CrossRef title search (score: 1.00),40.16,0,0,0,0.0,0.0,0.0
"Hong, Ji Yeon, and Christopher Paik. 2021. ""Hate Thy Communist Neighbor: Protestants and Politics in South Korea."" Journal of Economic Behavior & Organization 186: 707-723.",journal_article,Hate Thy Communist Neighbor: Protestants and Politics in South Korea,"Hong, Ji Yeon | Paik, Christopher",2021,Journal of Economic Behavior & Organization,186,,707-723,,,,,,,verified,1.0,Hate thy communist neighbor: Protestants and politics in South Korea,Ji Yeon Hong | Christopher Paik,Journal of Economic Behavior &amp; Organization,10.1016/j.jebo.2020.11.004,https://doi.org/10.1016/j.jebo.2020.11.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),40.43,0,0,0,0.0,0.0,0.0
"Hur, Aram. 2025. ""South Korea's Democracy at a Crossroads."" Korea Observer 56(1): 1-18.",journal_article,South Korea's Democracy at a Crossroads,"Hur, Aram",2025,Korea Observer,56,1,1-18,,,,,,,verified,0.99,South Korea's Democracy at a Crossroads, | Aram Hur Hur,Korea Observer - Institute of Korean Studies,10.29152/koiks.2025.56.1.1,https://doi.org/10.29152/koiks.2025.56.1.1,crossref_title_static,Verified via static CrossRef title search (score: 0.99),40.74,0,0,0,0.0,0.0,0.0
"Hur, Aram, and Andrew Yeo. 2024. ""Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia."" Comparative Political Studies 57(4): 584-612.",journal_article,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,"Hur, Aram | Yeo, Andrew",2024,Comparative Political Studies,57,4,584-612,,,,,,,verified,1.0,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,Aram Hur | Andrew Yeo,Comparative Political Studies,10.1177/00104140231178724,https://doi.org/10.1177/00104140231178724,crossref_title_static,Verified via static CrossRef title search (score: 1.00),41.06,0,0,0,0.0,0.0,0.0
"Jang, Sung-Min and Doh Chull Shin. 2021. ""The Rise of Generational Politics in South Korea."" The Pacific Review 34(5): 791-817.",journal_article,The Rise of Generational Politics in South Korea,"Jang, Sung-Min | Shin, Doh Chull",2021,The Pacific Review,34,5,791-817,,,,,,,hallucination,0.98,"(Re)producing the ‘history problem’: memory, identity and the Japan-South Korea trade dispute",Chris Deacon,"The Pacific Review 35(5), 789–820",10.1080/09512748.2021.1897652,https://www.tandfonline.com/toc/rpre20/35/5?utm_source=openai,web_search,The upstream report states that the cited work did not surface as an exact match and identifies a different article at the strongest coordinate match. It explicitly concludes the bibliography entry is a citation chimera/mismatch and does not identify a single real paper as written.,180.32,39523,1490,5,0.036347,0.05,0.086347
"Kang, Won-Taek. 2020. ""Religion, Social Conservatism, and Democratic Discontent in Korea."" Democratization 27(6): 1021-1041.",journal_article,"Religion, Social Conservatism, and Democratic Discontent in Korea","Kang, Won-Taek",2020,Democratization,27,6,1021-1041,,,,,,,not_found,0.86,,,,,,web_search,"The upstream report searched the exact title and the strongest available coordinates (author, year, journal, volume/issue, page range) but did not find a publisher page, DOI record, or credible bibliography entry that exactly matched the citation. Related later citations to 'Kang 2020' were found, but they were not sufficient to confirm this exact bibliography entry.",183.52,52756,2069,10,0.048878,0.1,0.148877
"Kim, Jibum, et al. 2025. Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset. Seoul, Korea: Sungkyunkwan University Survey Research Center.",book,"Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset","Kim, Jibum",2025,,,,,,,,Sungkyunkwan University Survey Research Center,,,minor_error,0.98,"Korean General Social Survey, 2003-2025 [Cumulative File] [Dataset]","Kim, Jibum | Kang, Jeong-han | Kim, Seok-ho | Kim, Changhwan | Park, Wonho | Lee, Yun-Suk | Choi, Seulki | Kim, Sori","Survey Research Center, Sungkyunkwan University [Producers]. Korea Social Science Data Archive (KOSSDA) [Distributors]",https://doi.org/10.22687/KOSSDA-A1-CUM-0074-V1,https://kossda.snu.ac.kr/handle/20.500.12236/32054,web_search,"The dataset clearly exists and is the same KGSS cumulative data resource, but the cited title is not identical to the official title. The official records give 'Korean General Social Survey, 2003-2025 [Cumulative File] [Dataset]' (KOSSDA) and the SKKU data page gives the 2025 citation form 'Korean General Social Survey 2003-2025'. The citation's '2003-2025 Cumulative Dataset' wording is a title-content difference, not just punctuation. Author truncation with 'et al.' is acceptable. The venue/publisher is substantially the same institution, with the official producer/distributor phrasing being more specific.",180.32,30522,1771,2,0.030861,0.02,0.050861
"Koo, Hagen. 1993. State and Society in Contemporary Korea. Ithaca, New York: Cornell University Press.",book,State and Society in Contemporary Korea,"Koo, Hagen",1993,,,,,,,,Cornell University Press,,,verified,0.98,State and society in contemporary Korea,Hagen Koo,Cornell University Press,,https://opac.ramapo.edu/cgi-bin/koha/opac-ISBDdetail.pl?biblionumber=74620,web_search,"Upstream report identified a matching library catalog record and a Cornell University Press page for the same title, author/editor, venue, and year. No concrete bibliographic conflict was stated.",174.38,26508,986,1,0.024318,0.01,0.034318
"Lee, Eunwoo. 2025. ""Angry Young Men Amid South Korea's Impeachment Turmoil."" The Diplomat. February 10, 2025.",web,Angry Young Men Amid South Korea's Impeachment Turmoil,"Lee, Eunwoo",2025,The Diplomat,,,,,,,,,,verified,0.99,Angry Young Men Amid South Korea’s Impeachment Turmoil,Eunwoo Lee,The Diplomat,,https://thediplomat.com/2025/02/angry-young-men-amid-south-koreas-impeachment-turmoil/,web_search,"The report indicates the title, author, venue, and date all match with no substantive metadata discrepancy.",174.38,27191,808,1,0.024029,0.01,0.034029
"Lee, Michelle Ye Hee. 2025. ""Charlie Kirk's Death has Fired Up South Korea's 'MAGA' Conservatives."" Washington Post. October 3, 2025.",web,Charlie Kirk's Death has Fired Up South Korea's 'MAGA' Conservatives,"Lee, Michelle Ye Hee",2025,Washington Post,,,,,,,,,,verified,0.99,Charlie Kirk’s death has fired up South Korea’s ‘MAGA’ conservatives,Michelle Ye Hee Lee,The Washington Post,,https://www.washingtonpost.com/world/2025/10/03/charlie-kirk-south-korea-conservatives-maga/?utm_source=openai,web_search,The upstream report identifies the same Washington Post article and reports no concrete metadata conflict.,174.38,22714,658,1,0.019997,0.01,0.029997
"Lee, Nae-Young. 2018. ""Youth Disillusionment and Democratic Fatigue in South Korea."" Democratization 25(6): 1035-1052.",journal_article,Youth Disillusionment and Democratic Fatigue in South Korea,"Lee, Nae-Young",2018,Democratization,25,6,1035-1052,,,,,,,not_found,0.93,,,,,,web_search,"Exact-title search for the cited article did not locate a publisher or repository record. The journal issue Democratization, volume 25, issue 6 (2018), is real, but the report could not confirm an article titled 'Youth Disillusionment and Democratic Fatigue in South Korea' by Nae-Young Lee on pages 1035-1052. No affirmative evidence of a different real work matching these exact citation coordinates was found.",180.33,37405,1731,5,0.035843,0.05,0.085843
"Lee, Namhee. 2011. The Making of Minjung: Democracy and the Politics of Representation in South Korea. Ithaca, New York: Cornell University Press.",book,The Making of Minjung: Democracy and the Politics of Representation in South Korea,"Lee, Namhee",2011,,,,,,,,Cornell University Press,,,verified,1.0,The Making of Minjung: Democracy and the Politics of Representation in South Korea,Namhee Lee,,10.7591/9780801461699,https://doi.org/10.7591/9780801461699,crossref_title_static,Verified via static CrossRef title search (score: 1.00),43.78,0,0,0,0.0,0.0,0.0
"Lee, Yoonkyung. 2025. ""We are Each Other's Democracy: The Emergence of New Political Subjectivities and Solidarities during the Anti-Martial Law Protests in South Korea."" Critical Asian Studies 57(3): 375-391.",journal_article,We are Each Other's Democracy: The Emergence of New Political Subjectivities and Solidarities during the Anti-Martial Law Protests in South Korea,"Lee, Yoonkyung",2025,Critical Asian Studies,57,3,375-391,,,,,,,verified,1.0,We are Each Other’s Democracy: The Emergence of New Political Subjectivities and Solidarities during the Anti-Martial Law Protests in South Korea,Yoonkyung Lee,Critical Asian Studies,10.1080/14672715.2025.2531453,https://doi.org/10.1080/14672715.2025.2531453,crossref_title_static,Verified via static CrossRef title search (score: 1.00),44.11,0,0,0,0.0,0.0,0.0
"Moon, Chung-in and Byung-joon Jun. 2011. ""Christianity and Anti-Communism in South Korea: The Origins of Conservative Ideology."" Pacific Affairs 84(3): 515-537.",journal_article,Christianity and Anti-Communism in South Korea: The Origins of Conservative Ideology,"Moon, Chung-in | Jun, Byung-joon",2011,Pacific Affairs,84,3,515-537,,,,,,,not_found,0.91,,,Pacific Affairs,,https://pacificaffairs.ubc.ca/issues/volume-84-no-3/,web_search,"The report confirms the journal issue exists but does not identify a matching article record for the cited title/authors/pages, so the citation remains not_found.",192.47,68627,2920,12,0.06461,0.12,0.18461
"Neundorf, Anja and Grigore Pop-Elches. 2020. ""Dictators and Their Subjects: Authoritarian Attitudinal Effects and Legacies."" Comparative Political Studies 53(12): 1839-1860.",journal_article,Dictators and Their Subjects: Authoritarian Attitudinal Effects and Legacies,"Neundorf, Anja | Pop-Elches, Grigore",2020,Comparative Political Studies,53,12,1839-1860,,,,,,,verified,0.99,Dictators and Their Subjects: Authoritarian Attitudinal Effects and Legacies,Anja Neundorf | Grigore Pop-Eleches,Comparative Political Studies 53(12): 1839–1860,10.1177/0010414020926203,https://journals.sagepub.com/doi/abs/10.1177/0010414020926203,web_search,"The upstream report identified the same paper by matching title, authors, journal, volume/issue, page range, and DOI. The online-first publication date is consistent with the 2020 citation year.",180.32,22698,853,1,0.020862,0.01,0.030862
"Park, Jong Hee. 2025. ""Democratic Resilience and Vulnerability in South Korea: Lessons from South Korea's 2024-2025 Constitutional Crisis."" Pacific Affairs 98(2)): 317-332.",journal_article,Democratic Resilience and Vulnerability in South Korea: Lessons from South Korea's 2024-2025 Constitutional Crisis,"Park, Jong Hee",2025,Pacific Affairs,98,2,317-332,,,,,,,verified,0.9692307692307691,Perspective Democratic Resilience and Vulnerability in South Korea: Lessons from South Korea’s 2024–2025 Constitutional Crisis,Jong Hee Park,Pacific Affairs,10.5509/2025982-art2,https://doi.org/10.5509/2025982-art2,crossref_title_static,Verified via static CrossRef title search (score: 0.97),45.27,0,0,0,0.0,0.0,0.0
"Park, Myung-Lim. 2011. ""Generational Change and Political Cleavages in Korea."" Asian Survey 51(2): 337-358.",journal_article,Generational Change and Political Cleavages in Korea,"Park, Myung-Lim",2011,Asian Survey,51,2,337-358,,,,,,,not_found,0.97,,,,,,web_search,"The report states that exact-title/author and journal-volume-pages searches did not find a record for 'Generational Change and Political Cleavages in Korea' by Myung-Lim Park at Asian Survey 51(2):337–358. It also notes that the issue itself is real and nearby Asian Survey articles exist, but this specific citation was not verified.",232.69,86009,3424,14,0.079915,0.14,0.219915
"Rustow, Dankwart A. 1970. ""Transitions to democracy: Toward a dynamic model."" Comparative Politics 2(3): 337-363.",journal_article,Transitions to democracy: Toward a dynamic model,"Rustow, Dankwart A.",1970,Comparative Politics,2,3,337-363,,,,,,,verified,1.0,Transitions to Democracy: Toward a Dynamic Model,Dankwart A. Rustow,Comparative Politics,10.2307/421307,https://doi.org/10.2307/421307,crossref_title_static,Verified via static CrossRef title search (score: 1.00),45.86,0,0,0,0.0,0.0,0.0
"Shin, Gi-Wook. 2012. ""Generation, Ideology, and Partisanship in South Korea."" Journal of East Asian Studies 12(3): 381-403.",journal_article,"Generation, Ideology, and Partisanship in South Korea","Shin, Gi-Wook",2012,Journal of East Asian Studies,12,3,381-403,,,,,,,hallucination,0.99,Electoral Consequences of Municipal Mergers,Kay Shimizu,Journal of East Asian Studies,,https://www.jstor.org/stable/i23418848,web_search,"The report found a real Journal of East Asian Studies article in the cited 2012 volume/issue/page range, but with a different title and author, so the citation is a metadata chimera.",185.82,62279,2201,6,0.056614,0.06,0.116614
"Shin, Gi-Wook. 2025. ""Is South Korea's New President Good for Democracy?"" Accessed: https://www.journalofdemocracy.org/online-exclusive/is-south-koreas-new-president-good-for-democracy/ ",web,Is South Korea's New President Good for Democracy?,"Shin, Gi-Wook",2025,,,,,,,,,https://www.journalofdemocracy.org/online-exclusive/is-south-koreas-new-preside,,verified,0.99,Is South Korea’s New President Good for Democracy?,Gi-Wook Shin,Journal of Democracy Online Exclusive,,https://www.journalofdemocracy.org/online-exclusive/is-south-koreas-new-president-good-for-democracy/,web_search,"The page shows June 2025, consistent with the cited year 2025. No substantive mismatch in title, author, or venue.",180.31,26447,687,1,0.022927,0.01,0.032927
"Sneider, Noah. 2025. ""How Two Duelling History Influencers Explain South Korea's Polarised Politics."" The Economist. October 3, 2025.",web,How Two Duelling History Influencers Explain South Korea's Polarised Politics,"Sneider, Noah",2025,The Economist,,,,,,,,,,verified,0.97,How two duelling history influencers explain South Korea’s polarised politics,Noah Sneider,The Economist,,,web_search,"The report states that economist.com could not be opened directly due to robots.txt, but indexed/search evidence was sufficient to identify the article as a real The Economist piece by Noah Sneider on Oct 3, 2025. No DOI was established.",189.62,26853,1087,2,0.025031,0.02,0.045031
