raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,0.98,Use research on Claude,Anthropic,Claude Help Center,,https://support.claude.com/en/articles/11088861-use-research-on-claude,web_search,"The cited support article exists at the same Claude Help Center article ID. The live page title now reads 'Use research on Claude' rather than 'Using Research on Claude', which is a minor title/SEO wording change for the same article.",85.73,20180,1005,0,0.019658,0.0,0.019658
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),27.28,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,,,Yale University Press,,,verified,0.98,The Public Domain: Enclosing the Commons of the Mind,James Boyle,Yale University Press,,https://yalebooks.yale.edu/book/9780300158342/the-public-domain/,web_search,"The upstream report identified a Yale University Press publisher page for the same book and matched title, author, venue, and year. No DOI was established.",87.37,25634,777,1,0.022722,0.01,0.032722
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,0.95,"Sharing Openly, Sharing Globally",,Creative Commons,,https://creativecommons.org/cc-licenses/,web_search,"I opened the cited URL and it redirected to the Creative Commons page at https://creativecommons.org/cc-licenses/. The page is clearly the CC licenses explainer page on Creative Commons. The cited title 'About CC Licenses' is a plausible short-label/section-style reference to this page, and the cited organization/URL match the same work. No substantive mismatch was found.",90.55,21964,815,0,0.02014,0.0,0.02014
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,verified,0.98,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,X,,,web_search,"Exact citation found reproduced in a CrimRxiv article reference list; direct X page did not render readable content in the tool, so the source URL was not used.",93.85,31233,1625,3,0.030737,0.03,0.060737
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,0.98,CrimConsortium,CrimRxiv Consortium,CrimRxiv,,https://www.crimrxiv.com/consortium,,"The cited URL resolves to a live CrimRxiv page at the same address; the page is currently titled “Consortium · CrimRxiv” with on-page heading “CrimConsortium.” A CrimRxiv news item indicates this is a rebrand/title change: “CrimRxiv Consortium becomes CrimConsortium, launches new website.”",90.84,27272,1538,1,0.027375,0.01,0.037375
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,0.98,Welcome to CrimRxiv,CrimRxiv,CrimRxiv homepage,,https://crimrxiv.com/,,"Live official site opens to the CrimRxiv homepage and describes CrimRxiv as a global open-access hub and repository for criminology, substantively matching the cited title.",88.97,22999,844,0,0.021047,0.0,0.021047
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,0.99,European Network for Open Criminology,European Network for Open Criminology,European Network for Open Criminology,,https://esc-enoc.github.io/,,"Verified as a real live website page with matching title, organization identity, and venue/source. No date was stated, consistent with a living website page.",90.27,23334,932,1,0.021695,0.01,0.031695
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,0.98,Gemini Deep Research,,Google Gemini website,,https://gemini.google/gb/overview/deep-research/?hl=en-GB,web_search,"The upstream report identifies the live page at the cited URL as the same work and reports no date, which is normal for a web citation.",87.15,23507,706,0,0.020807,0.0,0.020807
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,minor_error,0.96,,Scott Jaques | Andrew Wheeler,"Qualitative Criminology (QC), Vol. 15, No. 2, Article 4",,,,"Underlying work is confirmed to exist on the SWOSU Digital Commons page. Concrete metadata errors identified: first-author surname spelling (Jacques -> Jaques) and year mismatch (2025 vs recommended citation year 2026). The DOI was reported as not resolving in this check, but the work was still identified at the publisher page.",94.77,27968,1518,1,0.027807,0.01,0.037807
