raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,0.98,"Impact of ShotSpotter Technology on Firearm Homicides and Arrests Among Large Metropolitan Counties: a Longitudinal Analysis, 1999–2016",,Journal of Urban Health,10.1177/0887403421992907,,web_search,"The DOI resolves to a real SAGE record, but it is not the work named in the citation. The report characterizes the citation as a chimera with wrong title, wrong venue, and wrong DOI target.",132.63,39365,1961,5,0.038348,0.05,0.088348
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,not_found,0.95,,,,,,web_search,"The cited NIJ URL returns 404 Not Found. Related NIJ gunshot-detection publications were found, but none with the exact cited title. No exact title/author/venue match was located.",83.58,30831,1169,3,0.028384,0.03,0.058384
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,minor_error,0.95,"The effect of gunshot detection technology on evidence collection and case clearance in Kansas City, Missouri.",Eric L. Piza | Rachael A. Arietti | Jeremy G. Carter | George O. Mohler,Journal of Experimental Criminology,10.1007/s11292-023-09594-6,,web_search,The report identifies the cited item as the same underlying article but with a wrong DOI and an inexact/substantially different title. The publisher record is in Journal of Experimental Criminology with the listed authors and DOI 10.1007/s11292-023-09594-6. Year was not explicitly established in the report.,131.57,35512,1991,4,0.035594,0.04,0.075594
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,hallucination,0.99,Using gunshot detection systems in police departments: The impact on police response times and officer workloads,,Police Quarterly,,,web_search,No live Dallas PD 2015 “ShotSpotter Evaluation Report” was found; the cited URL did not open the document. The closest real source found is a different 1998 journal article on gunshot detection in police departments.,84.16,31107,1595,2,0.030508,0.02,0.050508
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,hallucination,0.98,Study: ShotSpotter Doesn’t Reduce Crime or Shootings,,Government Technology,,,web_search,The cited GovTech URL did not resolve to a valid matching article; the closest found GovTech result is a different 2024 article with a different title.,78.81,31037,1337,3,0.029294,0.03,0.059294
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.92,,,,,,web_search,"I searched the exact title in quotes with the named author/body, then searched the strongest coordinate/URL string. I did not find an authoritative record for a work titled ""Police Technology Spending Report"" by ""Kansas City Council Budget"". The cited KCMO URL could not be opened directly here because it returned HTTP 403 Forbidden, so I could not confirm the specific page content. Search results on kcmo.gov showed Kansas City news releases and a separate budget announcement, but nothing affirmatively matching this title. Because I found no corroborating publisher/institutional record and no conflicting real record at those coordinates, the citation is marked not_found.",105.08,39302,1481,6,0.036141,0.06,0.096141
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.96,,,,,,web_search,"The cited Vera URL was reported as returning 404 Not Found, and the search did not locate a credible record matching the exact cited title. Closest Vera results mentioned in the report were different works and do not establish the cited publication.",85.61,34804,1173,4,0.031381,0.04,0.071382
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.97,,,,,,web_search,"The cited Springfield URL returned an Error in Processing message rather than the named document. A related Springfield annual report was found, but it did not independently confirm a document with the exact title 'ShotSpotter Contract Approval'.",85.48,33207,1173,4,0.030184,0.04,0.070184
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,0.95,,,,,,web_search,The upstream report says the cited URL returns 404 Not Found and that an exact-title search for “Acoustic Detection Contract Details” with author Elmwood Park Police Department did not identify a live publisher/official record for the specific work. Closest results were related ShotSpotter/shot-detection documents but did not establish this citation as a distinct document.,86.13,35073,1136,4,0.031417,0.04,0.071417
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,0.98,A partially randomized field experiment on the effect of an acoustic gunshot detection system on police incident reports,Jerry H. Ratcliffe | Matthew Lattanzio | George Kikuchi | Kevin Thomas | colleagues,Journal of Experimental Criminology,10.1007/s11292-018-9339-1,https://link.springer.com/article/10.1007/s11292-018-9339-1?utm_source=openai,web_search,"The exact-title search did not surface a matching journal article. The cited DOI 10.1080/07418825.2018.1488126 returned 404 at the DOI resolver. The closest real indexed work at related topic/venue coordinates is a different article with different title, authors, and venue, so the citation is a hallucination rather than a mere DOI or venue error.",145.63,58289,2090,7,0.053122,0.07,0.123122
