raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,0.98,There Was a Country,Chinua Achebe,Penguin Books,,https://www.penguinrandomhouse.com/books/311166/there-was-a-country-by-chinua-achebe/,web_search,"The book was found on the Penguin Random House product page. The page shows the work as 'There Was a Country' by Chinua Achebe, with the subtitle 'A Personal History of Biafra,' and lists the ebook publication date as Oct 11, 2012. The cited title matches substantively; the only notable difference is the publisher/imprint wording: the citation says 'The Penguin Press,' while the live publisher page says 'Published by Penguin Books.' That is a publisher/imprint variation for the same book, not a different work.",64.65,27984,955,1,0.025286,0.01,0.035286
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),13.76,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,minor_error,0.98,Restorative Community Justice Repairing Harm and Transforming Communities,Gordon Bazemore | Mara Schiff,Routledge,,https://www.routledge.com/Restorative-Community-Justice-Repairing-Harm-and-Transforming-Communities/Bazemore-Schiff/p/book/9781583605066,web_search,"The citation appears to be the right book, but with the wrong year. The publisher evidence supports 2001, not 2011.",67.71,25886,1161,1,0.024639,0.01,0.034639
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,978-1-280-47357-9,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),13.77,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,0.97,"The Constitution of Kenya, 2010",,Republic of Kenya,,https://new.kenyalaw.org/akn/ke/act/2010/constitution,web_search,Upstream report identifies the official Kenyan constitutional text published in 2010 and reports only minor stylistic differences in capitalization/article wording.,63.92,22805,1000,1,0.021604,0.01,0.031604
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,1.0,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://doi.org/10.1002/9781118517390.wbetc207,crossref_title_static,Verified via static CrossRef title search (score: 1.00),13.77,0,0,0,0.0,0.0,0.0
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0-205-16557-5,,Allyn and Bacon,,,verified,0.92,Criminal Justice: A Peacemaking Perspective,John Randolph Fuller,Allyn and Bacon,,,web_search,The report identifies the cited work as the same book/title/publisher pairing and treats the 1997 vs. 1998 year difference as a cataloging/edition variation rather than a different work.,89.66,43460,1802,7,0.040704,0.07,0.110704
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,978-1-315-13062-0,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,0.96,"Peacemaking Criminology: Past, Present, and Future",John Randolph Fuller | John F. Wozniak,Taking Stock: The Status of Criminological Theory,,,web_search,"The chapter is correctly identified by title, authors, book, and pages; the bibliographic problem is the wrong/incomplete DOI. The cited book title also contains a typo ('Criminlogical'), but that does not prevent matching the underlying work.",83.79,40397,2232,4,0.040342,0.04,0.080342
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,verified,0.99,"Complementarity in Crisis: Uganda, Alternative Justice, and the International Criminal Court",Alexander K.A. Greenawalt,Virginia Journal of International Law,,http://digitalcommons.pace.edu/lawfaculty/627,web_search,The report identifies the same work with only cosmetic title differences and initials-vs-full-name author formatting. The cited URL resolves to the Pace repository page for the article.,66.3,27236,1041,1,0.025112,0.01,0.035112
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,0.97,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement Is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,,web_search,"The underlying article is real and matches on title, author, journal, year, volume, and pages. The citation’s URL string is malformed / incorrect, pointing to a later reprint-page path rather than a clean citation URL. The live Dickinson repository page for the same work exists, but source_url is kept null per policy.",68.69,25287,1408,1,0.025301,0.01,0.035301
