raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Nekoo SR, Acosta JÁ, Heredia G, Ollero A. A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites. Mechatronics. 2021;79:102641. https://doi.org/10.1016/j.mechatronics.2021.102641",journal_article,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Nekoo SR | Acosta JÁ | Heredia G | Ollero A,2021,Mechatronics,79,,102641,,,,,,,verified,0.99,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites.,Saeed Rafee Nekoo | José Ángel Acosta | Guillermo Heredia | Anibal Ollero,Mechatronics,10.1016/j.mechatronics.2021.102641,https://www.sciencedirect.com/science/article/abs/pii/S095741582100115X?utm_source=openai,web_search,"The report states that the ScienceDirect record provides the exact title, matching venue/volume/article number, matching authors, and matching DOI.",158.95,26644,944,2,0.024231,0.02,0.044231
"10. Sutulo S, Guedes Soares C. An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests. Oce Eng. 2014;79:10-25. https://doi.org/10.1016/j.oceaneng.2014.01.007",journal_article,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Sutulo S | Guedes Soares C,2014,Oce Eng,79,,10-25,,,,,,,verified,1.0,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Serge Sutulo | C. Guedes Soares,Ocean Engineering,10.1016/j.oceaneng.2014.01.007,https://doi.org/10.1016/j.oceaneng.2014.01.007,crossref_title_static,Verified via static CrossRef title search (score: 1.00),64.3,0,0,0,0.0,0.0,0.0
100. Sampson J. Adaptation in natural and artificial systems. John H. Holland; 1976.,book,Adaptation in natural and artificial systems,Sampson J,1976,,,,,,,,John H. Holland,,,hallucination,0.99,Adaptation in Natural and Artificial Systems,,SIAM Review,10.1137/1018105,https://epubs.siam.org/doi/10.1137/1018105,web_search,The citation conflates two different works: Holland's book and Sampson's SIAM Review article. No single real work matches the citation as written.,161.27,27756,1254,1,0.02646,0.01,0.03646
"101. Epitropakis MG, Tasoulis DK, Pavlidis NG, Plagianakos VP, Vrahatis MN. Enhancing differential evolution utilizing proximity-based mutation operators. IEEE Trans Evol Comput. 2011;15(1):99-119. https://doi.org/10.1109/tevc.2010.2083670",journal_article,Enhancing differential evolution utilizing proximity-based mutation operators,Epitropakis MG | Tasoulis DK | Pavlidis NG | Plagianakos VP | Vrahatis MN,2011,IEEE Trans Evol Comput,15,1,99-119,10.1109/tevc.2010.2083670,,,,,,verified,1.0,Enhancing Differential Evolution Utilizing Proximity-Based Mutation Operators,Michael G. Epitropakis | Dimitris K. Tasoulis | Nicos G. Pavlidis | Vassilis P. Plagianakos | Michael N. Vrahatis,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2010.2083670,https://doi.org/10.1109/tevc.2010.2083670,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),64.75,0,0,0,0.0,0.0,0.0
"102. Opara KR, Arabas J. Differential evolution: a survey of theoretical analyses. Swarm Evol Comput. 2019;44:546-58. https://doi.org/10.1016/j.swevo.2018.06.010",journal_article,Differential evolution: a survey of theoretical analyses,Opara KR | Arabas J,2019,Swarm Evol Comput,44,,546-58,10.1016/j.swevo.2018.06.010,,,,,,verified,1.0,Differential Evolution: A survey of theoretical analyses,Karol R. Opara | Jarosław Arabas,Swarm and Evolutionary Computation,10.1016/j.swevo.2018.06.010,https://doi.org/10.1016/j.swevo.2018.06.010,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),65.43,0,0,0,0.0,0.0,0.0
"103. Rao S. Engineering optimization: theory and practice, 4th edn. John Wiley & Sons; 2009.",book,"Engineering optimization: theory and practice, 4th edn",Rao S,2009,,,,,,,,John Wiley & Sons,,,verified,0.95,Engineering Optimization: Theory and Practice,Singiresu S. Rao,,10.1002/9780470549124,https://doi.org/10.1002/9780470549124,crossref_title_static,Verified via static CrossRef title search (score: 0.95),66.1,0,0,0,0.0,0.0,0.0
"104. Nocedal J, Wright SJ. Numerical optimization, 2nd edn. Springer; 2006.",book,"Numerical optimization, 2nd edn",Nocedal J | Wright SJ,2006,,,,,,,,Springer,,,verified,0.99,Numerical Optimization,Jorge Nocedal | Stephen J. Wright,"Springer New York, NY",10.1007/978-0-387-40065-5,https://link.springer.com/book/10.1007/978-0-387-40065-5,web_search,The upstream report identifies the Springer book record for the same 2nd edition. The matched DOI is taken from the publisher URL and record context.,161.28,28006,967,1,0.025356,0.01,0.035356
105. Williamson M. Series elastic actuators. Massachusetts Institute of Technology Artificial Intelligence Laboratory; 1995.,book,Series elastic actuators,Williamson M,1995,,,,,,,,Massachusetts Institute of Technology Artificial Intelligence Laboratory,,,verified,0.96,Series Elastic Actuators,Matthew M. Williamson,MIT Artificial Intelligence Lab,,https://repository.aust.edu.ng/xmlui/handle/1721.1/6776,web_search,"Exact-title search found the work under Matthew M. Williamson, and the record identifies it as a 1995 MIT thesis / A.I. Technical Report 1524 from the Massachusetts Institute of Technology AI Lab. The cited raw text says 'Massachusetts Institute of Technology Artificial Intelligence Laboratory; 1995,' which matches the institution and year well enough for verification. I also found later citations that refer to the same item as 'Series elastic actuators. A.I. Technical Report 1524, Massachusetts Institute of Technology AI Lab, Cambridge, MA, January 1995.'",175.78,40086,1717,5,0.037791,0.05,0.087791
"106. Junior A, de Andrade R, Bento Filho A. Series elastic actuator: design, analysis and comparison. Recent Adv Robot Syst. 2016;1(3).",journal_article,"Series elastic actuator: design, analysis and comparison",Junior A | de Andrade R | Bento Filho A,2016,Recent Adv Robot Syst,1,3,,,,,,,,verified,1.0,"Series Elastic Actuator: Design, Analysis and Comparison",Arnaldo Gomes Leal Junior | Rafhael Milanezi de Andrade | Antonio Bento Filho,Recent Advances in Robotic Systems,10.5772/63573,https://doi.org/10.5772/63573,crossref_title_static,Verified via static CrossRef title search (score: 1.00),67.24,0,0,0,0.0,0.0,0.0
"107. Au SK, Weber J, Herr H. Biomechanical design of a powered ankle-foot prosthesis. In: 2007 IEEE 10th International Conference on Rehabilitation Robotics. IEEE; 2007, pp. 298-303. https://doi.org/10.1109/icorr.2007.4428441",conference_paper,Biomechanical design of a powered ankle-foot prosthesis,Au SK | Weber J | Herr H,2007,,,,298-303,10.1109/icorr.2007.4428441,,2007 IEEE 10th International Conference on Rehabilitation Robotics,IEEE,,,verified,1.0,Biomechanical Design of a Powered Ankle-Foot Prosthesis,Samuel K. Au | Jeff Weber | Hugh Herr,2007 IEEE 10th International Conference on Rehabilitation Robotics,10.1109/icorr.2007.4428441,https://doi.org/10.1109/icorr.2007.4428441,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),67.44,0,0,0,0.0,0.0,0.0
