raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Andresen, M. A. (2009). Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach. Applied Geography, 29(3), 333-345.",journal_article,Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach,M. A. Andresen,2009,Applied Geography,29,3,333-345,,,,,,,verified,1.0,Testing for similarity in area-based spatial patterns: A nonparametric Monte Carlo approach,Martin A. Andresen,Applied Geography,10.1016/j.apgeog.2008.12.004,https://doi.org/10.1016/j.apgeog.2008.12.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),49.53,0,0,0,0.0,0.0,0.0
"Bowers, K. (2014). Risky facilities: Crime radiators or crime absorbers? A comparison of internal and external levels of theft. Journal of Quantitative Criminology, 30(3), 389-414.",journal_article,Risky facilities: Crime radiators or crime absorbers? A comparison of internal and external levels of theft,K. Bowers,2014,Journal of Quantitative Criminology,30,3,389-414,,,,,,,verified,1.0,Risky Facilities: Crime Radiators or Crime Absorbers? A Comparison of Internal and External Levels of Theft,Kate Bowers,Journal of Quantitative Criminology,10.1007/s10940-013-9208-z,https://doi.org/10.1007/s10940-013-9208-z,crossref_title_static,Verified via static CrossRef title search (score: 1.00),49.88,0,0,0,0.0,0.0,0.0
"Braga, A. A., Turchan, B. S., Papachristos, A. V., & Hureau, D. M. (2019). Hot spots policing and crime reduction: An update of an ongoing systematic review and meta-analysis. Journal of Experimental Criminology, 15(3), 289-311.",journal_article,Hot spots policing and crime reduction: An update of an ongoing systematic review and meta-analysis,A. A. Braga; B. S. Turchan; A. V. Papachristos; D. M. Hureau,2019,Journal of Experimental Criminology,15,3,289-311,,,,,,,verified,0.99,Hot spots policing and crime reduction: an update of an ongoing systematic review and meta-analysis.,Anthony A. Braga | Brandon S. Turchan | Andrew V. Papachristos | David M. Hureau,Journal of Experimental Criminology,10.1007/s11292-019-09372-3,,web_search,"The upstream report states that the Springer/DOI record confirms the title, venue, authors, volume/pages, year, and DOI for the cited article.",211.44,36054,1092,2,0.031954,0.02,0.051955
"Brantingham, P. J., & Brantingham, P. L. (1984). Patterns in crime. New York: Macmillan.",book,Patterns in crime,P. J. Brantingham; P. L. Brantingham,1984,,,,,,0-023-13520-4,Patterns in crime,Macmillan,,,verified,0.99,Patterns in Crime,James L. Lebeau | Paul Brantingham | Patricia Brantingham,The Journal of Criminal Law and Criminology (1973-),10.2307/1143621,,crossref_title_static,Verified via static CrossRef title search (score: 0.99),50.56,0,0,0,0.0,0.0,0.0
"Bühlmann, H., & Gisler, A. (2005). A course in credibility theory and its applications. Universitext. Berlin: Springer.",book,A course in credibility theory and its applications,H. Bühlmann; A. Gisler,2005,,,,,,978-3-540-25753-0,A course in credibility theory and its applications,Springer,,,verified,0.99,A Course in Credibility Theory and its Applications,Hans Bühlmann | Alois Gisler,Universitext,,,web_search,"The report also notes the softcover ISBN 978-3-540-25753-0, which matches the citation. No substantive mismatch was identified.",211.44,27416,960,1,0.024882,0.01,0.034882
"Cameron, A. C., & Miller, D. L. (2015). A practitioner’s guide to cluster-robust inference. Journal of Human Resources, 50(2), 317-372.",journal_article,A practitioner’s guide to cluster-robust inference,A. C. Cameron; D. L. Miller,2015,Journal of Human Resources,50,2,317-372,,,,,,,verified,0.99,A Practitioner’s Guide to Cluster-Robust Inference,A. Colin Cameron | Douglas L. Miller,Journal of Human Resources,,https://www.jstor.org/stable/i24735725,web_search,The cited entry and the located record refer to the same journal article.,205.88,27041,1003,1,0.024794,0.01,0.034794
"Cameron, A. C., & Trivedi, P. K. (2013). Regression analysis of count data (2nd ed.). Cambridge: Cambridge University Press.",book,Regression analysis of count data (2nd ed.),A. C. Cameron; P. K. Trivedi,2013,,,,,,,Regression analysis of count data,Cambridge University Press,,,verified,0.98,Regression Analysis of Count Data,A. Colin Cameron | Pravin K. Trivedi,Cambridge University Press,,https://www.cambridge.org/core/books/regression-analysis-of-count-data/2AB83B406C5798030F7C91ECC99B1BE4,web_search,Second edition; Cambridge shows online publication in 2013 and print publication year 2014.,203.46,27684,795,1,0.024341,0.01,0.034341
"Chainey, S., Tompson, L., & Uhlig, S. (2008). The utility of hotspot mapping for predicting spatial patterns of crime. Security Journal, 21(1-2), 4-28.",journal_article,The utility of hotspot mapping for predicting spatial patterns of crime,S. Chainey; L. Tompson; S. Uhlig,2008,Security Journal,21,1-2,4-28,,,,,,,verified,0.99,The Utility of Hotspot Mapping for Predicting Spatial Patterns of Crime,Spencer Chainey | Lisa Tompson | Sebastian Uhlig,Security Journal,10.1057/palgrave.sj.8350066,https://doi.org/10.1057/palgrave.sj.8350066,crossref_title_static,Verified via static CrossRef title search (score: 0.99),51.81,0,0,0,0.0,0.0,0.0
"Chen, T., & Guestrin, C. (2016). XGBoost: A scalable tree boosting system. In Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (pp. 785-794). New York: ACM.",conference_paper,XGBoost: A scalable tree boosting system,T. Chen; C. Guestrin,2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,785-794,,,,ACM,,,verified,0.98,XGBoost: A Scalable Tree Boosting System,Tianqi Chen | Carlos Guestrin,KDD '16: Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2939672.2939785,https://doi.org/10.1145/2939672.2939785,web_search,"The cited work exists and matches on title, authors, venue, year, and page range. Search results from ACM and dblp both identify the same KDD 2016 paper by Tianqi Chen and Carlos Guestrin on pages 785-794. The doi.org page itself returned a 403 in the URL fetch tool, but the DOI and bibliographic metadata were corroborated by the search result and dblp record. ([doi.org](https://doi.org/10.1145/2939672.2939785?utm_source=openai))",205.91,22747,840,1,0.02084,0.01,0.03084
"Czado, C., Gneiting, T., & Held, L. (2009). Predictive model assessment for count data. Biometrics, 65(4), 1254-1261.",journal_article,Predictive model assessment for count data,C. Czado; T. Gneiting; L. Held,2009,Biometrics,65,4,1254-1261,,,,,,,verified,0.99,Predictive Model Assessment for Count Data,Claudia Czado | Tilmann Gneiting | Leonhard Held,"Biometrics, Volume 65, Issue 4, December 2009, Pages 1254–1261",10.1111/j.1541-0420.2009.01191.x,https://academic.oup.com/biometrics/article/65/4/1254/7333505,academic.oup.com,"The publisher record matches the cited title, authors, year, pages, venue, and DOI exactly.",211.44,31215,898,1,0.027452,0.01,0.037452
