document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,68,0,4,1,0,0,398.57,55.17,167.48,137.16,4027.21,868990,32188,901178,38,0.796586,0.38,1.176587
1_perspective_PLOSWater_preview,67,54,1,10,2,0,0,274.52,112.16,175.78,159.95,7514.82,1569219,59386,1628605,64,1.444151,0.64,2.084151
23812_Unmasking_Puppeteers_Lev,72,69,0,3,0,0,0,274.91,41.97,178.5,106.53,3021.98,187137,7090,194227,10,0.172256,0.1,0.272257
24047_Fourier_Token_Merging_Un,32,21,0,5,6,0,0,242.94,81.44,183.43,166.77,2606.0,356897,13798,370695,20,0.329762,0.2,0.529762
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,98,2,4,0,0,0,479.25,76.7,177.01,169.28,7976.77,1014307,41700,1056007,63,0.948382,0.63,1.578383
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,145,4,6,1,0,0,400.08,51.25,202.93,136.73,7995.04,1058028,41957,1099985,88,0.98233,0.88,1.86233
2606.11565v1,38,19,4,5,10,0,0,312.08,90.88,143.29,142.01,3453.57,877303,34552,911855,74,0.813463,0.74,1.553462
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,35,0,0,1,0,0,134.83,51.06,128.36,123.8,1838.26,192189,7238,199427,8,0.176712,0.08,0.256712
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,70,0,5,0,0,0,275.74,62.66,141.54,134.56,4699.16,756857,28858,785715,43,0.697504,0.43,1.127504
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,0,1,3,0,0,180.1,66.32,176.87,156.38,2321.22,415800,16852,432652,39,0.387684,0.39,0.777684
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,67,1,5,2,0,0,210.67,51.83,156.43,107.36,3887.0,503928,21495,525423,36,0.474673,0.36,0.834673
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,68,0,3,5,0,0,164.2,32.8,119.89,79.47,2492.59,387922,15796,403718,21,0.362022,0.21,0.572024
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,22,1,8,1,0,0,102.46,42.44,95.21,95.15,1358.08,249499,10972,260471,22,0.2365,0.22,0.4565
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,49,1,2,0,0,0,122.35,28.52,121.06,119.97,1483.06,181603,7852,189455,15,0.171536,0.15,0.321537
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,2,7,0,0,290.68,83.39,222.5,145.37,1918.02,133171,5388,138559,6,0.124124,0.06,0.184124
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,27,0,1,3,0,0,109.36,71.34,106.14,102.23,2211.61,926867,39730,966597,78,0.873934,0.78,1.653933
AndyW_Dissertation_Limit,271,245,3,23,0,0,0,585.13,67.74,210.13,169.81,18357.8,2192615,87729,2280344,150,2.039239,1.5,3.539241
BD_money_in_bank_preprint,85,77,2,5,1,0,0,363.61,75.57,201.87,190.68,6423.12,852259,31830,884089,59,0.782429,0.59,1.372433
Cannabis_in_the_Capital__Manuscript,52,41,5,6,0,0,0,253.78,97.49,202.43,196.65,5069.29,589290,23711,613001,44,0.548668,0.44,0.988667
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,16,3,2,3,0,0,230.16,125.71,219.91,188.01,3017.1,524270,20762,545032,61,0.486631,0.61,1.096631
Fingerprint_Ridges,38,35,0,3,0,0,0,179.88,57.78,151.2,111.56,2195.82,373652,14309,387961,19,0.344629,0.19,0.53463
GenAI_CrimEvidence,33,30,1,2,0,0,0,197.95,60.13,107.35,104.13,1984.31,428735,17192,445927,12,0.398916,0.12,0.518916
Gunshot_Detection_Literature_Review_Expanded,12,0,9,0,3,0,0,166.65,111.46,164.51,139.87,1337.52,413365,15720,429085,42,0.380763,0.42,0.800761
PredictionMarkets,49,0,49,0,0,0,0,381.49,60.13,136.87,109.4,2946.59,1169144,39303,1208447,19,1.053721,0.19,1.243719
Preprint - The AI Criminal Mastermind - Paper,85,71,3,11,0,0,0,727.41,85.29,191.75,177.5,7249.71,1523591,60363,1583954,87,1.414322,0.87,2.284326
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,21,1,10,0,0,0,310.46,70.92,194.93,168.3,2269.57,593093,26308,619401,43,0.563206,0.43,0.993206
