raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,0.99,The World Health Organization and global health estimates: improving collaboration and capacity,Ties Boerma | Colin D Mathers,BMC Medicine,10.1186/s12916-015-0286-7,https://link.springer.com/article/10.1186/s12916-015-0286-7,web_search,"The publisher page confirms the title, authors, journal, year, volume, and article number. The structured isbn field mentioned in the upstream report was not part of the raw bibliography text and was disregarded.",167.79,28527,896,1,0.025427,0.01,0.035427
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,0.99,Neurobiology of the Adolescent Brain and Behavior: Implications for Substance Use Disorders,B. J. Casey | Rebecca M. Jones,Journal of the American Academy of Child & Adolescent Psychiatry,10.1016/j.jaac.2010.08.017,https://www.sciencedirect.com/science/article/pii/S0890856710006702?utm_source=openai,web_search,"Primary record matches title, authors, venue, year/pages, and DOI.",167.79,32384,1232,3,0.029832,0.03,0.059832
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,0.98,Mothers’ Goals for Adolescents in the United States and China: Content and Transmission,Yang Qu | Eva M. Pomerantz | Ciping Deng,Journal of Research on Adolescence,10.1111/jora.12176,https://doi.org/10.1111/jora.12176?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle&utm_source=openai,web_search,The citation matches the Wiley/DOI record for the same article; differences are limited to cosmetic formatting and the print issue year versus online-first publication date.,167.79,28413,1197,2,0.026696,0.02,0.046696
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,verified,0.99,Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues,"Bhagavathi, P. | Vitone, T.",Journal of Student Research,10.47611/jsrhs.v11i3.2670,,web_search,"Primary citation page corroborates title, authors, venue, year, and DOI with no substantive discrepancy.",167.79,28542,1114,2,0.026419,0.02,0.04642
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,hallucination,0.98,Depressive symptoms and suicidal behavior in adolescents,D. R. Robbins | N. E. Alessi,American Journal of Psychiatry,10.1176/ajp.142.5.588,https://pubmed.ncbi.nlm.nih.gov/3985197/?utm_source=openai,web_search,"Primary source identified the work as a journal article in American Journal of Psychiatry (1985;142(5):588-592), not as a chapter in Annual progress in child psychiatry and child development, 1986. The book record cited in the report did not establish the claimed chapter/container match.",169.36,41628,1729,4,0.039002,0.04,0.079002
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,0.99,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Holly C. Wilcox | Amelia M. Arria | Kimberly M. Caldeira | Kathryn B. Vincent | Gillian M. Pinchevsky | Kevin E. O'Grady,Journal of Affective Disorders,10.1016/j.jad.2010.04.017,https://pure.johnshopkins.edu/en/publications/prevalence-and-predictors-of-persistent-suicide-ideation-plans-an-5,web_search,"Primary publication record on Johns Hopkins PURE matches the cited title, authors, venue, year, and DOI.",169.62,36780,1232,3,0.033129,0.03,0.063129
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,hallucination,0.99,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Zhongrui Wang | Xiyu Li | Haiyu Xu | Tao Zhang,European Child & Adolescent Psychiatry,10.1007/s00787-024-02370-5,https://link.springer.com/article/10.1007/s00787-024-02370-5,web_search,"Primary source identified the real paper on Springer. The citation combines a real title/venue with a materially wrong author list, so the report treats it as a metadata chimera/hallucination.",167.86,32804,1180,2,0.029913,0.02,0.049913
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,0.99,Relationships Between Psychopathy and Impulsivity in the Domain of Self-Reported Personality Features,James Ray | Norman Poythress | John M. Weir | Angela Rickelm,Personality and Individual Differences,10.1016/j.paid.2008.09.005,https://digitalcommons.usf.edu/mhlp_facpub/62/,web_search,"Upstream report identified a primary repository record and DOI matching the cited journal article. The report did not explicitly establish the publication year, so matched_year is null.",168.16,33201,1061,2,0.029675,0.02,0.049675
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,0.99,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Vanessa H M Cheung | Chui Yi Chan | Ricky K C Au,Asia Pac Psychiatry,10.1111/appy.12339,https://pubmed.ncbi.nlm.nih.gov/30362264/,web_search,"PubMed corroborates exact title, author set, venue, year/issue/pages, and DOI. The report states the work is the same.",168.52,28849,922,1,0.025786,0.01,0.035786
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),29.5,0,0,0,0.0,0.0,0.0
