raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] J. H. Jeans, “On the theory of star-streaming and the structure of the universe,” Mon. Not. Roy. Astron. Soc. 76, 70 (1915).",journal_article,On the theory of star-streaming and the structure of the universe,J. H. Jeans,1915,Mon. Not. Roy. Astron. Soc.,76,,70,,,,,,,verified,1.0,On the Theory of Star-Streaming and the Structure of the Universe,J. H. Jeans,Monthly Notices of the Royal Astronomical Society,10.1093/mnras/76.2.70,https://doi.org/10.1093/mnras/76.2.70,crossref_title_static,Verified via static CrossRef title search (score: 1.00),28.06,0,0,0,0.0,0.0,0.0
"[2] J. Binney and S. Tremaine, Galactic Dynamics, 2nd ed. (Princeton University Press, Princeton, 2008).",book,Galactic Dynamics,J. Binney | S. Tremaine,2008,,,,,,,,Princeton University Press,,,verified,0.86,Galactic Dynamics,J. Binney | S. Tremaine,"Princeton University Press, Princeton",,https://assets.press.princeton.edu/catalogs/phys09.pdf,web_search,"Princeton University Press catalogue listing shows “Galactic Dynamics” by James Binney & Scott Tremaine as a Second Edition, dated 2008. A library catalog listing also confirms 2nd ed. with Princeton University Press and c2008, including Princeton as place of publication.",125.47,32734,1150,2,0.007984,0.02,0.027984
"[3] C. Brans and R. H. Dicke, “Mach’s principle and a relativistic theory of gravitation,” Phys. Rev. 124, 925 (1961).",journal_article,Mach’s principle and a relativistic theory of gravitation,C. Brans | R. H. Dicke,1961,Phys. Rev.,124,,925,,,,,,,verified,1.0,Mach's Principle and a Relativistic Theory of Gravitation,C. Brans | R. H. Dicke,Physical Review,10.1103/physrev.124.925,https://doi.org/10.1103/physrev.124.925,crossref_title_static,Verified via static CrossRef title search (score: 1.00),28.74,0,0,0,0.0,0.0,0.0
"[4] T. Clifton, P. G. Ferreira, A. Padilla, and C. Skordis, “Modified gravity and cosmology,” Phys. Rept. 513, 1 (2012).",journal_article,Modified gravity and cosmology,T. Clifton | P. G. Ferreira | A. Padilla | C. Skordis,2012,Phys. Rept.,513,,1,,,,,,,verified,1.0,Modified gravity and cosmology,Timothy Clifton | Pedro G. Ferreira | Antonio Padilla | Constantinos Skordis,Physics Reports,10.1016/j.physrep.2012.01.001,https://doi.org/10.1016/j.physrep.2012.01.001,crossref_title_static,Verified via static CrossRef title search (score: 1.00),29.13,0,0,0,0.0,0.0,0.0
"[5] A. De Felice and S. Tsujikawa, “f(R) theories,” Living Rev. Rel. 13, 3 (2010).",journal_article,f(R) theories,A. De Felice | S. Tsujikawa,2010,Living Rev. Rel.,13,,3,,,,,,,verified,1.0,f(R) Theories,Antonio De Felice | Shinji Tsujikawa,Living Reviews in Relativity,10.12942/lrr-2010-3,https://doi.org/10.12942/lrr-2010-3,crossref_title_static,Verified via static CrossRef title search (score: 1.00),29.63,0,0,0,0.0,0.0,0.0
"[6] L. Arnold, Random Dynamical Systems (Springer, Berlin, 1998).",book,Random Dynamical Systems,L. Arnold,1998,,,,,,,,Springer,,,verified,1.0,Random Dynamical Systems,Ludwig Arnold,Springer Monographs in Mathematics,10.1007/978-3-662-12878-7,https://doi.org/10.1007/978-3-662-12878-7,crossref_title_static,Verified via static CrossRef title search (score: 1.00),29.84,0,0,0,0.0,0.0,0.0
"[7] B. Øksendal, Stochastic Differential Equations: An Introduction with Applications (Springer, Berlin, 2003).",book,Stochastic Differential Equations: An Introduction with Applications,B. Øksendal,2003,,,,,,,,Springer,,,verified,0.9,Stochastic Differential Equations,Bernt Øksendal,"Springer Berlin, Heidelberg (Universitext)",,https://link.springer.com/book/10.1007/978-3-642-14394-6,web_search,The Springer listing renders the book title with “Stochastic Differential Equations” plus subtitle “An Introduction with Applications”; the cited work’s author and 2003 Springer-Verlag Berlin Heidelberg edition are consistent.,113.47,28723,729,1,0.006656,0.01,0.016656
"[8] A. Kolmogoroff, “Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,” Math. Ann. 104, 415-458 (1931).",journal_article,Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,1931,Math. Ann.,104,,415-458,,,,,,,verified,0.9953488372093022,�ber die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,Mathematische Annalen,10.1007/bf01457949,https://doi.org/10.1007/bf01457949,crossref_title_static,Verified via static CrossRef title search (score: 1.00),30.41,0,0,0,0.0,0.0,0.0
"[9] K. Itô, “Stochastic integral,” Proc. Imp. Acad. Tokyo 20, 519-524 (1944).",journal_article,Stochastic integral,K. Itô,1944,Proc. Imp. Acad. Tokyo,20,,519-524,,,,,,,verified,0.98,109. Stochastic Integral,Kiyosi ITO,Proceedings of the Imperial Academy,10.3792/pia/1195572786,https://www.jstage.jst.go.jp/article/pjab1912/20/8/20_8_519/_article/-char/ja/,web_search,"Conclusion: The cited work exists exactly as stated for practical bibliographic purposes (title/authors/year/pages match). The “Proc. Imp. Acad. Tokyo” vs “Proceedings of the Imperial Academy” difference is just venue abbreviation/container string variation, not a different work.",125.46,28743,1170,1,0.007211,0.01,0.017211
"[10] R. Khasminskii, Stochastic Stability of Differential Equations, 2nd ed. (Springer, Berlin, 2012).",book,Stochastic Stability of Differential Equations,R. Khasminskii,2012,,,,,,,,Springer,,,verified,0.9,Stochastic Stability of Differential Equations,Rafail Khasminskii,"Springer Berlin, Heidelberg",10.1007/978-3-642-23280-0,,web_search,"SpringerLink bibliographic metadata for DOI 10.1007/978-3-642-23280-0 lists the same title, author (Rafail Khasminskii), edition number (2), publisher location (Springer Berlin, Heidelberg), and copyright/year © 2012 / Springer-Verlag Berlin Heidelberg 2012. Potential differences in ISBN-specific 'Published' dates (e.g., some shown as 2011) do not contradict the cited 2012 year/copyright shown for the book record.",125.46,28823,1074,1,0.007107,0.01,0.017107
"[11] H. Kunita, Stochastic Flows and Stochastic Differential Equations (Cambridge University Press, Cambridge, 1990).",book,Stochastic Flows and Stochastic Differential Equations,H. Kunita,1990,,,,,,,,Cambridge University Press,,,verified,0.86,Stochastic flows and stochastic differential equations,Hiroshi Kunita,"Cambridge University Press (Cambridge studies in advanced mathematics, 24)",,,web_search,Verified that a book titled *Stochastic flows and stochastic differential equations* by Hiroshi (H.) Kunita was published by Cambridge University Press in 1990 (Cambridge studies in advanced mathematics ; 24) and is associated with ISBN 0-521-35050-6. Evidence from library/catalog records: ([katalog.bibliothek.kit.edu](https://katalog.bibliothek.kit.edu/bib/19464?utm_source=openai)).,125.47,32160,1006,3,0.007689,0.03,0.03769
"[12] H. Crauel and F. Flandoli, “Attractors for random dynamical systems,” Probab. Theory Relat. Fields 100, 365-393 (1994).",journal_article,Attractors for random dynamical systems,H. Crauel | F. Flandoli,1994,Probab. Theory Relat. Fields,100,,365-393,,,,,,,verified,1.0,Attractors for random dynamical systems,Hans Crauel | Franco Flandoli,Probability Theory and Related Fields,10.1007/bf01193705,https://doi.org/10.1007/bf01193705,crossref_title_static,Verified via static CrossRef title search (score: 1.00),31.79,0,0,0,0.0,0.0,0.0
"[13] H. Crauel, A. Debussche, and F. Flandoli, “Random attractors,” J. Dyn. Differ. Equ. 9, 307-341 (1997).",journal_article,Random attractors,H. Crauel | A. Debussche | F. Flandoli,1997,J. Dyn. Differ. Equ.,9,,307-341,,,,,,,verified,1.0,Random attractors,Hans Crauel | Arnaud Debussche | Franco Flandoli,Journal of Dynamics and Differential Equations,10.1007/bf02219225,https://doi.org/10.1007/bf02219225,crossref_title_static,Verified via static CrossRef title search (score: 1.00),32.08,0,0,0,0.0,0.0,0.0
"[14] P. E. Kloeden and M. Rasmussen, Nonautonomous Dynamical Systems (American Mathematical Society, Providence, 2011).",book,Nonautonomous Dynamical Systems,P. E. Kloeden | M. Rasmussen,2011,,,,,,,,American Mathematical Society,,,verified,1.0,Nonautonomous dynamical systems,Peter Kloeden | Martin Rasmussen,Mathematical Surveys and Monographs,10.1090/surv/176/02,https://doi.org/10.1090/surv/176/02,crossref_title_static,Verified via static CrossRef title search (score: 1.00),32.42,0,0,0,0.0,0.0,0.0
"[15] S. Chandrasekhar, “Stochastic problems in physics and astronomy,” Rev. Mod. Phys. 15, 1-89 (1943).",journal_article,Stochastic problems in physics and astronomy,S. Chandrasekhar,1943,Rev. Mod. Phys.,15,,1-89,,,,,,,verified,1.0,Stochastic Problems in Physics and Astronomy,S. Chandrasekhar,Reviews of Modern Physics,10.1103/revmodphys.15.1,https://doi.org/10.1103/revmodphys.15.1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),32.74,0,0,0,0.0,0.0,0.0
"[16] H. E. Kandrup, “Stochastic gravitational fluctuations in a self-consistent mean field theory,” Phys. Rep. 63, 1-59 (1980).",journal_article,Stochastic gravitational fluctuations in a self-consistent mean field theory,H. E. Kandrup,1980,Phys. Rep.,63,,1-59,,,,,,,verified,1.0,Stochastic gravitational fluctuations in a self-consistent mean field theory,Henry E. Kandrup,Physics Reports,10.1016/0370-1573(80)90015-0,https://doi.org/10.1016/0370-1573(80)90015-0,crossref_title_static,Verified via static CrossRef title search (score: 1.00),33.09,0,0,0,0.0,0.0,0.0
"[17] E. L. Łokas and G. A. Mamon, “Dark matter distribution in the Coma cluster from galaxy kinematics: breaking the mass-anisotropy degeneracy,” Mon. Not. Roy. Astron. Soc. 343, 401-412 (2003).",journal_article,Dark matter distribution in the Coma cluster from galaxy kinematics: breaking the mass-anisotropy degeneracy,E. L. Łokas | G. A. Mamon,2003,Mon. Not. Roy. Astron. Soc.,343,,401-412,,,,,,,verified,1.0,Dark matter distribution in the Coma cluster from galaxy kinematics: breaking the mass–anisotropy degeneracy,Ewa L. Łokas | Gary A. Mamon,Monthly Notices of the Royal Astronomical Society,10.1046/j.1365-8711.2003.06684.x,https://doi.org/10.1046/j.1365-8711.2003.06684.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),33.42,0,0,0,0.0,0.0,0.0
"[18] G. A. Mamon and E. L. Łokas, “Dark matter in elliptical galaxies. II. Estimating the mass within the virial radius,” Mon. Not. Roy. Astron. Soc. 363, 705-722 (2005).",journal_article,Dark matter in elliptical galaxies. II. Estimating the mass within the virial radius,G. A. Mamon | E. L. Łokas,2005,Mon. Not. Roy. Astron. Soc.,363,,705-722,,,,,,,verified,0.95,Dark matter in elliptical galaxies — II. Estimating the mass within the virial radius,Gary A. Mamon | Ewa L. Łokas,Monthly Notices of the Royal Astronomical Society,10.1111/j.1365-2966.2005.09400.x,https://academic.oup.com/mnras/article/363/3/705/1143492,web_search,Checked the publisher record for the cited article; title/authors/volume/issue/pages/year and DOI match the 2005 work. CrossRef precheck record pointing to an addendum in 2006 is consistent with a later related item and does not undermine the correctness of the originally cited 2005 article.,125.46,37587,1179,1,0.008991,0.01,0.018991
"[19] G. A. Mamon, A. Biviano, and G. Boué, “MAMPOSSt: Modelling anisotropy and mass profiles of observed spherical systems. I. Gaussian 3D velocities,” Mon. Not. Roy. Astron. Soc. 429, 3079-3098 (2013).",journal_article,MAMPOSSt: Modelling anisotropy and mass profiles of observed spherical systems. I. Gaussian 3D velocities,G. A. Mamon | A. Biviano | G. Boué,2013,Mon. Not. Roy. Astron. Soc.,429,,3079-3098,,,,,,,verified,1.0,MAMPOSSt: Modelling Anisotropy and Mass Profiles of Observed Spherical Systems – I. Gaussian 3D velocities,Gary A. Mamon | Andrea Biviano | Gwenaël Boué,Monthly Notices of the Royal Astronomical Society,10.1093/mnras/sts565,https://doi.org/10.1093/mnras/sts565,crossref_title_static,Verified via static CrossRef title search (score: 1.00),34.09,0,0,0,0.0,0.0,0.0
"[20] L. Lombriser, F. Schmidt, T. Baldauf, R. Mandelbaum, U. Seljak, and R. E. Smith, “Cluster density profiles as a test of modified gravity,” Phys. Rev. D 85, 102001 (2012).",journal_article,Cluster density profiles as a test of modified gravity,L. Lombriser | F. Schmidt | T. Baldauf | R. Mandelbaum | U. Seljak | R. E. Smith,2012,Phys. Rev. D,85,,102001,,,,,,,verified,1.0,Cluster density profiles as a test of modified gravity,Lucas Lombriser | Fabian Schmidt | Tobias Baldauf | Rachel Mandelbaum | Uroš Seljak | Robert E. Smith,Physical Review D,10.1103/physrevd.85.102001,https://doi.org/10.1103/physrevd.85.102001,crossref_title_static,Verified via static CrossRef title search (score: 1.00),34.46,0,0,0,0.0,0.0,0.0
"[21] L. Lombriser, K. Koyama, G.-B. Zhao, and B. Li, “Chameleon f(R) gravity in the virialized cluster,” Phys. Rev. D 85, 124054 (2012).",journal_article,Chameleon f(R) gravity in the virialized cluster,L. Lombriser | K. Koyama | G.-B. Zhao | B. Li,2012,Phys. Rev. D,85,,124054,,,,,,,verified,0.9935483870967741,Chameleon f ( R ) gravity in the virialized cluster,Lucas Lombriser | Kazuya Koyama | Gong-Bo Zhao | Baojiu Li,Physical Review D,10.1103/physrevd.85.124054,https://doi.org/10.1103/physrevd.85.124054,crossref_title_static,Verified via static CrossRef title search (score: 0.99),34.79,0,0,0,0.0,0.0,0.0
"[22] C. Escudero and C. Manada, “Itô versus Stratonovich in a stochastic cosmological model,” Lett. Math. Phys. 112, 12 (2022).",journal_article,Itô versus Stratonovich in a stochastic cosmological model,C. Escudero | C. Manada,2022,Lett. Math. Phys.,112,,12,,,,,,,verified,1.0,Itô versus Stratonovich in a stochastic cosmological model,Carlos Escudero | Carlos Manada,Letters in Mathematical Physics,10.1007/s11005-022-01503-8,https://doi.org/10.1007/s11005-022-01503-8,crossref_title_static,Verified via static CrossRef title search (score: 1.00),35.08,0,0,0,0.0,0.0,0.0
"[23] M. Falco, S. Hansen, R. Wojtak, G. A. Mamon, and A. V. Maccio, “Dynamical signatures of infall around galaxy clusters,” Mon. Not. Roy. Astron. Soc. 431, L6 (2013).",journal_article,Dynamical signatures of infall around galaxy clusters,M. Falco | S. Hansen | R. Wojtak | G. A. Mamon | A. V. Maccio,2013,Mon. Not. Roy. Astron. Soc.,431,,L6,,,,,,,hallucination,0.93,Dynamical signatures of infall around galaxy clusters: a generalized Jeans equation,M. Falco | S. Hansen | R. Wojtak | G. A. Mamon | S. Gottlöber,Monthly Notices of the Royal Astronomical Society,,https://academic.oup.com/mnras/article/436/3/2639/1263464,web_search,"Primary source (academic.oup.com) identifies a different bibliographic identity than the cited one: different full title (includes “: a generalized Jeans equation”), different co-author (Gottlöber instead of Maccio), and different MNRAS volume/page (436/2639 instead of 431/L6). Title + co-authors + journal coordinates do not simultaneously match a single real publication, so the cited item is a chimera-style fabrication.",129.34,46545,2287,4,0.012168,0.04,0.052168
