raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,0.85,,,,,,,"Citation appears to be a filename-only entry ('Review-of-predicting-crime-rates.pdf') with no URL/DOI or bibliographic metadata (authors/title/year/venue). Under the citation-verification rules, this cannot be confirmed as a specific real document. Bibliography entry has no authors or real title (URL/filename-only) — not_found.",49.15,19572,443,0,0.004468,0.0,0.004468
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,0.82,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web_search,"The provided bibliography entry is a URL-only citation: `raw_text` contains only a PDF URL and provides no author(s), title, year, or venue. Per the URL-ONLY / INCOMPLETE CITATIONS rule, a bibliography entry that lacks authors/title (i.e., only a URL/filename) must be marked `not_found`, even if the URL is reachable. I checked the URL by opening the PDF; it loads successfully and appears to be a Rutgers CPS document titled “Results In Brief” (covering a multi-jurisdictional RTM/place-based evaluation). However, because the citation entry itself does not include the bibliographic identity fields (title/authors/year), the entry cannot be verified as written. URL is live and the PDF exists, but the citation provided is URL-only and lacks title/authors/year; therefore status remains not_found per rules.",47.36,23865,848,0,0.005833,0.0,0.005833
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,0.8,,,,,,web_search,"This bibliography entry is URL-only (no authors/title provided besides the URL). Per the rules, URL-only entries are not eligible for verification. Additionally, the cited URL returned a 404 Not Found when fetched, so the specific page/document could not be accessed. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",45.15,19739,335,0,0.004367,0.0,0.004367
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,0.6,,,,,https://apbweb.com/2024/06/evidence-based-policing/,web_search,"The provided bibliography entry is essentially URL-only/incomplete (no title, authors, or year fields in the citation text). Per the verification rules, URL-only or filename-only/incomplete entries must be marked not_found even if the URL resolves. The URL is reachable and appears to be a web article titled “Evidence-based policing” published June 19, 2024 by Robert Spinks. ([apbweb.com](https://apbweb.com/2024/06/evidence-based-policing/))",46.11,25058,525,0,0.005668,0.0,0.005668
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy,,not_found,0.9,,,,,,web_search,"URL-only entry; direct fetch of the cited URL failed with UnexpectedStatusCode. No title/authors/other bibliographic fields were provided, so the specific article cannot be independently verified. ([]()) Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companiesin-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",47.36,19838,534,0,0.004635,0.0,0.004635
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,0.3,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,"URL-only citation lacks a title/authors; direct fetch failed with (429) Too Many Requests, so I could not confirm the underlying article bibliographically. Cited URL is live/reachable (https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",46.52,19787,467,0,0.004541,0.0,0.004541
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,0.85,,,,,,,"The bibliography entry is URL-only (no title/authors/year provided). I attempted to fetch the cited TechCrunch URL and it returned an HTTP 404 (Not Found), so I cannot verify the existence of the specific article at that address. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",47.91,19764,386,0,0.004435,0.0,0.004435
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,0.9,Best Crypto Prediction Markets in 2025,,Trust Wallet (Blog/Academy),,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web_search,"The citation’s raw text was a bare URL only. The destination page exists and is live (redirects to a Trust Wallet page titled “Best Crypto Prediction Markets in 2025” with “Published on: Nov 19, 2025”), but the bibliography entry itself lacks required bibliographic fields (title/authors/date), so status remains not_found by rule.",49.99,24921,643,0,0.005788,0.0,0.005788
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,0.86,,,,,https://defirate.com/prediction-markets/,web_search,"The bibliography entry is URL-only (no author/title/date/journal metadata beyond the URL): ""https://defirate.com/prediction-markets/"". Per the rules, URL-only/filename-only citations cannot be upgraded to verified because the bibliography does not provide enough bibliographic information to confirm a specific work identity. I checked the URL and it loads successfully as a webpage titled ""List of prediction markets in the US, ranked and reviewed for 2026"" with an ""Updated: July 16, 2026"" stamp. ([defirate.com](https://defirate.com/prediction-markets/)) Cited URL is live/reachable (https://defirate.com/prediction-markets/), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",53.63,24338,495,0,0.005486,0.0,0.005486
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,0.98,,,,,,web_search,URL is dead/unreachable at the provided location (HTTP 404). ( []() ) Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).,51.06,19725,358,0,0.004393,0.0,0.004393
