raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Nekoo SR, Acosta JÁ, Heredia G, Ollero A. A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites. Mechatronics. 2021;79:102641. https://doi.org/10.1016/j.mechatronics.2021.102641",journal_article,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Nekoo SR | Acosta JÁ | Heredia G | Ollero A,2021,Mechatronics,79,,102641,,,,,,,verified,0.95,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Nekoo SR | Acosta JÁ | Heredia G | Ollero A,Mechatronics,10.1016/j.mechatronics.2021.102641,https://www.sciencedirect.com/science/article/pii/S095741582100115X?utm_source=openai,web_search,ScienceDirect confirms the exact title + journal + volume 79 + article 102641 + DOI; the author identities match the repository version of the same work. (https://www.sciencedirect.com/science/article/pii/S095741582100115X?utm_source=openai),160.33,28384,1220,2,0.007202,0.02,0.027202
"10. Sutulo S, Guedes Soares C. An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests. Oce Eng. 2014;79:10-25. https://doi.org/10.1016/j.oceaneng.2014.01.007",journal_article,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Sutulo S | Guedes Soares C,2014,Oce Eng,79,,10-25,,,,,,,verified,1.0,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Serge Sutulo | C. Guedes Soares,Ocean Engineering,10.1016/j.oceaneng.2014.01.007,https://doi.org/10.1016/j.oceaneng.2014.01.007,crossref_title_static,Verified via static CrossRef title search (score: 1.00),32.75,0,0,0,0.0,0.0,0.0
100. Sampson J. Adaptation in natural and artificial systems. John H. Holland; 1976.,book,Adaptation in natural and artificial systems,Sampson J,1976,,,,,,,,John H. Holland,,,hallucination,0.9,"Adaptation in natural and artificial systems : an introductory analysis with applications to biology, control, and artificial intelligence",John H. Holland ([cir.nii.ac.jp](https://cir.nii.ac.jp/crid/1970304959885383698)),University of Michigan Press,,https://cir.nii.ac.jp/crid/1970304959885383698,web_search,"The cited “Sampson J.”/1976 combination matches a SIAM Review entry for the Holland book (review author Jeffrey R. Sampson; SIAM Review Vol. 18(3), July 1976), while the underlying book is by John H. Holland and is recorded as c1975 from University of Michigan Press. ([epubs.siam.org](https://epubs.siam.org/doi/10.1137/1018105))",173.85,36640,1806,2,0.009586,0.02,0.029586
"101. Epitropakis MG, Tasoulis DK, Pavlidis NG, Plagianakos VP, Vrahatis MN. Enhancing differential evolution utilizing proximity-based mutation operators. IEEE Trans Evol Comput. 2011;15(1):99-119. https://doi.org/10.1109/tevc.2010.2083670",journal_article,Enhancing differential evolution utilizing proximity-based mutation operators,Epitropakis MG | Tasoulis DK | Pavlidis NG | Plagianakos VP | Vrahatis MN,2011,IEEE Trans Evol Comput,15,1,99-119,10.1109/tevc.2010.2083670,,,,,,verified,1.0,Enhancing Differential Evolution Utilizing Proximity-Based Mutation Operators,Michael G. Epitropakis | Dimitris K. Tasoulis | Nicos G. Pavlidis | Vassilis P. Plagianakos | Michael N. Vrahatis,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2010.2083670,https://doi.org/10.1109/tevc.2010.2083670,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),33.35,0,0,0,0.0,0.0,0.0
"102. Opara KR, Arabas J. Differential evolution: a survey of theoretical analyses. Swarm Evol Comput. 2019;44:546-58. https://doi.org/10.1016/j.swevo.2018.06.010",journal_article,Differential evolution: a survey of theoretical analyses,Opara KR | Arabas J,2019,Swarm Evol Comput,44,,546-58,10.1016/j.swevo.2018.06.010,,,,,,verified,1.0,Differential Evolution: A survey of theoretical analyses,Karol R. Opara | Jarosław Arabas,Swarm and Evolutionary Computation,10.1016/j.swevo.2018.06.010,https://doi.org/10.1016/j.swevo.2018.06.010,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.01,0,0,0,0.0,0.0,0.0
"103. Rao S. Engineering optimization: theory and practice, 4th edn. John Wiley & Sons; 2009.",book,"Engineering optimization: theory and practice, 4th edn",Rao S,2009,,,,,,,,John Wiley & Sons,,,verified,0.95,Engineering Optimization: Theory and Practice,Singiresu S. Rao,,10.1002/9780470549124,https://doi.org/10.1002/9780470549124,crossref_title_static,Verified via static CrossRef title search (score: 0.95),35.02,0,0,0,0.0,0.0,0.0
"104. Nocedal J, Wright SJ. Numerical optimization, 2nd edn. Springer; 2006.",book,"Numerical optimization, 2nd edn",Nocedal J | Wright SJ,2006,,,,,,,,Springer,,,verified,0.96,Numerical Optimization,Jorge Nocedal | Stephen J. Wright,Springer,,https://link.springer.com/book/10.1007/978-0-387-40065-5,web_search,"Springer’s official book record lists: Book Title: Numerical Optimization; Authors (editors): Jorge Nocedal and Stephen J. Wright; Edition Number: 2; Publisher: Springer; Hardcover ISBN published date: 27 July 2006. Matches cited work (Numerical optimization, 2nd edn; Nocedal & Wright; Springer; 2006).",163.22,28723,788,1,0.00673,0.01,0.01673
105. Williamson M. Series elastic actuators. Massachusetts Institute of Technology Artificial Intelligence Laboratory; 1995.,book,Series elastic actuators,Williamson M,1995,,,,,,,,Massachusetts Institute of Technology Artificial Intelligence Laboratory,,,verified,0.78,“Series Elastic Actuators” ([ai.mit.edu](https://www.ai.mit.edu/projects/humanoid-robotics-group/publications.html?utm_source=openai)),Matthew Williamson ([ai.mit.edu](https://www.ai.mit.edu/projects/humanoid-robotics-group/publications.html?utm_source=openai)),MIT Artificial Intelligence Laboratory (MIT S.M. Thesis listing) ([ai.mit.edu](https://www.ai.mit.edu/projects/humanoid-robotics-group/publications.html?utm_source=openai)),,https://www.ai.mit.edu/projects/humanoid-robotics-group/publications.html?utm_source=openai,web_search,"Your citation labels it as a “book,” but MIT’s listing presents it as an S.M. thesis (same title/author/year/institution). ([ai.mit.edu](https://www.ai.mit.edu/projects/humanoid-robotics-group/publications.html?utm_source=openai))",195.32,36599,1666,4,0.009402,0.04,0.049402
"106. Junior A, de Andrade R, Bento Filho A. Series elastic actuator: design, analysis and comparison. Recent Adv Robot Syst. 2016;1(3).",journal_article,"Series elastic actuator: design, analysis and comparison",Junior A | de Andrade R | Bento Filho A,2016,Recent Adv Robot Syst,1,3,,,,,,,,verified,1.0,"Series Elastic Actuator: Design, Analysis and Comparison",Arnaldo Gomes Leal Junior | Rafhael Milanezi de Andrade | Antonio Bento Filho,Recent Advances in Robotic Systems,10.5772/63573,https://doi.org/10.5772/63573,crossref_title_static,Verified via static CrossRef title search (score: 1.00),36.68,0,0,0,0.0,0.0,0.0
"107. Au SK, Weber J, Herr H. Biomechanical design of a powered ankle-foot prosthesis. In: 2007 IEEE 10th International Conference on Rehabilitation Robotics. IEEE; 2007, pp. 298-303. https://doi.org/10.1109/icorr.2007.4428441",conference_paper,Biomechanical design of a powered ankle-foot prosthesis,Au SK | Weber J | Herr H,2007,,,,298-303,10.1109/icorr.2007.4428441,,2007 IEEE 10th International Conference on Rehabilitation Robotics,IEEE,,,verified,1.0,Biomechanical Design of a Powered Ankle-Foot Prosthesis,Samuel K. Au | Jeff Weber | Hugh Herr,2007 IEEE 10th International Conference on Rehabilitation Robotics,10.1109/icorr.2007.4428441,https://doi.org/10.1109/icorr.2007.4428441,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),36.68,0,0,0,0.0,0.0,0.0
