raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,0.97,“The World Health Organization and global health estimates: improving collaboration and capacity” ([link.springer.com](https://link.springer.com/article/10.1186/s12916-015-0286-7?utm_source=openai)),Ties Boerma; Colin D Mathers ([link.springer.com](https://link.springer.com/article/10.1186/s12916-015-0286-7?utm_source=openai)),“BMC Medicine” ([link.springer.com](https://link.springer.com/article/10.1186/s12916-015-0286-7?utm_source=openai)),10.1186/s12916-015-0286-7,https://link.springer.com/article/10.1186/s12916-015-0286-7?utm_source=openai,web_search,"Springer Nature Link (BMC Medicine) page found and matches cited title, authors, venue, and DOI; Volume 13 and article number 50 (2015) consistent with BMC Med. 2015;13:50.",189.67,24328,1020,1,0.006141,0.01,0.016141
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,minor_error,0.9,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,B J Casey | Rebecca M Jones,J Am Acad Child Adolesc Psychiatry,,https://pubmed.ncbi.nlm.nih.gov/21093769/?utm_source=openai,web_search,"The citation’s page range is written as “1189-201”, which is consistent with a truncation missing the “1201” ending. PubMed lists the article in the 49(12) issue with the starting page 1189, and AACAP’s bibliography material records it as 1189–1201. ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/21093769/?utm_source=openai))",192.26,33085,1616,3,0.008637,0.03,0.038637
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,0.93,Mothers' Goals for Adolescents in the United States and China: Content and Transmission,Yang Qu | Eva M Pomerantz | Ciping Deng,Journal of Research on Adolescence,10.1111/jora.12176,https://pubmed.ncbi.nlm.nih.gov/27019420/,web_search,"Your citation omits the DOI and uses page elision “126-41” instead of the full “126-141,” both of which are consistent with the PubMed record.",189.09,24348,1000,1,0.00612,0.01,0.01612
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,verified,0.93,Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues,Prisha Bhagavathi | Tyler Vitone,Journal of Student Research,10.47611/jsrhs.v11i3.2670,,web_search,"The work exists with the same title and authors, published in Journal of Student Research, Vol. 11 No. 3 (2022). The JSR article page lists the title and both authors and is explicitly labeled under Vol. 11 No. 3 (2022). ([jsr.org](https://www.jsr.org/hs/index.php/path/article/view/2670)) The PDF for the same article also shows “Volume 11 Issue 3 (2022) ISSN: 2167-1907” and the same title/authors. ([jsr.org](https://www.jsr.org/hs/index.php/path/article/download/2670/1324))",192.15,32399,1080,1,0.00783,0.01,0.01783
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,not_found,0.43,Depressive Symptoms and Suicidal Behavior,,"Annual Progress in Child Psychiatry and Child Development, 1986",,,web_search,"Title presence around p. 492 in the 1986 volume is supported, but chapter authors (Robbins DR; Alessi NE) and the exact page range (492–502) were not confirmable via primary sources during this verification. PubMed evidence exists for a journal article with the same title by Robbins DR & Alessi NE, but that is not proof of the book chapter you cited.",192.73,37263,1876,3,0.009798,0.03,0.039798
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,0.98,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC | Arria AM | Caldeira KM | Vincent KB | Pinchevsky GM | O'Grady KE,Journal of Affective Disorders,,https://pubmed.ncbi.nlm.nih.gov/20471691/?utm_source=openai,web_search,"Primary evidence found via PubMed record; title, full author list, journal, year, issue/volume, page range, and DOI all match (DOI not explicitly provided in the report text).",194.41,39525,1889,4,0.010266,0.04,0.050266
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,hallucination,0.86,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Zhongrui Wang | Xiyu Li | Haiyu Xu | Tao Zhang,European Child & Adolescent Psychiatry,10.1007/s00787-024-02370-5,https://doi.org/10.1007/s00787-024-02370-5,web_search,"The DOI/title/venue/pages match, but the citation’s named authors do not match the publisher’s author list for that DOI (multiple author identity conflicts), so the citation cannot be verified as written.",192.17,37871,1597,3,0.00957,0.03,0.03957
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,0.86,Relationships Between Psychopathy and Impulsivity in the Domain of Self-Reported Personality Features,James Ray | Norman Poythress | John M. Weir | Angela Rickelm,Personality and Individual Differences,10.1016/j.paid.2008.09.005,https://digitalcommons.usf.edu/mhlp_facpub/62/,web_search,The citation’s abbreviated page range “83-7” corresponds to the full range “83-87” in the repository record.,192.03,33769,1371,2,0.008468,0.02,0.028468
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,0.9,“The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong”,Vanessa H.M. Cheung | Chui Yi Chan | Ricky K.C. Au,Asia-Pacific Psychiatry,10.1111/appy.12339,https://scholars.hkmu.edu.hk/en/publications/the-influence-of-resilience-and-coping-strategies-on-suicidal-ide/?utm_source=openai,web_search,"The Wiley Online Library page for the DOI could not be fully opened due to access restrictions (403), but the DOI landing metadata shown in search results plus the institutional repository confirm the exact article identity and its key fields (title, authors, journal, volume/issue, article number).",195.02,37287,1581,4,0.009434,0.04,0.049434
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),29.53,0,0,0,0.0,0.0,0.0
