raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] S. Garfinkel, “Digital forensics research: The next 10 years,” Digital Investigation, vol. 7, pp. S64-S73, 2010. DOI: 10.1016/j.diin.2010.05.009",journal_article,Digital forensics research: The next 10 years,S. Garfinkel,2010,Digital Investigation,7,,S64-S73,10.1016/j.diin.2010.05.009,,,,,,verified,1.0,Digital forensics research: The next 10 years,Simson L. Garfinkel,Digital Investigation,10.1016/j.diin.2010.05.009,https://doi.org/10.1016/j.diin.2010.05.009,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),40.07,0,0,0,0.0,0.0,0.0
"[2] N. Moustafa and J. Slay, “The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,” Information Security Journal: A Global Perspective, vol. 25, no. 1-3, pp. 18-31, 2016.",journal_article,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,N. Moustafa | J. Slay,2016,Information Security Journal: A Global Perspective,25,1-3,18-31,,,,,,,verified,1.0,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,Nour Moustafa | Jill Slay,Information Security Journal: A Global Perspective,10.1080/19393555.2015.1125974,https://doi.org/10.1080/19393555.2015.1125974,crossref_title_static,Verified via static CrossRef title search (score: 1.00),40.56,0,0,0,0.0,0.0,0.0
"[3] E. Casey, Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet, 3rd ed. Academic Press, 2011.",book,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",E. Casey,2011,,,,,,,,Academic Press,,,verified,0.93,Digital Evidence and Computer Crime,Eoghan Casey,Elsevier Shop (Academic Press / Elsevier listing),,https://shop.elsevier.com/books/digital-evidence-and-computer-crime/casey/978-0-08-092148-8,web_search,"The citation’s author is given as “E. Casey,” which is consistent with “Eoghan Casey” (initial E). The cited “Academic Press, 2011” matches the publisher/edition/year shown on the Elsevier Shop (Academic Press) listing.",245.64,30792,1074,1,0.007501,0.01,0.017501
"[4] K. Kent, S. Chevalier, T. Grance, and H. Dang, “Guide to integrating forensic techniques into incident response,” NIST Special Publication 800-86, 2006.",book,Guide to integrating forensic techniques into incident response,K. Kent | S. Chevalier | T. Grance | H. Dang,2006,,,,,,,,NIST Special Publication 800-86,,,verified,0.93,Guide to integrating forensic techniques into incident response,K Kent | S Chevalier | T Grance | H Dang,NIST Special Publication 800-86,10.6028/NIST.SP.800-86,https://www.nist.gov/publications/guide-integrating-forensic-techniques-incident-response-0,web_search,"The cited NIST Special Publication exists with the same title and the same four authors (Kent, Chevalier, Grance, Dang) and is dated 2006. The NIST record also provides a DOI (10.6028/NIST.SP.800-86). ([nist.gov](https://www.nist.gov/publications/guide-integrating-forensic-techniques-incident-response-0?utm_source=openai))",227.38,26166,643,1,0.006037,0.01,0.016037
"[5] R. Poisel, S. Tjoa, and P. Tavolato, “Towards reproducible forensic investigation process,” in Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES), 2021, pp. 1-9.",conference_paper,Towards reproducible forensic investigation process,R. Poisel | S. Tjoa | P. Tavolato,2021,,,,1-9,,,"Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES)",,,,not_found,0.65,,,,,https://dblp.org/db/conf/IEEEares/ares2021.html,web_search,"Primary-source search: DBLP ARES 2021 page did not contain the cited title/author strings. Open-web results only showed secondary mentions (e.g., reference-list mentions), not a publisher/venue/DOI landing page confirming the specific conference paper with the stated authors and pages.",232.42,49430,1795,5,0.01213,0.05,0.06213
"[6] G. Combs et al., “Wireshark network protocol analyzer,” Available: https://www.wireshark.org, 2023.",web,Wireshark network protocol analyzer,G. Combs,2023,,,,,,,,,https://www.wireshark.org,,minor_error,0.74,“The world’s leading network protocol analyzer” / Wireshark homepage (site branding/title),,Wireshark (wireshark.org website),,https://www.wireshark.org/,web_search,"Author “G. Combs et al.” and year “2023” are not confirmed on the Wireshark homepage content itself. Gerald Combs is evidenced as an author on other Wireshark pages (e.g., a 2023 Wireshark blog post), but that does not prove he is the credited author of the homepage resource being cited.",725.08,32093,1769,1,0.00863,0.01,0.01863
"[7] V. Paxson, “Bro: A system for detecting network intruders in real-time,” Computer Networks, vol. 31, no. 23-24, pp. 2435-2463, 1999.",journal_article,Bro: A system for detecting network intruders in real-time,V. Paxson,1999,Computer Networks,31,23-24,2435-2463,,,,,,,verified,1.0,Bro: a system for detecting network intruders in real-time,Vern Paxson,Computer Networks,10.1016/s1389-1286(99)00112-7,https://doi.org/10.1016/s1389-1286(99)00112-7,crossref_title_static,Verified via static CrossRef title search (score: 1.00),45.5,0,0,0,0.0,0.0,0.0
"[8] M. Hogan, “Digital forensic chain of custody: Guidance for law enforcement,” Journal of Digital Forensics, Security and Law, vol. 14, no. 2, pp. 7-24, 2019.",journal_article,Digital forensic chain of custody: Guidance for law enforcement,M. Hogan,2019,"Journal of Digital Forensics, Security and Law",14,2,7-24,,,,,,,hallucination,0.9,,,"Journal of Digital Forensics, Security and Law",,https://commons.erau.edu/jdfsl/vol14/iss2/,web_search,The JDFSL Vol. 14 No. 2 table of contents lists 4 articles (plus front matter/back matter) and does not include any article titled 'Digital forensic chain of custody: Guidance for law enforcement' by M. Hogan (pp. 7–24).,241.94,53720,1794,5,0.012986,0.05,0.062987
"[9] K. Hausknecht, D. Foit, and J. Buric, “Heterogeneous data integration in digital forensics,” in Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C), 2017, pp. 129-136.",conference_paper,Heterogeneous data integration in digital forensics,K. Hausknecht | D. Foit | J. Buric,2017,,,,129-136,,,"Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C)",,,,not_found,0.55,,,,,,web_search,"Tried to verify the specific conference paper title/authors (“Heterogeneous data integration in digital forensics” by K. Hausknecht, D. Foit, and J. Buric) as a 2017 IEEE QRS-C (QRS-C 2017) proceeding article with pages 129–136. A publisher-style QRS-C 2017 table-of-contents PDF (from proceedings.com) could be accessed, and searching within that PDF did not find the claimed title or the authors (Hausknecht/Buric). ([proceedings.com](https://www.proceedings.com/content/035/035760webtoc.pdf)) Web searches for the exact title + author names and also for the venue string (QRS-C 2017) did not return a primary IEEE Xplore / DOI landing page or other primary bibliographic record uniquely matching this exact work. Therefore, I could not locate a primary record confirming the paper exists exactly as cited.",234.12,47887,1635,5,0.011621,0.05,0.061621
"[10] A. Bouchti, S. Haddad, and A. Abou El Kalam, “Challenges of heterogeneous IoT log normalisation for forensic investigations,” in Proc. IEEE Int. Conf. Internet of Things (iThings), 2022, pp. 1-8.",conference_paper,Challenges of heterogeneous IoT log normalisation for forensic investigations,A. Bouchti | S. Haddad | A. Abou El Kalam,2022,,,,1-8,,,Proc. IEEE Int. Conf. Internet of Things (iThings),,,,not_found,0.74,,,,,https://dblp.org/db/conf/ithings/ithings2022.html,web_search,"Primary-source priority checks: (1) DBLP iThings/GreenCom/CPSCom/SmartData 2022 proceedings page search did not contain the cited work; (2) web search for the exact title and author set, including IEEE Xplore matches, did not find any primary record for that exact paper in iThings 2022.",260.17,52999,1852,6,0.012915,0.06,0.072915
