raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Abbott, S., 2016. Understanding analysis. volume 2. Springer.",book,Understanding analysis,"Abbott, S.",2016,,2,,,,9781493950263,,Springer,,,verified,1.0,Understanding Analysis,Stephen Abbott,Undergraduate Texts in Mathematics,10.1007/978-1-4939-2712-8,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.02,0,0,0,0.0,0.0,0.0
"Acemoglu, D., Bimpikis, K., Ozdaglar, A., 2009. Price and capacity competition. Games and Economic Behavior 66, 1-26.",journal_article,Price and capacity competition,"Acemoglu, D. | Bimpikis, K. | Ozdaglar, A.",2009,Games and Economic Behavior,66,,1-26,,,,,,,verified,1.0,Price and capacity competition,Daron Acemoglu | Kostas Bimpikis | Asuman Ozdaglar,Games and Economic Behavior,10.1016/j.geb.2008.06.004,https://doi.org/10.1016/j.geb.2008.06.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.39,0,0,0,0.0,0.0,0.0
"Agosti, M., Pretto, L., 2005. A theoretical study of a generalized version of kleinberg’s hits algorithm. Information Retrieval 8, 219-243.",journal_article,A theoretical study of a generalized version of kleinberg’s hits algorithm,"Agosti, M. | Pretto, L.",2005,Information Retrieval,8,,219-243,,,,,,,verified,1.0,A Theoretical Study of a Generalized Version of Kleinberg’s HITS Algorithm,Maristella Agosti | Luca Pretto,Information Retrieval,10.1007/s10791-005-5660-1,https://doi.org/10.1007/s10791-005-5660-1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.73,0,0,0,0.0,0.0,0.0
"Amazon Web Services, 2024. Aws lambda pricing. https://aws.amazon. com/fr/lambda/pricing/. Accessed: 2024-07-18.",web,Aws lambda pricing,Amazon Web Services,2024,,,,,,,,,https://aws.amazon.com/fr/lambda/pricing/,,verified,0.9,Tarification AWS0Lambda,,Amazon Web Services (AWS),,https://aws.amazon.com/fr/lambda/pricing/,web_search,URL is live; page is AWS Lambda pricing (heading matches the pricing page). The French page title corresponds to the cited 'AWS lambda pricing'.,199.43,26254,601,0,0.006002,0.0,0.006002
"Ardagna, D., Panicucci, B., Passacantando, M., 2012. Generalized nash equilibria for the service provisioning problem in cloud systems. IEEE Transactions on Services Computing 6, 429-442.",journal_article,Generalized nash equilibria for the service provisioning problem in cloud systems,"Ardagna, D. | Panicucci, B. | Passacantando, M.",2012,IEEE Transactions on Services Computing,6,,429-442,,,,,,,minor_error,1.0,Generalized Nash Equilibria for the Service Provisioning Problem in Cloud Systems,Danilo Ardagna | Barbara Panicucci | Mauro Passacantando,IEEE Transactions on Services Computing,10.1109/tsc.2012.14,https://doi.org/10.1109/tsc.2012.14,crossref_title_static,"Verified via static CrossRef title search (score: 1.00) Same work identified, but the citation year (2012) does not match the volume/issue (published-print) year (2013) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",28.38,0,0,0,0.0,0.0,0.0
"Başar, T., Olsder, G.J., 1998. Dynamic noncooperative game theory. SIAM.",book,Dynamic noncooperative game theory,"Başar, T. | Olsder, G.J.",1998,,,,,,9781611971132,,SIAM,,,verified,0.9,"Dynamic Noncooperative Game Theory, 2nd Edition",Tamer Başar | Geert Jan Olsder,SIAM (Classics in Applied Mathematics),10.1137/1.9781611971132,,web_search,"The SIAM Publications Library page for this SIAM book (Authors: Tamer Başar and Geert Jan Olsder) shows the title “Dynamic Noncooperative Game Theory, 2nd Edition” and explicitly lists “Published: 1998” along with the SIAM ISBN and DOI. This matches the cited authors, title, publisher (SIAM), and year (1998).",208.01,31262,877,1,0.007349,0.01,0.017349
"Başar, T., Srikant, R., 2002. Revenue-maximizing pricing and capacity expansion in a many-users regime, in: Proceedings of IEEE INFOCOM, IEEE. pp. 294-301.",conference_paper,Revenue-maximizing pricing and capacity expansion in a many-users regime,"Başar, T. | Srikant, R.",2002,,,,294-301,,,Proceedings of IEEE INFOCOM,IEEE,,,verified,0.86,Revenue-maximizing pricing and capacity expansion in a many-users regime,Tamer Basar | R. Srikant,Proceedings of the Twenty-First Annual Joint Conference of the IEEE Computer and Communications Societies (INFOCOM),10.1109/INFCOM.2002.1019271,,web_search,"[""Crossref-derived bibliographic metadata (via CiNii) lists the work with the same title, authors (T. Basar; R. Srikant), venue (IEEE INFOCOM proceedings), year (2002), pages (294-301), and DOI (10.1109/INFCOM.2002.1019271).""]",242.79,43600,1557,5,0.010666,0.05,0.060666
"Beaude, O., Lasaulce, S., Hennebel, M., 2012. Charging games in networks of electrical vehicles, in: 2012 6th International Conference on Network Games, Control and Optimization (NetGCooP), IEEE. pp. 96-103.",conference_paper,Charging games in networks of electrical vehicles,"Beaude, O. | Lasaulce, S. | Hennebel, M.",2012,,,,96-103,,,"2012 6th International Conference on Network Games, Control and Optimization (NetGCooP)",IEEE,,,verified,0.88,Charging games in networks of electrical vehicles.,Olivier Beaude | Samson Lasaulce | Martin Hennebel,NetGCooP 2012,,https://dblp.org/rec/conf/netcoop/BeaudeLH12.html,web_search,"Found a primary bibliographic record for: Olivier Beaude, Samson Lasaulce, Martin Hennebel (2012), “Charging games in networks of electrical vehicles.” in NetGCooP 2012, pages 96-103. ([dblp.org](https://dblp.org/rec/conf/netcoop/BeaudeLH12.html)) The IEEE Xplore landing page could not be accessed due to a robot/JS gate during this verification, but the metadata match (title/authors/year/pages/NetGCooP venue) is consistent with the cited entry.",253.68,53139,1842,3,0.01293,0.03,0.04293
"Bouet, M., Conan, V., 2018. Mobile edge computing resources optimization: A geo-clustering approach. IEEE Transactions on Network and Service Management 15, 787-796.",journal_article,Mobile edge computing resources optimization: A geo-clustering approach,"Bouet, M. | Conan, V.",2018,IEEE Transactions on Network and Service Management,15,,787-796,,,,,,,verified,1.0,Mobile Edge Computing Resources Optimization: A Geo-Clustering Approach,Mathieu Bouet | Vania Conan,IEEE Transactions on Network and Service Management,10.1109/tnsm.2018.2816263,https://doi.org/10.1109/tnsm.2018.2816263,crossref_title_static,Verified via static CrossRef title search (score: 1.00),29.73,0,0,0,0.0,0.0,0.0
"Boyd, S.P., Vandenberghe, L., 2004. Convex Optimization. Cambridge University Press.",book,Convex Optimization,"Boyd, S.P. | Vandenberghe, L.",2004,,,,,,9780511804441,,Cambridge University Press,,,verified,1.0,Convex Optimization,Stephen Boyd | Lieven Vandenberghe,,10.1017/cbo9780511804441,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),30.0,0,0,0,0.0,0.0,0.0
"Burden, R., Faires, J., Burden, A., 2015. Numerical Analysis. Cengage Learning. URL: https://books.google.com/books?id=CMZjzgEACAAJ.",book,Numerical Analysis,"Burden, R. | Faires, J. | Burden, A.",2015,,,,,,9781305253667,,Cengage Learning,,,verified,0.84,Numerical Analysis,Richard L. Burden | J. Douglas Faires | Annette M. Burden,Cengage Learning,,,web_search,"The Google Books bibliographic page for 'Numerical Analysis' lists authors Richard L. Burden, J. Douglas Faires, and Annette M. Burden, with publisher Cengage Learning and year 2015. It also reports ISBNs 1305253663 / 9781305253667 and indicates the 10th edition.",205.31,31733,923,1,0.0075,0.01,0.0175
"Cardellini, V., Di Valerio, V., Presti, F.L., 2016. Game-theoretic resource pricing and provisioning strategies in cloud systems. IEEE Transactions on Services Computing 13, 86-98.",journal_article,Game-theoretic resource pricing and provisioning strategies in cloud systems,"Cardellini, V. | Di Valerio, V. | Presti, F.L.",2016,IEEE Transactions on Services Computing,13,,86-98,,,,,,,verified,0.9,*Game-Theoretic Resource Pricing and Provisioning Strategies in Cloud Systems* ([art.torvergata.it](https://art.torvergata.it/handle/2108/173080?utm_source=openai)),"Cardellini, Di Valerio, Lo Presti ([art.torvergata.it](https://art.torvergata.it/handle/2108/173080?utm_source=openai))",IEEE TRANSACTIONS ON SERVICES COMPUTING ([art.torvergata.it](https://art.torvergata.it/handle/2108/173080?utm_source=openai)),10.1109/TSC.2016.2633266,(torvergata repository record page) ([art.torvergata.it](https://art.torvergata.it/handle/2108/173080?utm_source=openai)),web_search,"Institutional repository record (torvergata / University of Rome Tor Vergata) matches cited title, author set (Cardellini, Di Valerio, Lo Presti / Presti), venue (IEEE Transactions on Services Computing), page range 86–98, and DOI 10.1109/TSC.2016.2633266; repository timing consistent with 2016 (shows 2016-11-01 and online ahead of print). DOI/IEEE Xplore pages could not be opened in this environment, but repository provides bibliographic confirmation.",209.64,35684,2041,3,0.009688,0.03,0.039688
"Chen, Y.J., Zhang, J., 2012. Design of price mechanisms for network resource allocation via price of anarchy. Mathematical programming 131, 333-364.",journal_article,Design of price mechanisms for network resource allocation via price of anarchy,"Chen, Y.J. | Zhang, J.",2012,Mathematical programming,131,,333-364,,,,,,,verified,0.94,Design of price mechanisms for network resource allocation via price of anarchy,Ying-Ju Chen | Jiawei Zhang,Mathematical Programming,10.1007/s10107-010-0379-1,https://link.springer.com/article/10.1007/s10107-010-0379-1?utm_source=openai,web_search,"Publisher record confirms title/authors/journal/volume/pages; the journal cites the article as Math. Program. 131, 333–364 (2012).",213.83,39614,1466,4,0.009755,0.04,0.049755
"Chi, Y., Li, X., Wang, X., Leung, V.C., Shami, A., 2015. A fairness-aware pricing methodology for revenue enhancement in service cloud infrastructure. IEEE Systems Journal 11, 1006-1017.",journal_article,A fairness-aware pricing methodology for revenue enhancement in service cloud infrastructure,"Chi, Y. | Li, X. | Wang, X. | Leung, V.C. | Shami, A.",2015,IEEE Systems Journal,11,,1006-1017,,,,,,,minor_error,0.83,“A Fairness-Aware Pricing Methodology for Revenue Enhancement in Service Cloud Infrastructure”,"Chi, Y. | Li, X. | Wang, X. | Leung, V.C. | Shami, A.",IEEE Systems Journal,,https://www.eng.uwo.ca/oc2/publications/thepublicationpdfs/O_A_Fairness-Aware_Pricing_Methodology_for_Revenue_Enhancement_in_Service_Cloud_Infrastructure.pdf?utm_source=openai,eng.uwo.ca,"The PDF states “IEEE SYSTEMS JOURNAL, VOL. 11, NO. 2, JUNE 2017” (i.e., the issue/year associated with volume 11 is 2017, not 2015). The citation’s year (2015) conflicts with the IEEE Systems Journal, Vol. 11, No. 2 (June 2017) print issue containing pages 1006–1017. The PDF also lists a “Date of publication July 13, 2015”, but the citation you provided uses Vol. 11, 1006–1017, which corresponds to the June 2017 issue; therefore, the year in your citation should align with the volume/issue year.",211.93,31379,1606,2,0.008283,0.02,0.028283
