raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] M. I. Katsnelson, Graphene: Carbon in Two Dimensions (Cam￾bridge University Press, Cambridge, 2012).",book,Graphene: Carbon in Two Dimensions,M. I. Katsnelson,2012,,,,,,,,Cambridge University Press,,,verified,1.0,Graphene: Carbon in Two Dimensions,Mikhail I. Katsnelson,,10.1017/cbo9781139031080,https://doi.org/10.1017/cbo9781139031080,crossref_title_static,Verified via static CrossRef title search (score: 1.00),20.36,0,0,0,0.0,0.0,0.0
"[2] L. Onsager, Phys. Rev. 65, 117 (1944).",journal_article,,L. Onsager,1944,Phys. Rev.,65,,117,,,,,,,verified,0.93,Crystal Statistics. I. A Two-Dimensional Model with an Order-Disorder Transition,L. Onsager,Physical Review (Phys. Rev.),,https://journals.aps.org/pr/abstract/10.1103/PhysRev.65.117?utm_source=openai,web_search,"Citation omits the article title and DOI, but the provided author/journal/volume/page/year match exactly.",126.27,26118,743,1,0.006152,0.01,0.016152
"[3] D. Stauffer and A. Aharony, Introduction to Percolation Theory, 2nd ed. (Taylor & Francis, London, 2018).",book,Introduction to Percolation Theory,D. Stauffer | A. Aharony,2018,,,,,,9781315274386,,Taylor & Francis,,,verified,1.0,Introduction To Percolation Theory,Dietrich Stauffer | Ammon Aharony,,10.1201/9781315274386,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),20.66,0,0,0,0.0,0.0,0.0
"[4] N. Madras and G. Slade, The Self-Avoiding Walk (Birkh¨auser, Boston, 2013).",book,The Self-Avoiding Walk,N. Madras | G. Slade,2013,,,,,,9781461241324,,Birkh¨auser,,,verified,1.0,The Self-Avoiding Walk,Neal Madras | Gordon Slade,,10.1007/978-1-4614-6025-1,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),21.05,0,0,0,0.0,0.0,0.0
"[5] K. G. Wilson, Phys. Rev. D 10, 2445 (1974).",journal_article,,K. G. Wilson,1974,Phys. Rev. D,10,,2445,,,,,,,verified,0.92,Confinement of quarks,Kenneth G. Wilson,Physical Review D,10.1103/PhysRevD.10.2445,https://cir.nii.ac.jp/crid/1361418521047034880?lang=en&utm_source=openai,web_search,"The cited Phys. Rev. D 10, 2445 (1974) record exists and matches the citation’s author, journal, volume, starting page, and year. Citation omits the article title (“Confinement of quarks”) and issue number; these omissions do not make the citation incorrect.",140.04,40339,2196,4,0.010813,0.04,0.050813
"[6] M. Gardner, Sci. Am. 223(4), 120 (1970).",journal_article,,M. Gardner,1970,Sci. Am.,223,4,120,,,,,,,verified,0.95,Mathematical Games,Martin Gardner,Scientific American,10.1038/scientificamerican1070-120,https://www.scientificamerican.com/article/mathematical-games-1970-10/,web_search,"The citation [6] matches a real Scientific American article by Martin Gardner: “Mathematical Games,” published in Scientific American Magazine Vol. 223 No. 4 (October 1970), p. 120, DOI: 10.1038/scientificamerican1070-120. The provided page (120) matches the article’s starting page; the article runs 120–123.",126.95,30556,819,1,0.007135,0.01,0.017135
"[7] For a recent review: K. Vinck et al., Rev. Mod. Phys. 95, 045003 (2023).",journal_article,,K. Vinck,2023,Rev. Mod. Phys.,95,,45003,,,,,,,minor_error,0.9,Light in correlated disordered media,,Reviews of Modern Physics,10.1103/RevModPhys.95.045003,https://ilm-perso.univ-lyon1.fr/~kvynck/publications/Vynck_RevModPhys_2023.pdf,web_search,"The cited work at Rev. Mod. Phys. 95, 045003 (2023) exists (DOI 10.1103/RevModPhys.95.045003). However the citation’s author surname 'Vinck' appears misspelled relative to 'Vynck' shown on the article PDF.",129.48,39375,1583,1,0.009854,0.01,0.019854
"[8] For a review: S. Yanchuk and G. Giacomelli, Journal of Physics A: Mathematical and Theoretical 50, 103001 (2017).",journal_article,,S. Yanchuk | G. Giacomelli,2017,Journal of Physics A: Mathematical and Theoretical,50,,103001,,,,,,,verified,0.88,Spatio-temporal phenomena in complex systems with time delays,Serhiy Yanchuk | Giovanni Giacomelli,Journal of Physics A: Mathematical and Theoretical,10.1088/1751-8121/50/10/103001,https://research.ucc.ie/en/publications/spatio-temporal-phenomena-in-complex-systems-with-time-delays/,web_search,"Primary identity match via DOI metadata: Journal of Physics A: Mathematical and Theoretical, Vol. 50, Article 103001; authors Yanchuk & Giacomelli; DOI 10.1088/1751-8121/50/10/103001; record shows review article titled “Spatio-temporal phenomena in complex systems with time delays” (published online 2017-02-06). The provided citation did not include a title for mismatch checking.",129.3,35647,1738,3,0.009302,0.03,0.039302
"[9] S.A. Campbell, Time delay in neural systems Handbook of brain connectivity, V Jirsa, A. McIntosh, Springer 2007, 65-90.",book_chapter,Time delay in neural systems,S.A. Campbell,2007,,,,65-90,,,Handbook of brain connectivity,Springer,,,verified,0.9894736842105263,Time Delays in Neural Systems,Sue Ann Campbell,Understanding Complex Systems,10.1007/978-3-540-71512-2_2,https://doi.org/10.1007/978-3-540-71512-2_2,crossref_title_static,Verified via static CrossRef title search (score: 0.99),28.39,0,0,0,0.0,0.0,0.0
"[10] J. D. Farmer, Physica D: Nonlinear Phenomena 4, 366 (1982).",journal_article,,J. D. Farmer,1982,Physica D: Nonlinear Phenomena,4,,366,,,,,,,verified,0.86,Chaotic attractors of an infinite-dimensional dynamical system,J. Doyne Farmer (JD Farmer),Physica D: Nonlinear Phenomena,10.1016/0167-2789(82)90042-2,https://www.sciencedirect.com/science/article/pii/0167278982900422?utm_source=openai,web_search,"The citation omits the article title and DOI, but the provided author/journal/volume/starting page/year match a real Elsevier-published Physica D article. ScienceDirect lists volume 4, issue 3, pages 366–393, author J. Doyne Farmer, DOI 10.1016/0167-2789(82)90042-2.",130.0,35098,1463,3,0.008848,0.03,0.038848
