raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,minor_error,0.93,Use research on Claude,Anthropic,Claude Help Center / Claude Support,,https://support.claude.com/en/articles/11088861-using-research-on-claude,web_search,"Main issue is the citation’s “No date” statement conflicting with the article’s posted date (June 2, 2026).",135.41,23833,1059,0,0.00609,0.0,0.00609
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),34.44,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,9783849513375,,Yale University Press,,,verified,0.9,The Public Domain: Enclosing the Commons of the Mind,James Boyle,Yale University Press,,,web_search,"The Yale University Press book page lists the title “The Public Domain: Enclosing the Commons of the Mind” by James Boyle and shows a paperback publication date of Tuesday, 26 Jan 2010, matching the citation’s author/title/publisher/year.",138.53,27391,663,1,0.006307,0.01,0.016307
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,0.92,CC Licenses,Creative Commons,Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,web_search,"The URL resolves (via redirect) to the Creative Commons page for CC licenses (page heading shown as “CC Licenses”). It is an undated web resource describing the CC license types, consistent with the cited title and author/org.",145.56,25377,497,0,0.005697,0.0,0.005697
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,not_found,0.62,,,,,,web_search,"X URL could not be accessed for primary verification (no readable content returned). Secondary appearances (e.g., PubPub) list the same X citation but do not independently verify the tweet’s author/title/date.",146.22,30918,1021,2,0.00746,0.02,0.02746
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,minor_error,0.84,Consortium · CrimRxiv,CrimConsortium,CrimRxiv (webpage),,https://www.crimrxiv.com/consortium,web_search,"The cited URL resolves successfully to the CrimRxiv “Consortium” page. However, the page’s visible heading/branding is “CrimConsortium” (not “CrimRxiv Consortium”), so the bibliography’s author/title wording appears to be a name/label variation rather than an exact match. The page loads and is reachable (not dead). ([crimrxiv.com](https://www.crimrxiv.com/consortium))",141.1,26615,816,0,0.006343,0.0,0.006343
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,0.93,CrimRxiv,CrimRxiv,CrimRxiv (website),,https://www.crimrxiv.com/,,"Opened the cited URL (which redirects from https://crimrxiv.com to https://www.crimrxiv.com/). The landing page is for CrimRxiv and states it is a global open-access hub/repository for criminology (“Welcome to CrimRxiv … Criminology’s global open-access hub and repository”). The page does not present a single explicit publication date for the site itself, so the citation’s “No date” is plausible. The citation’s author token “CrimRxiv” matches the site name/branding on the page.",141.32,26630,710,0,0.006214,0.0,0.006214
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,0.9,European Network for Open Criminology,,,,https://esc-enoc.github.io/,web_search,"Opened https://esc-enoc.github.io/ and confirmed it is a live webpage titled “European Network for Open Criminology” and is the organization’s website. The citation’s “No date” is consistent with the page not presenting a single publication date on the homepage portion; “Retrieved April 6, 2026” is treated as an access-date claim.",143.71,22642,576,0,0.005248,0.0,0.005248
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,0.86,Gemini Deep Research,,Gemini (Google),,https://gemini.google/gb/overview/deep-research,web_search,"The URL in the citation resolves and loads a page titled “Gemini Deep Research” (“Gemini Deep Research – your personal research assistant”). (https://gemini.google/gb/overview/deep-research) The page content supports the existence of the cited web resource; the specific “Retrieved January 8, 2026” date is not verifiable from the page itself, but that does not affect identity/existence of the web resource.",155.27,31589,661,0,0.007144,0.0,0.007144
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,minor_error,0.86,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,Scott Jaques | Andrew Wheeler,"Qualitative Criminology (QC) (Vol. 15, No. 2)",,https://dc.swosu.edu/qc/vol15/iss2/4/,web_search,"Reason (named, high-certainty issues): 1. Year mismatch: your cite says 2025, but the publisher record for Vol. 15 No. 2 is 2026. 2. Author spelling mismatch: “Jacques” vs “Jaques.” 3. DOI resolution failure: the DOI 10.21428/88de04a1.29bd3039 returns 404. Matched bibliographic fields (from primary publisher page): matched_title: A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates; matched_venue: Qualitative Criminology (QC) (Vol. 15, No. 2); matched_authors: Scott Jaques; Andrew Wheeler; matched_year: 2026; source_url: https://dc.swosu.edu/qc/vol15/iss2/4/.",188.58,29840,1961,1,0.008419,0.01,0.018419
