raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,0.9,There was a country : a personal history of Biafra,Chinua Achebe,Penguin Press,,,web_search,"The Free Library of Philadelphia catalog record lists the book as: “There was a country : a personal history of Biafra” by Chinua Achebe, published in New York by “Penguin Press” in 2012 (also includes ISBN 9781594204821). ([catalog.freelibrary.org](https://catalog.freelibrary.org/Record/1863405))",90.89,44810,1274,3,0.010555,0.03,0.040555
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),14.72,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,minor_error,0.84,Restorative Community Justice: Repairing Harm and Transforming Communities,Gordon Bazemore; Mara Schiff,Anderson Publishing,,,web_search,"Year mismatch: cited 2011, but the work states “First published 2001 by Anderson Publishing.” ([api.pageplace.de](https://api.pageplace.de/preview/DT0400.9781317521716_A24841825/preview-9781317521716_A24841825.pdf))",92.11,36009,1272,2,0.008792,0.02,0.028792
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,9781280473579,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),15.47,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,0.86,THE CONSTITUTION OF KENYA,Constitution of Kenya,Kenya Law (Laws of Kenya / kenyalaw.org AKN source PDF),,https://new.kenyalaw.org/akn/ke/act/2010/constitution/eng%402010-09-03/source,web_search,"The provided citation’s wording (“Kenya constitution 2010”, publisher “Republic of Kenya”) is consistent with the official 2010 Constitution text hosted by Kenya Law; the primary PDF identifies the document as the Constitution of Kenya and shows it as legislation as at 3 September 2010.",91.83,30713,1031,1,0.007431,0.01,0.017431
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,0.9,Peacemaking Criminology,Kimberly D. Dodson,In The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,,web_search,"Wiley Online Library lists a chapter titled ""Peacemaking Criminology"" by Kimberly D. Dodson, in The Encyclopedia of Theoretical Criminology, first published 26 March 2014, with DOI 10.1002/9781118517390.wbetc207. Your citation matches the cited chapter title, author, and year. (Your entry omits the encyclopedia editor name and specifies pp. 1–4, which I could not independently confirm from the accessible source, but those omissions/differences do not affect the existence/identity of the work.)",92.16,30695,1153,2,0.00758,0.02,0.02758
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0205165575,,Allyn and Bacon,,,not_found,0.78,,,,,,web_search,"I could not locate a primary bibliographic record that confirms this exact book (title + author + 1998 + Allyn and Bacon) and the cited ISBN 0-205-16557-5. The cited ISBN 0205165575 appears to correspond to a different book (Integrating Criminologies by Gregg Barak), creating a strong coordinate/identifier conflict. ([books.google.com](https://books.google.com/books/about/Integrating_Criminologies.html?id=kMlzvH-cv3wC&utm_source=openai))",239.6,56149,2673,8,0.014571,0.08,0.094571
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,9781315130620,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,0.78,"“Peacemaking Criminology: Past, Present, and Future”",John Randolph Fuller | John F. Wozniak,_Taking stock: the status of criminological theory_ (Advances in criminological theory; v.15),,,web_search,DOI/URL appears to function as the parent volume identifier for this chapter cite; the chapter identity (title/authors/chapter location) is confirmed.,115.31,40633,2071,2,0.010715,0.02,0.030715
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,minor_error,0.86,"Complementarity in Crisis: Uganda, Alternative Justice, and the International Criminal Court",Alexander K.A. Greenawalt,Virginia Journal of International Law,,https://digitalcommons.pace.edu/lawfaculty/627/,web_search,"Primary evidence confirms the work and basic bibliographic details. Pace Digital Commons lists the article as “Complementarity in Crisis: Uganda, Alternative Justice, and the International Criminal Court” by Alexander K.A. Greenawalt, with the recommended citation “50 Va. J. Int'l L. 107 (2009)” and links to the item page. ([digitalcommons.pace.edu](https://digitalcommons.pace.edu/lawfaculty/627/)) The Virginia Journal of International Law site’s print archive shows that the article is in Volume 50, Issue 1. ([vjil.org](https://www.vjil.org/printarchive?utm_source=openai)) However, the submitted bibliography formats the URL as a DOI (""doi:http://digitalcommons.pace.edu/lawfaculty/627""); this is not a DOI identifier. Thus, the work exists as cited, but the DOI/identifier labeling is incorrect.",97.23,32628,1390,2,0.008263,0.02,0.028263
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,0.8,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement is Re-Shaping Our Legal System",Deborah R. Hensler,"Penn State Law Review (2003 - Present): Vol. 108: Iss. 1, Article 12",,https://insight.dickinsonlaw.psu.edu/pslr/vol108/iss1/12/,web_search,"The cited URL in the provided reference (…/vol122/iss1/28) resolves to a different repository entry with a 2017 recommended citation (122 Dick. L. Rev. 349). ([ideas.dickinsonlaw.psu.edu](https://ideas.dickinsonlaw.psu.edu/dlr/vol122/iss1/28/))
I could not access the PDF content due to a 403 error, so I could not directly verify the claimed page range (165–197) from the full text. ([]())",95.08,33804,1958,1,0.009208,0.01,0.019208
