raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Akbaritabar, A., Dańko, M. J., Zhao, X., & Zagheni, E. (2025). Global subnational estimates of migration of scientists reveal large disparities in internal and international flows. Proceedings of the National Academy of Sciences of the United States of America, 122(15), e2424521122. https://doi.org/10.1073/pnas.2424521122",journal_article,Global subnational estimates of migration of scientists reveal large disparities in internal and international flows,"Akbaritabar, A. | Dańko, M. J. | Zhao, X. | Zagheni, E.",2025,Proceedings of the National Academy of Sciences of the United States of America,122,15,e2424521122,10.1073/pnas.2424521122,,,,,,verified,1.0,Global subnational estimates of migration of scientists reveal large disparities in internal and international flows,Aliakbar Akbaritabar | Maciej J. Dańko | Xinyi Zhao | Emilio Zagheni,Proceedings of the National Academy of Sciences,10.1073/pnas.2424521122,https://doi.org/10.1073/pnas.2424521122,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),46.19,0,0,0,0.0,0.0,0.0
"Akbaritabar, A., Theile, T., & Zagheni, E. (2024). Bilateral flows and rates of international migration of scholars for 210 countries for the period 1998-2020. Scientific Data, 11(1), 816. https://doi.org/10.1038/s41597-024-03655-9",journal_article,Bilateral flows and rates of international migration of scholars for 210 countries for the period 1998-2020,"Akbaritabar, A. | Theile, T. | Zagheni, E.",2024,Scientific Data,11,1,816,10.1038/s41597-024-03655-9,,,,,,verified,1.0,Bilateral flows and rates of international migration of scholars for 210 countries for the period 1998-2020,Aliakbar Akbaritabar | Tom Theile | Emilio Zagheni,Scientific Data,10.1038/s41597-024-03655-9,https://doi.org/10.1038/s41597-024-03655-9,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),46.51,0,0,0,0.0,0.0,0.0
"Alperin, J. P., Portenoy, J., Demes, K., Larivière, V., & Haustein, S. (2024). An analysis of the suitability of OpenAlex for bibliometric analyses. arXiv. https://doi.org/10.48550/arXiv.2404.17663",working_paper,An analysis of the suitability of OpenAlex for bibliometric analyses,"Alperin, J. P. | Portenoy, J. | Demes, K. | Larivière, V. | Haustein, S.",2024,arXiv,,2404.17663,,10.48550/arXiv.2404.17663,,,,,,verified,0.95,An analysis of the suitability of OpenAlex for bibliometric analyses,Juan Pablo Alperin | Jason Portenoy | Kyle Demes | Vincent Larivière | Stefanie Haustein,arXiv,10.48550/arXiv.2404.17663,https://arxiv.org/abs/2404.17663,arxiv_static,Verified via arXiv id 2404.17663.,98.63,0,0,0,0.0,0.0,0.0
"Chinchilla-Rodríguez, Z., Miao, L., Murray, D., Robinson-García, N., Costas, R., & Sugimoto, C. R. (2018). A global comparison of scientific mobility and collaboration according to national scientific capacities. Frontiers in Research Metrics and Analytics, 3, 17. https://doi.org/10.3389/frma.2018.00017",journal_article,A global comparison of scientific mobility and collaboration according to national scientific capacities,"Chinchilla-Rodríguez, Z. | Miao, L. | Murray, D. | Robinson-García, N. | Costas, R. | Sugimoto, C. R.",2018,Frontiers in Research Metrics and Analytics,3,,17,10.3389/frma.2018.00017,,,,,,verified,1.0,A Global Comparison of Scientific Mobility and Collaboration According to National Scientific Capacities,Zaida Chinchilla-Rodríguez | Lili Miao | Dakota Murray | Nicolás Robinson-García | Rodrigo Costas | Cassidy R. Sugimoto,Frontiers in Research Metrics and Analytics,10.3389/frma.2018.00017,https://doi.org/10.3389/frma.2018.00017,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),47.18,0,0,0,0.0,0.0,0.0
"Culbert, J. H., Hobert, A., Jahn, N., Haupka, N., Schmidt, M., Donner, P., & Mayr, P. (2025). Reference coverage analysis of OpenAlex compared to Web of Science and Scopus. Scientometrics, 130(4), 2475-2492. https://doi.org/10.1007/s11192-025-05293-3",journal_article,Reference coverage analysis of OpenAlex compared to Web of Science and Scopus,"Culbert, J. H. | Hobert, A. | Jahn, N. | Haupka, N. | Schmidt, M. | Donner, P. | Mayr, P.",2025,Scientometrics,130,4,2475-2492,10.1007/s11192-025-05293-3,,,,,,verified,1.0,Reference coverage analysis of OpenAlex compared to Web of Science and Scopus,Jack H. Culbert | Anne Hobert | Najko Jahn | Nick Haupka | Marion Schmidt | Paul Donner | Philipp Mayr,Scientometrics,10.1007/s11192-025-05293-3,https://doi.org/10.1007/s11192-025-05293-3,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),47.52,0,0,0,0.0,0.0,0.0
"Donner, P. (2024). Data inaccuracy quantification and uncertainty propagation for bibliometric indicators. Research Evaluation, 33, rvae047. https://doi.org/10.1093/reseval/rvae047",journal_article,Data inaccuracy quantification and uncertainty propagation for bibliometric indicators,"Donner, P.",2024,Research Evaluation,33,,rvae047,10.1093/reseval/rvae047,,,,,,verified,1.0,Data inaccuracy quantification and uncertainty propagation for bibliometric indicators,Paul Donner,Research Evaluation,10.1093/reseval/rvae047,https://doi.org/10.1093/reseval/rvae047,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),47.84,0,0,0,0.0,0.0,0.0
"Donner, P., Rimmert, C., & van Eck, N. J. (2020). Comparing institutional-level bibliometric research performance indicator values based on different affiliation disambiguation systems. Quantitative Science Studies, 1(1), 150-170. https://doi.org/10.1162/qss_a_00013",journal_article,Comparing institutional-level bibliometric research performance indicator values based on different affiliation disambiguation systems,"Donner, P. | Rimmert, C. | van Eck, N. J.",2020,Quantitative Science Studies,1,1,150-170,10.1162/qss_a_00013,,,,,,verified,1.0,Comparing institutional-level bibliometric research performance indicator values based on different affiliation disambiguation systems,Paul Donner | Christine Rimmert | Nees Jan van Eck,Quantitative Science Studies,10.1162/qss_a_00013,https://doi.org/10.1162/qss_a_00013,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),48.17,0,0,0,0.0,0.0,0.0
"D’Angelo, C. A., & van Eck, N. J. (2020). Collecting large-scale publication data at the level of individual researchers: A practical proposal for author name disambiguation. Scientometrics, 123(2), 883-907. https://doi.org/10.1007/s11192-020-03410-y",journal_article,Collecting large-scale publication data at the level of individual researchers: A practical proposal for author name disambiguation,"D’Angelo, C. A. | van Eck, N. J.",2020,Scientometrics,123,2,883-907,10.1007/s11192-020-03410-y,,,,,,verified,1.0,Collecting large-scale publication data at the level of individual researchers: a practical proposal for author name disambiguation,Ciriaco Andrea D’Angelo | Nees Jan van Eck,Scientometrics,10.1007/s11192-020-03410-y,https://doi.org/10.1007/s11192-020-03410-y,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),48.51,0,0,0,0.0,0.0,0.0
"Edler, J., Fier, H., & Grimpe, C. (2011). International scientist mobility and the locus of knowledge and technology transfer. Research Policy, 40(6), 791-805. https://doi.org/10.1016/j.respol.2011.03.003",journal_article,International scientist mobility and the locus of knowledge and technology transfer,"Edler, J. | Fier, H. | Grimpe, C.",2011,Research Policy,40,6,791-805,10.1016/j.respol.2011.03.003,,,,,,verified,1.0,International scientist mobility and the locus of knowledge and technology transfer,Jakob Edler | Heide Fier | Christoph Grimpe,Research Policy,10.1016/j.respol.2011.03.003,https://doi.org/10.1016/j.respol.2011.03.003,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),48.85,0,0,0,0.0,0.0,0.0
"Elsevier. (2023). Elsevier Scopus APIs: Getting started guide (version 1). Elsevier. Retrieved August 2025, from https://dev.elsevier.com/guides/Scopus",web,Elsevier Scopus APIs: Getting started guide (version 1),Elsevier,2023,,,,,,,,Elsevier,https://dev.elsevier.com/guides/Scopus,,minor_error,0.84,Elsevier Scopus APIs Getting Started Guide Version 1,,Elsevier (R&D Solutions USER GUIDE PDF),,https://dev.elsevier.com/guides/Scopus%20API%20Guide_V1_20230907.pdf,web_search,"The cited retrieval URL https://dev.elsevier.com/guides/Scopus returns 404 Not Found. A Version 1 guide exists on Elsevier as a PDF titled “Elsevier Scopus APIs Getting Started Guide Version 1” with Version history showing “1 September 2023 – Initial publication.” Therefore the underlying resource appears correct, but the specific cited URL is dead/incorrect.",113.1,29414,1207,1,0.007392,0.01,0.017392
