document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,67,1,4,1,0,0,282.19,94.84,282.19,235.9,6923.53,1112837,41438,1154275,42,0.274369,0.42,0.694368
1_perspective_PLOSWater_preview,67,51,1,13,2,0,0,300.2,164.11,300.2,274.2,10995.16,1488538,53500,1542038,54,0.364586,0.54,0.904586
23812_Unmasking_Puppeteers_Lev,72,65,0,7,0,0,0,310.07,64.48,310.07,152.55,4642.5,173008,7063,180071,10,0.043431,0.1,0.14343
24047_Fourier_Token_Merging_Un,32,24,1,2,5,0,0,301.47,128.28,301.47,249.3,4104.96,373842,13326,387168,18,0.091426,0.18,0.271426
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,96,2,6,0,0,0,294.31,116.93,294.31,266.87,12160.82,1119766,45282,1165048,57,0.280557,0.57,0.850558
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,141,6,7,2,0,0,379.53,78.02,379.53,244.59,12170.41,1221949,43572,1265521,65,0.298854,0.65,0.948854
2606.11565v1,38,16,5,5,12,0,0,725.08,186.9,725.08,260.17,7102.29,1003984,40602,1044586,67,0.251549,0.67,0.92155
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,30,1,4,1,0,0,281.1,85.89,281.1,248.26,3091.99,180433,8051,188484,8,0.04615,0.08,0.12615
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,59,1,15,0,0,0,256.35,88.33,256.35,238.59,6624.97,847675,30900,878575,42,0.208159,0.42,0.628159
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,2,1,2,0,0,249.49,102.8,249.49,240.47,3597.99,409334,14104,423438,30,0.099498,0.3,0.399498
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,67,1,7,1,0,0,275.31,108.99,275.31,233.87,8283.13,460676,18549,479225,25,0.115322,0.25,0.365322
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,129.88,35.38,129.88,99.47,2689.17,371593,15858,387451,16,0.094141,0.16,0.254141
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,30,1,0,1,0,0,199.53,72.8,199.53,193.34,2329.61,442940,17955,460895,25,0.111032,0.25,0.361033
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,48,1,2,1,0,0,187.96,33.72,187.96,169.49,1753.63,200708,8790,209498,14,0.051129,0.14,0.191129
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,2,7,0,0,229.44,99.57,229.44,178.6,2290.0,146048,4859,150907,5,0.035283,0.05,0.085283
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,26,1,2,2,0,0,239.15,128.56,239.15,182.99,3985.41,1005715,41068,1046783,82,0.252478,0.82,1.072478
AndyW_Dissertation_Limit,271,244,6,20,1,0,0,268.47,85.52,268.47,220.25,23175.06,2498615,93775,2592390,139,0.616942,1.39,2.006943
BD_money_in_bank_preprint,85,75,3,7,0,0,0,261.01,104.79,261.01,238.78,8907.14,1163341,42666,1206007,72,0.286003,0.72,1.006003
Cannabis_in_the_Capital__Manuscript,52,40,5,7,0,0,0,271.95,112.81,271.95,225.48,5866.04,665366,22393,687759,31,0.161064,0.31,0.471063
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,5,1,1,0,0,246.03,149.17,246.03,242.43,3579.98,540725,19471,560196,44,0.132485,0.44,0.572485
Fingerprint_Ridges,38,36,0,2,0,0,0,298.04,124.53,298.04,251.96,4732.26,393125,13454,406579,16,0.095443,0.16,0.255443
GenAI_CrimEvidence,33,27,3,3,0,0,0,188.58,95.91,188.58,155.05,3164.94,528941,17365,546306,11,0.127495,0.11,0.237495
Gunshot_Detection_Literature_Review_Expanded,12,0,10,0,2,0,0,215.22,163.68,215.22,215.0,1964.16,404898,11019,415917,32,0.094755,0.32,0.414754
PredictionMarkets,49,0,49,0,0,0,0,95.33,74.94,95.33,94.05,3672.09,1208823,26024,1234847,2,0.274293,0.02,0.294293
Preprint - The AI Criminal Mastermind - Paper,85,62,6,13,4,0,0,337.67,125.78,337.67,305.0,10691.45,1843005,65696,1908701,81,0.450721,0.81,1.260721
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,19,3,10,0,0,0,259.45,97.16,259.45,239.6,3109.07,729123,28887,758010,38,0.181933,0.38,0.561933
affiliation_errors_openalex,34,31,0,3,0,0,0,113.1,64.45,113.1,108.83,2191.44,114699,4741,119440,3,0.028867,0.03,0.058867
algorithms-19-00509,52,49,0,2,1,0,0,282.97,80.4,282.97,236.47,4181.02,556179,22744,578923,31,0.139665,0.31,0.449665
hall_next_research,84,35,20,15,14,0,0,828.84,225.57,828.84,376.25,18947.68,2366830,91557,2458387,197,0.587812,1.97,2.557812
journal.pone.0325168,115,103,1,10,1,0,0,352.19,122.25,352.19,297.43,14058.43,994332,37497,1031829,65,0.245736,0.65,0.895736
journal.pone.0334595,43,37,0,6,0,0,0,304.58,119.04,304.58,292.44,5118.73,253396,10252,263648,13,0.063493,0.13,0.193494
journal.pone.0345850,91,66,5,4,16,0,0,529.7,196.38,529.7,361.92,17870.61,1725180,65584,1790764,118,0.427017,1.18,1.607016
journal.pone.0349889,91,79,1,11,0,0,0,150.23,22.5,94.59,67.71,2047.54,893402,32366,925768,32,0.219138,0.32,0.539137
journal.pone.0352338,43,37,1,3,2,0,0,255.88,142.75,255.88,251.2,6138.37,609726,25531,635257,37,0.153859,0.37,0.523858
preprint-61779311834433-61779357373981,42,38,1,3,0,0,0,80.04,16.37,76.1,46.71,687.53,357691,12438,370129,16,0.087087,0.16,0.247087
s12889-026-27943-8_reference,34,24,2,4,4,0,0,146.09,113.78,145.96,139.52,3868.69,1063293,42404,1105697,69,0.265662,0.69,0.955662
