raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] W. Busza, K. Rajagopal, and W. van der Schee, Heavy Ion Collisions: The Big Picture, and the Big Questions, Ann. Rev. Nucl. Part. Sci. 68, 339 (2018), arXiv:1802.04801 [hep-ph].",journal_article,"Heavy Ion Collisions: The Big Picture, and the Big Questions",W. Busza | K. Rajagopal | W. van der Schee,2018,Ann. Rev. Nucl. Part. Sci.,68,,339,,,,,,,verified,1.0,Heavy Ion Collisions: The Big Picture and the Big Questions,Wit Busza | Krishna Rajagopal | Wilke van der Schee,Annual Review of Nuclear and Particle Science,10.1146/annurev-nucl-101917-020852,https://doi.org/10.1146/annurev-nucl-101917-020852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),21.78,0,0,0,0.0,0.0,0.0
"[2] S. Borsanyi, Z. Fodor, J. N. Guenther, S. K. Katz, K. K. Szabo, A. Pasztor, I. Portillo, and C. Ratti, Higher order fluctuations and correlations of conserved charges from lattice QCD, JHEP 10, 205, arXiv:1805.04445 [hep-lat].",journal_article,Higher order fluctuations and correlations of conserved charges from lattice QCD,S. Borsanyi | Z. Fodor | J. N. Guenther | S. K. Katz | K. K. Szabo | A. Pasztor | I. Portillo | C. Ratti,,JHEP,10,,205,,,,,,,verified,0.95,Higher order fluctuations and correlations of conserved charges from lattice QCD,Szabolcs Borsanyi | Zoltan Fodor | Jana N. Guenther | Sandor K. Katz | Attila Pasztor | Israel Portillo | Claudia Ratti | K. K. Szabó,Journal of High Energy Physics,10.1007/jhep10(2018)205,https://doi.org/10.1007/jhep10(2018)205,crossref_title_static,Verified via static CrossRef title search (score: 0.95),21.89,0,0,0,0.0,0.0,0.0
"[3] A. Bazavov et al. (HotQCD), Chiral crossover in QCD at zero and non-zero chemical potentials, Phys. Lett. B 795, 15 (2019), arXiv:1812.08235 [hep-lat].",journal_article,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | HotQCD,2019,Phys. Lett. B,795,,15,,,,,,,verified,0.99,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | H.-T. Ding | P. Hegde | O. Kaczmarek | F. Karsch | N. Karthik | E. Laermann | Anirban Lahiri | R. Larsen | S.-T. Li | Swagato Mukherjee | H. Ohno | P. Petreczky | H. Sandmeyer | C. Schmidt | S. Sharma | P. Steinbrecher,Physics Letters B,10.1016/j.physletb.2019.05.013,https://doi.org/10.1016/j.physletb.2019.05.013,crossref_title_static,Verified via static CrossRef title search (score: 0.99),22.08,0,0,0,0.0,0.0,0.0
"[4] A. Andronic, P. Braun-Munzinger, K. Redlich, J. Stachel, et al., Decoding the phase structure of QCD via particle production at high energy, Nature 561, 321 (2018), arXiv:1710.09425 [nucl-th].",journal_article,Decoding the phase structure of QCD via particle production at high energy,A. Andronic | P. Braun-Munzinger | K. Redlich | J. Stachel,2018,Nature,561,,321,,,,,,,verified,1.0,Decoding the phase structure of QCD via particle production at high energy,Anton Andronic | Peter Braun-Munzinger | Krzysztof Redlich | Johanna Stachel,Nature,10.1038/s41586-018-0491-6,https://doi.org/10.1038/s41586-018-0491-6,crossref_title_static,Verified via static CrossRef title search (score: 1.00),22.5,0,0,0,0.0,0.0,0.0
"[5] J. Adam et al. (ALICE), Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV, Phys. Lett. B 754, 235 (2016), arXiv:1509.07324 [nucl-ex].",journal_article,Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV,J. Adam | ALICE,2016,Phys. Lett. B,754,,235,,,,,,,verified,0.9,Direct photon production in Pb–Pb collisions at sNN=2.76 TeV,ALICE Collaboration,Physics Letters B,10.1016/j.physletb.2016.01.020,https://research-portal.uu.nl/en/publications/direct-photon-production-in-pbpb-collisions-at-snn276tev/,web_search,"The work titled “Direct photon production in Pb–Pb collisions at sNN=2.76 TeV” exists in Physics Letters B, volume 754, pages 235–248 (published 2016), and the DOI 10.1016/j.physletb.2016.01.020 is listed on the Utrecht University research portal. The arXiv preprint 1509.07324 has the same title and is authored by “ALICE Collaboration,” consistent with the citation’s “J. Adam et al. (ALICE)” style used for ALICE Collaboration papers. The citation’s page pinpoint “235” is consistent with the article starting page 235.",145.21,37891,1564,1,0.009533,0.01,0.019533
"[6] G. David, Direct real photons in relativistic heavy ion collisions, Rept. Prog. Phys. 83, 046301 (2020), arXiv:1907.08893 [nucl-ex].",journal_article,Direct real photons in relativistic heavy ion collisions,G. David,2020,Rept. Prog. Phys.,83,,46301,,,,,,,verified,1.0,Direct real photons in relativistic heavy ion collisions,Gabor David,Reports on Progress in Physics,10.1088/1361-6633/ab6f57,https://doi.org/10.1088/1361-6633/ab6f57,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.21,0,0,0,0.0,0.0,0.0
"[7] A. Mazeliauskas and V. Vislavicius, Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions, Phys. Rev. C 101, 014910 (2020), arXiv:1907.11059 [hep-ph].",journal_article,"Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions",A. Mazeliauskas | V. Vislavicius,2020,Phys. Rev. C,101,,14910,,,,,,,verified,0.983177570093458,"Temperature and fluid velocity on the freeze-out surface from π, K, and p spectra in p p, p -Pb, and Pb-Pb collisions",Aleksas Mazeliauskas | Vytautas Vislavicius,Physical Review C,10.1103/physrevc.101.014910,https://doi.org/10.1103/physrevc.101.014910,crossref_title_static,Verified via static CrossRef title search (score: 0.98),23.46,0,0,0,0.0,0.0,0.0
"[8] M. M. Aggarwal et al. (WA98), Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions, Phys. Rev. Lett. 85, 3595 (2000), arXiv:nucl-ex/0006008.",journal_article,Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions,M. M. Aggarwal | WA98,2000,Phys. Rev. Lett.,85,,3595,,,,,,,verified,0.9,Observation of direct photons in central 158A GeV Pb-208+Pb-208 collisions,WA98 Collaboration | M. M. Aggarwal,Physical Review Letters,,,web_search,"The citation omits the PRL page range end (3599) and the DOI (10.1103/PhysRevLett.85.3595), but those are not required for verification given the matching title/authors/PRL volume and starting page.",135.94,35366,1487,3,0.008932,0.03,0.038932
"[9] R. Albrecht et al. (WA80), Production of π0, η and direct photons in O+Au collisions at 200A GeV, Phys. Rev. C 44, 2736 (1991).",journal_article,"Production of π0, η and direct photons in O+Au collisions at 200A GeV",R. Albrecht | WA80,1991,Phys. Rev. C,44,,2736,,,,,,,hallucination,0.86,Distributions of transverse energy and forward energy in 16O and induced 32S heavy ion collisions at 60A and 200A GeV,,Phys. Rev. C 44,,https://repository.gsi.de/record/51510,web_search,"Phys. Rev. C 44, 2736 (1991) is titled “Distributions of transverse energy and forward energy in 16O and induced 32S heavy ion collisions at 60A and 200A GeV,” not the cited π0/η/direct-photon production in O+Au. Exact coordinates resolve to an unrelated title.",137.65,41194,1773,4,0.010455,0.04,0.050455
"[10] A. Adare et al. (PHENIX), Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature, Phys. Rev. Lett. 104, 132301 (2010), arXiv:0804.4168 [nucl-ex].",journal_article,Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature,A. Adare | PHENIX,2010,Phys. Rev. Lett.,104,,132301,,,,,,,verified,0.93,"The PHENIX Collaboration, A. Adare",A. Adare et al. (PHENIX Collaboration),Phys. Rev. Lett.,,https://arxiv.org/abs/0804.4168?utm_source=openai,web_search,"1. arXiv record for arXiv:0804.4168 confirms the exact title and PHENIX collaboration authorship pattern (“The PHENIX Collaboration, A. Adare”). 2. APS / Physical Review Letters issue TOC (Vol. 104, Issue 13) lists the article as “Enhanced Production of Direct Photons in Collisions at and Implications for the Initial Temperature” by A. Adare et al. (PHENIX Collaboration) with Phys. Rev. Lett. 104, 132301 (2010). Conclusion: all substantive bibliographic identity fields (title, authorship set, journal/volume, article number, year, arXiv linkage) are consistent with primary records.",146.14,35129,1321,3,0.008677,0.03,0.038677
