raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,0.78,,,,,,web_search,"Attempted to open the DOI landing page https://doi.org/10.1177/0887403421992907 and it returned 404 Not Found, so no publisher record could be verified. Upstream also found a different peer-reviewed ShotSpotter firearm homicides/arrests paper (Doucette et al., Journal of Urban Health, 2021) with a different DOI (10.1007/s11524-021-00515-4), suggesting metadata conflation/chimera.",275.82,52015,2420,7,0.013428,0.07,0.083428
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,not_found,0.74,,,,,,web_search,"The cited NIJ page URL could not be retrieved: the NIJ site returned HTTP 404 (Not Found) when I attempted to open it. I also did not find any primary NIJ record for an NIJ publication titled exactly “Acoustic Gunshot Detection: A Review of the Evidence” (National Institute of Justice, 2022) during web searching.",166.43,30506,972,3,0.007316,0.03,0.037316
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,0.78,"The effect of gunshot detection technology on evidence collection and case clearance in Kansas City, Missouri",Eric L. Piza | Rachael A. Arietti | Jeremy G. Carter | George O. Mohler,Journal of Experimental Criminology,10.1007/s11292-023-09594-6,https://link.springer.com/article/10.1007/s11292-023-09594-6,web_search,"The provided DOI (10.1007/s11292-023-09553-z) does not resolve on doi.org (404 Not Found when accessed). A closely related Journal of Experimental Criminology article by Eric L. Piza et al. exists with DOI 10.1007/s11292-023-09594-6, but its title is about evidence collection and case clearance in Kansas City—not 'Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation'. Because the cited DOI fails to resolve and no primary record was found matching the *exact* cited title/authors combination, the citation cannot be verified as stated.",223.99,43900,1702,4,0.010908,0.04,0.050908
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,0.2,,,,,,web_search,"Attempted to verify the cited document at `https://dallaspolice.net/Reports/shotspotter2015.pdf`, but the PDF could not be fetched (repeated timeouts: first attempt returned a fetch timeout error). No alternative primary page/PDF for “ShotSpotter Evaluation Report” (Dallas Police Department, 2015) could be retrieved from the Dallas Police Department site within the verification attempts. Per the rules, when the specific URL-primary document cannot be opened/retrieved, the entry should be `not_found` rather than `verified`.",161.17,27860,895,1,0.006691,0.01,0.016691
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,not_found,0.78,,,,,,web_search,The cited GovTech URL returned 404 (not found). ([]()),154.61,30086,602,2,0.00677,0.02,0.02677
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.7,,,,,,web_search,"The cited URL `https://www.kcmo.gov/Home/Components/News/News/2166/16` could not be fetched and returned HTTP 404 (Not Found), so the specific referenced webpage/document cannot be verified as existing at that location.",156.88,30408,690,2,0.006944,0.02,0.026944
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.9,,,,,,web_search,Tried to open the cited Vera page directly (https://www.vera.org/publications/emerging-police-technologies); it returned 404 Not Found. Also searched Vera’s site for the exact work title “Emerging Police Technologies and Their Costs” (2021) and did not find a matching publication page. Therefore cannot verify the work exists as cited.,170.19,34555,862,3,0.007989,0.03,0.037989
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.72,,,,,,web_search,"Opened cited URL. Server returned 404 Not Found, so the specific cited document (“ShotSpotter Contract Approval” by Springfield City Council, 2021) could not be accessed/confirmed at that locator. Citation is URL-primary and the provided URL is dead/404, so status is not_found.",155.67,22057,459,0,0.004985,0.0,0.004985
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,0.6,,,,,,,"The cited resource URL could not be fetched and returns (404) Not Found: `https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf`. Since the bibliography entry is URL-primary and the document at that URL is unreachable/dead, the work cannot be verified as existing exactly as cited.",153.53,22032,393,0,0.004898,0.0,0.004898
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,0.62,,,,,,web_search,Primary identifier check failed: doi.org returned 404 for the DOI in the citation (https://doi.org/10.1080/07418825.2018.1488126). No primary bibliographic record matching the exact cited title/authors/DOI could be confirmed via search.,222.89,43393,1561,5,0.01063,0.05,0.06063
