raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] M. I. Katsnelson, Graphene: Carbon in Two Dimensions (Cam￾bridge University Press, Cambridge, 2012).",book,Graphene: Carbon in Two Dimensions,M. I. Katsnelson,2012,,,,,,,,Cambridge University Press,,,verified,1.0,Graphene: Carbon in Two Dimensions,Mikhail I. Katsnelson,,10.1017/cbo9781139031080,https://doi.org/10.1017/cbo9781139031080,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.7,0,0,0,0.0,0.0,0.0
"[2] L. Onsager, Phys. Rev. 65, 117 (1944).",journal_article,,L. Onsager,1944,Phys. Rev.,65,,117,,,,,,,verified,1.0,Crystal Statistics. I. A Two-Dimensional Model with an Order-Disorder Transition.,Lars Onsager,Physical Review,10.1103/PhysRev.65.117,https://journals.aps.org/pr/abstract/10.1103/PhysRev.65.117,web_search,"The citation’s coordinates uniquely identify the APS article; the omitted title is an incomplete citation detail, not evidence of a different work. Matched work: Lars Onsager, “Crystal Statistics. I. A Two-Dimensional Model with an Order-Disorder Transition,” Physical Review 65, 117–149 (1944).",71.57,32373,1032,2,0.007713,0.02,0.027713
"[3] D. Stauffer and A. Aharony, Introduction to Percolation Theory, 2nd ed. (Taylor & Francis, London, 2018).",book,Introduction to Percolation Theory,D. Stauffer | A. Aharony,2018,,,,,,9781315274386,,Taylor & Francis,,,verified,1.0,Introduction To Percolation Theory,Dietrich Stauffer | Ammon Aharony,,10.1201/9781315274386,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.3,0,0,0,0.0,0.0,0.0
"[4] N. Madras and G. Slade, The Self-Avoiding Walk (Birkh¨auser, Boston, 2013).",book,The Self-Avoiding Walk,N. Madras | G. Slade,2013,,,,,,9781461241324,,Birkh¨auser,,,verified,1.0,The Self-Avoiding Walk,Neal Madras | Gordon Slade,,10.1007/978-1-4614-6025-1,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.58,0,0,0,0.0,0.0,0.0
"[5] K. G. Wilson, Phys. Rev. D 10, 2445 (1974).",journal_article,,K. G. Wilson,1974,Phys. Rev. D,10,,2445,,,,,,,verified,1.0,Confinement of quarks,Kenneth G. Wilson,Physical Review D,10.1103/PhysRevD.10.2445,https://journals.aps.org/collections/50-years-QCD?utm_source=openai,web_search,"The citation is a standard abbreviated journal reference to the same article. The missing title is an omission, not a conflicting claim.",63.83,32442,964,2,0.007645,0.02,0.027645
"[6] M. Gardner, Sci. Am. 223(4), 120 (1970).",journal_article,,M. Gardner,1970,Sci. Am.,223,4,120,,,,,,,verified,1.0,Mathematical Games,Martin Gardner,Scientific American Magazine,10.1038/scientificamerican1070-120,https://www.scientificamerican.com/article/mathematical-games-1970-10/,web_search,"The citation omits the article title, but the author, journal, volume, issue, year, and starting page uniquely identify the publisher-confirmed work.",65.14,30047,798,1,0.006967,0.01,0.016967
"[7] For a recent review: K. Vinck et al., Rev. Mod. Phys. 95, 045003 (2023).",journal_article,,K. Vinck,2023,Rev. Mod. Phys.,95,,45003,,,,,,,minor_error,0.99,Light in correlated disordered media,,Reviews of Modern Physics,10.1103/RevModPhys.95.045003,https://www.repository.cam.ac.uk/items/33818378-b8fc-49f9-949c-eda95a9809b8,web_search,"Official record lists first author Kevin Vynck, not “K. Vinck”; all other cited coordinates match.",69.15,34185,1242,2,0.008327,0.02,0.028327
"[8] For a review: S. Yanchuk and G. Giacomelli, Journal of Physics A: Mathematical and Theoretical 50, 103001 (2017).",journal_article,,S. Yanchuk | G. Giacomelli,2017,Journal of Physics A: Mathematical and Theoretical,50,,103001,,,,,,,verified,1.0,Spatio-temporal phenomena in complex systems with time delays,Serhiy Yanchuk | Giovanni Giacomelli,Journal of Physics A: Mathematical and Theoretical,10.1088/1751-8121/50/10/103001,https://research.ucc.ie/en/publications/spatio-temporal-phenomena-in-complex-systems-with-time-delays/,web_search,"The phrase “For a review” is not the article title, but it is an introductory description indicating that the cited item is a review. Because the bibliographic coordinates and authors uniquely identify the actual article, this is best treated as the same work with an omitted title rather than a fabricated citation.",66.84,44992,1053,3,0.010262,0.03,0.040262
"[9] S.A. Campbell, Time delay in neural systems Handbook of brain connectivity, V Jirsa, A. McIntosh, Springer 2007, 65-90.",book_chapter,Time delay in neural systems,S.A. Campbell,2007,,,,65-90,,,Handbook of brain connectivity,Springer,,,verified,0.9894736842105263,Time Delays in Neural Systems,Sue Ann Campbell,Understanding Complex Systems,10.1007/978-3-540-71512-2_2,https://doi.org/10.1007/978-3-540-71512-2_2,crossref_title_static,Verified via static CrossRef title search (score: 0.99),7.5,0,0,0,0.0,0.0,0.0
"[10] J. D. Farmer, Physica D: Nonlinear Phenomena 4, 366 (1982).",journal_article,,J. D. Farmer,1982,Physica D: Nonlinear Phenomena,4,,366,,,,,,,verified,1.0,Chaotic attractors of an infinite-dimensional dynamical system,J. Doyne Farmer,Physica D: Nonlinear Phenomena,10.1016/0167-2789(82)90042-2,https://www.sciencedirect.com/science/article/pii/0167278982900422,web_search,"The citation gives page 366, which is the article’s first page; first-page-only citations are acceptable.",66.68,26470,911,1,0.006387,0.01,0.016387
"[11] For a recent review: T. Erneux, J. Javaloyes, M. Wolfrum and S. Yanchuk, Chaos 27, 114201 (2017).",journal_article,,T. Erneux | J. Javaloyes | M. Wolfrum | S. Yanchuk,2017,Chaos,27,,114201,,,,,,,verified,0.99,Introduction to Focus Issue: Time-delay dynamics,Thomas Erneux | Julien Javaloyes | Matthias Wolfrum | Serhiy Yanchuk,Chaos,10.1063/1.5011354,https://doi.org/10.1063/1.5011354,web_search,"The citation is a valid abbreviated journal citation; omission of the title is not a substantive bibliographic error because the author, journal, volume, article number, and year identify the article.",67.44,31823,939,2,0.007491,0.02,0.027491
