raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,1.0,Use research on Claude,Anthropic,Claude Help Center / Anthropic Help Center,,https://support.claude.com/en/articles/11088861-use-research-on-claude,web_search,"The cited URL is reachable and redirects to the live article at the same article ID. The title has changed slightly on the current page, but this is web title churn for the same resource, not a substantive citation error.",106.74,26227,872,1,0.006292,0.01,0.016292
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),22.48,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,9783849513375,,Yale University Press,,,verified,1.0,The Public Domain: Enclosing the Commons of the Mind,James Boyle,Yale University Press,,,web_search,"The publisher lists a paperback edition published January 26, 2010, supporting the cited year and New Haven imprint. A 2008 eBook edition is also listed, but this is an edition distinction rather than an error.",108.51,27509,676,1,0.006313,0.01,0.016313
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,0.99,About CC Licenses,Creative Commons (CC),Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,web_search,"“No date” is acceptable here because the citation does not claim a specific publication year, and the page is a living organizational webpage.",110.14,26165,695,1,0.006067,0.01,0.016067
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,verified,0.99,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,X,,https://x.com/CrimConsortium/status/1991479707309863158,web_search,"The work is a social-media post rather than a traditional academic publication, so CrossRef or journal metadata is not expected. The live, specific X status URL and matching title/date/account attribution identify the cited resource. Matched date: November 20, 2025.",108.89,30486,929,1,0.007212,0.01,0.017212
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,1.0,CrimConsortium,CrimRxiv Consortium,CrimRxiv official consortium page,,https://www.crimrxiv.com/consortium,web_search,"The cited web resource is identifiable and matches the title, organization, and URL, with only subsequent naming/title changes. “No date” is acceptable for the cited web page.",109.01,26098,732,1,0.006098,0.01,0.016098
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,1.0,Criminology’s global open-access hub and repository,,CrimRxiv,,https://www.crimrxiv.com/,web_search,"“No date” is reasonable for the homepage citation; the January 15, 2026 retrieval date is a valid access date and does not conflict with the live page.",111.29,30816,910,1,0.007255,0.01,0.017255
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,1.0,European Network for Open Criminology,European Network for Open Criminology,European Network for Open Criminology official website,,https://esc-enoc.github.io,web_search,"“No date” is acceptable for the homepage because the page does not present a clear publication date. The retrieval date in the citation, April 6, 2026, is a past date relative to July 30, 2026. The URL, organizational author, and title identify the same official web resource.",110.48,26059,865,1,0.00625,0.01,0.01625
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,1.0,Gemini Deep Research – your personal research assistant,Google,Google/Gemini product webpage,,https://gemini.google/gb/overview/deep-research,web_search,The cited URL resolves to the specific page rather than a search-result page or an unrelated resource. The localized redirect and added language parameter are benign URL variations.,111.45,26142,707,1,0.006077,0.01,0.016077
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,minor_error,0.99,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,Scott Jaques | Andrew Wheeler,Qualitative Criminology (QC),10.21428/88de04a1.29bd3039,https://dc.swosu.edu/qc/vol15/iss2/4/,web_search,"The supplied DOI is associated with this article in the available bibliographic record and author publication listings. The same work is identified, with a misspelled first-author surname and the citation year 2025 used with Volume 15, Issue 2, whose official issue year is 2026.",130.66,39930,1506,1,0.009793,0.01,0.019793
