document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,68,0,4,1,0,0,517.0,66.36,198.45,161.7,4844.46,1037091,29619,1066710,32,0.242961,0.32,0.562961
1_perspective_PLOSWater_preview,67,55,0,10,2,0,0,337.25,125.94,220.47,196.43,8437.89,1524196,48036,1572232,47,0.362482,0.47,0.832482
23812_Unmasking_Puppeteers_Lev,72,66,0,6,0,0,0,345.72,49.81,221.74,99.78,3586.36,181415,5273,186688,6,0.042611,0.06,0.102611
24047_Fourier_Token_Merging_Un,32,23,0,3,6,0,0,307.96,97.96,224.34,191.62,3134.82,408996,12454,421450,15,0.096743,0.15,0.246743
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,97,2,4,1,0,0,585.24,86.96,202.85,194.44,9043.9,1144052,35346,1179398,43,0.271225,0.43,0.701225
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,145,3,7,1,0,0,471.6,54.89,165.82,155.12,8563.38,953244,29049,982293,44,0.225507,0.44,0.665507
2606.11565v1,38,19,3,3,13,0,0,371.54,104.34,158.55,154.58,3964.87,914345,29797,944142,40,0.218625,0.4,0.618625
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,31,1,3,1,0,0,176.1,51.68,166.58,151.73,1860.57,193874,6197,200071,7,0.046212,0.07,0.116212
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,61,0,14,0,0,0,348.42,62.45,154.15,151.45,4683.4,808587,23161,831748,27,0.189511,0.27,0.459511
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,0,2,3,0,0,202.46,74.66,181.86,157.07,2613.13,394782,11772,406554,20,0.093084,0.2,0.293084
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,67,2,5,2,0,0,257.73,67.01,189.97,143.03,5092.83,502011,15403,517414,22,0.118886,0.22,0.338886
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,4,5,0,0,211.06,43.69,122.59,110.35,3320.75,426021,14607,440628,15,0.102732,0.15,0.252732
